"","Gene","Condition","Type"
"196","Cpne6","Ox","B"
"197","Gls","Ox","B"
"198","Rps3a","Ox","B"
"199","Vapb","Ox","B"
"200","Khsrp","Ox","B"
"201","Nudc","Ox","B"
"202","Sptan1","Ox","B"
"203","Hspa5","Ox","B"
"204","Ddx5","Ox","B"
"205","Eprs1","Ox","B"
"206","Tln1;Tln2","Ox","B"
"207","Top2b","Ox","B"
"208","Pdxdc1","Ox","B"
"209","Qars1","Ox","B"
"210","Glod4","Ox","B"
"211","Nucks1","Ox","B"
"212","Rnf214","Ox","B"
"213","Snx3","Ox","B"
"214","Ddt","Ox","B"
"215","Park7","Ox","B"
"216","Ubap2l","Ox","B"
"217","Lmna","Ox","B"
"218","Rpl7","Ox","B"
"219","Mapk3","Ox","B"
"220","Sart1","Ox","B"
"221","Stmn1;Stmn2","Ox","B"
"222","Ppia","Ox","B"
"223","Stim1","Ox","B"
"224","Niban2","Ox","B"
"225","Igbp1","Ox","B"
"226","Prpf3","Ox","B"
"227","Cox5b","Ox","B"
"228","Mecp2","Ox","B"
"229","Pcmt1","Ox","B"
"230","Dpysl3","Ox","B"
"231","Ndrg3","Ox","B"
"232","Hsp90ab1","Ox","B"
"233","Atp6v1b2","Ox","B"
"234","Cfl1","Ox","B"
"235","Fip1l1","Ox","B"
"236","Pgam1","Ox","B"
"237","Edc4","Ox","B"
"238","Tmem263","Ox","B"
"239","Rab21","Ox","B"
"240","Rps20","Ox","B"
"241","Tdrp","Ox","B"
"242","Arhgap1","Ox","B"
"243","Aldoa","Ox","B"
"244","Pcbp1;Pcbp2","Ox","B"
"245","Plaa","Ox","B"
"246","Cnn3","Ox","B"
"247","Prdx6","Ox","B"
"248","Kif5b","Ox","B"
"249","Ncam1","Ox","B"
"250","Pdlim5","Ox","B"
"251","Npm1","Ox","B"
"252","Nup62","Ox","B"
"253","Hspa12a","Ox","B"
"254","Eif4g2","Ox","B"
"255","Gpatch8","Ox","B"
"256","Snca","Ox","B"
"257","FAM120A","Ox","B"
"258","Eif3c","Ox","B"
"259","H2bc12;H2bc14;H2bc3;H2bc4;H2bc7;H2bc9;Hist1h2bp;Hist2h2bb","Ox","B"
"260","Las1l","Ox","B"
"261","Ckap5","Ox","B"
"262","Znf207","Ox","B"
"263","Zdhhc3","Ox","B"
"264","Tmod2","Ox","B"
"265","Snrpd3","Ox","B"
"266","Uchl1","Ox","B"
"267","Hsp90ab1;Hsp90b1","Ox","B"
"268","Lypla2","Ox","B"
"269","Mpp1","Ox","B"
"270","Agfg1","Ox","B"
"271","Rps27a;Uba52;Ubb;Ubc","Ox","B"
"272","Hdlbp","Ox","B"
"273","Arfgap1","Ox","B"
"274","Baz2a","Ox","B"
"275","Prdx5","Ox","B"
"276","Cltc","Ox","B"
"277","Exoc4","Ox","B"
"278","Rpl18","Ox","B"
"279","Rplp0","Ox","B"
"280","Rimkla","Ox","B"
"281","Soga3","Ox","B"
"282","Rpl6","Ox","B"
"283","Tkt","Ox","B"
"284","S100a6","Ox","B"
"285","Ddx46","Ox","B"
"286","Rps8","Ox","B"
"287","Fhl1","Ox","B"
"288","Camk2d","Ox","B"
"289","Mvp","Ox","B"
"290","Ruvbl1","Ox","B"
"291","Dclk1","Ox","B"
"292","Numbl","Ox","B"
"293","Rpl22","Ox","B"
"294","Abcd3","Ox","B"
"295","Steap3","Ox","B"
"296","Csrp1","Ox","B"
"297","Cfdp1","Ox","B"
"298","Got2","Ox","B"
"299","Gspt1;Gspt2","Ox","B"
"300","Hnrnph1","Ox","B"
"301","Steep1","Ox","B"
"302","Hnrnpab;Hnrnpdl","Ox","B"
"303","Dbnl","Ox","B"
"304","Parva","Ox","B"
"305","Dock7","Ox","B"
"306","Ctnnd1","Ox","B"
"307","Hcfc1","Ox","B"
"308","Rplp2","Ox","B"
"309","Bcas3","Ox","B"
"310","Edc3","Ox","B"
"311","Cpsf6","Ox","B"
"312","Numb","Ox","B"
"313","Eno1","Ox","B"
"314","Abr","Ox","B"
"315","Ampd3","Ox","B"
"316","Jpt2","Ox","B"
"317","Rap1gap","Ox","B"
"318","Pkm","Ox","B"
"319","Atp8a1","Ox","B"
"320","Commd10","Ox","B"
"321","Fasn","Ox","B"
"322","Ppa2","Ox","B"
"323","Mdh2","Ox","B"
"324","Mre11","Ox","B"
"325","Slc25a5","Ox","B"
"326","Hspa1a;Hspa1b","Ox","B"
"327","Hnrnpc","Ox","B"
"328","As3mt","Ox","B"
"329","Eef1a1","Ox","B"
"330","Nck1","Ox","B"
"331","Acbd5","Ox","B"
"332","Macroh2a1","Ox","B"
"333","Sh3gl1","Ox","B"
"334","Fundc2","Ox","B"
"335","S100a11","Ox","B"
"336","Sdha","Ox","B"
"337","Ckb","Ox","B"
"338","Cd44","Ox","B"
"339","Ampd2","Ox","B"
"340","Prdx2","Ox","B"
"341","Chd4","Ox","B"
"342","Ywhae","Ox","B"
"343","Acss2","Ox","B"
"344","Mpz","Ox","B"
"345","H2az1;H2az2","Ox","B"
"346","Efnb1","Ox","B"
"347","Rpl27a","Ox","B"
"348","Gapvd1","Ox","B"
"349","Rpl15","Ox","B"
"350","Krt5;Krt6a","Ox","B"
"351","Cs","Ox","B"
"352","Arl3","Ox","B"
"353","Cdc42ep4","Ox","B"
"354","Ywhaq","Ox","B"
"355","Pkn2","Ox","B"
"356","Tomm20","Ox","B"
"357","Eef2","Ox","B"
"358","Nebl","Ox","B"
"359","Acin1","Ox","B"
"360","Gstm5","Ox","B"
"361","Hspd1","Ox","B"
"362","Bsg","Ox","B"
"363","Tubb5","Ox","B"
"364","Sucla2","Ox","B"
"365","Ndrg1","Ox","B"
"366","Rnf121","Ox","B"
"367","Septin7","Ox","B"
"368","Msn","Ox","B"
"369","IntS13","Ox","B"
"370","Ahcy","Ox","B"
"371","Sugp2","Ox","B"
"372","H3-3a;H3-5;H3c1;H3c2","Ox","B"
"373","Hadhb","Ox","B"
"374","Pak2","Ox","B"
"375","Dbi","Ox","B"
"376","Nudt9","Ox","B"
"377","Actbl2","Ox","B"
"378","Atp1a2","Ox","B"
"379","Pag1","Ox","B"
"380","Slc2a1","Ox","B"
"381","Septin2","Ox","B"
"382","Marcks","Ox","B"
"383","Snx1","Ox","B"
"384","Nf2","Ox","B"
"385","Ythdf3","Ox","B"
"386","Mon2","Ox","B"
"387","Eif4a1","Ox","B"
"388","Cav2","Ox","B"
"389","Dlat","Ox","B"
"390","Oat","Ox","B"
"391","H2ac11;H2ac12;H2ac13;H2ac15;H2ac20;H2ac4;H2ac6;H2ac7;H2ac8;H2aj;H2aw;H2az1;H2az2;Hist1h2af;Hist1h2an;Hist1h2ao;Hist1h2ap;Hist2h2aa1","Ox","B"
"392","Rcc2","Ox","B"
"393","Cmtr1","Ox","B"
"394","Atp2b4","Ox","B"
"395","Ddhd1","Ox","B"
"396","Nr3c1","Ox","B"
"397","Cr1l","Ox","B"
"398","Mbd2","Ox","B"
"399","Bcat2","Ox","B"
"400","Git1","Ox","B"
"401","Cpt1a","Ox","B"
"402","Arl15","Ox","B"
"403","Champ1","Ox","B"
"404","Rpl12","Ox","B"
"405","Eno3","Ox","B"
"406","Hibadh","Ox","B"
"407","Cat","Ox","B"
"408","Epdr1","Ox","B"
"409","Ldhb","Ox","B"
"410","Plpp3","Ox","B"
"411","Srsf2","Ox","B"
"412","Actb;Actg1","Ox","B"
"413","Safb2","Ox","B"
"414","Slc16a1","Ox","B"
"415","Sipa1","Ox","B"
"416","Tbc1d10a","Ox","B"
"417","Krt10","Ox","B"
"418","Prph","V","B"
"419","Akap12","V","B"
"420","Eps15l1","V","B"
"421","Rtn4","V","B"
"422","Map6","V","B"
"423","Cend1","V","B"
"424","Tardbp","V","B"
"425","Synm","V","B"
"426","TurboID","V","B"
"427","Rtn1","V","B"
"428","Tppp3","V","B"
"429","Map1a","V","B"
"430","Mapt","V","B"
"431","Map1b","V","B"
"432","Anxa6","V","B"
"433","Eef1a1;Eef1a2","V","B"
"434","Nefh","V","B"
"435","Hnrnpk","V","B"
"436","Cct8","V","B"
"437","Copz1","V","B"
"438","Fus","V","B"
"439","Psmc3","V","B"
"440","Eif4b","V","B"
"441","Avil","V","B"
"442","Ran","V","B"
"443","Epb41l3","V","B"
"444","Pcbp1","V","B"
"445","Tpd52l2","V","B"
"446","Map2","V","B"
"447","Atp5f1b","V","B"
