"","Gene","Condition","Type"
"877","Arl6ip4","Ox","A"
"878","Arl6ip5","Ox","A"
"879","Armc6","Ox","A"
"880","Armc8","Ox","A"
"881","Armcx2","Ox","A"
"882","Armcx3","Ox","A"
"883","Arpc1b","Ox","A"
"884","Arpc2","Ox","A"
"885","Arpc5","Ox","A"
"886","Arpin","Ox","A"
"887","Arpp19","Ox","A"
"888","Arrb2","Ox","A"
"889","Asap1","Ox","A"
"890","Asl","Ox","A"
"891","Asns","Ox","A"
"892","Asph","Ox","A"
"893","Aspscr1","Ox","A"
"894","Ass1","Ox","A"
"895","Atad1","Ox","A"
"896","Atad3","Ox","A"
"897","Atg2a","Ox","A"
"898","Atg2b","Ox","A"
"899","Atg3","Ox","A"
"900","Atic","Ox","A"
"901","Atl1","Ox","A"
"902","Atn1","Ox","A"
"903","Atp13a1","Ox","A"
"904","Atp13a2","Ox","A"
"905","Atp1a1","Ox","A"
"906","Atp1a3","Ox","A"
"907","Atp1b1","Ox","A"
"908","Atp2a2","Ox","A"
"909","Atp2b1","Ox","A"
"910","Atp2b2","Ox","A"
"911","Atp5f1d","Ox","A"
"912","Atp5mg","Ox","A"
"913","Atp5pf","Ox","A"
"914","Atp5po","Ox","A"
"915","Atp6v0d1","Ox","A"
"916","Atp6v1a","Ox","A"
"917","Atp6v1e1","Ox","A"
"918","Atp6v1f","Ox","A"
"919","Atp6v1h","Ox","A"
"920","Atp7a","Ox","A"
"921","Atp9a","Ox","A"
"922","Atpaf1","Ox","A"
"923","Atxn10","Ox","A"
"924","Atxn1l","Ox","A"
"925","Atxn2","Ox","A"
"926","Atxn7l3b","Ox","A"
"927","Auh","Ox","A"
"928","Aup1","Ox","A"
"929","Aven","Ox","A"
"930","Avl9","Ox","A"
"931","Azi2","Ox","A"
"932","Babam1","Ox","A"
"933","Bad","Ox","A"
"934","Bag2","Ox","A"
"935","Baiap2l1","Ox","A"
"936","Basp1","Ox","A"
"937","Baz2b","Ox","A"
"938","Bcap29","Ox","A"
"939","Bcap31","Ox","A"
"940","Bcar1","Ox","A"
"941","Bcat1","Ox","A"
"942","Bcl2l13","Ox","A"
"943","Bcl2l2","Ox","A"
"944","Bclaf1","Ox","A"
"945","Bcr","Ox","A"
"946","Becn1","Ox","A"
"947","Bet1l","Ox","A"
"948","Bicd1","Ox","A"
"949","Bicra","Ox","A"
"950","Bin1","Ox","A"
"951","Birc6","Ox","A"
"952","Bloc1s1","Ox","A"
"953","Bnip1","Ox","A"
"954","Bnip3","Ox","A"
"955","Bod1l","Ox","A"
"956","Bola1","Ox","A"
"957","Borcs5","Ox","A"
"958","Borcs6","Ox","A"
"959","Bpnt1","Ox","A"
"960","Braf","Ox","A"
"961","Brap","Ox","A"
"962","Brcc3","Ox","A"
"963","Brox","Ox","A"
"964","Brsk2","Ox","A"
"965","Bsdc1","Ox","A"
"966","Bsn","Ox","A"
"967","Btf3","Ox","A"
"968","Btf3l4","Ox","A"
"969","Bzw1","Ox","A"
"970","C2cd2","Ox","A"
"971","C2cd2l","Ox","A"
"972","Cab39","Ox","A"
"973","Cab39l","Ox","A"
"974","Cabp1","Ox","A"
"975","Cacnb1","Ox","A"
"976","Cacnb3","Ox","A"
"977","Cacnb4","Ox","A"
"978","Cacul1","Ox","A"
"979","Cacybp","Ox","A"
"980","Cadm1","Ox","A"
"981","Cadm3","Ox","A"
"982","Calca","Ox","A"
"983","Calcoco1","Ox","A"
"984","Calr","Ox","A"
"985","Camk1d","Ox","A"
"986","Camk2a","Ox","A"
"987","Camk2b","Ox","A"
"988","Camk2g","Ox","A"
"989","Camk4","Ox","A"
"990","Camkk1","Ox","A"
"991","Camlg","Ox","A"
"992","Camsap1","Ox","A"
"993","Camsap2","Ox","A"
"994","Camsap3","Ox","A"
"995","Cand1","Ox","A"
"996","Canx","Ox","A"
"997","Cap1","Ox","A"
"998","Capg","Ox","A"
"999","Capn1","Ox","A"
"1000","Capn2","Ox","A"
"1001","Capns1","Ox","A"
"1002","Caprin1","Ox","A"
"1003","Capza2","Ox","A"
"1004","Capzb","Ox","A"
"1005","Carhsp1","Ox","A"
"1006","Carmil1","Ox","A"
"1007","Carmil2","Ox","A"
"1008","Carmil3","Ox","A"
"1009","Cars1","Ox","A"
"1010","Casc3","Ox","A"
"1011","Cask","Ox","A"
"1012","Caskin1","Ox","A"
"1013","Casp1","Ox","A"
"1014","Casp3","Ox","A"
"1015","Casp9","Ox","A"
"1016","Casz1","Ox","A"
"1017","Cbfb","Ox","A"
"1018","Cbl","Ox","A"
"1019","Cblb","Ox","A"
"1020","Cbll1","Ox","A"
"1021","Cbr1","Ox","A"
"1022","Cbwd1","Ox","A"
"1023","Cbx3","Ox","A"
"1024","Cc2d1a","Ox","A"
"1025","Cc2d1b","Ox","A"
"1026","Ccar1","Ox","A"
"1027","Ccdc115","Ox","A"
"1028","Ccdc124","Ox","A"
"1029","Ccdc186","Ox","A"
"1030","Ccdc22","Ox","A"
"1031","Ccdc32","Ox","A"
"1032","Ccdc43","Ox","A"
"1033","Ccdc47","Ox","A"
"1034","Ccdc6","Ox","A"
"1035","Ccdc85a","Ox","A"
"1036","Ccdc9","Ox","A"
"1037","Ccdc92","Ox","A"
"1038","Ccdc93","Ox","A"
"1039","Ccdc9b","Ox","A"
"1040","Ccnt1","Ox","A"
"1041","Ccnt2","Ox","A"
"1042","Ccp110","Ox","A"
"1043","Ccs","Ox","A"
"1044","Ccser2","Ox","A"
"1045","Cct2","Ox","A"
"1046","Cct3","Ox","A"
"1047","Cct5","Ox","A"
"1048","Cct6a","Ox","A"
"1049","Cct7","Ox","A"
"1050","Ccz1","Ox","A"
"1051","Cd151","Ox","A"
"1052","Cd2ap","Ox","A"
"1053","Cd99l2","Ox","A"
"1054","Cdc123","Ox","A"
"1055","Cdc26","Ox","A"
"1056","Cdc37","Ox","A"
"1057","Cdc37l1","Ox","A"
"1058","Cdc42bpa","Ox","A"
"1059","Cdc42bpb","Ox","A"
"1060","Cdc5l","Ox","A"
"1061","Cdipt","Ox","A"
"1062","Cdk11b","Ox","A"
"1063","Cdk14","Ox","A"
"1064","Cdk16","Ox","A"
"1065","Cdk18","Ox","A"
"1066","Cdk5","Ox","A"
"1067","Cdk5rap3","Ox","A"
"1068","Cdk7","Ox","A"
"1069","Cdk9","Ox","A"
"1070","Cdkn1b","Ox","A"
"1071","Cdkn2aip","Ox","A"
"1072","Cdkn2d","Ox","A"
"1073","Cdr2","Ox","A"
"1074","Cdr2l","Ox","A"
"1075","Cds2","Ox","A"
"1076","Cdv3","Ox","A"
"1077","Celf2","Ox","A"
"1078","Celf6","Ox","A"
"1079","Cenpv","Ox","A"
"1080","Cep104","Ox","A"
"1081","Cep131","Ox","A"
"1082","Cep170","Ox","A"
"1083","Cep170b","Ox","A"
"1084","Cep43","Ox","A"
"1085","Cep97","Ox","A"
"1086","Cers1","Ox","A"
"1087","Cers2","Ox","A"
"1088","Cert1","Ox","A"
"1089","Cetn2","Ox","A"
"1090","Cetn4","Ox","A"
"1091","Cfap20","Ox","A"
"1092","Cfap36","Ox","A"
"1093","Cfap410","Ox","A"
"1094","Cfl2","Ox","A"
"1095","Chchd2","Ox","A"
"1096","Chchd3","Ox","A"
"1097","Chchd6","Ox","A"
"1098","Cherp","Ox","A"
"1099","Chka","Ox","A"
"1100","Chkb","Ox","A"
"1101","Chmp1a","Ox","A"
"1102","Chmp2a","Ox","A"
"1103","Chmp2b","Ox","A"
"1104","Chmp3","Ox","A"
"1105","Chmp5","Ox","A"
"1106","Chmp7","Ox","A"
"1107","Chordc1","Ox","A"
"1108","Chp1","Ox","A"
"1109","Ciao3","Ox","A"
"1110","Ciapin1","Ox","A"
"1111","Cic","Ox","A"
"1112","Cisd1","Ox","A"
"1113","Cisd2","Ox","A"
"1114","Ckap4","Ox","A"
"1115","Ckmt1","Ox","A"
"1116","Clasp1","Ox","A"
"1117","Clcc1","Ox","A"
"1118","Clcn6","Ox","A"
"1119","Clec16a","Ox","A"
"1120","Clgn","Ox","A"
"1121","Clint1","Ox","A"
"1122","Clip1","Ox","A"
"1123","Clip2","Ox","A"
"1124","Clip3","Ox","A"
"1125","Clip4","Ox","A"
"1126","Clptm1","Ox","A"
"1127","Clta","Ox","A"
"1128","Cltb","Ox","A"
"1129","Clybl","Ox","A"
"1130","Cmas","Ox","A"
"1131","Cmip","Ox","A"
"1132","Cmpk1","Ox","A"
"1133","Cndp2","Ox","A"
"1134","Cnksr2","Ox","A"
"1135","Cnot1","Ox","A"
"1136","Cnot10","Ox","A"
"1137","Cnot11","Ox","A"
"1138","Cnot2","Ox","A"
"1139","Cnot3","Ox","A"
"1140","Cnot4","Ox","A"
"1141","Cnp","Ox","A"
"1142","Cnrip1","Ox","A"
"1143","Cnst","Ox","A"
"1144","Cntnap1","Ox","A"
"1145","Coasy","Ox","A"
"1146","Cobl","Ox","A"
"1147","Cog2","Ox","A"
"1148","Cog3","Ox","A"
"1149","Cog4","Ox","A"
"1150","Cog5","Ox","A"
"1151","Cog7","Ox","A"
"1152","Coil","Ox","A"
"1153","Commd2","Ox","A"
"1154","Commd3","Ox","A"
"1155","Commd8","Ox","A"
"1156","Commd9","Ox","A"
"1157","Copa","Ox","A"
"1158","Copb1","Ox","A"
"1159","Copb2","Ox","A"
"1160","Copg1","Ox","A"
"1161","Copg2","Ox","A"
"1162","Coprs","Ox","A"
"1163","Cops3","Ox","A"
"1164","Cops4","Ox","A"
"1165","Cops5","Ox","A"
"1166","Cops7a","Ox","A"
"1167","Copz2","Ox","A"
"1168","Coq3","Ox","A"
"1169","Coro1a","Ox","A"
"1170","Coro1b","Ox","A"
"1171","Coro1c","Ox","A"
"1172","Coro2a","Ox","A"
"1173","Coro2b","Ox","A"
"1174","Coro7","Ox","A"
"1175","Cox4i1","Ox","A"
"1176","Cox5a","Ox","A"
"1177","Cox6b1","Ox","A"
"1178","Cox6c","Ox","A"
"1179","Cpd","Ox","A"
"1180","Cpeb1","Ox","A"
"1181","Cpeb2","Ox","A"
"1182","Cpeb3","Ox","A"
"1183","Cpeb4","Ox","A"
"1184","Cplx1","Ox","A"
"1185","Cplx2","Ox","A"
"1186","Cpne1","Ox","A"
"1187","Cpne3","Ox","A"
"1188","Cpne4","Ox","A"
"1189","Cpsf2","Ox","A"
"1190","Cpsf4","Ox","A"
"1191","Cpsf7","Ox","A"
"1192","Cpt1c","Ox","A"
"1193","Cracd","Ox","A"
"1194","Crbn","Ox","A"
"1195","Crcp","Ox","A"
"1196","Creb1","Ox","A"
"1197","Crkl","Ox","A"
"1198","Crlf3","Ox","A"
"1199","Crmp1","Ox","A"
"1200","Crot","Ox","A"
"1201","Crtc1","Ox","A"
"1202","Crtc2","Ox","A"
"1203","Csdc2","Ox","A"
"1204","Csde1","Ox","A"
"1205","Csk","Ox","A"
"1206","Csnk1a1","Ox","A"
"1207","Csnk1d","Ox","A"
"1208","Csnk1e","Ox","A"
"1209","Csnk2b","Ox","A"
"1210","Cstf2","Ox","A"
"1211","Ctbp1","Ox","A"
"1212","Ctdp1","Ox","A"
"1213","Ctif","Ox","A"
"1214","Ctnna2","Ox","A"
"1215","Ctnnb1","Ox","A"
"1216","Ctnnbip1","Ox","A"
"1217","Ctps1","Ox","A"
"1218","Ctps2","Ox","A"
"1219","Ctsb","Ox","A"
"1220","Ctsd","Ox","A"
"1221","Cttnbp2","Ox","A"
"1222","Cul3","Ox","A"
"1223","Cul4b","Ox","A"
"1224","Cul5","Ox","A"
"1225","Custos","Ox","A"
"1226","Cutc","Ox","A"
"1227","Cux1","Ox","A"
"1228","Cwc15","Ox","A"
"1229","Cwc25","Ox","A"
"1230","Cyb5a","Ox","A"
"1231","Cyb5r1","Ox","A"
"1232","Cyb5r3","Ox","A"
"1233","Cycs","Ox","A"
"1234","Cygb","Ox","A"
"1235","Cyld","Ox","A"
"1236","Cyp51a1","Ox","A"
"1237","Cyth3","Ox","A"
"1238","Czib","Ox","A"
"1239","D17h6s53e","Ox","A"
"1240","Dab2ip","Ox","A"
"1241","Dars1","Ox","A"
"1242","Dazap1","Ox","A"
"1243","Dbn1","Ox","A"
"1244","Dbt","Ox","A"
"1245","Dcaf5","Ox","A"
"1246","Dclk2","Ox","A"
"1247","Dcp1a","Ox","A"
"1248","Dcp2","Ox","A"
"1249","Dctn1","Ox","A"
"1250","Dctn3","Ox","A"
"1251","Dctn5","Ox","A"
"1252","Dctn6","Ox","A"
"1253","Dcun1d1","Ox","A"
"1254","Ddb1","Ox","A"
"1255","Ddi2","Ox","A"
"1256","Ddrgk1","Ox","A"
"1257","Ddx1","Ox","A"
"1258","Ddx17","Ox","A"
"1259","Ddx19a","Ox","A"
"1260","Ddx20","Ox","A"
"1261","Ddx39b","Ox","A"
"1262","Ddx3x","Ox","A"
"1263","Ddx3y","Ox","A"
"1264","Ddx6","Ox","A"
"1265","Dennd10","Ox","A"
"1266","Dennd1b","Ox","A"
"1267","Denr","Ox","A"
"1268","Depdc5","Ox","A"
"1269","Deptor","Ox","A"
"1270","Dffa","Ox","A"
"1271","Dgke","Ox","A"
"1272","Dgkg","Ox","A"
"1273","Dgkh","Ox","A"
"1274","Dgki","Ox","A"
"1275","Dgkq","Ox","A"
"1276","Dgkz","Ox","A"
"1277","Dhcr7","Ox","A"
"1278","Dhdh","Ox","A"
"1279","Dhrs1","Ox","A"
"1280","Dhrs13","Ox","A"
"1281","Dhx15","Ox","A"
"1282","Dhx30","Ox","A"
"1283","Dhx36","Ox","A"
"1284","Dhx57","Ox","A"
"1285","Dhx9","Ox","A"
"1286","Diaph1","Ox","A"
"1287","Diaph2","Ox","A"
"1288","Dicer1","Ox","A"
"1289","Dip2b","Ox","A"
"1290","Diras1","Ox","A"
"1291","Diras2","Ox","A"
"1292","Dkc1","Ox","A"
"1293","Dld","Ox","A"
"1294","Dlg2","Ox","A"
"1295","Dlst","Ox","A"
"1296","Dmtn","Ox","A"
"1297","Dmxl2","Ox","A"
"1298","Dnaja1","Ox","A"
"1299","Dnaja2","Ox","A"
"1300","Dnajb1","Ox","A"
"1301","Dnajb14","Ox","A"
"1302","Dnajc16","Ox","A"
"1303","Dnajc6","Ox","A"
"1304","Dnajc7","Ox","A"
"1305","Dnm1","Ox","A"
"1306","Dnm3","Ox","A"
"1307","Dock11","Ox","A"
"1308","Dock3","Ox","A"
"1309","Dock5","Ox","A"
"1310","Dock9","Ox","A"
"1311","Dok1","Ox","A"
"1312","Dok4","Ox","A"
"1313","Dpy30","Ox","A"
"1314","Dpysl5","Ox","A"
"1315","Dr1","Ox","A"
"1316","Drg1","Ox","A"
"1317","Drg2","Ox","A"
"1318","Dst","Ox","A"
"1319","Dstn","Ox","A"
"1320","Dtna","Ox","A"
"1321","Dus2","Ox","A"
"1322","Dusp3","Ox","A"
"1323","Dvl1","Ox","A"
"1324","Dync1h1","Ox","A"
"1325","Dync1i1","Ox","A"
"1326","Dync1i2","Ox","A"
"1327","Dynll1","Ox","A"
"1328","Dynlrb1","Ox","A"
"1329","Dysf","Ox","A"
"1330","Dzank1","Ox","A"
"1331","Dzip3","Ox","A"
"1332","Ebag9","Ox","A"
"1333","Ece1","Ox","A"
"1334","Eci1","Ox","A"
"1335","Ecpas","Ox","A"
"1336","Edf1","Ox","A"
"1337","Eea1","Ox","A"
"1338","Eef1akmt1","Ox","A"
"1339","Eef1g","Ox","A"
"1340","Eepd1","Ox","A"
"1341","Efl1","Ox","A"
"1342","Eftud2","Ox","A"
"1343","Egln1","Ox","A"
"1344","Ehbp1","Ox","A"
"1345","Ehd1","Ox","A"
"1346","Ehd3","Ox","A"
"1347","Ehd4","Ox","A"
"1348","Eif2a","Ox","A"
"1349","Eif2ak2","Ox","A"
"1350","Eif2b1","Ox","A"
"1351","Eif2b2","Ox","A"
"1352","Eif2d","Ox","A"
"1353","Eif2s1","Ox","A"
"1354","Eif2s2","Ox","A"
"1355","Eif2s3x","Ox","A"
"1356","Eif3a","Ox","A"
"1357","Eif3b","Ox","A"
"1358","Eif3d","Ox","A"
"1359","Eif3e","Ox","A"
"1360","Eif3f","Ox","A"
"1361","Eif3h","Ox","A"
"1362","Eif3i","Ox","A"
"1363","Eif3k","Ox","A"
"1364","Eif3l","Ox","A"
"1365","Eif3m","Ox","A"
"1366","Eif4a2","Ox","A"
"1367","Eif4e","Ox","A"
"1368","Eif4e2","Ox","A"
"1369","Eif4e3","Ox","A"
"1370","Eif4enif1","Ox","A"
"1371","Eif4g3","Ox","A"
"1372","Eif4h","Ox","A"
"1373","Eif5a","Ox","A"
"1374","Eif5a2","Ox","A"
"1375","Eif5b","Ox","A"
"1376","Eif6","Ox","A"
"1377","Eipr1","Ox","A"
"1378","Elapor2","Ox","A"
"1379","Elavl1","Ox","A"
"1380","Elavl2","Ox","A"
"1381","Elavl3","Ox","A"
"1382","Elmo1","Ox","A"
"1383","Elmo2","Ox","A"
"1384","Elob","Ox","A"
"1385","Elp1","Ox","A"
"1386","Elp3","Ox","A"
"1387","Elp4","Ox","A"
"1388","Emb","Ox","A"
"1389","Emc2","Ox","A"
"1390","Emc7","Ox","A"
"1391","Emc8","Ox","A"
"1392","Emd","Ox","A"
"1393","Eml1","Ox","A"
"1394","Eml2","Ox","A"
"1395","Eml4","Ox","A"
"1396","Enah","Ox","A"
"1397","Endod1","Ox","A"
"1398","Eno2","Ox","A"
"1399","Ensa","Ox","A"
"1400","Epb41","Ox","A"
"1401","Epb41l1","Ox","A"
"1402","Epb41l5","Ox","A"
"1403","Epg5","Ox","A"
"1404","Ephx1","Ox","A"
"1405","Epm2aip1","Ox","A"
"1406","Epn1","Ox","A"
"1407","Epn3","Ox","A"
"1408","Erc1","Ox","A"
"1409","Ercc3","Ox","A"
"1410","Erh","Ox","A"
"1411","Erp44","Ox","A"
"1412","Esyt2","Ox","A"
"1413","Etf1","Ox","A"
"1414","Evl","Ox","A"
"1415","Ewsr1","Ox","A"
"1416","Exoc1","Ox","A"
"1417","Exoc2","Ox","A"
"1418","Exoc3","Ox","A"
"1419","Exoc8","Ox","A"
"1420","Exosc10","Ox","A"
"1421","Exosc5","Ox","A"
"1422","Exosc8","Ox","A"
"1423","Eya3","Ox","A"
"1424","Fads3","Ox","A"
"1425","Faf1","Ox","A"
"1426","Fam102b","Ox","A"
"1427","Fam107b","Ox","A"
"1428","Fam114a2","Ox","A"
"1429","Fam120c","Ox","A"
"1430","Fam131b","Ox","A"
"1431","Fam168a","Ox","A"
"1432","Fam169a","Ox","A"
"1433","Fam177a1","Ox","A"
"1434","Fam219a","Ox","A"
"1435","Fam234b","Ox","A"
"1436","Fam83h","Ox","A"
"1437","Fam98a","Ox","A"
"1438","Farsa","Ox","A"
"1439","Farsb","Ox","A"
"1440","Fbl","Ox","A"
"1441","Fbll1","Ox","A"
"1442","Fbxl16","Ox","A"
"1443","Fbxo2","Ox","A"
"1444","Fbxo3","Ox","A"
"1445","Fbxo30","Ox","A"
"1446","Fbxo4","Ox","A"
"1447","Fbxw11","Ox","A"
"1448","Fchsd1","Ox","A"
"1449","Fdps","Ox","A"
"1450","Fech","Ox","A"
"1451","Fen1","Ox","A"
"1452","Fez1","Ox","A"
"1453","Fgf12","Ox","A"
"1454","Fgf13","Ox","A"
"1455","Fgfr1op2","Ox","A"
"1456","Fh","Ox","A"
"1457","Fhip1b","Ox","A"
"1458","Fhip2a","Ox","A"
"1459","Fhod3","Ox","A"
"1460","Fitm2","Ox","A"
"1461","Fkbp15","Ox","A"
"1462","Fkbp2","Ox","A"
"1463","Fkbp3","Ox","A"
"1464","Fkbp4","Ox","A"
"1465","Fkbp5","Ox","A"
"1466","Fkbp8","Ox","A"
"1467","Flad1","Ox","A"
"1468","Flii","Ox","A"
"1469","Flot1","Ox","A"
"1470","Flrt3","Ox","A"
"1471","Flvcr1","Ox","A"
"1472","Fmn1","Ox","A"
"1473","Fmnl1","Ox","A"
"1474","Fmr1","Ox","A"
"1475","Fn3krp","Ox","A"
"1476","Fnbp1","Ox","A"
"1477","Fnbp1l","Ox","A"
"1478","Foxk1","Ox","A"
"1479","Foxk2","Ox","A"
"1480","Fra10ac1","Ox","A"
"1481","Frg1","Ox","A"
"1482","Frmd4a","Ox","A"
"1483","Frmpd4","Ox","A"
"1484","Fry","Ox","A"
"1485","Fsd1l","Ox","A"
"1486","Fth1","Ox","A"
"1487","Ftl1","Ox","A"
"1488","Fxr1","Ox","A"
"1489","Fxr2","Ox","A"
"1490","G3bp1","Ox","A"
"1491","G3bp2","Ox","A"
"1492","G6pdx","Ox","A"
"1493","Gab1","Ox","A"
"1494","Gab2","Ox","A"
"1495","Gabarapl2","Ox","A"
"1496","Gabbr1","Ox","A"
"1497","Gabpa","Ox","A"
"1498","Gak","Ox","A"
"1499","Gamt","Ox","A"
"1500","Gap43","Ox","A"
"1501","Garem1","Ox","A"
"1502","Garnl3","Ox","A"
"1503","Gars1","Ox","A"
"1504","Gart","Ox","A"
"1505","Gas2","Ox","A"
"1506","Gatad2a","Ox","A"
"1507","Gatad2b","Ox","A"
"1508","Gatm","Ox","A"
"1509","Gbe1","Ox","A"
"1510","Gcc1","Ox","A"
"1511","Gcc2","Ox","A"
"1512","Gclm","Ox","A"
"1513","Gcn1","Ox","A"
"1514","Gdap1l1","Ox","A"
"1515","Gdi1","Ox","A"
"1516","Gdi2","Ox","A"
"1517","Gemin5","Ox","A"
"1518","Get3","Ox","A"
"1519","Get4","Ox","A"
"1520","Gfpt1","Ox","A"
"1521","Gga1","Ox","A"
"1522","Gga2","Ox","A"
"1523","Gga3","Ox","A"
"1524","Ggt7","Ox","A"
"1525","Gigyf1","Ox","A"
"1526","Gigyf2","Ox","A"
"1527","Gipc1","Ox","A"
"1528","Gk","Ox","A"
"1529","Gkap1","Ox","A"
"1530","Glcci1","Ox","A"
"1531","Glmn","Ox","A"
"1532","Glrx3","Ox","A"
"1533","Gmps","Ox","A"
"1534","Gna11","Ox","A"
"1535","Gnai2","Ox","A"
"1536","Gnal","Ox","A"
"1537","Gnao1","Ox","A"
"1538","Gnb1","Ox","A"
"1539","Gng2","Ox","A"
"1540","Gng3","Ox","A"
"1541","Gnpda1","Ox","A"
"1542","Golga1","Ox","A"
"1543","Golga2","Ox","A"
"1544","Golga3","Ox","A"
"1545","Golga4","Ox","A"
"1546","Golga5","Ox","A"
"1547","Golph3","Ox","A"
"1548","Gopc","Ox","A"
"1549","Gorab","Ox","A"
"1550","Gorasp2","Ox","A"
"1551","Gosr1","Ox","A"
"1552","Gpaa1","Ox","A"
"1553","Gpalpp1","Ox","A"
"1554","Gpatch11","Ox","A"
"1555","Gpcpd1","Ox","A"
"1556","Gpd2","Ox","A"
"1557","Gphn","Ox","A"
"1558","Gpi","Ox","A"
"1559","Gpkow","Ox","A"
"1560","Gpn1","Ox","A"
"1561","Gpr158","Ox","A"
"1562","Gpr89","Ox","A"
"1563","Gprin1","Ox","A"
"1564","Gpx4","Ox","A"
"1565","Gramd1a","Ox","A"
"1566","Gramd1b","Ox","A"
"1567","Grcc10","Ox","A"
"1568","Grhpr","Ox","A"
"1569","Gripap1","Ox","A"
"1570","Grk2","Ox","A"
"1571","Grpel1","Ox","A"
"1572","Grsf1","Ox","A"
"1573","Gsk3a","Ox","A"
"1574","Gsk3b","Ox","A"
"1575","Gspt1","Ox","A"
"1576","Gspt2","Ox","A"
"1577","Gsr","Ox","A"
"1578","Gstp1","Ox","A"
"1579","Gtf2a1","Ox","A"
"1580","Gtf2b","Ox","A"
"1581","Gtf2e2","Ox","A"
"1582","Gtf2f2","Ox","A"
"1583","Gtf3c5","Ox","A"
"1584","Gtpbp1","Ox","A"
"1585","Habp4","Ox","A"
"1586","Hacd2","Ox","A"
"1587","Hacd3","Ox","A"
"1588","Hadh","Ox","A"
"1589","Haghl","Ox","A"
"1590","Hars1","Ox","A"
"1591","Hba","Ox","A"
"1592","Hbb-b1","Ox","A"
"1593","Hbs1l","Ox","A"
"1594","Hdac2","Ox","A"
"1595","Hdac6","Ox","A"
"1596","Hdgf","Ox","A"
"1597","Hdgfl2","Ox","A"
"1598","Hdgfl3","Ox","A"
"1599","Heatr5b","Ox","A"
"1600","Hebp2","Ox","A"
"1601","Hectd1","Ox","A"
"1602","Hectd3","Ox","A"
"1603","Hecw1","Ox","A"
"1604","Helz","Ox","A"
"1605","Hexim1","Ox","A"
"1606","Hgs","Ox","A"
"1607","Hid1","Ox","A"
"1608","Hint1","Ox","A"
"1609","Hint3","Ox","A"
"1610","Hip1","Ox","A"
"1611","Hip1r","Ox","A"
"1612","Hivep2","Ox","A"
"1613","Hk1","Ox","A"
"1614","Hmbox1","Ox","A"
"1615","Hmga1","Ox","A"
"1616","Hmgb1","Ox","A"
"1617","Hmgcs1","Ox","A"
"1618","Hmox2","Ox","A"
"1619","Hnrnpa0","Ox","A"
"1620","Hnrnpab","Ox","A"
"1621","Hnrnpdl","Ox","A"
"1622","Hnrnpf","Ox","A"
"1623","Hnrnph2","Ox","A"
"1624","Hnrnpll","Ox","A"
"1625","Hnrnpul1","Ox","A"
"1626","Hnrnpul2","Ox","A"
"1627","Hook3","Ox","A"
"1628","Hopx","Ox","A"
"1629","Hpcal1","Ox","A"
"1630","Hprt1","Ox","A"
"1631","Hps5","Ox","A"
"1632","Hs1bp3","Ox","A"
"1633","Hsbp1","Ox","A"
"1634","Hsd17b12","Ox","A"
"1635","Hsd17b4","Ox","A"
"1636","Hsdl2","Ox","A"
"1637","Hspa2","Ox","A"
"1638","Hspa4","Ox","A"
"1639","Hspa4l","Ox","A"
"1640","Hspb1","Ox","A"
"1641","Hspb8","Ox","A"
"1642","Hspbp1","Ox","A"
"1643","Hspe1","Ox","A"
"1644","Hspg2","Ox","A"
"1645","Hsph1","Ox","A"
"1646","Htatip2","Ox","A"
"1647","Htatsf1","Ox","A"
"1648","Htt","Ox","A"
"1649","Huwe1","Ox","A"
"1650","Iap","Ox","A"
"1651","Iars1","Ox","A"
"1652","Ica1","Ox","A"
"1653","Ide","Ox","A"
"1654","Idi1","Ox","A"
"1655","Ift20","Ox","A"
"1656","Ift22","Ox","A"
"1657","Igf2r","Ox","A"
"1658","Ikbkg","Ox","A"
"1659","Ilrun","Ox","A"
"1660","Immt","Ox","A"
"1661","Impa1","Ox","A"
"1662","Impact","Ox","A"
"1663","Impdh2","Ox","A"
"1664","Ina","Ox","A"
"1665","Inf2","Ox","A"
"1666","Inpp1","Ox","A"
"1667","Inpp4a","Ox","A"
"1668","Inpp5f","Ox","A"
"1669","Inpp5j","Ox","A"
"1670","Ints1","Ox","A"
"1671","Ints12","Ox","A"
"1672","Ints7","Ox","A"
"1673","Ip6k1","Ox","A"
"1674","Ipo11","Ox","A"
"1675","Ipo7","Ox","A"
"1676","Ipo9","Ox","A"
"1677","Iqcb1","Ox","A"
"1678","Iqsec1","Ox","A"
"1679","Irf3","Ox","A"
"1680","Irgq","Ox","A"
"1681","Irs2","Ox","A"
"1682","Iscu","Ox","A"
"1683","Isl2","Ox","A"
"1684","Isy1","Ox","A"
"1685","Isyna1","Ox","A"
"1686","Itgb1","Ox","A"
"1687","Itm2c","Ox","A"
"1688","Itpk1","Ox","A"
"1689","Itpkc","Ox","A"
"1690","Itsn1","Ox","A"
"1691","Itsn2","Ox","A"
"1692","Iws1","Ox","A"
"1693","Jak1","Ox","A"
"1694","Jakmip1","Ox","A"
"1695","Jmy","Ox","A"
"1696","Jph3","Ox","A"
"1697","Jpt1","Ox","A"
"1698","Jund","Ox","A"
"1699","Kank4","Ox","A"
"1700","Kars1","Ox","A"
"1701","Katnal1","Ox","A"
"1702","Katnb1","Ox","A"
"1703","Kazn","Ox","A"
"1704","Kcmf1","Ox","A"
"1705","Kcna1","Ox","A"
"1706","Kcna2","Ox","A"
"1707","Kcnab2","Ox","A"
