"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Rpl4",6.04603113451588,15.4675231772376,42.9587260867246,1.6963835457553e-17,1.14034671686884e-16,30.4410509721993
"Pygb",6.61186470075223,16.3295153277061,42.8148549483571,1.78588668517451e-17,1.17868521221518e-16,30.3920034731033
"Lasp1",4.55604154712267,16.1968797185088,42.6371754205327,1.9034137489528e-17,1.23381998369619e-16,30.3311593190895
"Dctn4",3.98668459962295,15.693787988976,42.5405694878999,1.97074467102734e-17,1.2550531852332e-16,30.2979513918817
"Pcbp2",4.81212911787282,15.6168562240706,42.271120248461,2.17228937798001e-17,1.35955352449438e-16,30.2048549162295
"Glo1",4.72066408537075,16.6494498224416,42.1897591853687,2.23737412527964e-17,1.36977772463507e-16,30.1766059858905
"Tuba4a",4.98495986603295,19.1269737374341,42.1570821756352,2.26409541261996e-17,1.36977772463507e-16,30.1652422421202
"Eps15",5.23444793606755,15.1261892089346,41.5164211973625,2.8627723782803e-17,1.70358421855041e-16,29.9403231493067
"Dync1li2",5.81953804881602,15.1622122040916,58.5352676547089,1.37920536801181e-17,9.81669703114286e-17,29.925633317141
"Cnn3",4.18493797736893,17.5966899633168,41.2742811699585,3.13112513459646e-17,1.83322326428793e-16,29.8542478390564
"Palm",5.03735771634948,14.7083979202389,40.1818985425189,4.72161187349099e-17,2.72054779377338e-16,29.4584401781659
"Gmds",5.9947840165954,14.8964948448073,40.0550610851938,4.95577103010063e-17,2.8108513811352e-16,29.4116703266734
"Hspa8",4.1589371012059,15.3830763606476,39.5494317313929,6.01955832969503e-17,3.36169180566046e-16,29.2235007639741
"Usp5",5.43340549559397,15.2178982559721,39.2178982214768,6.84725805757369e-17,3.76599193166553e-16,29.0986015773133
"Pcca",-3.53434480034782,19.107955907399,-39.086618965482,7.20776720183815e-17,3.90510372278694e-16,29.0488068913781
"Elavl4",6.74418996465078,15.7149576293132,38.8923283335364,7.77885768410484e-17,4.15253726372067e-16,28.9747566215596
"Ncl",4.27823925357218,16.2358133068051,38.7310595661395,8.28945750022335e-17,4.36097546750881e-16,28.9129676024325
"Nono",4.03317554050687,16.2365481465373,38.6904592720418,8.42354530933588e-17,4.36820992469846e-16,28.8973652167978
"Pcnp",5.60513663347277,15.7634315809821,38.2118568235607,1.01903508963626e-16,5.1376352435828e-16,28.7120117582562
"Set",3.61453966730309,16.5098098395236,43.6286599594211,9.53243690158798e-17,4.87362619053019e-16,28.7020124721896
"Cttn",3.80894631569623,16.1990257471297,37.9315413486757,1.14050082153252e-16,5.6712575098124e-16,28.6022108454566
"Dpysl2",4.22241010386607,18.0546309011943,37.6471731740896,1.27959456004871e-16,6.25350154512622e-16,28.4898705147211
"Slc25a4",6.33642781550124,16.4435414040126,42.7133910230838,1.29204577378641e-16,6.25350154512622e-16,28.4184219263401
"Wipi2",4.26225619613455,15.2649987147126,37.4600921942263,1.38087178624947e-16,6.59547971590209e-16,28.4154344320697
"Cast",5.02865272670367,15.3657303767104,37.1521150620018,1.56662880761359e-16,7.29084945081711e-16,28.2919692897724
"Sprr1a",8.44866294757832,18.297977045197,42.0706751431512,1.60582997829887e-16,7.29681549727346e-16,28.2721657178029
"Snca;Sncb",5.98968861123565,17.6535764919443,42.050350731927,1.6169945331511e-16,7.29681549727346e-16,28.2655480842695
"Amph",6.71948683360687,14.8798917143414,42.2218454424634,1.5253303326854e-16,7.19084299694548e-16,28.2630060807679
"Fermt2",3.4974314706002,15.1883880838829,37.0373117150757,1.64252633362546e-16,7.29681549727346e-16,28.2456477235091
"Hnrnpa2b1",4.81215389129577,18.9219309748403,36.9302693332465,1.71682429359935e-16,7.50852070574173e-16,28.202310529116
"Arhgdia",5.55397692497901,15.9295952180042,41.994121891661,1.6483164484199e-16,7.29681549727346e-16,28.1902498338909
