"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Prph",7.58221055334055,18.7281683465587,86.0744278758865,3.86115041581963e-22,1.40159760094252e-19,39.5951014365307
"Akap12",5.41506619633797,16.8374577157983,77.711906155322,1.86600247700407e-21,3.38679449576239e-19,38.4125307260332
"Eps15l1",5.5765954590209,15.3141533418734,72.5617803247738,5.36740766532175e-21,6.49456327503932e-19,37.5809850374936
"Rtn4",6.6393796200382,17.6216710616227,68.1904573102094,1.39764463621968e-20,9.49568168576695e-19,36.8029925401276
"Map6",5.22970178171737,16.5983526698017,67.6787698111026,1.56953416293669e-20,9.49568168576695e-19,36.7071757536064
"Cend1",8.75520746437313,18.2010501606788,81.938096566395,1.09776708956159e-20,9.49568168576695e-19,36.5301010384832
"Tardbp",6.1062200607403,17.3915333814317,66.2921031749718,2.15878740446499e-20,1.11948546831542e-18,36.4422063610228
"Synm",5.64528842726608,17.0716425610862,64.5557495408014,3.24843386858049e-20,1.35199162356132e-18,36.0990912033927
"TurboID",7.39472547224725,19.1962136491956,63.6734877690842,4.01485938344837e-20,1.45739395619176e-18,35.9197311382112
"Rtn1",5.7815756134064,17.2401288775795,62.7332637537403,5.04793943476364e-20,1.665820013472e-18,35.7247304145183
"Tppp3",6.98212606563617,19.103405028537,75.832944350792,3.35204534767269e-20,1.35199162356132e-18,35.6868928544888
"Map1a",5.79330076468022,16.7707616345641,60.6746775646952,8.43548253147877e-20,2.46715754581163e-18,35.2833260906553
"Mapt",5.33016998480282,17.512563686812,60.4922368878621,8.83555043954577e-20,2.46715754581163e-18,35.2432175977933
"Map1b",6.66931153927317,18.1050506422897,59.9646260695974,1.01104641236155e-19,2.55953021160699e-18,35.1262924877581
"Anxa6",5.6216697728364,16.3044980545946,59.7892236295214,1.05765711223429e-19,2.55953021160699e-18,35.0871111414328
"Eef1a1;Eef1a2",5.42980192841625,17.9144323803833,58.8203939649705,1.35986841718244e-19,3.08520147148266e-18,34.8678574876416
"Nefh",7.56509786671912,17.399316772633,55.385280315303,3.43093997108553e-19,7.32606593825911e-18,34.0497687914527
"Hnrnpk",4.57577741868163,17.7743360304448,54.2945301845466,4.65816575073956e-19,9.39396759732479e-18,33.7758897249654
"Cct8",4.24555155214292,17.7849816260366,53.1688897566305,6.42782079966574e-19,1.16664947513933e-17,33.4856491589531
"Copz1",6.78968959397897,17.2381494262468,62.381542143744,5.58479432714167e-19,1.06698965302759e-17,33.4040831016251
"Fus",4.28709767250657,16.9344603222452,52.8288578090732,7.09391340289029e-19,1.22623360249961e-17,33.3964096585211
