"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Ndrg3",1.15218455569047,13.9016845846822,6.20422385867162,5.33309994090726e-08,1.69052430819143e-07,7.18854796090234
"Mks1",2.05925337848286,14.0720487692558,7.06516816150782,1.39515948523089e-07,4.28513270463773e-07,7.1453810578029
"Rcc2",1.27202705271927,12.1712819506547,6.57807034193784,7.41567651038515e-08,2.32091900910472e-07,6.99296507383001
"Larp1",1.35856499472564,15.2352925845059,6.1941116532049,7.4029265530104e-08,2.32091900910472e-07,6.99282232684708
"Flg",1.34079766631788,18.6813547439764,7.7397401749835,1.4646024333855e-07,4.47065372413043e-07,6.55569170171388
"Clic1",1.26899542035762,15.2276642735641,5.94838037264399,7.53571109712575e-08,2.34365354561552e-07,6.51524137479418
"Map7d1",1.8171321684266,15.0080607241554,5.54795434404043,6.92997186970351e-07,1.94708584634567e-06,5.18071098122089
"Rps12",3.42245216577441,14.1641214769487,5.87860713799143,8.47243091529264e-07,2.35371746495068e-06,5.14883324096867
"C3",2.34998694837529,12.0258136297938,5.77539818399382,5.56793874001777e-07,1.59614243880509e-06,5.13674081386762
"Jund",1.64070737208477,13.2786062557349,7.44774318139481,1.0082947824011e-06,2.76233667533156e-06,4.87865578655979
"Rab23",1.22329943364361,13.1154517300653,5.49681266737911,9.10990882482947e-07,2.51667592954088e-06,4.65011622706799
"Actr2",1.0406582264009,14.1519745345481,5.51978735535269,5.77232768300101e-07,1.6499514677711e-06,4.56876183517099
"Lum",1.261942684076,14.9135042266239,5.57986200188047,7.30695876248207e-07,2.04140740567649e-06,4.36898841740063
"Stat6",1.02428662635021,13.6873505997183,5.58222655100783,9.25889872927445e-07,2.55071054129594e-06,4.29986250652627
"Tom1",1.21020983439847,14.0371349287311,5.57938570591378,1.61312466041541e-06,4.38291288228252e-06,4.05398400897264
"Ranbp9",1.25381662467566,14.1088671758973,5.27622163157516,3.48781450348921e-06,9.19852945053554e-06,3.68147696283524
"Smurf1",1.8859681039321,14.1299823186333,5.6168008553143,3.35329122012184e-06,8.87855066760473e-06,3.38155192901356
"Brd4",2.02029208446386,13.3026374062274,5.82129291836949,5.42800154770297e-06,1.40531244258593e-05,3.3276372729968
"Luc7l",1.33582663868211,13.6958789577392,6.23468083266955,9.44550638139877e-06,2.34713713849331e-05,2.98750070473026
"Fga",1.23639252372408,13.3125584596319,5.2307856665157,3.35751056590917e-06,8.87855066760473e-06,2.90031679943387
