"","WT1_25_Slot2-5_1_3496","WT1_50_Slot2-9_1_3502","WT1_100_Slot2-4_1_3495","WT1_Veh_Slot2-2_1_3493","WT3_25_Slot2-6_1_3497","WT3_50_Slot2-10_1_3503","WT3_100_Slot2-11_1_3504","WT3_Veh_Slot2-13_1_3507","WT4_25_Slot2-14_1_3508","WT4_50_Slot2-7_1_3499","WT4_100_Slot2-16_1_3510","WT4_Veh_Slot2-12_1_3505","WT5_25_Slot2-8_1_3500","WT5_50_Slot2-17_1_3511","WT5_100_Slot2-3_1_3494","WT5_Veh_Slot2-15_1_3509"
"Saal1",15040.663724359,15271.542849753,11086.5471015748,14666.2476793782,16080.0174891242,13458.8337376585,14613.3064231963,13975.3791646708,20288.7230649406,18587.4182906877,14175.7176222589,13151.8491388705,13894.3403003979,14166.4957753136,13551.6073294856,15757.0857634593
"Sdhaf2",12204.5873229549,15758.4567722364,11703.4649193446,11468.4063512547,11481.7046615725,16276.6397847944,14995.5081262935,14981.8368857491,16835.2251824078,12499.555474244,16435.7892431474,14428.4110859708,11049.4291267506,13385.9557610201,14611.8273448111,14377.646580445
"Gtf2b",18326.3954533031,19135.9681452297,17337.3455535378,20195.3537182049,19126.8379503414,20960.9130439981,17901.8657162021,18591.2684340527,18852.394760476,19988.3008655656,17451.3497172664,18541.8046005543,19353.5307125343,18347.9426216882,18230.7086866268,16303.9656871246
"Rhbdf1",16113.5899186387,13140.0673003996,14904.2153751381,17697.2760852609,13752.0545826287,14627.1866373858,15014.6057157751,16101.2752989648,15772.4178794229,18486.1474336683,19288.53511991,15217.7354404804,15074.7302430556,16769.6408205952,14664.3212970825,15391.3717931034
"Nif3l1",76137.8468976685,64346.2419838599,58376.7927774594,59957.229622905,66508.0824443811,69007.1647853778,63519.3775044189,58994.8108992858,63084.3452594311,64736.7880120577,68686.8965391971,65022.7256442325,68268.0642731933,69271.0711027338,66141.6161266996,57607.2644659043
"Mrps31",49871.3782982711,49882.4614775595,54534.5097438708,45717.0959559076,56417.460409348,51312.5767938216,56143.8234564817,56412.1507154455,43754.7111252432,52947.9175875614,45205.1866635975,46795.2312713068,56605.713233257,54663.3523901864,49793.630157836,48509.9068137533
"Mettl16",14496.5495504978,11008.0822176144,11277.2475040565,14980.011434106,13017.8115301254,10743.7426607322,7953.86087623507,11102.4074426869,12844.4651179753,9171.80568212623,9552.06152091811,13522.3977418555,9681.5889019862,13170.2880604129,9950.84649051445,13681.9179231082
"Ubr1",14667.7564642972,13715.256510762,13222.4830294378,16499.3846457117,15790.3010234427,13555.6323166562,14240.1230602236,17797.4765488004,16405.4602310008,16067.6533767067,14115.7974485568,18124.2627748598,15067.9003609172,16872.7517722231,12503.093741986,16919.8881404041
"Tmlhe",15517.5441635229,21254.7963600263,19253.9918649073,22291.583788586,22812.4957751674,22383.4888480817,23518.4581441551,23318.3121496724,20830.1206753022,22431.8372982319,17105.9737402485,21286.3729023506,22922.0525563616,20210.4140906371,19199.1025311449,23704.6734938567
"Mcam",105785.0260052,88885.1436477162,70101.7274292855,139550.122154236,90655.0208533166,88822.8289541056,70001.9487438924,117443.639025149,78365.0291891606,81921.7791791118,78830.8821179584,137652.60246272,91168.9897502092,81381.8192034774,76143.8156259314,122049.804912207
"Ech1",119814.971872994,132257.370407583,147032.429641557,117536.807528258,138074.622035735,131640.51976241,107079.293954036,117524.308925588,107851.478064987,117739.535131673,99668.0847209234,111109.972773756,122540.646081166,123593.481151798,153471.093381636,109451.245617538
"Kiaa0100",13815.8999901997,15135.6464312816,15182.8174775366,12481.6999259774,14592.0097644435,15200.4739152093,13482.5683028792,13280.7624118073,14624.0766678935,13485.9354936041,14538.0557375768,12401.5175945397,13978.4894875642,14108.1458900297,15833.5694706037,11171.5239340602
"Prpf4b",18088.120156417,17145.5038948209,14261.7109207004,16925.0796278402,19081.5026511154,17056.3408536786,17099.2444848197,16617.9891080844,18699.0883056196,19302.8299066607,19354.2405776532,17172.5200198708,16094.0871401103,16324.3080973285,16114.9925607059,16459.7724922206
"Efhb",13215.8579253743,14298.7601692051,15680.73029689,NA,6619.64876523687,15524.6631000689,13996.2164827929,7315.77906383648,19035.8374951759,14376.5716582086,15926.4074223417,14549.1310044627,15106.9608294089,NA,13242.2206087119,6745.4258687791
