"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Ddx5",0.337294772129278,14.7687787511916,2.2836785545141,0.0253345303896711,0.031323655774677,-5.47339812581605
"Krt15",0.692302755393907,16.0236581622744,2.06070369122587,0.0490144858266333,0.0587577304737125,-5.47808531451978
"Sub1",0.466847850330677,13.8185288548211,2.03895006377738,0.0460059110620149,0.0554887621176547,-5.48104598378763
"Rpl29",-0.423694889737723,16.575140585919,-2.32861858729916,0.0226831182680045,0.0282225745187171,-5.53764572693431
"Rps9",-0.444771349494474,13.8264721283024,-2.24094883196301,0.0279418947059973,0.0344752813595917,-5.66078089605581
"Ppia",0.248398819014442,16.6537155768493,2.22391873076278,0.0290770995366144,0.0357267480792913,-5.73979265727082
"Gars1",-0.653539556252724,13.2811162972066,-1.71917405622863,0.0936789927937605,0.109849771311731,-5.83332363995582
"Rpl23a",0.390579268479726,15.3142529800684,2.1625124912325,0.0337586492927253,0.0413928666639018,-5.84593209613678
"Zg16",-0.547586994482501,13.1027626384709,-2.06128097692809,0.0441787034830946,0.0533938931666849,-5.8604210815134
"Npm1",-0.435326800486106,14.1465208326309,-2.08458425450466,0.0405489425414544,0.0493095165473242,-5.89339287477676
"Fga",0.592432340242308,13.3125584596319,2.02182977376053,0.0485408274051239,0.0583081890171305,-5.89877239756531
"Arf5",0.505459178606461,15.0619095801874,1.66953286413566,0.100477086679744,0.1173556486714,-5.91390103776571
"Psmb4",0.473885266302112,14.0687301444959,1.92586658869241,0.0615890688666345,0.073385362298752,-5.93107992866662
"Fabp5",0.729609984585576,13.5949983548755,1.81860649901147,0.0746032002997897,0.0883576981506528,-6.05404840934431
"Cct5",0.610926597213291,13.7445241967332,1.57354551639784,0.120749088409601,0.140201790275194,-6.06427718751396
"Eef1a1",-0.406939487091574,15.9923695985206,-2.06027562066935,0.0426985002184361,0.0517106836661798,-6.09444450288504
"Ppme1",-0.237572622747837,17.4313073902052,-2.00868977310191,0.0483636746013301,0.0582137101616824,-6.09571934821393
"Niban1",0.301853408926622,14.7099023541389,1.7858723969203,0.0799299520610973,0.094477203336217,-6.2305141134658
"Rad23b",-0.54148562361687,14.5398661688036,-1.44982838225211,0.152665041800167,0.174516517802512,-6.24670201306122
"H2ac11",0.352218500156994,17.9242691703459,1.91242736808376,0.0602166338594082,0.0718950113351722,-6.25490835808584
"Macf1",-0.381374404154034,13.6566146712555,-1.43671614416734,0.156547036313067,0.178264544240892,-6.26024888007239
"C3",0.520102373590255,12.0258136297938,1.85474734002453,0.0697556914434271,0.0829489208109968,-6.32914764015012
"Arpc4",0.512005372160502,12.5189663751526,1.46739206848344,0.149045548909601,0.170709146134833,-6.41114877583474
"Col4a1",1.0180235597185,14.5715066170284,1.78158080647761,0.0803197460588219,0.0947484429556163,-6.42960154151294
"Hprt1",0.388565073528367,13.5414889898309,1.28952045850368,0.204241347254257,0.230796627585594,-6.45613529190652
"Gnai2",0.336759705182153,14.3140773313009,1.67472393067992,0.099448685678838,0.116384501457808,-6.50897564749975
"Flnb",-0.330874944021362,12.8709251033585,-1.8119429915652,0.0743979325975464,0.0882915224199797,-6.5311648801232
"Krt72",0.813782846412183,13.7661282407195,1.52359169226158,0.137374817737427,0.158262216925574,-6.53194812349479
"Cct2",-0.312181919033,13.7773755218686,-1.19437787143078,0.23794399315457,0.267347718544393,-6.57799603539162
"Rps4x",-0.5131551471035,13.3510054538221,-1.16370102026075,0.24872277782925,0.278928200563732,-6.61475448828283
"Rpl24",0.272756156910882,15.0217775352036,1.75787099039913,0.082733609440117,0.0974015202771098,-6.62331439686924
"Rps3",-0.360972520780582,14.2884455128255,-1.74771220629267,0.0844394683927803,0.0992121785688532,-6.66984857078592
"Blmh",0.434022702407958,13.2366846985203,1.38279304240983,0.17159536416663,0.194277510004748,-6.75448881201886
