"","GeneID","explant.logFC","explant.AveExpr","explant.t","explant.P.Value","explant.adj.P.Val","explant.B","yang.logFC","yang.AveExpr","yang.adj.P.Val"
"1","Abat",0.30943688317716,17.5060583241938,4.63686488111663,0.000327087370279817,0.00253751642214015,-0.194517109598969,0.444672393,21.89583886,0.04377365438
"2","Abca6",0.661818436283498,15.131453119176,7.95299531843065,9.60763086256093e-07,2.89563319052183e-05,5.77363617234004,0.6068531021,19.54878807,0.01394326314
"3","Abcb1a",0.563109306448993,16.3967131828956,6.209415541007,1.7134373484479e-05,0.000261842186347319,2.81734177577457,0.4935674595,20.82072817,0.03286577447
"4","Abcb8",0.239363644196342,15.4906904888919,3.50777356580777,0.00319585856677124,0.0147374291527793,-2.4862371014061,0.8910844204,17.61214053,0.008015061918
"5","Abcc1",-0.448517301061088,14.2292527120114,-6.68887504999666,7.44895073907778e-06,0.00013832464758752,3.67191391623868,1.774880976,16.80816646,0.01678423999
"6","Actl6a",-0.427216914241372,14.3718567610541,-4.87539615484953,0.000204966788021319,0.00178318757734469,0.280452709944879,-0.5830779237,20.06867272,0.00321025711
"7","Adss1",-0.514268731849166,15.1573419069807,-4.93728111783936,0.000181754242332956,0.00163170622992766,0.402788640800522,0.8905057357,24.02422125,0.01294541496
"8","Aebp1",-0.788483809470723,15.5819745056645,-6.82881031869278,5.8760878503094e-06,0.000116857565296592,3.91533598753634,0.3162712333,20.06388377,0.0195242349
"9","Afap1l2",0.195190177147389,14.2323753796808,3.23837174879677,0.00554625902426456,0.0225544418722282,-3.03128845132811,-0.664908009,19.1282624,0.01479274092
"10","Aimp1",0.390891269078217,17.747137626364,3.88896191350571,0.00146733089238693,0.00800027144844131,-1.70940092451578,-0.3594482912,22.94135876,0.02016224319
"11","Alb",0.578580892888269,21.5242075767123,4.12508273697661,0.000909118663069355,0.00557734753312742,-1.22830404569145,0.5806907646,30.66898536,0.0144987604
"12","Aldh1a1",0.457335368897347,16.2312081251376,2.80421857520961,0.0134006714097783,0.044309142079785,-3.89172232717122,0.5191420846,22.54552889,0.02048901311
"13","Aldh3b1",0.524042542652348,15.2555197535868,6.50871462437403,1.01490105059467e-05,0.000172829001777276,3.35452559765225,0.3497501742,20.79989076,0.04748616802
"14","Ampd1",-0.341473924932593,16.3871502204704,-3.34288421426062,0.0048666508505457,0.0203424398513454,-2.80245767153066,0.6502424237,23.30515594,0.04531647279
"15","Ank3",-0.400954812938114,15.4232228247449,-5.54454417623697,5.73122044145937e-05,0.000676961419173934,1.58070186643838,0.3344452633,22.29744824,0.04409006861
"16","Ano10",0.265716818334996,15.4473785855276,4.03856993294757,0.0010829640122544,0.00641584373874583,-1.40441004764308,0.3595566508,20.20037382,0.03439154595
"17","Ano6",-0.279669833652491,15.4450913921707,-4.44612113335849,0.000477404498221984,0.0033777888957284,-0.577816652603188,0.3655470299,20.37179051,0.03866562412
"18","Apob",0.396766153919391,16.9858121224696,3.58170824159633,0.00274714548515916,0.0130485115445802,-2.3358516970071,0.9081504556,19.80233612,0.01814955729
"19","Apoo",0.342267256188844,17.7676969619186,4.12241763617386,0.000914025145151406,0.00559520202573179,-1.23372526860346,0.2740499546,23.21326819,0.02797717025
"20","Arl8b",0.509545563490676,17.6680602267308,3.33869378385339,0.00451740584912438,0.0192642882785512,-2.82898484270323,-0.4382289546,23.20670953,0.03370179874
"21","Asns",-0.55045564048039,16.2553230770665,-4.48036901283181,0.000445947067327255,0.00320783294588641,-0.508793149149235,-0.3704432873,20.17732289,0.02725903415
"22","Atg4b",-0.219509913800522,15.7582331184349,-3.09468330472001,0.00743669157296565,0.0281153502321504,-3.31916204157399,0.5172401632,19.42789012,0.02928999521
"23","Atp2a3",0.470888848772278,13.1547449576218,2.73496598528527,0.0154022438164581,0.0492340243207067,-4.02584899500232,1.410809446,22.55196004,0.04158030271
"24","Atp2b2",0.241545509839542,15.8445846727019,2.89776812053809,0.011094257416383,0.0380926243568845,-3.70894757919118,0.5318003866,21.32270582,0.01783245439
"25","Atp5pb",0.341971671553402,20.007643763525,3.14760011120315,0.00667597117065587,0.0258693882862915,-3.21343676664982,0.5156938603,22.98950859,0.01993013278
"26","Bag5",0.265150401390798,15.653027159907,3.8390738841878,0.00162419068052464,0.00866881814376995,-1.81116875103021,0.2580678112,20.51684563,0.04335381177
"27","Bag6",-0.22072024887772,15.838294566739,-4.33477085070993,0.000596306191956877,0.00403289895628894,-0.802777864291327,-0.2043041406,21.59218324,0.03430492681
"28","Bcat1",-0.482750983418105,16.1478981783239,-5.74397177112458,3.96471429823487e-05,0.000508648734714423,1.95775227596816,0.3899739863,22.15725636,0.009306932194
