"","GeneID","explant.logFC","explant.AveExpr","explant.t","explant.P.Value","explant.adj.P.Val","explant.B","yang.logFC","yang.AveExpr","yang.adj.P.Val"
"552","Cdc42",-0.148647492633323,17.9724386101757,-0.791114248262819,0.442151389677756,0.586165090696903,-6.91392329996536,0.1187636791,24.53100401,0.1677293446
"553","Cdc42bpa",0.255945843422575,15.4440084395027,5.0361499737677,0.000150142308221437,0.00142185889144864,0.597413844162888,0.2678082161,19.60758266,0.1336822655
"554","Cdc42bpb",-0.0585519051208259,14.6416471299412,-1.05194016429076,0.309569619125524,0.456008777590837,-6.67379259400438,0.2133968971,20.05428208,0.2002151088
"555","Cdc42ep1",-0.083219274002758,15.0565131036469,-0.952769764412464,0.355890894425997,0.505515493391706,-6.77261867990535,-0.1854012825,21.3960463,0.2641910775
"556","Cdc42ep4",-0.00497719123746876,15.318153903914,-0.0647717371530337,0.949215773342652,0.969773177096777,-7.2380990063597,-0.164032271,20.98700772,0.5368585439
"557","Cdc5l",-0.536109484769202,15.1047095591288,-9.01487636552186,2.00724369338544e-07,8.61300330579798e-06,7.37717020352762,-0.4121474985,18.38852767,0.2966524377
"558","Cdh1",0.0717335382635937,16.4673186849502,0.67043565097595,0.512826568461583,0.650453872322265,-7.00526841666413,0.1710164693,21.68066549,0.2881923437
"559","Cdh11",0.231001990841792,14.1016625769915,1.8535881728683,0.0836795638102859,0.173725041889317,-5.59991823971758,-0.7431174314,17.96724594,0.4003225679
"560","Cdh13",0.0896689454248225,15.0680380784769,0.265529812811487,0.79423579625529,0.865161446601424,-7.20298766331979,0.3949008299,21.63988699,0.1790817462
"561","Cdh2",-0.577071262368499,15.2685833101038,-7.46131484240619,2.07860077292812e-06,5.17605667881609e-05,4.98193772918299,0.276833972,21.53968661,0.1058656359
"562","Cdh5",-0.515393254704295,15.1553867228887,-3.56098333524875,0.00286613387173541,0.0134888149254523,-2.37803068731605,0.3843964244,19.10018401,0.3121755381
"563","Cdipt",0.298466912994076,17.8356791696773,2.30107992109862,0.0362356165348172,0.0929687516424239,-4.83696313088315,0.0120918771,23.34665808,0.9403375398
"564","Cdk5",0.0383762155210725,16.356516778536,0.549514010794096,0.590785085114127,0.714264998637663,-7.08164245790714,0.2866087481,21.79164513,0.05486148502
