"","gs","gene","symbol"
"ENSMUSG00000046334","NP","ENSMUSG00000046334","Gm6195"
"ENSMUSG00000025937","NP","ENSMUSG00000025937","Lactb2"
"ENSMUSG00000025930","NP","ENSMUSG00000025930","Msc"
"ENSMUSG00000032769","NP","ENSMUSG00000032769","Trpa1"
"ENSMUSG00000043716","NP","ENSMUSG00000043716","Rpl7"
"ENSMUSG00000042215","NP","ENSMUSG00000042215","Bag2"
"ENSMUSG00000026127","NP","ENSMUSG00000026127","Imp4"
"ENSMUSG00000026123","NP","ENSMUSG00000026123","Plekhb2"
"ENSMUSG00000045216","NP","ENSMUSG00000045216","Hs6st1"
"ENSMUSG00000037470","NP","ENSMUSG00000037470","Uggt1"
"ENSMUSG00000026121","NP","ENSMUSG00000026121","Sema4c"
"ENSMUSG00000046337","NP","ENSMUSG00000046337","Fam178b"
"ENSMUSG00000037351","NP","ENSMUSG00000037351","Actr1b"
"ENSMUSG00000026113","NP","ENSMUSG00000026113","Inpp4a"
"ENSMUSG00000026111","NP","ENSMUSG00000026111","Unc50"
"ENSMUSG00000026077","NP","ENSMUSG00000026077","Npas2"
"ENSMUSG00000041945","NP","ENSMUSG00000041945","Mfsd9"
"ENSMUSG00000079588","NP","ENSMUSG00000079588","Tmem182"
"ENSMUSG00000070939","NP","ENSMUSG00000070939","Tgfbrap1"
"ENSMUSG00000010290","NP","ENSMUSG00000010290","AI597479"
"ENSMUSG00000073676","NP","ENSMUSG00000073676","Hspe1"
"ENSMUSG00000038349","NP","ENSMUSG00000038349","Plcl1"
"ENSMUSG00000049439","NP","ENSMUSG00000049439","Cyp20a1"
"ENSMUSG00000080800","NP","ENSMUSG00000080800","Gm11582"
"ENSMUSG00000025967","NP","ENSMUSG00000025967","Eef1b2"
"ENSMUSG00000045005","NP","ENSMUSG00000045005","Fzd5"
"ENSMUSG00000025950","NP","ENSMUSG00000025950","Idh1"
"ENSMUSG00000026192","NP","ENSMUSG00000026192","Atic"
"ENSMUSG00000039372","NP","ENSMUSG00000039372","Marchf4"
"ENSMUSG00000046330","NP","ENSMUSG00000046330","Rpl37a"
"ENSMUSG00000033159","NP","ENSMUSG00000033159","Cnppd1"
"ENSMUSG00000026197","NP","ENSMUSG00000026197","Zfand2b"
"ENSMUSG00000033124","NP","ENSMUSG00000033124","Atg9a"
"ENSMUSG00000026238","NP","ENSMUSG00000026238","Ptma"
"ENSMUSG00000026239","NP","ENSMUSG00000026239","Pde6d"
"ENSMUSG00000026289","NP","ENSMUSG00000026289","Atg16l1"
"ENSMUSG00000026309","NP","ENSMUSG00000026309","Ilkap"
"ENSMUSG00000067071","NP","ENSMUSG00000067071","Hes6"
"ENSMUSG00000073617","NP","ENSMUSG00000073617",NA
"ENSMUSG00000047793","NP","ENSMUSG00000047793","Sned1"
"ENSMUSG00000026273","NP","ENSMUSG00000026273","Mterf4"
"ENSMUSG00000073609","NP","ENSMUSG00000073609","D2hgdh"
"ENSMUSG00000009905","NP","ENSMUSG00000009905","Kdsr"
"ENSMUSG00000009907","NP","ENSMUSG00000009907","Vps4b"
"ENSMUSG00000067006","NP","ENSMUSG00000067006","Serpinb5"
"ENSMUSG00000026341","NP","ENSMUSG00000026341","Actr3"
"ENSMUSG00000026342","NP","ENSMUSG00000026342","Slc35f5"
"ENSMUSG00000058603","NP","ENSMUSG00000058603","Rpl28-ps1"
"ENSMUSG00000087691","NP","ENSMUSG00000087691","Cd55os"
"ENSMUSG00000086825","NP","ENSMUSG00000086825","Gm15675"
"ENSMUSG00000026399","NP","ENSMUSG00000026399","Cd55"
"ENSMUSG00000026409","NP","ENSMUSG00000026409","Pfkfb2"
"ENSMUSG00000026435","NP","ENSMUSG00000026435","Slc45a3"
"ENSMUSG00000026450","NP","ENSMUSG00000026450","Chit1"
"ENSMUSG00000026426","NP","ENSMUSG00000026426","Arl8a"
"ENSMUSG00000009418","NP","ENSMUSG00000009418","Nav1"
"ENSMUSG00000008475","NP","ENSMUSG00000008475","Arpc5"
"ENSMUSG00000026480","NP","ENSMUSG00000026480","Ncf2"
"ENSMUSG00000078193","NP","ENSMUSG00000078193","Rpl35rt"
"ENSMUSG00000096493","NP","ENSMUSG00000096493",NA
"ENSMUSG00000049881","NP","ENSMUSG00000049881","2810025M15Rik"
"ENSMUSG00000040782","NP","ENSMUSG00000040782","Cop1"
"ENSMUSG00000073528","NP","ENSMUSG00000073528","Gm10530"
"ENSMUSG00000040297","NP","ENSMUSG00000040297","Suco"
"ENSMUSG00000026696","NP","ENSMUSG00000026696","Vamp4"
"ENSMUSG00000053664","NP","ENSMUSG00000053664",NA
"ENSMUSG00000026558","NP","ENSMUSG00000026558","Uck2"
"ENSMUSG00000003464","NP","ENSMUSG00000003464","Pex19"
"ENSMUSG00000051528","NP","ENSMUSG00000051528","Or6k4"
"ENSMUSG00000026527","NP","ENSMUSG00000026527","Rgs7"
"ENSMUSG00000026520","NP","ENSMUSG00000026520","Pycr2"
"ENSMUSG00000073481","NP","ENSMUSG00000073481","Mtarc2"
"ENSMUSG00000026617","NP","ENSMUSG00000026617","Bpnt1"
"ENSMUSG00000037499","NP","ENSMUSG00000037499","Nenf"
"ENSMUSG00000037375","NP","ENSMUSG00000037375","Hhat"
"ENSMUSG00000016179","NP","ENSMUSG00000016179","Camk1g"
"ENSMUSG00000026650","NP","ENSMUSG00000026650","Meig1"
"ENSMUSG00000026655","NP","ENSMUSG00000026655","Fam107b"
"ENSMUSG00000063275","NP","ENSMUSG00000063275","Hacd1"
"ENSMUSG00000051154","NP","ENSMUSG00000051154","Commd3"
"ENSMUSG00000026981","NP","ENSMUSG00000026981","Il1rn"
"ENSMUSG00000026966","NP","ENSMUSG00000026966","Ssna1"
"ENSMUSG00000026958","NP","ENSMUSG00000026958","Dpp7"
"ENSMUSG00000026956","NP","ENSMUSG00000026956","Uap1l1"
"ENSMUSG00000047617","NP","ENSMUSG00000047617","Paxx"
"ENSMUSG00000015093","NP","ENSMUSG00000015093","Clic3"
"ENSMUSG00000058740","NP","ENSMUSG00000058740","Kcnt1"
"ENSMUSG00000036327","NP","ENSMUSG00000036327","Qsox2"
"ENSMUSG00000026927","NP","ENSMUSG00000026927","Entr1"
"ENSMUSG00000015776","NP","ENSMUSG00000015776","Med22"
"ENSMUSG00000015790","NP","ENSMUSG00000015790","Surf1"
"ENSMUSG00000014867","NP","ENSMUSG00000014867","Surf4"
"ENSMUSG00000015488","NP","ENSMUSG00000015488","Cacfd1"
"ENSMUSG00000026818","NP","ENSMUSG00000026818","Cel"
"ENSMUSG00000026809","NP","ENSMUSG00000026809","Spaca9"
"ENSMUSG00000039715","NP","ENSMUSG00000039715","Dync2i2"
"ENSMUSG00000015335","NP","ENSMUSG00000015335","Zdhhc12"
"ENSMUSG00000026856","NP","ENSMUSG00000026856","Dolpp1"
"ENSMUSG00000026848","NP","ENSMUSG00000026848","Tor1b"
"ENSMUSG00000026849","NP","ENSMUSG00000026849","Tor1a"
"ENSMUSG00000026843","NP","ENSMUSG00000026843","Fubp3"
"ENSMUSG00000085224","NP","ENSMUSG00000085224","Gm13425"
"ENSMUSG00000039356","NP","ENSMUSG00000039356","Exosc2"
"ENSMUSG00000044627","NP","ENSMUSG00000044627","Swi5"
"ENSMUSG00000026810","NP","ENSMUSG00000026810","Dpm2"
"ENSMUSG00000026811","NP","ENSMUSG00000026811","St6galnac6"
"ENSMUSG00000009566","NP","ENSMUSG00000009566","Fpgs"
"ENSMUSG00000053746","NP","ENSMUSG00000053746","Ptrh1"
"ENSMUSG00000038987","NP","ENSMUSG00000038987","Cfap157"
"ENSMUSG00000026796","NP","ENSMUSG00000026796","Niban2"
"ENSMUSG00000038900","NP","ENSMUSG00000038900","Rpl12"
"ENSMUSG00000026878","NP","ENSMUSG00000026878","Rab14"
"ENSMUSG00000026880","NP","ENSMUSG00000026880","Stom"
"ENSMUSG00000035778","NP","ENSMUSG00000035778","Ggta1"
"ENSMUSG00000062997","NP","ENSMUSG00000062997","Rpl35"
"ENSMUSG00000026765","NP","ENSMUSG00000026765","Lypd6b"
"ENSMUSG00000036249","NP","ENSMUSG00000036249","Rbm43"
"ENSMUSG00000026946","NP","ENSMUSG00000026946","Nmi"
"ENSMUSG00000026991","NP","ENSMUSG00000026991","Pkp4"
"ENSMUSG00000026988","NP","ENSMUSG00000026988","Wdsub1"
"ENSMUSG00000026970","NP","ENSMUSG00000026970","Rbms1"
"ENSMUSG00000026914","NP","ENSMUSG00000026914","Psmd14"
"ENSMUSG00000027012","NP","ENSMUSG00000027012","Dync1i2"
"ENSMUSG00000006494","NP","ENSMUSG00000006494","Pdk1"
"ENSMUSG00000041762","NP","ENSMUSG00000041762","Gpr155"
"ENSMUSG00000075284","NP","ENSMUSG00000075284","Wipf1"
"ENSMUSG00000027104","NP","ENSMUSG00000027104","Atf2"
"ENSMUSG00000075279","NP","ENSMUSG00000075279","Mrpl23-ps1"
"ENSMUSG00000015839","NP","ENSMUSG00000015839","Nfe2l2"
"ENSMUSG00000075270","NP","ENSMUSG00000075270","Pde11a"
"ENSMUSG00000027011","NP","ENSMUSG00000027011","Ube2e3"
"ENSMUSG00000027004","NP","ENSMUSG00000027004","Frzb"
"ENSMUSG00000076437","NP","ENSMUSG00000076437","Selenoh"
"ENSMUSG00000027080","NP","ENSMUSG00000027080","Med19"
"ENSMUSG00000023224","NP","ENSMUSG00000023224","Serping1"
"ENSMUSG00000027071","NP","ENSMUSG00000027071","P2rx3"
"ENSMUSG00000005506","NP","ENSMUSG00000005506","Celf1"
"ENSMUSG00000002103","NP","ENSMUSG00000002103","Acp2"
"ENSMUSG00000027249","NP","ENSMUSG00000027249","F2"
"ENSMUSG00000040495","NP","ENSMUSG00000040495","Chrm4"
"ENSMUSG00000040479","NP","ENSMUSG00000040479","Dgkz"
"ENSMUSG00000058318","NP","ENSMUSG00000058318","Phf21a"
"ENSMUSG00000027222","NP","ENSMUSG00000027222","Pex16"
"ENSMUSG00000044916","NP","ENSMUSG00000044916","Frey1"
"ENSMUSG00000027215","NP","ENSMUSG00000027215","Cd82"
"ENSMUSG00000027195","NP","ENSMUSG00000027195","Hsd17b12"
"ENSMUSG00000005087","NP","ENSMUSG00000005087","Cd44"
"ENSMUSG00000074968","NP","ENSMUSG00000074968","Ano3"
"ENSMUSG00000057147","NP","ENSMUSG00000057147","Dph6"
"ENSMUSG00000027349","NP","ENSMUSG00000027349","Fam98b"
"ENSMUSG00000009549","NP","ENSMUSG00000009549","Srp14"
"ENSMUSG00000045838","NP","ENSMUSG00000045838","Ccdc9b"
"ENSMUSG00000027331","NP","ENSMUSG00000027331","Knstrn"
"ENSMUSG00000040007","NP","ENSMUSG00000040007","Bahd1"
"ENSMUSG00000074916","NP","ENSMUSG00000074916","Chst14"
"ENSMUSG00000034226","NP","ENSMUSG00000034226","Rhov"
"ENSMUSG00000034032","NP","ENSMUSG00000034032","Rpap1"
"ENSMUSG00000033808","NP","ENSMUSG00000033808","Tmem87a"
"ENSMUSG00000027286","NP","ENSMUSG00000027286","Lrrc57"
"ENSMUSG00000054484","NP","ENSMUSG00000054484","Tmem62"
"ENSMUSG00000033486","NP","ENSMUSG00000033486","Catsper2"
"ENSMUSG00000027233","NP","ENSMUSG00000027233","Patl2"
"ENSMUSG00000023330","NP","ENSMUSG00000023330","Dtwd1"
"ENSMUSG00000058620","NP","ENSMUSG00000058620","Adra2b"
"ENSMUSG00000027404","NP","ENSMUSG00000027404","Snrpb"
"ENSMUSG00000074796","NP","ENSMUSG00000074796","Slc4a11"
"ENSMUSG00000074793","NP","ENSMUSG00000074793","Hspa12b"
"ENSMUSG00000027327","NP","ENSMUSG00000027327","Adissp"
"ENSMUSG00000087405","NP","ENSMUSG00000087405","Gm14232"
"ENSMUSG00000058793","NP","ENSMUSG00000058793","Cds2"
"ENSMUSG00000044991","NP","ENSMUSG00000044991","Shld1"
"ENSMUSG00000027357","NP","ENSMUSG00000027357","Crls1"
"ENSMUSG00000074766","NP","ENSMUSG00000074766","Ism1"
"ENSMUSG00000027429","NP","ENSMUSG00000027429","Sec23b"
"ENSMUSG00000027430","NP","ENSMUSG00000027430","Dtd1"
"ENSMUSG00000027443","NP","ENSMUSG00000027443","Cst12"
"ENSMUSG00000032966","NP","ENSMUSG00000032966","Fkbp1a"
"ENSMUSG00000032869","NP","ENSMUSG00000032869","Psmf1"
"ENSMUSG00000085946","NP","ENSMUSG00000085946","AA387200"
"ENSMUSG00000032715","NP","ENSMUSG00000032715","Trib3"
"ENSMUSG00000019188","NP","ENSMUSG00000019188","H13"
"ENSMUSG00000046020","NP","ENSMUSG00000046020","Pofut1"
"ENSMUSG00000027475","NP","ENSMUSG00000027475","Kif3b"
"ENSMUSG00000061411","NP","ENSMUSG00000061411","Nol4l"
"ENSMUSG00000038467","NP","ENSMUSG00000038467","Chmp4b"
"ENSMUSG00000027597","NP","ENSMUSG00000027597","Ahcy"
"ENSMUSG00000027602","NP","ENSMUSG00000027602","Map1lc3a"
"ENSMUSG00000038312","NP","ENSMUSG00000038312","Edem2"
"ENSMUSG00000027642","NP","ENSMUSG00000027642","Rpn2"
"ENSMUSG00000027646","NP","ENSMUSG00000027646","Src"
"ENSMUSG00000067787","NP","ENSMUSG00000067787","Blcap"
"ENSMUSG00000067786","NP","ENSMUSG00000067786","Nnat"
"ENSMUSG00000027654","NP","ENSMUSG00000027654","Fam83d"
"ENSMUSG00000053141","NP","ENSMUSG00000053141","Ptprt"
"ENSMUSG00000016921","NP","ENSMUSG00000016921","Srsf6"
"ENSMUSG00000074607","NP","ENSMUSG00000074607","Tox2"
"ENSMUSG00000017943","NP","ENSMUSG00000017943","Gdap1l1"
"ENSMUSG00000017707","NP","ENSMUSG00000017707","Serinc3"
"ENSMUSG00000035268","NP","ENSMUSG00000035268","Pkig"
"ENSMUSG00000027656","NP","ENSMUSG00000027656","Ccn5"
"ENSMUSG00000018209","NP","ENSMUSG00000018209","Stk4"
"ENSMUSG00000085649","NP","ENSMUSG00000085649","A730032A03Rik"
"ENSMUSG00000074595","NP","ENSMUSG00000074595","Wfdc6a"
"ENSMUSG00000070531","NP","ENSMUSG00000070531","Wfdc6b"
"ENSMUSG00000017299","NP","ENSMUSG00000017299","Dnttip1"
"ENSMUSG00000017664","NP","ENSMUSG00000017664","Slc35c2"
"ENSMUSG00000074578","NP","ENSMUSG00000074578","Zfas1"
"ENSMUSG00000085151","NP","ENSMUSG00000085151","1110018N20Rik"
"ENSMUSG00000006418","NP","ENSMUSG00000006418","Rnf114"
"ENSMUSG00000090213","NP","ENSMUSG00000090213","Peds1"
"ENSMUSG00000087074","NP","ENSMUSG00000087074","Gm14249"
"ENSMUSG00000047907","NP","ENSMUSG00000047907","Tshz2"
"ENSMUSG00000039001","NP","ENSMUSG00000039001","Rps21"
"ENSMUSG00000027579","NP","ENSMUSG00000027579","Srms"
"ENSMUSG00000089917","NP","ENSMUSG00000089917","Uckl1"
"ENSMUSG00000038605","NP","ENSMUSG00000038605","Samd10"
"ENSMUSG00000002458","NP","ENSMUSG00000002458","Rgs19"
"ENSMUSG00000082109","NP","ENSMUSG00000082109","Rpl19-ps12"
"ENSMUSG00000031149","NP","ENSMUSG00000031149","Praf2"
"ENSMUSG00000009731","NP","ENSMUSG00000009731","Kcnd1"
"ENSMUSG00000031155","NP","ENSMUSG00000031155","Pim2"
"ENSMUSG00000031156","NP","ENSMUSG00000031156","Slc35a2"
"ENSMUSG00000039231","NP","ENSMUSG00000039231","Suv39h1"
"ENSMUSG00000031168","NP","ENSMUSG00000031168","Ebp"
"ENSMUSG00000015340","NP","ENSMUSG00000015340","Cybb"
"ENSMUSG00000058254","NP","ENSMUSG00000058254","Tspan7"
"ENSMUSG00000001128","NP","ENSMUSG00000001128","Cfp"
"ENSMUSG00000083892","NP","ENSMUSG00000083892","Gm1848"
"ENSMUSG00000050379","NP","ENSMUSG00000050379","Septin6"
"ENSMUSG00000044400","NP","ENSMUSG00000044400","Sowahd"
"ENSMUSG00000085611","NP","ENSMUSG00000085611","Ap3s1-ps1"
"ENSMUSG00000036985","NP","ENSMUSG00000036985","Zdhhc9"
"ENSMUSG00000031104","NP","ENSMUSG00000031104","Rab33a"
"ENSMUSG00000050029","NP","ENSMUSG00000050029","Rap2c"
"ENSMUSG00000036109","NP","ENSMUSG00000036109","Mbnl3"
"ENSMUSG00000062184","NP","ENSMUSG00000062184","Hs6st2"
"ENSMUSG00000055653","NP","ENSMUSG00000055653","Gpc3"
"ENSMUSG00000031137","NP","ENSMUSG00000031137","Fgf13"
"ENSMUSG00000046993","NP","ENSMUSG00000046993","Gm5637"
"ENSMUSG00000035847","NP","ENSMUSG00000035847","Ids"
"ENSMUSG00000045237","NP","ENSMUSG00000045237","Eola1"
"ENSMUSG00000059401","NP","ENSMUSG00000059401","Mamld1"
"ENSMUSG00000015214","NP","ENSMUSG00000015214","Mtmr1"
"ENSMUSG00000031347","NP","ENSMUSG00000031347","Cetn2"
"ENSMUSG00000078317","NP","ENSMUSG00000078317","F8a"
"ENSMUSG00000031391","NP","ENSMUSG00000031391","L1cam"
"ENSMUSG00000001964","NP","ENSMUSG00000001964","Emd"
"ENSMUSG00000019088","NP","ENSMUSG00000019088","Dnase1l1"
"ENSMUSG00000019087","NP","ENSMUSG00000019087","Atp6ap1"
"ENSMUSG00000001962","NP","ENSMUSG00000001962","Fam50a"
"ENSMUSG00000015290","NP","ENSMUSG00000015290","Ubl4a"
"ENSMUSG00000015668","NP","ENSMUSG00000015668","Pdzd11"
"ENSMUSG00000031302","NP","ENSMUSG00000031302","Nlgn3"
"ENSMUSG00000031320","NP","ENSMUSG00000031320","Rps4x"
"ENSMUSG00000051159","NP","ENSMUSG00000051159","Cited1"
"ENSMUSG00000031323","NP","ENSMUSG00000031323","Dmrtc1a"
"ENSMUSG00000033965","NP","ENSMUSG00000033965","Slc16a2"
"ENSMUSG00000031226","NP","ENSMUSG00000031226","Pbdc1"
"ENSMUSG00000047242","NP","ENSMUSG00000047242","Taf9b"
"ENSMUSG00000079435","NP","ENSMUSG00000079435","Rpl36a"
"ENSMUSG00000042750","NP","ENSMUSG00000042750","Bex2"
"ENSMUSG00000042712","NP","ENSMUSG00000042712","Tceal9"
"ENSMUSG00000046432","NP","ENSMUSG00000046432","Bex3"
"ENSMUSG00000044550","NP","ENSMUSG00000044550","Tceal3"
"ENSMUSG00000031422","NP","ENSMUSG00000031422","Morf4l2"
"ENSMUSG00000072955","NP","ENSMUSG00000072955","Tmsb15l"
"ENSMUSG00000089996","NP","ENSMUSG00000089996","Tmsb15b2"
"ENSMUSG00000089768","NP","ENSMUSG00000089768","Tmsb15b1"
"ENSMUSG00000044348","NP","ENSMUSG00000044348","Slc25a53"
"ENSMUSG00000031428","NP","ENSMUSG00000031428","Zcchc18"
"ENSMUSG00000031429","NP","ENSMUSG00000031429","Psmd10"
"ENSMUSG00000079418","NP","ENSMUSG00000079418","Atg4a"
"ENSMUSG00000048600","NP","ENSMUSG00000048600","Gm5763"
"ENSMUSG00000031285","NP","ENSMUSG00000031285","Dcx"
"ENSMUSG00000051428","NP","ENSMUSG00000051428",NA
"ENSMUSG00000025272","NP","ENSMUSG00000025272","Tro"
"ENSMUSG00000082423","NP","ENSMUSG00000082423","Gm15148"
"ENSMUSG00000086316","NP","ENSMUSG00000086316","Nbdy"
"ENSMUSG00000017688","NP","ENSMUSG00000017688","Hnf4g"
"ENSMUSG00000086224","NP","ENSMUSG00000086224","2700069I18Rik"
"ENSMUSG00000040374","NP","ENSMUSG00000040374","Pex2"
"ENSMUSG00000027506","NP","ENSMUSG00000027506","Tpd52"
"ENSMUSG00000037661","NP","ENSMUSG00000037661","Gpr160"
"ENSMUSG00000027668","NP","ENSMUSG00000027668","Mfn1"
"ENSMUSG00000027669","NP","ENSMUSG00000027669","Gnb4"
"ENSMUSG00000077559","NP","ENSMUSG00000077559",NA
"ENSMUSG00000044434","NP","ENSMUSG00000044434","Gm9791"
"ENSMUSG00000027709","NP","ENSMUSG00000027709","Mccc1"
"ENSMUSG00000027712","NP","ENSMUSG00000027712","Anxa5"
"ENSMUSG00000027716","NP","ENSMUSG00000027716","Trpc3"
"ENSMUSG00000037161","NP","ENSMUSG00000037161","Mgarp"
"ENSMUSG00000042997","NP","ENSMUSG00000042997","Nhlrc3"
"ENSMUSG00000027746","NP","ENSMUSG00000027746","Ufm1"
"ENSMUSG00000027799","NP","ENSMUSG00000027799","Nbea"
"ENSMUSG00000056947","NP","ENSMUSG00000056947","Mab21l1"
"ENSMUSG00000097725","NP","ENSMUSG00000097725","4930593A02Rik"
"ENSMUSG00000074580","NP","ENSMUSG00000074580","4931440P22Rik"
"ENSMUSG00000074579","NP","ENSMUSG00000074579","Lekr1"
"ENSMUSG00000047557","NP","ENSMUSG00000047557","Lxn"
"ENSMUSG00000027998","NP","ENSMUSG00000027998","Plrg1"
"ENSMUSG00000028086","NP","ENSMUSG00000028086","Fbxw7"
"ENSMUSG00000044330","NP","ENSMUSG00000044330","Gm9790"
"ENSMUSG00000028081","NP","ENSMUSG00000028081","Rps3a1"
"ENSMUSG00000041977","NP","ENSMUSG00000041977","Arhgef11"
"ENSMUSG00000010538","NP","ENSMUSG00000010538","Tsacc"
"ENSMUSG00000001420","NP","ENSMUSG00000001420","Tmem79"
"ENSMUSG00000050144","NP","ENSMUSG00000050144","Slc25a44"
"ENSMUSG00000059743","NP","ENSMUSG00000059743","Fdps"
"ENSMUSG00000028051","NP","ENSMUSG00000028051","Hcn3"
"ENSMUSG00000028049","NP","ENSMUSG00000028049","Scamp3"
"ENSMUSG00000027954","NP","ENSMUSG00000027954","Efna1"
"ENSMUSG00000028044","NP","ENSMUSG00000028044","Cks1b"
"ENSMUSG00000042626","NP","ENSMUSG00000042626","Shc1"
"ENSMUSG00000001020","NP","ENSMUSG00000001020","S100a4"
"ENSMUSG00000001025","NP","ENSMUSG00000001025","S100a6"
"ENSMUSG00000091175","NP","ENSMUSG00000091175","S100a7l2"
"ENSMUSG00000028145","NP","ENSMUSG00000028145","Them4"
"ENSMUSG00000028148","NP","ENSMUSG00000028148","Them5"
"ENSMUSG00000046722","NP","ENSMUSG00000046722","Cdc42se1"
"ENSMUSG00000038712","NP","ENSMUSG00000038712","Mindy1"
"ENSMUSG00000015714","NP","ENSMUSG00000015714","Cers2"
"ENSMUSG00000060438","NP","ENSMUSG00000060438","Rps10-ps1"
"ENSMUSG00000038619","NP","ENSMUSG00000038619","Ensa"
"ENSMUSG00000081058","NP","ENSMUSG00000081058","H3c15"
"ENSMUSG00000049288","NP","ENSMUSG00000049288","Lix1l"
"ENSMUSG00000028088","NP","ENSMUSG00000028088","Fmo5"
"ENSMUSG00000042035","NP","ENSMUSG00000042035","Igsf3"
"ENSMUSG00000086745","NP","ENSMUSG00000086745","Tspan2os"
"ENSMUSG00000027854","NP","ENSMUSG00000027854","Sike1"
"ENSMUSG00000027852","NP","ENSMUSG00000027852","Nras"
"ENSMUSG00000027849","NP","ENSMUSG00000027849","Syt6"
"ENSMUSG00000032952","NP","ENSMUSG00000032952","Ap4b1"
"ENSMUSG00000002227","NP","ENSMUSG00000002227","Mov10"
"ENSMUSG00000027840","NP","ENSMUSG00000027840","Wnt2b"
"ENSMUSG00000010136","NP","ENSMUSG00000010136","Cimap3"
"ENSMUSG00000062778","NP","ENSMUSG00000062778","Chia1"
"ENSMUSG00000014601","NP","ENSMUSG00000014601","Strip1"
"ENSMUSG00000048796","NP","ENSMUSG00000048796","Cyb561d1"
"ENSMUSG00000068732","NP","ENSMUSG00000068732","Tmem167b"
"ENSMUSG00000040339","NP","ENSMUSG00000040339","Eeig2"
"ENSMUSG00000033554","NP","ENSMUSG00000033554","Dph5"
"ENSMUSG00000028007","NP","ENSMUSG00000028007","Snx7"
"ENSMUSG00000053931","NP","ENSMUSG00000053931","Cnn3"
"ENSMUSG00000074238","NP","ENSMUSG00000074238","Ap1ar"
"ENSMUSG00000041220","NP","ENSMUSG00000041220","Elovl6"
"ENSMUSG00000063328","NP","ENSMUSG00000063328","Gm9396"
"ENSMUSG00000041084","NP","ENSMUSG00000041084","Ostc"
"ENSMUSG00000028029","NP","ENSMUSG00000028029","Aimp1"
"ENSMUSG00000097911","NP","ENSMUSG00000097911","Gm26691"
"ENSMUSG00000005813","NP","ENSMUSG00000005813","Metap1"
"ENSMUSG00000028152","NP","ENSMUSG00000028152","Tspan5"
"ENSMUSG00000028149","NP","ENSMUSG00000028149","Rap1gds1"
"ENSMUSG00000037072","NP","ENSMUSG00000037072","Selenof"
"ENSMUSG00000037062","NP","ENSMUSG00000037062","Sh3glb1"
"ENSMUSG00000028256","NP","ENSMUSG00000028256","Odf2l"
"ENSMUSG00000028194","NP","ENSMUSG00000028194","Ddah1"
"ENSMUSG00000036832","NP","ENSMUSG00000036832","Lpar3"
"ENSMUSG00000068523","NP","ENSMUSG00000068523","Gng5"
"ENSMUSG00000052544","NP","ENSMUSG00000052544","St6galnac3"
"ENSMUSG00000038975","NP","ENSMUSG00000038975","Rabggtb"
"ENSMUSG00000040016","NP","ENSMUSG00000040016","Ptger3"
"ENSMUSG00000055963","NP","ENSMUSG00000055963","Triqk"
"ENSMUSG00000040410","NP","ENSMUSG00000040410","Fbxl4"
"ENSMUSG00000045751","NP","ENSMUSG00000045751","Mms22l"
"ENSMUSG00000028284","NP","ENSMUSG00000028284","Map3k7"
"ENSMUSG00000045854","NP","ENSMUSG00000045854","Lyrm2"
"ENSMUSG00000040183","NP","ENSMUSG00000040183","Ankrd6"
"ENSMUSG00000054659","NP","ENSMUSG00000054659","Pm20d2"
"ENSMUSG00000054679","NP","ENSMUSG00000054679","Srsf12"
"ENSMUSG00000028292","NP","ENSMUSG00000028292","Rars2"
"ENSMUSG00000028293","NP","ENSMUSG00000028293","Slc35a1"
"ENSMUSG00000028411","NP","ENSMUSG00000028411","Aptx"
"ENSMUSG00000028416","NP","ENSMUSG00000028416","Bag1"
"ENSMUSG00000028419","NP","ENSMUSG00000028419","Chmp5"
"ENSMUSG00000028443","NP","ENSMUSG00000028443","Nudt2"
"ENSMUSG00000028469","NP","ENSMUSG00000028469","Npr2"
"ENSMUSG00000066196","NP","ENSMUSG00000066196","Spag8"
"ENSMUSG00000028475","NP","ENSMUSG00000028475","Spaar"
"ENSMUSG00000028480","NP","ENSMUSG00000028480","Glipr2"
"ENSMUSG00000028478","NP","ENSMUSG00000028478","Clta"
"ENSMUSG00000028337","NP","ENSMUSG00000028337","Coro2a"
"ENSMUSG00000039813","NP","ENSMUSG00000039813","Tbc1d2"
"ENSMUSG00000053317","NP","ENSMUSG00000053317","Sec61b"
"ENSMUSG00000028345","NP","ENSMUSG00000028345","Tex10"
"ENSMUSG00000028307","NP","ENSMUSG00000028307","Aldob"
"ENSMUSG00000028412","NP","ENSMUSG00000028412","Slc44a1"
"ENSMUSG00000028381","NP","ENSMUSG00000028381","Ugcg"
"ENSMUSG00000038544","NP","ENSMUSG00000038544","Inip"
"ENSMUSG00000085223","NP","ENSMUSG00000085223","Gm11210"
"ENSMUSG00000039105","NP","ENSMUSG00000039105","Atp6v1g1"
"ENSMUSG00000083087","NP","ENSMUSG00000083087","Gm11249"
"ENSMUSG00000008305","NP","ENSMUSG00000008305","Tle1"
"ENSMUSG00000081225","NP","ENSMUSG00000081225","Cyp2j12"
"ENSMUSG00000081046","NP","ENSMUSG00000081046","Gm12846"
"ENSMUSG00000078612","NP","ENSMUSG00000078612","Fyb2"
"ENSMUSG00000044254","NP","ENSMUSG00000044254","Pcsk9"
"ENSMUSG00000034926","NP","ENSMUSG00000034926","Dhcr24"
"ENSMUSG00000061887","NP","ENSMUSG00000061887","Ssbp3"
"ENSMUSG00000028618","NP","ENSMUSG00000028618","Tmem59"
