"","gs","gene","symbol"
"ENSMUSG00000023852","C-LTMR","ENSMUSG00000023852","Chd1"
"ENSMUSG00000051341","C-LTMR","ENSMUSG00000051341","Zfp52"
"ENSMUSG00000035868","C-LTMR","ENSMUSG00000035868","Zfp983"
"ENSMUSG00000033597","C-LTMR","ENSMUSG00000033597","Caskin1"
"ENSMUSG00000024165","C-LTMR","ENSMUSG00000024165","Jpt2"
"ENSMUSG00000047507","C-LTMR","ENSMUSG00000047507","Baiap3"
"ENSMUSG00000025738","C-LTMR","ENSMUSG00000025738","Fbxl16"
"ENSMUSG00000024182","C-LTMR","ENSMUSG00000024182","Axin1"
"ENSMUSG00000056692","C-LTMR","ENSMUSG00000056692","Ilrun"
"ENSMUSG00000024219","C-LTMR","ENSMUSG00000024219","Anks1"
"ENSMUSG00000023067","C-LTMR","ENSMUSG00000023067","Cdkn1a"
"ENSMUSG00000024008","C-LTMR","ENSMUSG00000024008","Cpne5"
"ENSMUSG00000024018","C-LTMR","ENSMUSG00000024018","Ccdc167"
"ENSMUSG00000024036","C-LTMR","ENSMUSG00000024036","Slc37a1"
"ENSMUSG00000067424","C-LTMR","ENSMUSG00000067424","Zfp563"
"ENSMUSG00000023932","C-LTMR","ENSMUSG00000023932","Cdc5l"
"ENSMUSG00000038910","C-LTMR","ENSMUSG00000038910","Plcl2"
"ENSMUSG00000002835","C-LTMR","ENSMUSG00000002835","Chaf1a"
"ENSMUSG00000024085","C-LTMR","ENSMUSG00000024085","Man2a1"
"ENSMUSG00000001870","C-LTMR","ENSMUSG00000001870","Ltbp1"
"ENSMUSG00000024242","C-LTMR","ENSMUSG00000024242","Map4k3"
"ENSMUSG00000024143","C-LTMR","ENSMUSG00000024143","Rhoq"
"ENSMUSG00000024107","C-LTMR","ENSMUSG00000024107","Lhcgr"
"ENSMUSG00000069053","C-LTMR","ENSMUSG00000069053","Uba1y"
"ENSMUSG00000024235","C-LTMR","ENSMUSG00000024235","Map3k8"
"ENSMUSG00000041238","C-LTMR","ENSMUSG00000041238","Rbbp8"
"ENSMUSG00000024420","C-LTMR","ENSMUSG00000024420","Zfp521"
"ENSMUSG00000033382","C-LTMR","ENSMUSG00000033382","Trappc8"
"ENSMUSG00000041923","C-LTMR","ENSMUSG00000041923","Nol4"
"ENSMUSG00000033628","C-LTMR","ENSMUSG00000033628","Pik3c3"
"ENSMUSG00000038128","C-LTMR","ENSMUSG00000038128","Camk4"
"ENSMUSG00000036501","C-LTMR","ENSMUSG00000036501","Fam13b"
"ENSMUSG00000038773","C-LTMR","ENSMUSG00000038773","Kdm3b"
"ENSMUSG00000045689","C-LTMR","ENSMUSG00000045689","Pcdhb4"
"ENSMUSG00000051401","C-LTMR","ENSMUSG00000051401","Kctd16"
"ENSMUSG00000048799","C-LTMR","ENSMUSG00000048799","Cep120"
"ENSMUSG00000024594","C-LTMR","ENSMUSG00000024594","Prrc1"
"ENSMUSG00000054008","C-LTMR","ENSMUSG00000054008","Ndst1"
"ENSMUSG00000042211","C-LTMR","ENSMUSG00000042211","Fbxo38"
