Avil
Bdnf
Calca
Calcb
Chrna6
Chrnb3
Isl1
Isl2
Kcnh6
Kcnh7
Kcnj10
Kcnk10
Kcnk12
Kcnk18
Kcnn4
Kcns1
Kcnt1
Mrgprd
Nefh
Nefl
Nefm
Ngfr
P2Rx3
Piezo1
Piezo2
Pirt
Pou4F1
Pou4F2
Pou4F3
Prdm12
Prph
Rbfox3
Ret
Scn10a
Scn11a
Scn7A
Scn8A
Scn9a
Tlx2
Tlx3
Trpa1
Trpm8
Trpv1
Trpv4
Tubb3
