"","X881_dLSC_f1_5.27.2024.d","X882_dLSC_m1_5.27.2024.d","X883_dLSC_m2_5.27.2024.d","X884_dLSC_f3_5.27.2024.d","X885_dLSC_f2_5.27.2024.d","X886_dLSC_m3_5.27.2024.d","X889_LDRG_898_5.28.2024.d","X890_LDRG_1248_5.28.2024.d","X891_LDRG_1095_5.28.2024.d","X892_LDRG_1236_5.28.2024.d","X893_LDRG_1094_5.28.2024.d","X894_LDRG_1249_5.28.2024.d","X896_paw_pool_5.28.2024.d","X897_paw_f_5.28.2024.d","X898_paw_m_5.28.2024.d","X901_SCN_IIa2_5.28.2024.d","X902_SCN_IIa3_5.28.2024.d","X903_SCN_IIb2_5.28.2024.d","X904_SCN_IIb3_5.28.2024.d","X905_SCN_IIa4_5.28.2024.d","X906_SCN_IIb1_5.28.2024.d","GeneID"
"A1bg",NA,NA,NA,NA,NA,NA,15.4548742036985,16.7678582946477,NA,NA,NA,15.6645178592098,13.6953633735924,14.9392908416079,NA,14.4927964068561,NA,17.8260637697471,17.8973190182404,14.7578099591885,17.0398977347693,"A1bg"
"A2m",14.7793480323985,14.6046075404983,14.6421114223583,14.8582138557632,14.6444543384316,14.6791764170766,14.5588632976735,14.3987851955402,14.5070152740769,15.1840883823345,14.158183201037,14.6221078006134,NA,NA,NA,14.8279516488751,14.8946122366088,14.5376707039653,14.5519579963712,14.4491353915858,14.7523016087446,"A2m"
"A2m;Pzp",15.5519515337019,15.7343100509769,15.820056771025,15.5500433000623,15.6206837689224,NA,14.9934905201388,16.0992961132471,15.3713981560502,15.3708244583693,15.2732450336912,15.8268549646216,NA,NA,NA,14.7773447862266,15.5648442771491,16.4517697072978,16.15021012721,15.4065244859296,15.556008442343,"A2m;Pzp"
"A4galt",NA,NA,NA,NA,NA,NA,13.6909254671658,13.8786186983022,13.5009712371551,13.6200640720295,13.542524995486,13.4497909170495,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A4galt"
"Aaas",14.1720107725997,14.4333422214367,14.0593255227925,14.1908340512264,14.3796345052888,14.4403937355368,14.4721558527535,14.372819777981,14.1727001947419,13.9047248258579,14.2234218070286,14.1018863694319,14.089045150355,14.1534391235784,14.0260285611458,13.4409567671587,13.3432606553449,13.3637364769849,13.2037950494067,13.4271899780192,13.2275503794665,"Aaas"
"Aacs",15.7164871558427,15.738590453472,15.8427811852589,15.7671983771043,15.7252454281914,15.7402184186823,16.5844950216771,16.6141955939717,16.7495342794536,16.5732370126249,16.6911309060919,16.6974451253467,16.2160222530905,16.2873338538201,16.0998438847552,16.7896784943163,16.859613300672,16.9703867900962,16.9503090996356,16.8998206316526,17.0230919211943,"Aacs"
"Aadac",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.953790020273,14.6835416285198,15.1971283652733,NA,NA,NA,NA,NA,NA,"Aadac"
"Aadacl3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.5643675000862,13.6100734603408,13.4367496361738,NA,NA,NA,NA,NA,NA,"Aadacl3"
"Aagab",NA,14.0948529424196,13.6426384020075,14.523414934805,14.2581243249389,14.3080403340405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aagab"
"Aak1",18.0896936350582,18.1433635228938,17.9998733111915,18.1194516194486,17.9865303908229,18.1187017603711,16.8354207379001,16.6916333952618,16.8508044227531,16.7312010288615,16.9279156139785,16.7759346822139,15.1260171461866,15.200614661425,15.1661693175174,17.0614273959968,16.814556256241,16.9761223143201,16.9296478975896,16.8786229652438,17.1416444349985,"Aak1"
"Aak1;Bmp2k",16.6918460739494,16.9734598396744,16.8231035143094,16.5538408444316,16.4329033579638,16.8132969981244,15.0316934095129,15.3778701298539,14.9604496385234,15.0792244873108,15.3539944837639,15.3915640257684,NA,NA,NA,14.0397073191633,14.5847981218048,14.5220481454957,14.2926882999545,14.4982945048021,14.9493023803732,"Aak1;Bmp2k"
"Aamdc",17.3678684904446,16.9082436897278,16.6790791021159,16.8308272657051,17.1174689058991,16.7480750242463,15.4608068907375,15.6861828021942,15.4936504531117,15.6065023472694,15.5954766347297,15.7066256060355,13.8722477918315,13.7916272626932,13.8575669770823,16.6364818208206,16.6590135607856,16.8070859338853,16.8121932177993,16.667277014686,16.8663890778465,"Aamdc"
"Aar2",13.0253314030417,13.1115896443452,13.152923101421,13.2629710614076,13.1586861247294,13.1983880461985,13.309087406142,13.2751817746577,13.301339313373,13.4600121839992,13.4122279428749,13.0664610459626,13.185528811815,13.4251921196198,13.4780150782064,12.7724011825165,12.9649617140339,12.7596364800378,13.0317873415015,12.6907575442405,12.661811493104,"Aar2"
"Aars1",18.2542980486642,18.2537352168497,18.2876076599836,18.2490359503206,18.3024447041011,18.296104945335,17.8505546966621,17.6919579701476,17.8547280365844,17.9368220767379,17.8497422487531,17.8552527857829,17.1856214487166,17.0475619562014,17.2724489839208,17.9394733853271,17.9551780839515,17.9400436917936,17.8556726427661,17.9323720138379,17.9241874456187,"Aars1"
"Aars2",18.8460316294446,18.9333855285973,18.9442486201628,18.9651343859322,18.7685728873069,18.8538612664343,16.2554110506038,16.2390435013815,16.0101576944218,16.0267268444639,15.8200075164895,16.1722068355712,14.8747648997942,15.1280237583752,14.9787827122439,12.6588920492884,12.1079199402377,12.2153206446458,12.2547924301929,11.6277208208336,12.2023320075841,"Aars2"
"Aarsd1",16.1052579230228,16.1622385058109,16.1436226570997,16.105457353437,16.0864245628878,16.1329230125707,15.6930523144552,15.7194034408837,15.5776402985407,15.554330620089,15.6558105840462,15.7678321282758,15.2839962552503,14.9814736495084,15.4079315092107,14.9070903701491,15.1872142859966,15.2229219811988,15.0643974250219,15.0773213378992,15.1134714143793,"Aarsd1"
"Aasdhppt",13.3764076886071,13.6294446010738,13.8950546235535,13.5665290750708,13.607739095722,13.5745958545684,12.1877188429253,13.1811613510347,13.189917105169,13.1281255992851,13.2083962263802,12.986904036252,NA,NA,NA,12.7097063461293,12.8493630989484,12.7332496848604,12.5891059917503,12.577469272499,12.2472487921093,"Aasdhppt"
"Aass",14.7053333157029,14.7873252541934,14.6632425290851,14.6169990925065,14.6576724096852,14.8237279110167,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.5831438626749,14.4636528562997,14.5005022654907,14.3817189554617,14.7332694799975,14.7342279895718,"Aass"
"Aatf",12.479264407832,12.3954552967718,12.5950962995355,12.4636346182404,12.2603359995509,12.1273841788677,12.8871854261152,12.9942404206136,12.9215958103579,13.2384044208991,13.3420873220908,13.0614364601383,14.8350897463677,14.7108873210229,14.9111956689913,NA,NA,NA,NA,NA,NA,"Aatf"
"Aatk",14.7481155343713,14.5149155095258,14.5684502789418,14.6868911804854,14.5995458413332,14.585165106602,15.6994296417488,15.4921846723862,15.3273498108286,15.2555137043926,15.466173040069,15.5527415582227,NA,NA,NA,15.8906156761689,15.7912407666444,15.9379503119382,15.7756657739178,15.7282236281744,15.8628920062058,"Aatk"
"Abat",20.8631783999054,20.861343812424,20.7659548068514,20.8442493309388,20.7193836801018,20.9049187115925,17.830061449976,17.6157833497345,17.38755029875,17.3364457201096,17.4709412518812,17.5143859990964,14.6167968034831,15.1298187550893,14.7628405494465,17.5809942399135,17.5670664466304,17.3798655184758,17.5695263054171,17.4790996490807,17.4334324702365,"Abat"
"Abca1",15.1261898027494,14.8700830197483,15.112817674722,15.0833977761912,15.0850560773458,15.2465965355291,14.3821687304207,14.5277169667185,14.41294498011,14.601428123891,14.5367787326722,14.7110528597844,NA,NA,NA,NA,12.4190276193478,12.3555246303622,13.2251325433682,12.6174073885597,12.0614843651826,"Abca1"
"Abca1;Abca2",NA,NA,NA,NA,NA,NA,13.1010137724488,13.2164093921782,13.2078654056294,13.4172855551162,13.1426894438197,13.1392555568042,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Abca1;Abca2"
"Abca12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.1785231368354,15.0624054357183,15.0877687218296,NA,NA,NA,NA,NA,NA,"Abca12"
"Abca13",NA,NA,NA,NA,NA,NA,NA,NA,NA,14.4791297427862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Abca13"
"Abca2",15.3412480211371,15.2640652769716,15.2793761142636,15.3146477538016,15.2966561248981,15.2544077398122,14.9275101295497,14.8910459505406,14.7680824675526,14.7917956365622,14.9862051082614,14.9280463951232,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Abca2"
"Abca3",14.7767648234019,14.6324191488455,14.5565624591375,14.6530048070296,14.8051778337703,14.6097292320762,15.2132180841389,15.4360916287815,15.3829166211823,15.3416702784685,15.3248881239381,15.4207355394712,NA,NA,NA,13.2236246125863,13.1230061398254,12.9237180760247,12.8973203837407,13.0720866315184,13.1768190782714,"Abca3"
"Abca5",15.6546107142994,15.5794396866885,15.7405628841166,15.55180557027,15.6801273906145,15.7863671770547,15.061664119211,14.8674556178173,14.8214363169468,14.8306869980789,15.1310732499354,14.9637036337994,NA,NA,NA,13.7324319347314,13.8162250102925,13.7574741891248,13.3268958943545,13.4910608292335,13.8786366539022,"Abca5"
"Abca6",12.5246886215113,12.6280057382011,12.7311683888254,12.6013134911599,12.5718687558759,12.6435721312256,14.9244455919972,15.1278571681793,15.2870520724936,14.9763621601654,15.0649043319068,15.051313317094,13.3119029934739,12.695054237417,13.3330747276868,15.2561446527684,15.1706725099756,15.2256312296371,15.1789634067944,15.0681677983342,15.0477648950071,"Abca6"
"Abca6;Abca9",12.8268920397771,12.4466491122514,12.4314244752121,12.8118021399803,12.3639923487824,12.6029957234857,15.3640628194852,15.6553490332093,15.5606552548547,15.1718257393221,15.462201892875,15.6173842393176,13.5812476665039,13.6625682466931,13.5031549077097,15.3711538373015,15.6274455372152,15.2405267641342,15.5136227451191,15.3331588452072,15.4662772467068,"Abca6;Abca9"
"Abca7",15.2396330400796,15.2698474961972,15.4239987137716,15.2971926724481,15.1481424249237,15.3604562748313,14.5567045433054,14.6412641472814,14.7415630499861,14.5285980721175,14.6011450717584,14.618165676422,13.0555143434785,13.2853148929982,13.2689212726584,13.4220049685364,13.3588055626521,13.4242033558395,13.2471484990624,13.3443083344605,13.2761057573023,"Abca7"
"Abca8a",NA,NA,NA,NA,NA,NA,15.7704284755006,15.7211925586309,15.9750459654798,15.6991230294413,15.8178969148535,15.7515191372898,NA,NA,NA,14.5155659559589,14.3895391615188,14.2945146269289,14.3423887068884,14.4049854426852,14.4961039371226,"Abca8a"
"Abca8a;Abca8b",NA,NA,NA,NA,NA,NA,13.3385553380532,NA,NA,NA,13.1706730802771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Abca8a;Abca8b"
"Abca8a;Abca8b;Abca9",NA,NA,NA,NA,NA,NA,NA,15.6284823996474,15.2615831361128,14.6122401184784,14.9721235612403,14.9791357175601,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Abca8a;Abca8b;Abca9"
"Abca8a;Abca9",NA,NA,NA,NA,NA,NA,15.8841926956034,15.8158648154939,15.7877150710593,15.6637540927441,15.9035390552914,15.8474561000667,NA,NA,NA,14.7650584858872,14.821514720426,14.8053135992556,14.8828469612892,14.5824740744419,14.4730792866459,"Abca8a;Abca9"
"Abca8b",12.910018415082,12.367231017631,13.036430163608,12.8297142467429,13.2320750252104,12.7781031586082,16.0266375192409,16.1384587473592,16.2129119125619,16.1340241327783,16.2612151518731,16.1573371099698,12.6509213059846,13.1859985265796,12.879722118982,15.4838233562418,15.4539984576411,15.4360626177003,15.3100743177342,15.475824800553,15.4104475907265,"Abca8b"
"Abca8b;Abca9",NA,NA,NA,NA,NA,NA,14.8794683807851,14.8341895547754,15.2772801343232,14.7823430340495,15.1240930329194,14.6301419646652,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Abca8b;Abca9"
"Abca9",13.1103137869414,13.1909443412279,12.5675488258191,13.2240031066392,12.8981585807955,13.0504301501512,15.8406054273013,15.7635574711798,16.0382008782518,15.8297231893962,15.9664525868165,15.8409261103229,14.2595596901024,14.1679210726046,14.2774441945996,15.4928675349783,15.5866631815593,15.5285539522216,15.5564537536338,15.5143573029448,15.6685124006524,"Abca9"
"Abcb10",15.1640599677928,15.2393855552894,15.2902482587583,15.3435116954884,15.1806864294452,15.1478447026779,14.797199220505,14.5415904487237,14.6093351522792,14.7261540366491,14.7143897364875,14.6192598636587,15.12402683952,15.2930123094179,15.2480587355534,13.8035048732794,14.2179594921468,13.9268726609854,14.1027037372481,14.0358872314932,13.8859702821067,"Abcb10"
"Abcb11",14.0939682180227,13.5771665580236,14.1021807711103,13.9247290118936,14.0608901015906,13.9657980181518,13.4688022052633,14.506735267605,15.474308015017,14.5518043740114,14.2587868376616,13.8581850256609,NA,NA,NA,12.9541835849461,12.9560984099049,13.283900074785,12.5518620383726,13.1121641694637,12.9870667828903,"Abcb11"
"Abcb11;Abcb1a;Abcb1b",NA,NA,NA,NA,NA,NA,13.1893103218571,13.6297436548973,NA,13.648649686946,13.7005914359038,13.3398778323817,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Abcb11;Abcb1a;Abcb1b"
"Abcb1a",16.6633536861652,16.7759790202375,16.8343666883385,16.5863997814001,16.6404467601466,16.8146830883236,17.0498992098267,16.902961625986,17.2537326144251,16.9184966368961,17.2177885388433,16.983499191146,NA,NA,NA,16.7887595068151,16.5864370066863,16.6007092201332,16.4758629870345,16.6805026073036,16.5468947327737,"Abcb1a"
