"","X881_dLSC_f1_5.27.2024.d","X882_dLSC_m1_5.27.2024.d","X883_dLSC_m2_5.27.2024.d","X884_dLSC_f3_5.27.2024.d","X885_dLSC_f2_5.27.2024.d","X886_dLSC_m3_5.27.2024.d","X889_LDRG_898_5.28.2024.d","X890_LDRG_1248_5.28.2024.d","X891_LDRG_1095_5.28.2024.d","X892_LDRG_1236_5.28.2024.d","X893_LDRG_1094_5.28.2024.d","X894_LDRG_1249_5.28.2024.d","X896_paw_pool_5.28.2024.d","X897_paw_f_5.28.2024.d","X898_paw_m_5.28.2024.d","X901_SCN_IIa2_5.28.2024.d","X902_SCN_IIa3_5.28.2024.d","X903_SCN_IIb2_5.28.2024.d","X904_SCN_IIb3_5.28.2024.d","X905_SCN_IIa4_5.28.2024.d","X906_SCN_IIb1_5.28.2024.d","GeneID"
"Ankrd49",13.2731064253886,NA,NA,13.7279523534228,NA,NA,12.3145060401813,12.873024004464,12.8151109882476,12.9411091142151,12.6455577423796,12.8652272550255,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ankrd49"
"Ankrd52",11.9559469399164,11.8878026559612,12.5369860355964,11.9173339926456,12.3101555072124,11.5740653044576,15.2553901091821,15.6881121163748,15.4871709707883,15.6820356706201,15.453655906329,15.5797391900884,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ankrd52"
"Ankrd54",12.5735011226096,12.8815693574087,NA,12.0470604075897,12.3828833136583,12.5556149790606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ankrd54"
"Ankrd55",13.4390893972341,12.8331607226702,13.4613568731131,13.1417192229537,13.609933754914,13.5465911245133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ankrd55"
"Anks1a",14.5707567241365,14.4779842667489,14.50118689282,14.5412238295425,14.645779620006,14.473685275785,14.5701781842661,14.7750678575564,14.5726025724787,14.4859037391314,14.4548777216247,14.6752514081071,14.7061830316356,14.7269536802751,14.6093155227227,15.5012993160315,15.3591106025563,15.4085872614722,15.3879007338912,15.5224085967021,15.3522504565123,"Anks1a"
"Anks1a;Anks1b",13.8031321659114,14.4169162521956,13.7143528570539,13.4562517285329,13.7577441804435,13.8893898818024,NA,NA,13.0687077534594,12.5009887302736,13.585854516753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anks1a;Anks1b"
"Anks1b",17.0712089269667,17.2348349062912,17.2961332994568,17.1784078607068,17.2223433109038,17.3872356606574,14.7555036363828,15.4445937275521,NA,NA,15.3636737132431,14.8117363094337,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anks1b"
"Ankzf1",NA,NA,NA,NA,NA,NA,12.936680084588,13.2939089634297,13.1136112947828,13.1908722736026,13.2395013755621,13.4879965768302,14.3526904286255,14.4149851167602,14.3754562046305,12.6883232383658,12.7617979574902,NA,12.6202294660512,12.8351569200194,12.5186207143389,"Ankzf1"
"Anln",17.5869111419421,17.6537833932995,17.4912799174324,17.4874236848698,17.4273153267116,17.6601766408258,13.7873389200128,13.8678278131424,13.4647604399004,13.1264775960488,13.1131647928287,13.0359496609067,12.8569264161554,12.9937108385059,12.9669048526278,11.1343580312534,11.2343149559055,11.8861606580837,11.8268133432967,NA,NA,"Anln"
"Ano1",NA,NA,NA,NA,NA,NA,NA,10.125736329395,NA,NA,NA,NA,12.7762849717645,13.0681434331065,12.8863196019174,NA,NA,NA,NA,NA,NA,"Ano1"
"Ano10",14.9396128016676,14.9303302171965,14.9031919345896,14.847380805016,14.8689582451454,14.9149376551598,15.6748821930153,15.3415574919577,15.4949318376071,15.5017279538283,15.8265453763274,15.4926764169965,14.6446986895266,14.6937709165788,14.8670391329039,16.2363107965107,16.2270327015714,15.9807224205046,16.1798041396555,16.2161310404286,16.1317939733237,"Ano10"
"Ano3",13.0135579792935,12.7705073138143,12.2008832832171,13.3564849215614,13.2355089452958,13.1012989005698,12.9284369484067,12.7833256848135,13.0511910045074,12.8968271850275,13.2634266404048,12.8652228281578,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ano3"
"Ano4",14.0376418456177,13.9412983115253,13.8528679441808,13.9294089922457,13.7194493469759,14.0297151460585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ano4"
"Ano6",13.6995906766314,13.7600954870989,13.6225248550161,13.6676270082744,13.5343353208399,13.7868109849958,15.6854116678661,15.52641103948,15.8337927720457,15.5250258707542,15.7971423253848,15.4972406161448,14.548057409828,14.5073739660135,14.4979118781551,15.8719197278087,15.9114044339371,15.7725401387523,15.8004538310243,15.8928758611806,15.8603369047525,"Ano6"
"Ano8",15.6315633913716,15.7915108586022,15.5933653781593,15.7269421385396,15.583456625948,15.7196976744181,14.9799291680792,15.2552362208344,15.1352778100861,15.1731050852702,15.2759575272902,15.4045262791665,NA,NA,11.648744046671,14.0238065244565,14.092229192338,13.9393280109021,13.9802598974948,14.2220265431683,14.1757802628173,"Ano8"
"Anp32a",17.8830169032435,17.8916910984448,17.8588955523094,17.8857111501411,17.8548578759453,17.8496621839398,17.7581516710374,18.0659231531115,18.1394167714237,18.1715905199664,17.8525497800927,18.0601773694447,20.8238253625895,21.058769066088,20.8030061121912,16.9584131956793,17.1388997992652,17.1909085949071,17.1050012757406,17.0991173282007,17.0010603353985,"Anp32a"
"Anp32a;Anp32b",17.7281591698465,17.9287744373792,17.9267583275976,17.6705237203177,17.9570762261931,17.9976118237784,18.8648912609993,18.9637743524987,18.6081727925755,19.0675912882695,18.7568633648559,18.7746080500536,18.5446814970397,18.6009981443801,18.3830334412615,16.3262742103278,16.2073417746727,16.3745537251574,16.4592972285819,16.1969214417116,16.0420319320058,"Anp32a;Anp32b"
