Prdm12
Tlx2
Tlx3
Isl1
Isl2
Pou4F1
Pou4F2
Pou4F3
Calca
Calcb
Avil
Tubb3
Nefh
Nefm
Nefl
Rbfox3
Pirt
Prph
Ret
P2Rx3
Ngfr
Mrgprd
Chrna6
Kcnk18
Chrnb3
Kcnh6
Kcns1
Scn9a
Scn10a
Scn11a
Trpv1
Trpm8
Cnp
Mbp
Plp
Mag
Mog
Kcnn4
Trpv4
Oprm1
Kcnh7
Bdnf
Scn8A
Scn7A
Trpa1
Kcnt1
Kcnk12
Kcnk10
Kcnj10
Piezo1
Piezo2
Gfra3
Gfra1
Osmr
