PRDM12
TLX2
TLX3
ISL1
ISL2
POU4F1
POU4F2
POU4F3
CALCA
CALCB
AVIL
TUBB3
NEFH
NEFM
NEFL
RBFOX3
PIRT
PRPH
RET
P2RX3
NGFR
MRGPRD
CHRNA6
KCNK18
CHRNB3
KCNH6
KCNS1
SCN9A
SCN10A
SCN11A
TRPV1
TRPM8
CNP
MBP
PLP
MAG
MOG
KCNN4
TRPV4
OPRM1
KCNH7
BDNF
SCN8A
SCN7A
TRPA1
KCNT1
KCNK12
KCNK10
KCNJ10
PIEZO1
PIEZO2
GFRA3
GFRA1
OSMR
OGFRL1
