"","Gene","Condition","Type"
"203","Mapk3","Ox","B"
"204","Rpl7","Ox","B"
"205","Lmna","Ox","B"
"206","Sart1","Ox","B"
"207","Ppia","Ox","B"
"208","Niban2","Ox","B"
"209","Pcmt1","Ox","B"
"210","Stim1","Ox","B"
"211","Cox5b","Ox","B"
"212","Igbp1","Ox","B"
"213","Dpysl3","Ox","B"
"214","Ndrg3","Ox","B"
"215","Mecp2","Ox","B"
"216","Atp6v1b2","Ox","B"
"217","Hsp90ab1","Ox","B"
"218","Fip1l1","Ox","B"
"219","Edc4","Ox","B"
"220","Cfl1","Ox","B"
"221","Pgam1","Ox","B"
"222","Rps20","Ox","B"
"223","Tmem263","Ox","B"
"224","Arhgap1","Ox","B"
"225","Rab21","Ox","B"
"226","Tdrp","Ox","B"
"227","Aldoa","Ox","B"
"228","Plaa","Ox","B"
"229","Kif5b","Ox","B"
"230","Prdx6","Ox","B"
"231","Cnn3","Ox","B"
"232","Npm1","Ox","B"
"233","Nup62","Ox","B"
"234","Hspa12a","Ox","B"
"235","Pdlim5","Ox","B"
"236","Ncam1","Ox","B"
"237","Eif4g2","Ox","B"
"238","FAM120A","Ox","B"
"239","Snca","Ox","B"
"240","Eif3c","Ox","B"
"241","Ckap5","Ox","B"
"242","Las1l","Ox","B"
"243","Znf207","Ox","B"
"244","Snrpd3","Ox","B"
"245","Mpp1","Ox","B"
"246","Tmod2","Ox","B"
"247","Zdhhc3","Ox","B"
"248","Uchl1","Ox","B"
"249","Hdlbp","Ox","B"
"250","Lypla2","Ox","B"
"251","Arfgap1","Ox","B"
"252","Agfg1","Ox","B"
"253","Exoc4","Ox","B"
"254","Baz2a","Ox","B"
"255","Prdx5","Ox","B"
"256","Cltc","Ox","B"
"257","Soga3","Ox","B"
"258","Rimkla","Ox","B"
"259","Rplp0","Ox","B"
"260","Rpl6","Ox","B"
"261","S100a6","Ox","B"
"262","Tkt","Ox","B"
"263","Ddx46","Ox","B"
"264","Rps8","Ox","B"
"265","Fhl1","Ox","B"
"266","Mvp","Ox","B"
"267","Camk2d","Ox","B"
"268","Ruvbl1","Ox","B"
"269","Dclk1","Ox","B"
"270","Numbl","Ox","B"
"271","Abcd3","Ox","B"
"272","Rpl22","Ox","B"
"273","Steap3","Ox","B"
"274","Csrp1","Ox","B"
"275","Cfdp1","Ox","B"
"276","Hnrnph1","Ox","B"
"277","Got2","Ox","B"
"278","Steep1","Ox","B"
"279","Dbnl","Ox","B"
