"","Gene","Condition","Type"
"910","Camk2g","Ox","A"
"911","Camk4","Ox","A"
"912","Camkk1","Ox","A"
"913","Camlg","Ox","A"
"914","Camsap1","Ox","A"
"915","Camsap2","Ox","A"
"916","Camsap3","Ox","A"
"917","Cand1","Ox","A"
"918","Canx","Ox","A"
"919","Cap1","Ox","A"
"920","Capg","Ox","A"
"921","Capn1","Ox","A"
"922","Capn2","Ox","A"
"923","Capns1","Ox","A"
"924","Caprin1","Ox","A"
"925","Capza2","Ox","A"
"926","Capzb","Ox","A"
"927","Carhsp1","Ox","A"
"928","Carmil1","Ox","A"
"929","Carmil2","Ox","A"
"930","Carmil3","Ox","A"
"931","Cars1","Ox","A"
"932","Casc3","Ox","A"
"933","Cask","Ox","A"
"934","Caskin1","Ox","A"
"935","Casp1","Ox","A"
"936","Casp3","Ox","A"
"937","Casp9","Ox","A"
"938","Casz1","Ox","A"
"939","Cbfb","Ox","A"
"940","Cbl","Ox","A"
"941","Cblb","Ox","A"
"942","Cbll1","Ox","A"
"943","Cbr1","Ox","A"
"944","Cbwd1","Ox","A"
"945","Cbx3","Ox","A"
"946","Cc2d1a","Ox","A"
"947","Cc2d1b","Ox","A"
"948","Ccar1","Ox","A"
"949","Ccdc115","Ox","A"
"950","Ccdc124","Ox","A"
"951","Ccdc186","Ox","A"
"952","Ccdc22","Ox","A"
"953","Ccdc32","Ox","A"
"954","Ccdc43","Ox","A"
"955","Ccdc47","Ox","A"
"956","Ccdc6","Ox","A"
"957","Ccdc85a","Ox","A"
"958","Ccdc9","Ox","A"
"959","Ccdc92","Ox","A"
"960","Ccdc93","Ox","A"
"961","Ccdc9b","Ox","A"
"962","Ccnt1","Ox","A"
"963","Ccnt2","Ox","A"
"964","Ccp110","Ox","A"
"965","Ccs","Ox","A"
"966","Ccser2","Ox","A"
"967","Cct2","Ox","A"
"968","Cct3","Ox","A"
"969","Cct5","Ox","A"
"970","Cct6a","Ox","A"
"971","Cct7","Ox","A"
"972","Ccz1","Ox","A"
"973","Cd151","Ox","A"
"974","Cd2ap","Ox","A"
"975","Cd99l2","Ox","A"
"976","Cdc123","Ox","A"
"977","Cdc26","Ox","A"
"978","Cdc37","Ox","A"
"979","Cdc37l1","Ox","A"
"980","Cdc42bpa","Ox","A"
"981","Cdc42bpb","Ox","A"
"982","Cdc5l","Ox","A"
"983","Cdipt","Ox","A"
"984","Cdk11b","Ox","A"
"985","Cdk14","Ox","A"
"986","Cdk16","Ox","A"
"987","Cdk18","Ox","A"
"988","Cdk5","Ox","A"
"989","Cdk5rap3","Ox","A"
"990","Cdk7","Ox","A"
"991","Cdk9","Ox","A"
"992","Cdkn1b","Ox","A"
"993","Cdkn2aip","Ox","A"
"994","Cdkn2d","Ox","A"
"995","Cdr2","Ox","A"
"996","Cdr2l","Ox","A"
"997","Cds2","Ox","A"
"998","Cdv3","Ox","A"
"999","Celf2","Ox","A"
"1000","Celf6","Ox","A"
"1001","Cenpv","Ox","A"
"1002","Cep104","Ox","A"
"1003","Cep131","Ox","A"
"1004","Cep170","Ox","A"
"1005","Cep170b","Ox","A"
"1006","Cep43","Ox","A"
"1007","Cep97","Ox","A"
"1008","Cers1","Ox","A"
"1009","Cers2","Ox","A"
"1010","Cert1","Ox","A"
"1011","Cetn2","Ox","A"
"1012","Cetn4","Ox","A"
"1013","Cfap20","Ox","A"
"1014","Cfap36","Ox","A"
"1015","Cfap410","Ox","A"
"1016","Cfl2","Ox","A"
"1017","Chchd2","Ox","A"
"1018","Chchd3","Ox","A"
"1019","Chchd6","Ox","A"
"1020","Cherp","Ox","A"
"1021","Chka","Ox","A"
"1022","Chkb","Ox","A"
"1023","Chmp1a","Ox","A"
"1024","Chmp2a","Ox","A"
"1025","Chmp2b","Ox","A"
"1026","Chmp3","Ox","A"
"1027","Chmp5","Ox","A"
"1028","Chmp7","Ox","A"
"1029","Chordc1","Ox","A"
"1030","Chp1","Ox","A"
"1031","Ciao3","Ox","A"
"1032","Ciapin1","Ox","A"
"1033","Cic","Ox","A"
"1034","Cisd1","Ox","A"
"1035","Cisd2","Ox","A"
"1036","Ckap4","Ox","A"
"1037","Ckmt1","Ox","A"
"1038","Clasp1","Ox","A"
"1039","Clcc1","Ox","A"
"1040","Clcn6","Ox","A"
"1041","Clec16a","Ox","A"
"1042","Clgn","Ox","A"
"1043","Clint1","Ox","A"
"1044","Clip1","Ox","A"
"1045","Clip2","Ox","A"
"1046","Clip3","Ox","A"
"1047","Clip4","Ox","A"
"1048","Clptm1","Ox","A"
"1049","Clta","Ox","A"
"1050","Cltb","Ox","A"
"1051","Clybl","Ox","A"
"1052","Cmas","Ox","A"
"1053","Cmip","Ox","A"
"1054","Cmpk1","Ox","A"
"1055","Cndp2","Ox","A"
"1056","Cnksr2","Ox","A"
"1057","Cnot1","Ox","A"
"1058","Cnot10","Ox","A"
"1059","Cnot11","Ox","A"
"1060","Cnot2","Ox","A"
"1061","Cnot3","Ox","A"
"1062","Cnot4","Ox","A"
"1063","Cnp","Ox","A"
"1064","Cnrip1","Ox","A"
"1065","Cnst","Ox","A"
"1066","Cntnap1","Ox","A"
"1067","Coasy","Ox","A"
"1068","Cobl","Ox","A"
"1069","Cog2","Ox","A"
"1070","Cog3","Ox","A"
"1071","Cog4","Ox","A"
"1072","Cog5","Ox","A"
"1073","Cog7","Ox","A"
"1074","Coil","Ox","A"
"1075","Commd2","Ox","A"
"1076","Commd3","Ox","A"
"1077","Commd8","Ox","A"
"1078","Commd9","Ox","A"
"1079","Copa","Ox","A"
"1080","Copb1","Ox","A"
"1081","Copb2","Ox","A"
"1082","Copg1","Ox","A"
"1083","Copg2","Ox","A"
"1084","Coprs","Ox","A"
"1085","Cops3","Ox","A"
"1086","Cops4","Ox","A"
"1087","Cops5","Ox","A"
"1088","Cops7a","Ox","A"
"1089","Copz2","Ox","A"
"1090","Coq3","Ox","A"
"1091","Coro1a","Ox","A"
"1092","Coro1b","Ox","A"
"1093","Coro1c","Ox","A"
"1094","Coro2a","Ox","A"
"1095","Coro2b","Ox","A"
"1096","Coro7","Ox","A"
"1097","Cox4i1","Ox","A"
"1098","Cox5a","Ox","A"
"1099","Cox6b1","Ox","A"
"1100","Cox6c","Ox","A"
"1101","Cpd","Ox","A"
"1102","Cpeb1","Ox","A"
"1103","Cpeb2","Ox","A"
"1104","Cpeb3","Ox","A"
"1105","Cpeb4","Ox","A"
"1106","Cplx1","Ox","A"
"1107","Cplx2","Ox","A"
"1108","Cpne1","Ox","A"
"1109","Cpne3","Ox","A"
"1110","Cpne4","Ox","A"
"1111","Cpsf2","Ox","A"
"1112","Cpsf4","Ox","A"
"1113","Cpsf7","Ox","A"
"1114","Cpt1c","Ox","A"
"1115","Cracd","Ox","A"
"1116","Crbn","Ox","A"
"1117","Crcp","Ox","A"
"1118","Creb1","Ox","A"
"1119","Crkl","Ox","A"
"1120","Crlf3","Ox","A"
"1121","Crmp1","Ox","A"
"1122","Crot","Ox","A"
"1123","Crtc1","Ox","A"
"1124","Crtc2","Ox","A"
"1125","Csdc2","Ox","A"
"1126","Csde1","Ox","A"
"1127","Csk","Ox","A"
"1128","Csnk1a1","Ox","A"
"1129","Csnk1d","Ox","A"
"1130","Csnk1e","Ox","A"
"1131","Csnk2b","Ox","A"
"1132","Cstf2","Ox","A"
"1133","Ctbp1","Ox","A"
"1134","Ctdp1","Ox","A"
"1135","Ctif","Ox","A"
"1136","Ctnna2","Ox","A"
"1137","Ctnnb1","Ox","A"
"1138","Ctnnbip1","Ox","A"
"1139","Ctps1","Ox","A"
"1140","Ctps2","Ox","A"
"1141","Ctsb","Ox","A"
"1142","Ctsd","Ox","A"
"1143","Cttnbp2","Ox","A"
"1144","Cul3","Ox","A"
"1145","Cul4b","Ox","A"
"1146","Cul5","Ox","A"
"1147","Custos","Ox","A"
"1148","Cutc","Ox","A"
"1149","Cux1","Ox","A"
"1150","Cwc15","Ox","A"
"1151","Cwc25","Ox","A"
"1152","Cyb5a","Ox","A"
"1153","Cyb5r1","Ox","A"
"1154","Cyb5r3","Ox","A"
"1155","Cycs","Ox","A"
"1156","Cygb","Ox","A"
"1157","Cyld","Ox","A"
"1158","Cyp51a1","Ox","A"
"1159","Cyth3","Ox","A"
"1160","Czib","Ox","A"
"1161","D17h6s53e","Ox","A"
"1162","Dab2ip","Ox","A"
"1163","Dars1","Ox","A"
"1164","Dazap1","Ox","A"
"1165","Dbn1","Ox","A"
"1166","Dbt","Ox","A"
"1167","Dcaf5","Ox","A"
"1168","Dclk2","Ox","A"
"1169","Dcp1a","Ox","A"
"1170","Dcp2","Ox","A"
"1171","Dctn1","Ox","A"
"1172","Dctn3","Ox","A"
"1173","Dctn5","Ox","A"
"1174","Dctn6","Ox","A"
"1175","Dcun1d1","Ox","A"
"1176","Ddb1","Ox","A"
"1177","Ddi2","Ox","A"
"1178","Ddrgk1","Ox","A"
"1179","Ddx1","Ox","A"
"1180","Ddx17","Ox","A"
"1181","Ddx19a","Ox","A"
"1182","Ddx20","Ox","A"
"1183","Ddx39b","Ox","A"
"1184","Ddx3x","Ox","A"
"1185","Ddx3y","Ox","A"
"1186","Ddx6","Ox","A"
"1187","Dennd10","Ox","A"
"1188","Dennd1b","Ox","A"
"1189","Denr","Ox","A"
"1190","Depdc5","Ox","A"
"1191","Deptor","Ox","A"
"1192","Dffa","Ox","A"
"1193","Dgke","Ox","A"
"1194","Dgkg","Ox","A"
"1195","Dgkh","Ox","A"
"1196","Dgki","Ox","A"
"1197","Dgkq","Ox","A"
"1198","Dgkz","Ox","A"
"1199","Dhcr7","Ox","A"
"1200","Dhdh","Ox","A"
"1201","Dhrs1","Ox","A"
"1202","Dhrs13","Ox","A"
"1203","Dhx15","Ox","A"
"1204","Dhx30","Ox","A"
"1205","Dhx36","Ox","A"
"1206","Dhx57","Ox","A"
"1207","Dhx9","Ox","A"
"1208","Diaph1","Ox","A"
"1209","Diaph2","Ox","A"
"1210","Dicer1","Ox","A"
"1211","Dip2b","Ox","A"
"1212","Diras1","Ox","A"
"1213","Diras2","Ox","A"
"1214","Dkc1","Ox","A"
"1215","Dld","Ox","A"
"1216","Dlg2","Ox","A"
"1217","Dlst","Ox","A"
"1218","Dmtn","Ox","A"
"1219","Dmxl2","Ox","A"
"1220","Dnaja1","Ox","A"
"1221","Dnaja2","Ox","A"
"1222","Dnajb1","Ox","A"
"1223","Dnajb14","Ox","A"
"1224","Dnajc16","Ox","A"
"1225","Dnajc6","Ox","A"
"1226","Dnajc7","Ox","A"
"1227","Dnm1","Ox","A"
"1228","Dnm3","Ox","A"
"1229","Dock11","Ox","A"
"1230","Dock3","Ox","A"
"1231","Dock5","Ox","A"
"1232","Dock9","Ox","A"
"1233","Dok1","Ox","A"
"1234","Dok4","Ox","A"
"1235","Dpy30","Ox","A"
"1236","Dpysl5","Ox","A"
"1237","Dr1","Ox","A"
"1238","Drg1","Ox","A"
"1239","Drg2","Ox","A"
"1240","Dst","Ox","A"
"1241","Dstn","Ox","A"
"1242","Dtna","Ox","A"
"1243","Dus2","Ox","A"
"1244","Dusp3","Ox","A"
"1245","Dvl1","Ox","A"
"1246","Dync1h1","Ox","A"
"1247","Dync1i1","Ox","A"
"1248","Dync1i2","Ox","A"
"1249","Dynll1","Ox","A"
"1250","Dynlrb1","Ox","A"
"1251","Dysf","Ox","A"
"1252","Dzank1","Ox","A"
"1253","Dzip3","Ox","A"
"1254","Ebag9","Ox","A"
"1255","Ece1","Ox","A"
"1256","Eci1","Ox","A"
"1257","Ecpas","Ox","A"
"1258","Edf1","Ox","A"
"1259","Eea1","Ox","A"
"1260","Eef1akmt1","Ox","A"
"1261","Eef1g","Ox","A"
"1262","Eepd1","Ox","A"
"1263","Efl1","Ox","A"
"1264","Eftud2","Ox","A"
"1265","Egln1","Ox","A"
"1266","Ehbp1","Ox","A"
"1267","Ehd1","Ox","A"
"1268","Ehd3","Ox","A"
"1269","Ehd4","Ox","A"
"1270","Eif2a","Ox","A"
"1271","Eif2ak2","Ox","A"
"1272","Eif2b1","Ox","A"
"1273","Eif2b2","Ox","A"
"1274","Eif2d","Ox","A"
"1275","Eif2s1","Ox","A"
"1276","Eif2s2","Ox","A"
"1277","Eif2s3x","Ox","A"
"1278","Eif3a","Ox","A"
"1279","Eif3b","Ox","A"
"1280","Eif3d","Ox","A"
"1281","Eif3e","Ox","A"
"1282","Eif3f","Ox","A"
"1283","Eif3h","Ox","A"
"1284","Eif3i","Ox","A"
"1285","Eif3k","Ox","A"
"1286","Eif3l","Ox","A"
"1287","Eif3m","Ox","A"
"1288","Eif4a2","Ox","A"
"1289","Eif4e","Ox","A"
"1290","Eif4e2","Ox","A"
"1291","Eif4e3","Ox","A"
"1292","Eif4enif1","Ox","A"
"1293","Eif4g3","Ox","A"
"1294","Eif4h","Ox","A"
"1295","Eif5a","Ox","A"
"1296","Eif5a2","Ox","A"
"1297","Eif5b","Ox","A"
"1298","Eif6","Ox","A"
"1299","Eipr1","Ox","A"
"1300","Elapor2","Ox","A"
"1301","Elavl1","Ox","A"
"1302","Elavl2","Ox","A"
"1303","Elavl3","Ox","A"
"1304","Elmo1","Ox","A"
"1305","Elmo2","Ox","A"
"1306","Elob","Ox","A"
"1307","Elp1","Ox","A"
"1308","Elp3","Ox","A"
"1309","Elp4","Ox","A"
"1310","Emb","Ox","A"
"1311","Emc2","Ox","A"
"1312","Emc7","Ox","A"
"1313","Emc8","Ox","A"
"1314","Emd","Ox","A"
"1315","Eml1","Ox","A"
"1316","Eml2","Ox","A"
"1317","Eml4","Ox","A"
"1318","Enah","Ox","A"
"1319","Endod1","Ox","A"
"1320","Eno2","Ox","A"
"1321","Ensa","Ox","A"
"1322","Epb41","Ox","A"
"1323","Epb41l1","Ox","A"
"1324","Epb41l5","Ox","A"
"1325","Epg5","Ox","A"
"1326","Ephx1","Ox","A"
"1327","Epm2aip1","Ox","A"
"1328","Epn1","Ox","A"
"1329","Epn3","Ox","A"
"1330","Erc1","Ox","A"
"1331","Ercc3","Ox","A"
"1332","Erh","Ox","A"
"1333","Erp44","Ox","A"
"1334","Esyt2","Ox","A"
"1335","Etf1","Ox","A"
"1336","Evl","Ox","A"
"1337","Ewsr1","Ox","A"
"1338","Exoc1","Ox","A"
"1339","Exoc2","Ox","A"
"1340","Exoc3","Ox","A"
"1341","Exoc8","Ox","A"
"1342","Exosc10","Ox","A"
"1343","Exosc5","Ox","A"
"1344","Exosc8","Ox","A"
"1345","Eya3","Ox","A"
"1346","Fads3","Ox","A"
"1347","Faf1","Ox","A"
"1348","Fam102b","Ox","A"
"1349","Fam107b","Ox","A"
"1350","Fam114a2","Ox","A"
"1351","Fam120c","Ox","A"
"1352","Fam131b","Ox","A"
"1353","Fam168a","Ox","A"
"1354","Fam169a","Ox","A"
"1355","Fam177a1","Ox","A"
"1356","Fam219a","Ox","A"
"1357","Fam234b","Ox","A"
"1358","Fam83h","Ox","A"
"1359","Fam98a","Ox","A"
"1360","Farsa","Ox","A"
"1361","Farsb","Ox","A"
"1362","Fbl","Ox","A"
"1363","Fbll1","Ox","A"
"1364","Fbxl16","Ox","A"
"1365","Fbxo2","Ox","A"
"1366","Fbxo3","Ox","A"
"1367","Fbxo30","Ox","A"
"1368","Fbxo4","Ox","A"
"1369","Fbxw11","Ox","A"
"1370","Fchsd1","Ox","A"
"1371","Fdps","Ox","A"
"1372","Fech","Ox","A"
"1373","Fen1","Ox","A"
"1374","Fez1","Ox","A"
"1375","Fgf12","Ox","A"
"1376","Fgf13","Ox","A"
"1377","Fgfr1op2","Ox","A"
"1378","Fh","Ox","A"
"1379","Fhip1b","Ox","A"
"1380","Fhip2a","Ox","A"
"1381","Fhod3","Ox","A"
"1382","Fitm2","Ox","A"
"1383","Fkbp15","Ox","A"
"1384","Fkbp2","Ox","A"
"1385","Fkbp3","Ox","A"
"1386","Fkbp4","Ox","A"
"1387","Fkbp5","Ox","A"
"1388","Fkbp8","Ox","A"
"1389","Flad1","Ox","A"
"1390","Flii","Ox","A"
"1391","Flot1","Ox","A"
"1392","Flrt3","Ox","A"
"1393","Flvcr1","Ox","A"
"1394","Fmn1","Ox","A"
"1395","Fmnl1","Ox","A"
"1396","Fmr1","Ox","A"
"1397","Fn3krp","Ox","A"
"1398","Fnbp1","Ox","A"
"1399","Fnbp1l","Ox","A"
"1400","Foxk1","Ox","A"
"1401","Foxk2","Ox","A"
"1402","Fra10ac1","Ox","A"
"1403","Frg1","Ox","A"
"1404","Frmd4a","Ox","A"
"1405","Frmpd4","Ox","A"
"1406","Fry","Ox","A"
"1407","Fsd1l","Ox","A"
"1408","Fth1","Ox","A"
"1409","Ftl1","Ox","A"
"1410","Fxr1","Ox","A"
"1411","Fxr2","Ox","A"
"1412","G3bp1","Ox","A"
"1413","G3bp2","Ox","A"
"1414","G6pdx","Ox","A"
"1415","Gab1","Ox","A"
"1416","Gab2","Ox","A"
"1417","Gabarapl2","Ox","A"
"1418","Gabbr1","Ox","A"
"1419","Gabpa","Ox","A"
"1420","Gak","Ox","A"
"1421","Gamt","Ox","A"
"1422","Gap43","Ox","A"
"1423","Garem1","Ox","A"
"1424","Garnl3","Ox","A"
"1425","Gars1","Ox","A"
"1426","Gart","Ox","A"
"1427","Gas2","Ox","A"
"1428","Gatad2a","Ox","A"
"1429","Gatad2b","Ox","A"
"1430","Gatm","Ox","A"
"1431","Gbe1","Ox","A"
"1432","Gcc1","Ox","A"
"1433","Gcc2","Ox","A"
"1434","Gclm","Ox","A"
"1435","Gcn1","Ox","A"
"1436","Gdap1l1","Ox","A"
"1437","Gdi1","Ox","A"
"1438","Gdi2","Ox","A"
"1439","Gemin5","Ox","A"
"1440","Get3","Ox","A"
"1441","Get4","Ox","A"
"1442","Gfpt1","Ox","A"
"1443","Gga1","Ox","A"
"1444","Gga2","Ox","A"
"1445","Gga3","Ox","A"
"1446","Ggt7","Ox","A"
"1447","Gigyf1","Ox","A"
"1448","Gigyf2","Ox","A"
"1449","Gipc1","Ox","A"
"1450","Gk","Ox","A"
"1451","Gkap1","Ox","A"
"1452","Glcci1","Ox","A"
"1453","Glmn","Ox","A"
"1454","Glrx3","Ox","A"
"1455","Gmps","Ox","A"
"1456","Gna11","Ox","A"
"1457","Gnai2","Ox","A"
"1458","Gnal","Ox","A"
"1459","Gnao1","Ox","A"
"1460","Gnb1","Ox","A"
"1461","Gng2","Ox","A"
"1462","Gng3","Ox","A"
"1463","Gnpda1","Ox","A"
"1464","Golga1","Ox","A"
"1465","Golga2","Ox","A"
"1466","Golga3","Ox","A"
"1467","Golga4","Ox","A"
"1468","Golga5","Ox","A"
"1469","Golph3","Ox","A"
"1470","Gopc","Ox","A"
"1471","Gorab","Ox","A"
"1472","Gorasp2","Ox","A"
"1473","Gosr1","Ox","A"
"1474","Gpaa1","Ox","A"
"1475","Gpalpp1","Ox","A"
"1476","Gpatch11","Ox","A"
"1477","Gpcpd1","Ox","A"
"1478","Gpd2","Ox","A"
"1479","Gphn","Ox","A"
"1480","Gpi","Ox","A"
"1481","Gpkow","Ox","A"
"1482","Gpn1","Ox","A"
"1483","Gpr158","Ox","A"
"1484","Gpr89","Ox","A"
"1485","Gprin1","Ox","A"
"1486","Gpx4","Ox","A"
"1487","Gramd1a","Ox","A"
"1488","Gramd1b","Ox","A"
"1489","Grcc10","Ox","A"
"1490","Grhpr","Ox","A"
"1491","Gripap1","Ox","A"
"1492","Grk2","Ox","A"
"1493","Grpel1","Ox","A"
"1494","Grsf1","Ox","A"
"1495","Gsk3a","Ox","A"
"1496","Gsk3b","Ox","A"
"1497","Gspt1","Ox","A"
"1498","Gspt2","Ox","A"
"1499","Gsr","Ox","A"
"1500","Gstp1","Ox","A"
"1501","Gtf2a1","Ox","A"
"1502","Gtf2b","Ox","A"
"1503","Gtf2e2","Ox","A"
"1504","Gtf2f2","Ox","A"
"1505","Gtf3c5","Ox","A"
"1506","Gtpbp1","Ox","A"
"1507","Habp4","Ox","A"
"1508","Hacd2","Ox","A"
"1509","Hacd3","Ox","A"
"1510","Hadh","Ox","A"
"1511","Haghl","Ox","A"
"1512","Hars1","Ox","A"
"1513","Hba","Ox","A"
"1514","Hbb-b1","Ox","A"
"1515","Hbs1l","Ox","A"
"1516","Hdac2","Ox","A"
"1517","Hdac6","Ox","A"
"1518","Hdgf","Ox","A"
"1519","Hdgfl2","Ox","A"
"1520","Hdgfl3","Ox","A"
"1521","Heatr5b","Ox","A"
"1522","Hebp2","Ox","A"
"1523","Hectd1","Ox","A"
"1524","Hectd3","Ox","A"
"1525","Hecw1","Ox","A"
"1526","Helz","Ox","A"
"1527","Hexim1","Ox","A"
"1528","Hgs","Ox","A"
"1529","Hid1","Ox","A"
"1530","Hint1","Ox","A"
"1531","Hint3","Ox","A"
"1532","Hip1","Ox","A"
"1533","Hip1r","Ox","A"
"1534","Hivep2","Ox","A"
"1535","Hk1","Ox","A"
"1536","Hmbox1","Ox","A"
"1537","Hmga1","Ox","A"
"1538","Hmgb1","Ox","A"
"1539","Hmgcs1","Ox","A"
"1540","Hmox2","Ox","A"
"1541","Hnrnpa0","Ox","A"
"1542","Hnrnpab","Ox","A"
"1543","Hnrnpdl","Ox","A"
"1544","Hnrnpf","Ox","A"
"1545","Hnrnph2","Ox","A"
"1546","Hnrnpll","Ox","A"
"1547","Hnrnpul1","Ox","A"
"1548","Hnrnpul2","Ox","A"
"1549","Hook3","Ox","A"
"1550","Hopx","Ox","A"
"1551","Hpcal1","Ox","A"
"1552","Hprt1","Ox","A"
"1553","Hps5","Ox","A"
"1554","Hs1bp3","Ox","A"
"1555","Hsbp1","Ox","A"
"1556","Hsd17b12","Ox","A"
"1557","Hsd17b4","Ox","A"
"1558","Hsdl2","Ox","A"
"1559","Hspa2","Ox","A"
"1560","Hspa4","Ox","A"
"1561","Hspa4l","Ox","A"
"1562","Hspb1","Ox","A"
"1563","Hspb8","Ox","A"
"1564","Hspbp1","Ox","A"
"1565","Hspe1","Ox","A"
"1566","Hspg2","Ox","A"
"1567","Hsph1","Ox","A"
"1568","Htatip2","Ox","A"
"1569","Htatsf1","Ox","A"
"1570","Htt","Ox","A"
"1571","Huwe1","Ox","A"
"1572","Iap","Ox","A"
"1573","Iars1","Ox","A"
"1574","Ica1","Ox","A"
"1575","Ide","Ox","A"
"1576","Idi1","Ox","A"
"1577","Ift20","Ox","A"
"1578","Ift22","Ox","A"
"1579","Igf2r","Ox","A"
"1580","Ikbkg","Ox","A"
"1581","Ilrun","Ox","A"
"1582","Immt","Ox","A"
"1583","Impa1","Ox","A"
"1584","Impact","Ox","A"
"1585","Impdh2","Ox","A"
"1586","Ina","Ox","A"
"1587","Inf2","Ox","A"
"1588","Inpp1","Ox","A"
"1589","Inpp4a","Ox","A"
"1590","Inpp5f","Ox","A"
"1591","Inpp5j","Ox","A"
"1592","Ints1","Ox","A"
"1593","Ints12","Ox","A"
"1594","Ints7","Ox","A"
"1595","Ip6k1","Ox","A"
"1596","Ipo11","Ox","A"
"1597","Ipo7","Ox","A"
"1598","Ipo9","Ox","A"
"1599","Iqcb1","Ox","A"
"1600","Iqsec1","Ox","A"
"1601","Irf3","Ox","A"
"1602","Irgq","Ox","A"
"1603","Irs2","Ox","A"
"1604","Iscu","Ox","A"
"1605","Isl2","Ox","A"
"1606","Isy1","Ox","A"
"1607","Isyna1","Ox","A"
"1608","Itgb1","Ox","A"
"1609","Itm2c","Ox","A"
"1610","Itpk1","Ox","A"
"1611","Itpkc","Ox","A"
"1612","Itsn1","Ox","A"
"1613","Itsn2","Ox","A"
"1614","Iws1","Ox","A"
"1615","Jak1","Ox","A"
"1616","Jakmip1","Ox","A"
"1617","Jmy","Ox","A"
"1618","Jph3","Ox","A"
"1619","Jpt1","Ox","A"
"1620","Jund","Ox","A"
"1621","Kank4","Ox","A"
"1622","Kars1","Ox","A"
"1623","Katnal1","Ox","A"
"1624","Katnb1","Ox","A"
"1625","Kazn","Ox","A"
"1626","Kcmf1","Ox","A"
"1627","Kcna1","Ox","A"
"1628","Kcna2","Ox","A"
"1629","Kcnab2","Ox","A"
"1630","Kcnb1","Ox","A"
"1631","Kcnb2","Ox","A"
"1632","Kcnd1","Ox","A"
"1633","Kcnd3","Ox","A"
"1634","Kcnq2","Ox","A"
"1635","Kcnt1","Ox","A"
"1636","Kctd16","Ox","A"
"1637","Kctd8","Ox","A"
"1638","Kdsr","Ox","A"
"1639","Khdrbs1","Ox","A"
"1640","Khdrbs3","Ox","A"
"1641","Kiaa0100","Ox","A"
"1642","Kiaa0513","Ox","A"
"1643","Kiaa1522","Ox","A"
"1644","Kiaa1841","Ox","A"
"1645","Kif1a","Ox","A"
"1646","Kif1b","Ox","A"
"1647","Kif21a","Ox","A"
"1648","Kif2a","Ox","A"
"1649","Kif3a","Ox","A"
"1650","Kif3b","Ox","A"
"1651","Kif5a","Ox","A"
"1652","Kif5c","Ox","A"
"1653","Kifap3","Ox","A"
"1654","Klc2","Ox","A"
"1655","Klhl9","Ox","A"
"1656","Kpna1","Ox","A"
"1657","Kpna3","Ox","A"
"1658","Kpnb1","Ox","A"
"1659","Krit1","Ox","A"
"1660","Krt77","Ox","A"
"1661","Krtcap2","Ox","A"
"1662","L1cam","Ox","A"
"1663","Lama2","Ox","A"
"1664","Lama4","Ox","A"
"1665","Lamb2","Ox","A"
"1666","Lamc1","Ox","A"
"1667","Lamtor1","Ox","A"
"1668","Lamtor3","Ox","A"
"1669","Lancl3","Ox","A"
"1670","Larp1","Ox","A"
"1671","Larp4","Ox","A"
"1672","Larp4b","Ox","A"
"1673","Larp6","Ox","A"
"1674","Lars1","Ox","A"
"1675","Lbh","Ox","A"
"1676","Lcp1","Ox","A"
"1677","Ldah","Ox","A"
"1678","Ldb1","Ox","A"
"1679","Ldb2","Ox","A"
"1680","Ldb3","Ox","A"
"1681","Ldha","Ox","A"
"1682","Lemd3","Ox","A"
"1683","Letm1","Ox","A"
"1684","Lgals8","Ox","A"
"1685","Lifr","Ox","A"
"1686","Lmcd1","Ox","A"
"1687","Lmnb1","Ox","A"
"1688","Lmnb2","Ox","A"
"1689","Lnpep","Ox","A"
"1690","Lnpk","Ox","A"
"1691","Lpcat1","Ox","A"
"1692","Lpcat4","Ox","A"
"1693","Lpin1","Ox","A"
"1694","Lrch1","Ox","A"
"1695","Lrrc47","Ox","A"
"1696","Lrrc49","Ox","A"
"1697","Lrrc57","Ox","A"
"1698","Lrrc59","Ox","A"
"1699","Lrrfip1","Ox","A"
"1700","Lrsam1","Ox","A"
"1701","Lsg1","Ox","A"
"1702","Lsm12","Ox","A"
"1703","Lsm14a","Ox","A"
"1704","Lsm14b","Ox","A"
"1705","Lsm4","Ox","A"
"1706","Luc7l","Ox","A"
"1707","Luc7l3","Ox","A"
"1708","Luzp1","Ox","A"
"1709","Lxn","Ox","A"
"1710","Lysmd2","Ox","A"
"1711","Lztfl1","Ox","A"
"1712","Macf1","Ox","A"
"1713","MACIR","Ox","A"
"1714","Maco1","Ox","A"
"1715","Madd","Ox","A"
"1716","Maged1","Ox","A"
"1717","Magi3","Ox","A"
"1718","Magoh","Ox","A"
"1719","Mal2","Ox","A"
"1720","Maoa","Ox","A"
"1721","Map2k1","Ox","A"
"1722","Map2k4","Ox","A"
"1723","Map2k6","Ox","A"
"1724","Map4k5","Ox","A"
"1725","Map7","Ox","A"
"1726","Map7d1","Ox","A"
"1727","Map7d2","Ox","A"
"1728","Map9","Ox","A"
"1729","Mapk1","Ox","A"
"1730","Mapk8ip3","Ox","A"
"1731","Mapk9","Ox","A"
"1732","Mapre1","Ox","A"
"1733","Mapre2","Ox","A"
"1734","Mapre3","Ox","A"
"1735","Mark1","Ox","A"
"1736","Mark2","Ox","A"
"1737","Mars1","Ox","A"
"1738","Mast1","Ox","A"
