"","Ox_f_T_Slot2-16_1_3811","Ox_m_T1_Slot2-13_1_3813","Ox_m_T2_Slot2-14_1_3820","Ox_m_T3_Slot2-15_1_3816"
"Rabl2",40836.465031507,31165.2564431968,32832.3640011792,35611.350500865
"Smchd1",NA,21828.9,NA,30058.2
"Ppfia3",11017.3048193837,10860.9431741562,10838.2248717245,17646.5667256557
"Uchl5",30876.4916577958,29634.7276613469,25621.7237787962,23149.0220623422
"Mospd2",16057.528044865,15142.0313041635,12298.2118659522,15921.3232571253
"Stk24;Stk25",38239.9845837336,50828.4151042249,43610.5887790259,48782.8633643163
"Stau1;Stau2",36238.9,50757,53802.1,46419.2
"Fbxl16",27238.474634457,30777.288796758,25543.065680989,30527.9148211508
"Paip2",92434.4211432973,73973.9716439562,64176.0455853283,64673.8082294869
"Abr",44834.9547733244,45116.881043881,39620.9973151454,42105.9914268115
"Cacnb4",18874.9,23308.6,14577.1,22129.5
"Cacnb1",11418.3334491295,21392.4324489846,20931.0285749461,18010.3329225703
"Eif3i",24946.5677368416,21606.2975668949,11704.6721544855,15870.680127188
"Rps28",23265.4364562475,16937.9911311017,20762.3767999808,18163.8960806573
"Zfr",29946.645823947,23789.9946797898,27572.1351127627,27779.0042471235
"Aip",29755.1999997384,30217.7573880806,31333.509506046,28256.9172748073
"Cd2ap",62426.8804051276,75754.6039653449,77115.0887468782,73963.9369513404
"Cacnb3",5971.92,11313.3,10296.9,9897.39
"Prdx2",132856.647738073,160572.125025117,160866.493406957,132372.226299438
"Akap10",28632.6066834946,30696.0406654346,30561.5659809679,32329.938408684
"Ssb",23279.933281972,21639.0025008965,24586.9867030859,25438.6922876307
"Csk",21064.9055994244,19666.7551942547,19446.0948389181,17140.8340493237
"Rps27a;Uba52;Ubb;Ubc",444130.722993542,645725.389447431,697421.999992058,720343.952578681
"Ppp1r21",26573.4281840178,24693.7139946906,21641.5457520006,22063.347845117
"RTRAF",37120.0900670752,35871.4389047549,32576.5709745541,31254.9958277372
"Sap30bp",16747.2751843007,17591.0924603454,16790.9278483343,15476.8527124725
"Madd",46907.1723887944,48504.0477126841,49708.3703949751,45572.1976179882
"Rab6b",50015.2997097092,58929.9748339469,62411.2284641912,68393.5798901065
"Ppia",116872.846913655,109780.034352745,120538.136471571,101384.107796197
"Rabl3",128990.803604276,116607.556577973,136639.149944244,127518.66843484
"Fads3",37592.2,36738.8,33953.2,26163.2
"Stk39",25171.338324229,27616.1486748404,26061.5493083589,22253.0025280577
"Ampd2;Ampd3",48947.6,37449.9,37819.8,25665.1
"U2surp",59027.7100522317,51267.6568801569,55331.274689041,50461.2109327734
"Rnf40",44787.0237387842,38588.9007472473,38876.6190908273,36638.2621726605
"Prkcq",26675.4385029663,18882.0772528637,16886.1598275812,16350.5415511295
