"","Ox_f_T_Slot2-16_1_3811","Ox_m_T1_Slot2-13_1_3813","Ox_m_T2_Slot2-14_1_3820","Ox_m_T3_Slot2-15_1_3816"
"Soga3",83988.4735439669,90812.6719426026,85738.8445674676,93830.8125455153
"Ddrgk1",45885.6183880395,43892.4373000453,50752.7590351514,59122.3666238675
"Edc4",91022.8018421313,112549.482386633,98608.5876338959,106029.693460804
"Nckipsd",76106.0827032723,76790.3556578288,82570.3754381476,72927.821098768
"Stip1",132838.78917306,127240.402470339,129988.047601705,138746.359256932
"Bcar1",30955.5399539727,27808.8589979709,27939.1527481,27368.2200949102
"Chchd3",122439.896248893,139482.048208646,126498.845041011,149395.847892936
"Mepce",99688.1533628285,89504.6788069591,92726.4683117749,78528.2510040949
"Ddx20",15284.4403232926,14814.2123580943,13730.3232263284,15542.3110227309
"Copb1",117019.841299094,105533.143231473,96009.1156647055,94596.6256380634
"Golga2",19821.7735955311,18613.7514085137,17894.7837115236,21275.227468131
"Mecp2",126966.789851293,145436.893191083,138094.7714638,148262.778771097
"Rab3gap2",108348.758200679,114479.053795502,108596.568385693,114954.924769644
"Itm2c",8396.48,14921.5,NA,12760.4
"Caskin1",50564.6385405125,52824.2509062838,55740.8222619204,58411.3250220097
"Cep170b",42184.9935640039,39706.5156593945,38555.5811294487,39271.2541032689
"Marcksl1",4919.04,6271.48,6480.39000000001,5287.6
"Kcnd1",26046.6530157792,26462.1611532554,21366.6717302959,20752.5331870033
"Psmd9",22748.0814295379,17034.4435783916,20274.6125761402,15529.343761428
"Lcp1",71225.4041287513,75625.2840237752,76053.9467407862,84620.8472509688
"Pacsin2",69618.3201188828,60043.112693988,72110.5207741582,73986.6240500715
"Rabl6",125992.698525437,108233.676527262,123427.580827249,110297.128620068
"Magi3",29473.8016983998,27287.8518436343,25537.4257833582,27465.7898383233
"Tp53bp1",71552.2184945638,68058.4563390328,71555.7387605918,67016.609542266
"Srpk2",44641.0103904385,31442.0344838348,43579.6644239469,40862.8059913852
"Acbd6",8362.29566157448,9052.31180589626,10042.5327534661,8592.18280415567
"Prkra",197768.596559828,209539.838295934,251023.971842319,220603.720407156
"Map1b",1686361.02067028,2215881.53000308,2377478.76098973,2147788.74796512
"Shc1",10608.8345882029,10281.8352969656,9947.60942155795,10273.7344149673
"Prkcd",73370.4103806667,64285.204152264,71106.035297956,76744.7076167655
"Aak1",196491.071932086,219862.011135258,231344.941655711,232774.588521202
"Clasp1",42005.0789466291,48827.2929397003,49039.7479817381,49456.3899217812
"Acaca",79594.4187369035,93610.6207167231,90248.7503507826,98709.9805166754
"Ppp1r12c",23035.408459524,23218.6672168666,24677.8793058282,23227.5896711134
"Dmxl2",52339.8635597757,56377.7440699156,55183.0372955887,60557.6719055416
"Atp1a1",77420.3236102254,84858.831778211,91141.0736199902,92335.8071514196
"Kif5b",60885.4257861382,66223.6596966846,62793.1249163955,66761.8570792957
"Fkbp4",238342.016593737,223699.217638182,209838.286658365,177671.515608925
"Map4",2285292.44893547,2693889.20548995,2653691.77859094,2545473.98731254
"Copb2",161823.024059415,173534.290414137,197325.240000738,179254.865028069
"Mars1",187531.126316516,188868.937849778,185627.761499955,208445.686221892
"Tom1l2",107046.629378701,105918.260294583,109204.356936547,102804.329070999
"Clip2",46925.3634629603,46495.3609507606,52854.764562813,51147.548637697
"Hnrnpm",139312.588013986,158366.471270184,144222.84658385,170027.489464568
"Kif1a",57868.1195702631,69034.2930946225,69127.3018055645,69604.4625249958
"Tagln3",202977.841316849,246436.849677505,235368.862417252,218684.562231507
"Ywhae",50388.1293806201,53003.5287022533,51287.1284302369,43924.0009404311
"Lrsam1",65609.5253722489,78051.3580465942,71954.6779382754,84459.9686981686
"Srrm2",159982.767153189,157760.162275469,153012.406193952,138220.314121463
"Sdha",31739.7165215833,34582.0812318264,35156.5486571867,39145.3702274223
"Nup50",54477.2147799486,55721.6238876959,60461.447182198,53502.3166572352
"Commd3",14069.6694031501,17658.6941765725,12877.4547986717,12837.5388706469
"Ccdc124",43449.3914813706,43286.5674438224,46696.1384717104,40222.3237421461
"Ap3b2",150793.025379898,154821.774078099,169969.629944439,178561.443662574
"Gclm",79548.7410524641,80481.3141905439,89425.1423431735,99147.2950808291
"Ppp6r2",24113.985614911,24661.3030128442,26188.4416591657,24494.3454364271
"Rida",33255.2883346853,21592.0709869146,25922.9233042529,27531.1620566016
"Tigar",149109.235110259,146509.973829343,157340.667316759,166149.773789974
"Nolc1",17047.4109709153,20147.1900773688,17138.679847047,20726.5778045935
"Cdc5l",21708.1569685936,20200.9042083598,24323.51674748,22290.1703575879
"Sf3b1",132678.60557405,134310.877658036,143792.834273997,149631.742880312
"Igbp1",75863.4341757101,82493.7381225886,75920.0496984539,77398.3862928416
"Inpp5j",17785.1221246001,12128.5180819324,17014.5717228829,17986.5435884938
"Amer2",91305.523458109,80561.3147782007,68880.8180655315,79601.8668225162
"Rplp1",31905.7,34682.1,42802.7,31730.6
"Ruvbl2",27100.5799038197,29529.072311783,29116.2654348805,28525.0952568834
"Chmp4b",777021.145977747,896382.998111837,941788.956405554,764513.231305753
"Stxbp1",165182.975290607,167188.836433016,184898.950651343,197311.840884854
"Rpl14",1021851.84045435,1202202.01110909,1351661.38829525,1160600.92628322
"Fus",413551.915078987,401784.782981104,408161.543300864,366682.367356041
"Eif4g3",96442.9147872994,111881.908627994,119480.442196842,122030.002974746
"Phb",34143.5773869761,25945.30353369,23621.9177621287,31102.8060344882
"Exoc3",28155.2895173449,29052.7854344781,26830.1946232775,30171.9902809678
"Eml4",21238.4312448852,17979.4093167481,23331.958548,24819.0087523435
"Iscu",29028.8230170429,36788.1645541242,37150.9486874404,36090.0798835193
"Dpysl3",142145.266249154,174672.874375972,190794.835383328,203106.480609814
"Pcp4l1",499174.690267978,618755.725734918,660838.39988963,654138.999992529
"Ryr2",82746.2306436991,81183.7938074785,94145.8463577656,86981.7409867927
"Synm",928716.71473297,1064663.69416663,1169830.64339587,1088305.46593418
"Hars1",59277.4373836948,38941.499999635,39694.2412295509,41611.4865996701
"TurboID",8126010.25051952,6719425.27160196,7840365.80977131,6546295.91092586
"Ncoa7",70674.8807895064,63709.3204821307,62224.5113939681,61358.7647088212
"Cplx2",192758.681430984,311732.96017317,455734.171177464,289488.074935423
"Kank4",16758.9897584712,15790.6891332856,16158.8880186952,14419.8089650353
"Ccdc43",21692.6708301744,25712.3634198784,23288.6635233727,15036.199999876
"Ube2o",61350.3574818814,61601.7270347838,65573.6514558957,61247.2064307402
"Calcoco1",15252.8035294046,17175.6378609538,16164.2385448981,16441.9051559749
"Ppp2r5b",59485.6487046291,56098.7737629838,63369.7133421044,54834.5254211196
"Amph",197918.816893485,200221.286131587,207240.423993179,211064.672003449
"Huwe1",43271.5750649736,45617.1375236272,37791.3653803857,33687.1639216518
"Htt",13439.3540802512,14558.5682220724,15270.410679205,15426.8112913347
"Ptpn23",22084.0045313802,24533.7233143489,23419.9672289532,24609.7982283828
"Kif2a",40515.6723720397,37052.274894064,37705.574638641,39790.7331352766
"Rps25",117217.622685124,100399.342898514,96897.3694016324,86822.3611537104
"Aspscr1",25873.0594255133,25251.1805620783,28202.5485563288,24251.4852380914
"Dffa",55373.667000314,69479.3343848733,69327.9825963344,68053.153227471
"Eif4g1",156335.761830653,171472.719988408,180359.313438933,186664.709601845
"Rbm17",109545.605530283,115728.357798149,108551.931408088,100162.787314951
"Acsl4",46123.0469796158,49682.0293972393,46504.1201254992,41322.8268012036
"Prmt8",28623.1195822449,29389.1496273194,34865.4726350655,29393.7849478986
"Tln1",65265.9657288905,66777.1934388858,69427.1141715186,73570.8501554563
"Nefh",1465323.25408989,1998797.99310707,2236211.92303251,2020048.06799401
"Cpt1c",22521.7952131221,24354.4122230263,25087.8999997828,26360.4545345427
"Cdv3",152038.604018917,167555.415486496,174761.805671911,139379.799065821
"Habp4",157244.809165939,183008.894791553,178114.146403398,159136.388051121
"Wipi2",119363.996797894,131953.026014279,132240.596379284,139501.059874798
"Hip1r",10179.0368160175,10447.219595122,8972.66065623598,10188.9023465459
"Acin1",86405.6721899261,91963.7249308158,88422.524646767,89592.4587994062
"Nptn",7879.36999999999,13765,13237.8,15508.5
"Arfgap3",34835.7993867451,41833.2660535991,39864.3776971978,43148.0833565422
"Ppa1",49167.8526451449,48006.1633565791,50871.3505632322,45072.6447766082
"Nup214",76288.0029195096,80397.5379146759,74349.4251414549,69814.2395265497
"Znf592",10760.3195498052,10682.3327176064,6962.20347646194,9169.73069738555
"Bag3",754280.283663823,762418.108432501,752579.311772942,764019.717204665
"Lpcat1",66363.3234058543,73525.7490125632,72362.9948296159,82271.0030412179
"Arfgap1",75878.9837654962,80450.5863424942,69846.0273244518,62733.5060038449
"Ik",58869.8365221647,56539.7207076025,70781.3923613736,66885.8094904664
"Dab2ip",27936.3723810474,28094.6303623928,24692.7464966372,24874.6953712788
"Znrd2",15900.4968213585,17234.3551341265,16794.4240338331,16770.3168667885
"Aldoa",118791.00001145,94679.0592878634,101585.296145708,94924.1839554184
"Srcin1",25453.4124271558,27305.0289026784,24336.0165609217,25575.8586801508
"Rpl32",36728.5861243686,30593.54312359,26652.1241363686,20911.6074864777
"Eea1",26887.673139655,28505.7796217185,26035.1570763724,25380.8069135756
"Hk1",80664.6897244323,69901.1089861491,72318.9303249564,80988.2773465939
"Sync",50552.042084238,55810.9047706646,58422.9473720367,57364.6546432561
"Txlna",22286.2089644412,22493.2185228755,23541.5322657319,26411.2168920986
"Bcr",21391.091834706,22005.9345801443,14953.0893287777,21118.5253807014
"Gap43",38415.0523265219,50544.7076665733,51849.9395482762,40738.1400479279
"Csnk1a1",57958.490996517,49438.8988696404,59708.2607390138,52999.0305642756
"Nsf",94431.5137391223,107962.357954795,98018.3085919807,107902.842000464
"Mbnl1",794233.410292487,885249.042508138,842368.205440232,804408.760316939
"Prkar2b",122023.382251341,122314.421725936,125901.87813996,145861.933144266
"Tdp2",16341.0327733886,15493.7999998718,13890.2870636614,15766.1168236058
"Atxn2",106514.300855961,107381.474767968,119426.338555328,115754.051142812
"Eif4b",676977.883718258,730294.699737723,717685.568271013,710959.647886953
"Golga5",187379.537318031,166790.807614656,175168.607479307,173288.61530894
"Lxn",24006.8422421606,24707.4834282103,35470.7440013477,35578.7407571215
"Pclo",22347.7394683931,20505.0620848147,19410.0429216483,19042.1069572365
"Strap",105205.788079181,130905.903813148,147872.345588016,116187.058404959
"Trim36",38659.8400985436,42893.2815494662,38855.0006900391,42345.5395156533
"Jpt2",87071.8503828134,70569.6862541223,69261.6999993294,52294.1999994937
"Fhip1b",125347.228552807,112506.324290045,118021.982018572,134966.441330881
"Tmod2",54582.7977949048,59615.6717759592,49693.6123355146,57661.7786029709
"Lrrfip1",16808.3398460172,16596.0208063081,17306.2536401557,14089.7259740384
"Dcun1d1",18543.8957950031,21778.566827185,19113.7692071807,17418.5811356864
"Fam177a1",37791.7216989924,35545.541901203,35609.3811198657,28528.0035771732
"Ncam1",430010.720535368,369199.438212555,381648.372049755,372426.670835756
"Stau2",55081.5877681006,61777.3143972461,60246.446446755,61956.2814577095
"Hnrnpc",166032.891363988,145477.525569083,163987.747265442,157080.815865553
"Ralyl",112161.51451546,106697.868280731,109026.758466965,85154.0168894868
"Pcp4",36610.5762747299,34606.9423203989,49666.2179856052,30938.6632796483
"Uba1",90480.8101719122,82347.6852349443,83634.2526647224,83910.7393204952
"Zc3h11a",30509.5920692719,26975.3150809959,28521.2193485895,29370.6057468767
"Edc3",24012.720649224,28028.0152226152,22564.594620343,29416.0471228419
"Aimp2",43039.1134500768,40675.1558400174,44047.2316893295,42196.9518981545
"Trappc12",47303.3254925454,46996.3075760097,42453.434368464,41506.5020466897
"Dzip3",37961.8918192086,37781.9030303585,35235.2304097369,36805.5318991285
"Dlst",67978.8497894103,73169.0162525069,67204.1596405227,65333.1351232496
"Mical1",50293.4340628154,52558.3385533855,50254.6952119941,52768.1030861687
"Ewsr1",24515.9392072665,22237.7914741754,23246.3553590275,23507.9671384899
"Wdr7",20864.1876231833,26489.7531705425,27394.6414844737,31860.0215172019
"Raly",40254.412767076,45208.7730638002,40775.8504447889,41820.0021457451
"Enah",98156.3156396183,120092.728994834,125191.297286149,110889.555421033
"Atp1a1;Atp1a2;Atp1a3",89722.5852164881,91584.1024858869,101945.357260729,99874.3321486751
"Eno1;Eno2;Eno3",40938.2,39877.3,42980.1,33355.6
"Ncl",408748.889318459,388446.091318198,425082.845842999,394794.41163119
"Tln2",36071.4635414732,38449.6195694083,38198.2636195886,41221.4601319128
"Zfyve16",40743.4416453408,35676.2028174639,33134.5717077504,29744.2786056395
"Rpp30",28509.33066133,22191.914301252,22850.2082328041,20871.4637512269
"Add1",162510.201307849,145420.22960177,158124.0033239,148704.073646113
"Nacad",1080856.67014226,1085206.35232252,1110680.14628048,1046850.46490949
"Wdr47",11319.9809209715,11019.6754273436,12987.2723245537,11985.1326408286
"Ykt6",84682.4035348629,80748.3372452633,94437.6956929336,74225.7330670717
"Slc25a5",60481.8543783987,76896.9478843256,87982.2513681111,73563.8648863717
"Ccar2",89048.4854401415,94456.795720057,90675.5426483686,106553.218356055
"Rars1",78392.5917469333,80700.6220333044,79834.8248472119,86617.780779382
"Gnb1",47339.6380936363,36723.2999996655,42404.1999996139,34854.027747241
"Elapor2",39546.3071824032,39998.5876171323,39491.4168230711,36487.1988131471
"Rundc3a",91416.1938654516,92991.3086480484,102931.97834879,93659.6234689691
"Gigyf2",58696.036878962,63522.1699632015,60484.6854633754,67705.8748443
"Exoc8",47336.5728867126,41660.6760963912,42499.6727759955,40204.6192542225
"Arfgef1",84714.3978914004,85549.0802026409,85869.4965591737,83496.0724031086
"Ablim2",44616.7881376888,54676.628331258,56645.9330554818,56665.1507792138
"Vwa5a",453224.647879174,595126.475880489,624801.295326049,656740.319771013
"Nudt2",12603.8455216131,13619.0467911765,14904.3283851502,8244.81096859375
"Vat1",24869.7899485422,25695.2728514561,23617.3284471299,24677.556006352
"Arrb2",46842.3165786356,36534.3297399116,38893.1093353384,39044.0403343365
"Uba6",69042.4739500297,67457.5734065079,71761.464626934,72039.4543725752
"Pi4kb",39913.7491843321,32935.7331359795,35046.4012235156,38861.6227788696
"Cbwd1",78170.1250079175,58276.8614687665,64464.5032471317,49689.822312678
"Gpatch11",20672.7258939478,23866.932205082,23923.5323775868,26596.1363328545
"Rps3a",1301074.84479038,1075050.70330273,1197158.16986956,904425.699143568
"Arfgef2",42948.4418894513,44500.8387283337,39338.6542442536,50545.2880980955
"Ktn1",141268.074950042,180755.071529624,181735.550846534,167867.522981156
"Atp1a1;Atp1a2",13647.8158490037,25912.349639797,25746.6920742899,26213.6996204792
"Ank1",129480.126720745,149464.451751301,148452.24576244,163989.637101136
"Dync1i2",198189.644837859,193570.935620149,190363.669540754,174677.861809854
"Ncbp2",64369.2595810206,67623.0193488451,72211.3138370442,55925.9419301193
"Anxa5",151827.318369645,118418.872358264,134507.206308281,127263.019087335
"Atg3",21740.0999998142,19954.7198470605,18738.936354884,20996.0999998205
"Vamp1",36346.8565691996,41447.5772312224,40314.204166631,38564.8697094246
"Vamp2",86768.3473846184,105245.652378445,105205.611951256,108290.715143186
"Ccdc115",14412.019328572,11630.0773970954,11342.6146724667,11891.2700574548
"Gorasp2",341934.434172819,269090.481615213,309573.448605427,232313.522592218
"Eya3",12597.4987313818,8101.94013042843,14510.8728735954,11272.9734300779
"Ahsa1",219130.867031913,194575.275926688,216812.686051765,193377.452157331
"Ap1g1",17138.3314292401,17595.3733418347,19602.4054909075,14685.1676825077
"Akap12",357473.703078379,325468.164932142,367452.808919768,344155.826548124
"Septin5",118097.950424166,118855.822645077,129651.755913174,127920.088151196
"Wbp11",50839.8390883008,45636.817091866,43133.985627447,40107.1455788979
"Cog4",59302.8638632496,60654.3859418611,49436.3012007778,63598.1390405326
"Map2k6",16253.3722126012,17721.1446250185,11925.0612758072,14709.8492220255
"Sart1",39898.3712759271,32422.7494736347,37310.5298338198,41464.0619447763
"Eif3g",823699.611393814,868490.876293698,887390.315533343,623210.630141816
"Elob",37074.976650476,39445.3109260648,34003.7740508991,33936.2123536476
"Dars1",44891.1337564265,39774.9955932376,41591.3685819818,43285.5329802394
"Dgkg",30161.9237790417,27731.1304139643,23893.2026578843,24098.7233065158
"Pc",176463.954587661,249212.169939737,227838.443887886,280795.43823398
"Depdc5",41179.9179634667,33687.9668343206,31028.8416950477,37084.2812738097
"Prdx1",151315.792550458,154304.630733018,151266.858169584,145780.746568956
"Cux1",57341.4904055715,54106.3428943904,48489.3946394303,55739.8564011391
"Tmem87a",10161.677924231,7936.43829249066,6490.28909307396,6864.90718838794
"Cfdp1",28402.5343589562,43734.2711069429,40079.1185644954,35298.6690306375
"Palm",131522.546353141,121463.416596019,116951.498576599,113784.703759509
"Myh9",209436.448934916,219374.451043426,232694.667906375,227014.830108401
"Vars1",365043.056025349,395000.76034225,399111.768319206,387196.650808889
"Serpinb6",32984.5912961188,39659.3905337235,35959.0375063327,38339.1519852691
"Fkbp8",66757.2515026743,80276.1366496751,74942.5313934397,78907.568000204
"Tanc1",63213.3555901717,59534.4949998309,70941.1860842085,75853.172527211
"Ranbp2",89629.6639620655,86373.5397512149,86459.1111258479,89555.7734354113
"Naa35",85882.5657882302,82913.9976781276,86026.9304557661,70604.4775172205
"Dld",11748.6302178252,13252.5534398729,13765.5669878819,13146.248629323
"Syncrip",275320.89156547,286514.063564066,337031.270871222,256469.603617514
"Rps8",69492.9748944922,68842.890568932,68596.5686929098,62160.1518162158
"Hsp90ab1",133301.517539493,170043.370484545,170999.795656056,192121.38414603
"Map6",366759.676564951,429256.560376788,424506.525461239,410182.558885002
"Otud4",41102.3257475792,40137.5143878167,39138.8085112606,42451.7789745106
"Snx7",29637.5796061237,30240.4795687894,28875.6583761918,28704.7859980174
"Golga4",92625.967536332,101328.007824192,94961.8311454959,96489.0683698794
"Paip1",44232.8279546171,44246.6623688891,40903.2455477362,42706.1500070234
"Lsm14b",90529.5419996526,80051.0504865026,81901.7945828767,92834.3316866584
"Mpdz",11095.197243227,10268.7211432409,6000.25953442168,5794.70691235774
"Oxr1",127048.462112644,128782.624844521,137505.66158792,127640.03662442
"Cycs",51708.1676305358,40684.9153357183,41182.5863149742,60362.3937011849
"Hsp90aa1;Hsp90ab1",249277.013263717,218169.577123184,255502.655831861,243976.729501981
"Efhd2",446134.590243094,512039.254123813,532733.74968603,465215.537440842
"Rab27b",60075.7008085928,53592.6241416416,50069.8116371967,42591.2536419164
"Slc9a1",47594.4054970022,33410.3371194301,29664.2422785863,37369.7084811776
"Pacs1",30446.3212102899,32143.6707661765,31927.4493894649,40309.6520497366
"Ankrd52",34795.9718371062,29515.4788524334,33439.4068338556,32826.558401526
"Tars1",423695.918808306,379148.071362762,394083.59265206,327859.249090282
"Isyna1",36067.7009472425,27216.6818171371,29557.2281697376,25937.1636790519
"Uba2",23741.9524987827,24479.664476333,23107.1198946594,23483.6440548357
"Stk24",42512.2186537084,43952.9249282236,47312.499929777,44704.6493574055
"Ilf3",59485.0341066391,55932.9902364177,51844.6981971396,60858.4798320683
"Napa",19089.5800953589,20293.0678349352,20761.1132658683,20320.9449930145
"Micu3",11188.3790960145,4927.87427426129,6576.1359920554,7166.60019559263
"Ccdc93",32183.6792450165,28750.0636515178,28882.988854399,29853.2596648075
"Rps6ka1;Rps6ka3",31547.6789345529,32930.5696465713,32186.6238956834,39783.752897456
"Cend1",5307731.71499036,4645491.65363761,4884110.46492905,4924091.75524819
"Samhd1",66650.384399131,67756.9025093176,65308.9022570753,70837.107210022
"Coro1a",62873.532228165,49827.3631306425,59036.9928103367,60272.7399976994
"Tln1;Tln2",55674.5471336127,60325.7873983548,63001.0696484637,63896.5351919263
"Map2",905475.92705582,1141287.63672269,1165506.25286268,1114320.28743881
"Ehd1;Ehd3",40241.6665682065,37587.1094209152,43751.605377578,46578.6360655533
"Snap25",675714.892479983,705449.564233853,849371.508499944,645979.84899125
"Prph",4336749.329901,4544202.54289722,4804020.16108924,3763131.79867495
"Taf9b",26540.4119133622,21598.6329068762,20304.9970592755,20797.8949682021
"Bsdc1",60599.5992734263,59007.2606861935,54462.9349023237,50565.4842328614
"Gprin1",42042.2622506157,37437.2354311333,35694.5234269259,32963.3143259753
"Srgap1",50335.7975789017,48222.8785226596,50809.2368907153,41426.0920773886
"Akap13",28667.7612658916,31664.0420783717,29472.6927252601,30521.1544045241
"Cmtr1",19986.5709635001,20456.1981655821,22832.5778304432,23939.9839602677
"Tbc1d9b",21099.4137475591,29864.5734306593,24894.0773663177,26899.7320360899
"Lnpk",249149.34705755,243398.870932411,266974.610418093,213884.166812088
"Upf1",195164.728627538,213062.998827071,241843.556643144,234605.874047604
"Nucb1",10196.7272481552,16839.6467683286,12555.2436987115,11317.5877201018
"Maged1",93018.9429663275,93177.1327908416,93465.7217479881,107639.525953986
"Usp15",37201.351800121,37883.2250695939,36094.3967743361,38642.2378076024
"Septin7",79389.5989175433,82596.1635870495,95646.5254202555,92167.2633005351
"Septin4",66075.6172952506,76941.9376660716,62972.5113323842,81577.9179389353
"Septin3",57370.546612053,56530.5245860309,55557.7613589988,51365.7830960094
"Nufip2",170207.706428472,170238.731907668,183520.412797282,170287.047093232
"Wfs1",36336.5820089255,39166.2159284078,33260.5962003189,38140.5652734603
"Trim28",200099.908596322,174573.106481315,169223.279870193,159873.217282584
"Sptan1",154316.23364232,169774.005523746,172981.774003101,168859.639166747
"Gbp2",14490.0261843543,12716.6860187919,16385.9707807141,18142.0333873503
"Atp6v1a",129143.40686699,124483.510345929,129230.019180321,149900.037638536
"Mtmr7",80533.4361376018,79500.7769996637,82111.0398652587,87461.0855663489
"Fnbp1",50631.1109836984,48876.6506879878,43911.3824379834,45711.8021387529
"Jph3",51290.6209641372,50981.3602973257,49590.227871481,41410.7385160214
"Ralgapb",42514.9707639632,40628.1521214678,35029.7216176342,38885.160531053
"Agfg2",52848.6418359865,52075.1283768278,47664.5624660967,50171.0301201593
"Prx",276066.562582724,326569.822411838,309328.535806624,335460.775161441
"Krt76",644457.000054061,480133.116320102,541088.431081322,175910.24600605
"Plec",138435.787399425,145544.483517667,143956.781216263,153551.616623113
"Camsap3",45337.9267572794,38077.5919928646,34972.7505916586,35411.7801308223
"Rps10",22167.7803561665,22406.0657593684,34192.4470387399,26467.097166451
"Tufm",21551.3977357231,16824.7113871936,17406.3209938605,18489.4586763053
"Washc2",250705.693626352,260025.506964027,249324.928036749,224380.926694466
"Spats2",55735.5569138709,66767.4609713012,69384.9153882557,59961.2131220339
"Ano8",41645.9137331522,40755.2909980655,54383.8717020117,42578.460500608
"Nudcd3",16916.3239149366,18760.75982607,19485.629006247,21038.5687954255
"Usp8",44204.757161984,35573.8211826286,41362.1731085276,41683.4728009593
"Cic",16533.4708844443,17482.2820391009,19702.2366433284,16371.6694272222
"Snap29",286237.641653245,224126.985890113,245549.486137508,193141.917377532
"Eif3b",150103.252076306,133689.857241967,139996.190383747,124829.871451153
"Hnrnpul1",61294.4718608035,68235.8014412714,61615.5470676949,59872.4673867757
"Nid1",16579.8962904459,14202.3505511447,14185.3328500648,16855.5029459311
"Tcof1",41789.9640322166,39008.2631697351,27625.6554188075,39811.9696552229
"Tceal5",156104.714663849,115411.752849603,94827.2724826207,110531.999998878
"Luzp1",40238.9988794179,40336.8026499316,39706.5634689419,37986.528645363
"Uhrf1bp1l",19638.4299830077,15667.4035663927,18725.4381517005,19493.5426101423
"Marcks",32334.4935077149,24884.1385105,35984.8654901684,32426.7699414637
"Tbca",39110.3432853491,56437.0005623943,35818.1863423477,30121.40659028
"Anxa2",386633.311151729,505748.521093893,500273.539704428,533384.062526336
"Rps2",537587.574245538,506790.405179889,556606.749836986,539675.779901974
"Esyt1",194686.38847626,193487.997910913,211445.060814252,236330.211691426
"Hp1bp3",49774.5512081635,55176.9584772853,55643.5585175007,55356.3192815617
"Hsph1",183510.568998486,194622.36150738,195470.624651622,159981.965421238
"Epb41l3",627404.527628173,760309.511955097,851510.450239933,756278.547358162
"Scn10a",22981.4590198461,24569.4489259321,18671.0766250881,21566.0172408444
"Cdc37",51976.3844390047,47518.5394726476,44027.3237496,42074.2834870276
"Dbnl",117882.222092671,114157.883339981,113492.677842043,111182.890542884
"Nefm",2040015.94473103,2760127.43682813,3183731.82643371,2975059.64070092
"Cdc37l1",46683.2352235983,58703.9734455853,64767.798201699,56534.7431545008
"Map7d2",143076.644988688,183866.316182255,178310.200976181,179528.756571689
"Rhot2",7964.50000000001,12820.9,9292.62,13694
"Vipas39",55612.3423964635,51670.0138621856,63139.4410096829,59081.6199044994
"Setd3",20868.7379544799,25122.0319886871,22610.8438209716,23156.0399634496
"Dnm1l",344134.064738591,351558.055842042,360415.109331058,354445.27795427
"Thrap3",102546.996345636,97350.2244615516,105515.183084602,94565.0492964648
"Plekha6",43645.2806520689,42064.5293855348,40278.9383660508,44778.0375136287
"Vat1l",73966.5122001273,84424.4374637756,82629.6577355399,85718.9139526665
"Fundc2",202589.161825944,253280.193129109,277963.314994653,284476.941337605
"Arhgdia",441182.393400453,425130.137167031,447329.040674649,406504.492397325
"Exosc8",41451.27480854,39432.4113758681,37919.4189671362,49223.9115854511
"Bcl2l13",60395.6070609637,44130.8726697375,52744.639731964,42660.6012377562
"Basp1",351032.03353819,305185.186136497,324109.045777246,273244.819970176
"Ank2",77126.6087115076,82565.3309488379,86327.1957140566,86481.5482750798
"Zcchc17",12994.7798442192,15183.9793273268,11946.5076200936,12778.2037320868
"Pkm",100743.048378159,114690.674251328,101418.146149592,113795.033560753
"Abcf3",21932.015164266,21439.6814412635,23977.5778891153,25672.3083059651
"Zc3h4",21571.4861045208,17625.8342842842,18514.3058142693,18386.7470417012
"Rcsd1",22967.9952240736,24617.089696594,32255.9054489834,30912.0111739551
"Relch",221888.253197994,246631.426312174,254993.941947509,253753.663580501
"Ralbp1",24309.0539487558,30474.8349086969,25597.7806367639,29585.7542923636
"Bnip3",38114.9665366239,36227.1657963448,45838.6762138442,34981.7948179672
"Rab28",31836.385302177,29722.225467171,32576.8296862551,32772.9728491101
"Avil",857953.101100352,1069312.32931293,1201818.47184441,1274430.54048489
"Hnrnpa0",265413.345897249,359396.075690725,435708.297539604,344646.018365913
"Vps25",35702.9310036835,45954.2161648724,52341.0689090313,41646.6828539779
"Trappc10",22549.0336172876,24771.4336184326,20614.7999998236,19792.7999998307
"Rnf214",113271.839165439,108850.074312471,115581.193644141,115326.523751522
"Eml1",81093.75176871,80506.6534858969,90257.8848874852,90439.1485514602
"Dctn1",42410.0972425328,50620.0247684421,35891.3878869132,46866.1395033444
"Eps15",140696.458563337,164185.145922224,172723.984122208,157453.934604165
"Acaa1a",9065.44,NA,NA,NA
"Vps35",12236.9912613179,15200.9124760654,10383.0830284473,10343.6657478675
"Sfpq",132048.552357714,129728.497497548,128828.759646788,131188.166352325
"Pspc1",94342.481138264,113995.525704549,92259.521544768,105444.064941877
"Map1a",733659.584057046,811025.149247915,871369.072432026,818708.696521523
"Acss2",15305.1318909581,16154.4238050574,16887.257565134,15063.6239650058
"Rps3",129316.257758972,109425.434744933,110526.843946165,85192.4293114399
"Strn",163453.502066858,195038.025864492,193844.891839118,192771.588127329
"Palm2",33426.1271613891,33091.8095944139,38499.8282786727,34375.2706409308
"Dpysl5",58554.0469345952,60232.4616330514,55882.6282819307,68906.4541154123
"Ncald",36870.9518964776,42463.6999996131,39608.0091903703,44860.0999995913
"Gatm",12739.2676994129,21199.0211720897,16126.6878699972,18234.5001827401
"Junb",35901.6593138291,39398.4006816611,39237.3686156256,37246.1045373417
"Bcap31",217956.563811507,204718.810831691,194917.57962859,177098.972062263
"Dock11",42889.7746936823,35330.8939286907,34207.2871156379,39806.8701594607
