"","V_f_TC_Slot2-4_1_3801","V_m_TC1_Slot2-1_1_3799","V_m_TC2_Slot2-2_1_3805","V_m_TC3_Slot2-3_1_3802"
"Pdlim4",20636.9347201279,21203.2790733526,18510.5028330147,23154.0742924584
"Hbb-b1;Hbb-b2",20067.9,NA,NA,NA
"Prdx6",21075.571409471,21732.9623560357,20063.7766795546,19654.3195602931
"Sorbs1",33811.3795014663,32739.5879207228,28610.8589503292,32514.6372566649
"Col1a1",15323.9921563661,209483.726072724,123510.374667391,108123.880751305
"Usp5",3839.44030055778,5868.91349456313,7207.44512754071,5108.51720882625
"Park7",3303.86,NA,NA,NA
"Mccc1",1068851.78405463,1018905.57173291,1065537.60276191,1105358.16087876
"Prune1",3546.34,6335.97,3273.74,NA
"Rps6",5974.15999999999,6935.91,6101.6,6437.07
"Eif4g1",13107.0066312976,11642.6958905748,12571.0924396685,15148.1327473042
"Hnrnpk",40180.9486038581,37838.1188523447,32912.8413205964,41299.6978611118
"As3mt",4195.18408229203,4950.48999997365,4430.43178509283,NA
"Numb",NA,4783.98,1628.67,1937.9
"Sntb1",NA,NA,3727.42,NA
"Sec22b",13201.9213531108,11099.4232772111,15867.0791452404,13909.9656797295
"Actbl2",9601.57730630077,17512.0987692644,4546.38999996405,8744.35170021015
"Map1b",25908.723863751,25797.3849143845,28569.3136942818,25798.4383127215
"Niban1",31957.2053801335,29531.3296044908,27560.9237824906,27920.6531164474
"Gspt1",11398.6392745468,11660.322881729,11836.7325904218,8666.33380492113
"Washc2",4851.68991298345,3872.45780140394,5824.79229646329,7423.61902573882
"Dpysl2",62398.7952140331,57249.5414377284,63810.1379670986,57019.9021579187
"Vim",209593.001218186,203827.544030532,211095.943792009,206842.561938104
"Hadhb",5826.16,6075.37,5029.15,4316.43
"Ddx3x;Ddx3y",6633.97735247806,6052.19003475281,7228.30748253527,3821.39999997205
"Pfn1",2924.7,5084.76,NA,NA
"Sfn;Ywhab;Ywhae;Ywhag;Ywhah;Ywhaq;Ywhaz",4792.04,4431.15,2169.54,NA
"Bcas1",2183.49,2292.46,1940.8,NA
"Pcnp",6045.24871298993,5981.93915533637,6801.33267633781,5011.21953914693
"Hadha",2799.48,2192.69,NA,2158.65
"Krt5;Krt6a",27077.8016037243,15424.7550238007,6091.88880098182,NA
"Krt73",88603.6741142483,132244.545508171,65646.7750463067,37521.0129166595
"Alb",824850.000000001,681642,770199,626251
"Spag9",9361.87877382879,12498.7412368491,12852.4362823851,11136.5000159961
"Prpf3",8222.69123927993,6198.42469867049,6705.21825934478,6135.60699013016
"Gcfc2",3190.99,NA,NA,NA
"Slc40a1",696999,NA,NA,NA
"Cat",6319.5,NA,NA,NA
"Krt2",441473.171469658,421919.282660501,273509.792367393,180360.349204033
"Slc9a3r1",11264.4551306029,13676.0999998924,7828.06999993839,7588.72521782407
"Sncg",660134.98371375,523676.585787176,593761.400160045,665247.726959147
"Hnrnpa3",47784.5944342255,46551.515725499,49199.7685532597,40286.5673766649
"Ctnna3",7437.3,2395.88,9773.82,NA
"Mtdh",6679.05948175679,5602.45557276746,6937.20136296548,4566.49269335291
"Snca",18409.9027520973,13173.8899470525,16233.5808086613,16886.2673495614
"Snca;Sncb",24156.3,23780.6,15150,24169.4
"Ahcyl1",31670.2462256111,27834.2401795108,33598.5650469278,28440.0042031976
"Pcyt2",3210.69,NA,NA,NA
"Rnf121",32240.9,18646.5,32838.4,33391.5
"Bag3",3216.27,NA,NA,NA
"Depdc7",5074.20370624041,5802.84158792543,6081.21171060207,5673.01463905315
"Pcmt1",3069.23,NA,NA,NA
"Fermt2",10402.8666195754,10735.0243724279,11347.8716584951,8461.54583937389
"Rheb",NA,2503.5,5404.21,NA
"Myh11;Myh9",18180.4494364916,19004.5232812278,20797.9715914516,17824.4731768864
"Mapt",29236.5197502385,26895.8518745809,24554.1264121664,24290.4298898793
"Rrbp1",2403.32,2787.79,NA,NA
"Septin5",4161.11999997016,4338.97272102104,6095.64236040192,4456.84629955376
"Chd7",3501.14,NA,NA,NA
"Ubap2",2705.56,1533.49,1491.06,NA
"Rps27a;Uba52;Ubb;Ubc",21540.7711719383,33000.6636869648,20750.09999982,27809.946504361
"Cltc",5647.38,5523.57,8273.32000000001,NA
"Ncl",14979.8015905136,16424.8158822094,14918.4568984216,18271.2318416947
"Krt34",30693.9,NA,NA,NA
"Acin1",20127.7077554433,22392.7714150194,29796.8772506482,26167.3763389149
"Krt17",41361.9,33440.3,15664.8,11604.8
"Niban2",5862.79128493823,6809.37700850246,7359.17368799181,7051.82421723809
"Msn",3052.76,3333.49,3505.88,2111.09
"Comt",32652.2036902381,37045.7665056635,30046.1592067594,34056.156372655
"Nefh;Nefl;Nefm;Vim",240739,273316,253226,248447
"Krt6a;Krt76;Krt84",34627.5,14024.4,NA,NA
"Safb2",3173.46999998247,5875.03999996753,NA,5221.69999997114
"Asrgl1",8846.19,10270.6,6456.36,4540.76
"Krt1;Krt2;Krt5;Krt6a;Krt73;Krt76;Krt77;Krt79;Krt84",305719,292773,139177,99137.8
"Pkm",8032.31741098826,11191.3576874408,6559.22559985021,6963.18882111773
"Ranbp2",4209.48999997688,NA,5800.18371320175,5111.10675641163
"Wipi2",10684.3133891899,9970.74699360258,7463.17633369623,10352.4917416602
"Sptbn1",9195.77660259394,5380.75053625407,6041.20413719057,4275.86913029759
"Hnrnpab",7663.77999995971,5925.19407917032,NA,4607.19989356625
"Hnrnpd",6409.29990663408,4178.2016977047,5858.0702044414,6113.57957601594
"Snx9",2824.06,NA,NA,NA
"Cttn",23947.3279030022,21929.3748751532,20547.588555292,23233.726719503
"Krt5;Krt6a;Krt76;Krt79;Krt84;Vim",198385,129307,116116,109622
"Krt1;Krt73;Krt77",1413950,1408490,679760,478361
"Mapre1",4164.43,3680.34,NA,NA
"Slc12a2",4692.29318828432,5251.69544291701,7069.37248096031,5171.48875396777
"Aox3",36049.7,NA,NA,NA
"Clasp2",7028.22457736111,6155.45825489638,6992.89343477868,5868.23886777828
"Fau",125830,139007,124733,211077
"Hcfc1",10759.414330775,10262.9102508699,11664.3556285348,7381.06572238703
"Col24a1",NA,106692,NA,25360.6
"Tagln",24805.9877217216,21911.2474282162,20764.1512284938,19488.7338504415
"Mdh2",2369.09,1887.03,NA,2662.13
"Nme1",2388.45,NA,NA,NA
"Col1a2",8010.99694608031,194626.163676307,148297.239064857,118822.418580932
"Snrpd2",52920.8902456332,63391.654522439,58172.8769114372,60228.7152127397
"Hnrnpc",2498.83981257524,5824.36420753482,4207.48439662444,3763.66227856546
"Cpsf6",14162.9,14965.5,13528.6,NA
"Lasp1",15059.0161731123,13358.9486493398,14248.529844606,11280.3783973951
"Sf3b1",10505.7016900081,10041.3151182666,10051.1388463631,11754.4505265067
"Hnrnpa2b1",78981.7457067256,103964.996113322,81761.4378454199,81538.8456252588
"Chmp4b",9097.14013152254,9540.05355810658,5785.52097917491,4249.2402232076
"Pygb",8637.16999999999,7130.74,5465.79,6327.71
"Aldoa",5285.47,5690.17,4970.2,3014.93
"Epb41l3",2702.36,4820.59,3921.56,4613.28
"Acot1",14844.8,9591.44,11160.7,12673.4
"Col4a2",NA,11153.1854048501,15048.2394435068,12635.9066503943
"Map2",11736.3929963641,12391.888287317,12862.0233689633,13828.7151858419
"Cs",3405.91278804096,5492.41306512249,4943.66312505463,7282.74613286634
"Rars1",3160.27213180051,NA,2160.56150566004,NA
"Vapa;Vapb",3594.05,1376.86,1802.68,NA
"Tnks1bp1",5995.03965804825,10369.2055184482,5911.29066635826,7565.12971878856
"Araf",6056.32000008605,5640.30000008014,NA,NA
"Jpt2",3621.89,4542.22,NA,NA
"Mapk3",1117.03,NA,NA,NA
"H1-4;H1-5",158424.10480492,393339.248459571,294299.560411181,331294.482125862
"Rps2",4312.35226940697,NA,NA,1999.3619213344
"Rplp0",5705.74,7895.66,3559.08,NA
"Anxa5",5085.94320236845,5814.93391809484,4478.34185595348,NA
"Pdap1",56464.8644759899,43408.0667015466,40447.1029928202,28977.4918438686
"H1-0",1995678.86770541,2848565.10683484,2898379.99996286,3108195.71972109
"Dpysl4",6651.55372278814,4990.88180469627,6218.66001898967,8899.27999992963
"Srcin1",9480.84587382135,8853.2799315963,9710.70682042746,9578.47547248326
"Clic1",NA,3930.8,4792.86,5814.6
"Trap1",7702.03000000001,9065.46,8093.34,8312.05999999999
"Rpl12",8626.37,NA,NA,NA
"Rps10",4665.69,6187.57,5580.18,NA
"Rpl7",17279.4,7347.07,NA,NA
"Flna",4830.13757163147,9392.10538157211,6377.54270836115,8167.40523478529
"Pcbp2",8777.9585902172,8370.08231214018,10709.2825679767,9586.92979752899
"Tmpo",23879.325498247,23464.7821456952,24025.7910849373,27313.3110043903
"Rpl4",7269.25538863677,4256.1821033445,5281.35020001495,4312.3927731017
"Pkn2",5435.99245394898,6915.3737110104,6993.57999994738,5247.80959619373
"Hspa5",6104.80621476762,6361.12133909737,3521.04351372647,4734.03435972411
"Hnrnpa1",100814.557004023,118320.999998829,106859.9738378,99516.2528794954
"Dsp",20855.287371892,13054.1947230449,4701.28789095876,4693.85500685868
"Dmd",14431.6325662228,13240.2805196486,12517.8324057488,15299.5875999457
"Hnrnpa1;Hnrnpa3",30329.9,20594.1,16464.1,23118.1
"Eef1a1;Eef1a2",35591.4142639202,30749.1765160162,29089.3857052121,26884.97692615
"Rps8",5131.54567773226,5043.57498008478,3230.21492416895,7649.82722039404
"Cse1l",NA,222257,NA,207829
"Hspa5;Hspa8",3763.01,6214.18,2375.16,NA
"Pak2",12457.1903721311,11039.0319749131,5826.43930978613,NA
"Dlg1",5317.90109168017,5180.65918835957,7193.53383847204,5149.57908622616
"Ppp3ca",5166.85,4214.33,2341.39,6314.69
"Krt36",65219,NA,NA,NA
"P4hb",10646.7,9196.28,8551.57999999999,9286.67999999999
"Plaa",5146.71,4515.65,3554.5,NA
"Rpl18",10015.5186683452,8922.08680745777,7599.5169528787,12691.5455334303
"Elavl4",3642.78,3521.18,3044.8,5941.9
"Strepta",4509413.21714004,5722124.65043215,5265960.44697966,4708890.83554759
"Pag1",3233.07,NA,NA,NA
"Acsbg1",2083.6,2868.53,2695.74,NA
"Fubp1",4836.36,3726.54,4729.05,4813.18
"Mpz",23827.6081895782,28609.971084396,21482.3128902936,23036.4005494129
"Pgk1",1593.03,9218.00000000001,3203.1,NA
"Eef1d",9338.1699999268,9582.65999992489,8098.30999993651,9760.01999992349
"Krt19",16649.0820382705,32421.6431179964,NA,NA
"Tomm20",14710.7,15146.3,14581.6,NA
"Eps15l1",5624.90656534311,5210.50902310193,5861.12978896634,5418.05486913419
"Cfl1",28281.6,24861,17593.3,20014.8
"Hspd1",1512.2,NA,1355.95,NA
"Ppp1r2",12165.7,10871.1,10928.3,12875.2
"Krt10;Krt13;Krt16;Krt36;Krt42",434984,658440,336162,224112
"Nefl",28526.0091741576,17565.993708125,20472.46798199,20835.1446091134
"Slc4a4",16455.6112798123,14191.8765757403,12801.038242136,8449.57159846892
"Jup",15831.1826345166,5538.67663327034,5441.23896346992,NA
"Krt5;Krt6a;Krt76",30096.3,43122,31008.6,12392.7
"Krt13",963876.000021713,830058.000018699,NA,NA
"Ckb",19711.2810563598,21119.1826571905,19338.9776928692,13629.1064679277
"Pkp1",6365.3,4401.49,2487.18,NA
"Cadps",NA,2667.36,1955.64,NA
"Prpf4b",3340.47,NA,1759.93,NA
"Sipa1",4553.88,2368.32,3037.84,3065.37
"Trim28",6037.74000000001,5078.3,NA,NA
"Ruvbl1",4528.12,NA,NA,NA
"Ndrg2",4590.27,6244.77,NA,NA
"Rpl36a",4424.16,9780.61,5182.9,11509.2
"Dock7",3630.1,6842.53,NA,NA
"Pdha1",7091.89,7507.76,NA,8163.92
"Rint1",NA,5403.73249963586,6936.1326910783,7632.21322545662
"Uchl1",5088.03,5771.54,2880.36,NA
"Krt6a",75380.3372058234,54567.8390674299,15183.2425770239,10206.6846165229
"Nes",8180.88979976673,9499.84505316667,9158.56849563851,7982.58074850549
"Epdr1",15309.1113397161,10144.8024958961,8560.37262089998,7398.35161994873
"Tpd52l2",7375.30584527399,8124.05258530866,9131.66975753531,10558.868552454
"Cntrl",2644.86,2076.17,4185.58,3256.04
"Plp1",5544.16,NA,NA,NA
"Vtn",8662.46,NA,NA,NA
"Rps3a",11554.2,NA,14453.1,9487.08
"Srsf4;Srsf5;Srsf6",11066.6,16261.5,NA,NA
"Esyt1",5322.36,4518.44,5765.83,4767.52
"Igbp1",11032.3538143657,11763.3660316334,14151.9355892962,9178.34366905039
"Krt2;Krt5;Krt6a;Krt73;Krt76;Nefh",225425,235126,140648,103656
"Lmna",3905.54879279697,4243.01415638529,NA,3744.20298924825
"Prph;Vim",164635.000797189,147067.44378386,142143.16530134,130222.999998672
"Sars1",14714.9,13458.2,NA,15781.1
"Rab10;Rab13;Rab15;Rab1A;Rab1b;Rab8a;Rab8b",4295.82,5186.21,3900.44,1633.6
"Crebrf",103876,97307.9,58942.8,27237
"Arhgap32;Arhgap33",36722.5,NA,NA,NA
"Set",22941.7999998544,22976.8841500623,20960.6772175235,NA
"Tll2",1095.07,NA,NA,NA
"Ada",13560.7,NA,NA,NA
"Parva",2624.98,NA,NA,NA
"Etfa",2520.63,2476.35,1836.94,NA
"Prrc2c",5474.42,NA,NA,NA
"Tbc1d10a",6380.85,NA,NA,NA
"Cr1l",7272.34211619693,7529.81546705152,8284.6536467005,6622.27726723564
"Git1",8078.13601350049,9217.92369367977,12372.9565787435,4856.17024121832
"Plin3",11940.4630470717,9971.74663118596,11019.2512119723,10772.178131072
"Krt5",186558.685292416,118806.106847879,61408.8907606719,40900.9149680085
"Efhd2",10412.2842610995,15472.1877339473,12128.2287993104,12703.8213182146
"Ampd3",4595.98,NA,NA,6459.93
"Slc16a1",6450.84,NA,NA,NA
"Aak1",4111.74,2682.63,NA,NA
"Stim1",10419.5781976038,10012.4652877576,10263.4586392131,10009.2013710665
"Dag1",6630.15,12020.7,11633.1,11782.1
"Septin2",6250.14,7117.62,5983.08,4715.55
"Rpl14",10194.6,15141.5,12572.2,11665.5
"Septin9",19762.1592294667,15651.6623145635,16188.5342209339,15884.5135298823
"Ldha;Ldhc",4906.36,4531.56,NA,4083.6
"Pcbp4",1893.07,NA,1638.87,NA
"Glul",10257.9,11974.9,12050.9,NA
"Ran",5411.17273018768,5216.16196442239,5896.86385621902,5706.4187500342
"Rufy3",5355.69,5534.89,3517.25,NA
"Rpl27a",23871.7999997919,24095.2473886645,21007.5999998169,30997.3876005253
"Pebp1",74955.7743635946,73031.0813878924,71532.828287151,69814.4678867015
"Srrm1",6170.74000000001,7239.29,5857.43,NA
"Nefh;Nefl;Nefm",11536.8,8289.76999999999,9052.20000000001,8266.04999999999
"Baz2a",35593.9,32371.2,NA,28839.1
"Lpp",2771.44,NA,NA,NA
"Ddx46",5159.04206452525,5774.32683338321,6725.96929115368,6872.08784007291
"Dync1li2",NA,3459.06,NA,3493.14
"Krt79",356127,227513,115058,148036
"Hspa1a",7317.00340312345,8765.90366961899,5630.52875878856,6263.47143279246
"Dync1li1",NA,4747.57,4023.84,3472.71
"Gsn",2494.27,NA,2882.17,NA
"Unc13a",1130.76,NA,NA,NA
"Eef1a1",35251.3286175633,42376.9653107914,24143.5992685095,28979.6479169718
"Vps13b",18281.1,15210.7,19922.3,25452.8
"Tceanc2",55178,NA,NA,NA
"Ctnnd1",NA,2066.01,1240.09,NA
"Tln1;Tln2",11327.7536210884,10007.4026335148,10764.8770690144,9861.04226048499
"Cend1",9594.59969022472,9359.07778385492,9896.52856705149,13364.9601757922
"Sncb;Sncg",119917,102698,105475,93590.9
"Prdx2",11359.1,10632.1,7638.9,5303.27
"Krt77",7594.02,10021.4,2351.92,NA
"Nebl",4467.43,3919.47,2158.14,1174.38
"Cobll1",3944.96,NA,NA,NA
"Krt10;Krt13",167347.585693824,191639.494114013,112992.52136496,55396.7079468743
"Synrg",2523.70981527775,NA,2415.77149688473,NA
"Dpysl3",3317.54,8565.99999999999,5406.08,3981.97
"Col4a1",NA,4556.1,NA,4296.43
"Ap3s1",2980.73,1983.77,NA,NA
"Hpcal1",2859.7,NA,NA,NA
"Eif4b",29165.9235226973,27279.2491048058,26927.6374129643,24382.3663386757
"Hlcs",8052.89999999999,10403.4,8286.56,11379.4
"Dmbt1",15902.8,NA,NA,NA
"Rpl15",10259.8580115926,11593.325043189,7718.66517838594,12055.3684594496
"Add1",10240.8947627251,12711.8822121981,10979.1980428812,12441.0104676388
"Ptpn12",1919.52,2983.99,NA,3658.54
"Sh3d21",2427667.47984399,3714835.87594506,2749297.89742744,2763186.02099579
"Arhgef6;Arhgef7",8242.12999999999,8214.48999999999,6581.67,8811.74
"H3-3a;H3-5;H3c1;H3c2",35563,34411.3,15118.5,38484.1
"Tgm2",2251.85,2132.61,3489.19,NA
"Strn",6738.17,7409.53000000001,7553.09,6370.85999999999
"Ndrg1",2484.6,NA,NA,NA
"Ptbp3",3752.41,NA,NA,NA
"Slc2a1",39507.2299452873,33782.3931534443,26743.1999997598,37518.1684625554
"Nck1",6046.83,8779.56,8636.2,10425.6
"Rpl13",4135.36,NA,NA,NA
"Amigo3",82109.1,NA,NA,NA
"Sbno1",7860.71,NA,NA,NA
"Dclk1",3806.13,NA,NA,NA
"Krt1",1121660,967182.999999999,429825,269843
"Ist1",4447.28,8280.95,7032.69,8096.94
"Anxa1",4099.11,7900.71,NA,6902.93
"Dbi",5354.12,4480.32,NA,NA
"Sncb",7944.84999999999,7072.9,8638.02000000001,NA
"Rps24",3264.91,NA,2043.35,NA
"Hspa1a;Hspa8",10048.2,8771.6,8368.19,5445.49
"Nup214",2831.6,1803.34,NA,2643.93
"Septin7",8082.10126710398,8242.07785976338,5550.61038618782,NA
"Hells",NA,NA,1884.33,1807.37
"Ilf3",5163.03717305663,4992.51729596867,5047.55356286963,4875.07891203989
"Gls",3152.07,4265.62,5303.04,4803.19
"Gmds",4893.21,5433.94,3120.49,3235.98
"Dock1",3063.43,3005.38,3195.3,4139.24
"Rpl7a",2650.07,4062.05,2725.61,NA
"Arhgdia",6579.16,4565.96,NA,5435.59
"Flot2",5661.06,NA,NA,NA
"Gpatch8",NA,3603.81,2687.53,NA
"Psmc3",9335.45999999999,8592.79000000001,5707.8,8356.85000000001
"Nacad",14260.6,12048.7,9377.53,9520.31
"Sh3pxd2b",6265.35,NA,NA,5647.06
"Uri1",10043.3,9703.80999999999,10628,NA
"Hspa1a;Hspa5;Hspa8",11145.4,12092.9,7017.26999999999,10937.7
"Lzic",91989.4,NA,NA,NA
"Nono",17127.8,13947.6,15958.6,12781.5
"Eef1a2",6328.77618344492,4575.09083685182,5320.25832651656,4730.04477065263
"Srsf2",9353.79000000001,25447.3,22538.8,26949.2
"Khsrp",7252.649103587,4500.8878546026,5304.6048458289,5587.43851869252
"Mbnl1;Mbnl2",NA,9515.95999999999,7556.76,7146.61000000001
