"","V_m_T1_Slot2-9_1_3817","V_m_T2_Slot2-10_1_3814","V_m_T3_Slot2-11_1_3810","V_f_T_Slot2-12_1_3819"
"Wipf3",70452.3851844485,67816.742491502,74028.7901907584,91181.0768969597
"Timm44",36039.0213574984,34500.6488434772,35185.4833560937,32521.9287162378
"Arfgap2",32726.138016085,36369.1132156162,37462.1368957791,36001.695818612
"Cpsf7",39441.5086520204,38538.5071892907,42627.0115860196,54924.8514983787
"Rbm26",9203.45414265219,8666.91228045646,8214.70544468822,9409.94999992684
"Pdcl3",14627.2467846818,12348.0473525278,14686.7912113023,17708.2086090975
"Ythdf3",81227.7352633044,73389.0496674988,106186.677141419,78468.8823576108
"Rabgef1",50151.540586857,41591.0670983534,53132.8189553063,50118.2349409069
"Rpl24",797573.657845195,794679.050670993,922399.089299008,996928.093213214
"Pcbp2",252124.315440176,267679.526674953,254229.974207806,273833.999997076
"Pcbp1",373919.21504153,374395.483442595,340817.328792321,406846.733401184
"Trpv1",190722.085473282,187443.703124783,222407.556733798,179321.495512518
"Zzef1",29386.3747486355,23068.0337809903,25078.9728311434,25063.024724377
"Dnajc6",70410.6437859657,84618.1533987143,71119.4500941761,82282.3293635838
"Fhl1",63738.0444122591,74356.3743156995,64573.916174553,45513.1219483238
"Rpsa",562352.177065964,568376.402206384,570182.264776233,702395.233211833
"Hnrnpul1",44603.78274907,46540.4890444573,48905.1623628706,38193.2804883469
"Tcerg1",46369.879772197,45763.249962376,46498.7976615997,45736.496149193
"Eif3b",109663.002657904,121568.549535956,105434.24042114,118199.954180713
"H1-2;H1-4",458354.22222884,379102.149965242,520038.511627686,551245.997861303
"Arpc5",81554.9999992162,77733.21412282,75337.4061344257,79975.2704061832
"Ppip5k2",18247.4526684343,15937.8207937806,20059.6008313333,23150.4757150659
"Slc29a1",7572.47000000001,NA,NA,NA
"Ppip5k1",22727.1061407228,21880.4098847144,23556.1441697709,25037.388362271
"Erp44",9531.5,NA,10105.4,NA
"Dync1i1",79721.548637939,96212.15712265,69669.2749251009,75438.4176198462
"Rheb",427397.253008478,452946.668988906,402999.75305195,340439.305320884
"Taldo1",177317.228413133,184387.757159173,210001.945695127,183961.762071696
"Esyt2",31404.3675437964,32339.7770782285,30245.1277568759,31647.3420488508
"Use1",37911.6609347554,33663.5669426734,35318.6960111438,32548.7422758485
"Spr",121977.370099211,115762.818851559,101469.696341876,117592.602348755
"Tsc22d4",12242.6129796743,10113.7768212454,11529.8288714942,15365.6393655704
"Map4k5",18451.4,17448.7,17113.8,18116.4
"Gcc1",34978.3929851758,34187.4313671672,31350.6716859686,40776.7747226117
"Cdc42bpa",25828.4020581025,27701.3432927355,24094.9774007846,27783.4280146443
"Vkorc1l1",28954.126418593,NA,29511.1926759617,30048.3561664771
"Praf2",64379.6293105727,65308.421067359,59609.0160753543,67531.6464702418
"Rexo2",94584.2939815564,96738.5183004773,103996.61574049,100579.323297787
"Psmc2",17269.9787063897,17411.7904833748,15155.7836554187,16056.8614591074
"Usp7",41904.9883386805,43438.3984723355,48556.2022690521,49920.2682367232
"Dbn1",383100.653365139,417110.021644275,402381.670403952,334937.965220227
"Actn4",11823.9451245677,10375.4778586026,15338.0828808526,14994.8648042402
"Ahcy",34753.9242207675,31798.8000668712,36790.2999996727,38278.5070794844
