"","V_m_T1_Slot2-9_1_3817","V_m_T2_Slot2-10_1_3814","V_m_T3_Slot2-11_1_3810","V_f_T_Slot2-12_1_3819"
"Sh3gl1",50910.0194297157,61385.3856367158,49955.0240019935,49293.6926132224
"Sh3gl2",49346.4599505104,46527.7201327289,49695.915322972,47959.3104535734
"Fdps",19440.6999998358,25948.239616918,17988.4693955638,24299.6029836899
"Nefl",775403.251766025,772829.274850266,810677.559753772,683685.403135928
"Lmnb1",32263.7035759746,30704.7031238189,29926.162173072,39251.8723461015
"Pak1;Pak2",31052.3638742981,31459.8838898862,28176.8551095505,19567.5728898522
"Golga1",26086.8498107936,26422.1624790421,24850.1369235417,24641.7267813344
"Dgkh",76913.7613851177,82792.0356250666,78019.6742732828,77769.010556258
"Itsn2",29085.6145265817,27016.7286205827,20326.7313842159,26967.7175303586
"Itsn1",42485.7100583651,39709.7257403141,35701.7716062797,48065.4938918729
"Ostf1",42943.4569994838,47220.9307033904,34773.0127717597,43568.3486492694
"Vps28",16971.725968877,13996.2568320904,17120.2559892915,17395.5905768163
"Syt6",105072.67557102,92100.1336192891,71557.8939898626,84441.9005972739
"Cops3",33551.0479288938,27561.5031437971,32514.5074996839,33613.4999997009
"Rrbp1",104800.570747612,106493.819922893,103732.123087672,108792.863994371
"Anxa6",517179.014989673,581943.918053043,502440.360751372,530953.704949011
"Nmt2",54799.69514777,66916.0131859368,69080.2499003707,60636.3935013488
"Plcb3",100447.781185319,109858.167178801,100271.153037781,128352.173076941
"Psmc3",1603804.18362745,1662157.55108696,1515102.97161266,1592755.91664618
"Pfkp",46564.4330840138,50223.6736220032,50964.2230521322,49189.4684174706
"Hs1bp3",87072.8484443819,96712.4140659821,85185.4023784556,89687.2597813786
"Steap3",72801.3005030343,64014.7461288783,72437.5149289735,62413.4626000202
"H2bc12;H2bc14;H2bc3;H2bc4;H2bc7;H2bc9;Hist1h2bp;Hist2h2bb",1829545.68909395,1885890.39277985,2069736.45372377,2273977.3464467
"Fam120c",98962.1408706604,90386.0155240362,87638.8029645779,108694.155165235
"Naa10",18890.4778993344,19709.8222811354,32787.7873051821,26625.7037491026
"Zdhhc3",631779.340666338,NA,490570.903958964,481435.270171198
"Pfkl",60266.0282543472,59923.5477000136,70446.1999993337,59936.5495635648
"Rbm3",14001.5,15279.1,14448.8,NA
"Vapb",395224.768704186,501131.743972718,333892.801056856,390997.339122871
"Kif21a",35409.2157442672,40406.101397604,40908.2737438728,37375.9595757585
"Asns",35232.852840617,31803.3585801064,27430.6192769716,30161.9190599867
"Epn1",24618.8402323349,29460.6864267822,28420.1722690391,24834.2537910477
"Cisd1",564696.974389143,718622.259858414,398608.296271303,484661.589116381
"Lrrfip1;Lrrfip2",16012.7,19435.7,10774.2,14813.4
"Tpr",22798.4476446698,26821.6334818579,18682.2539578866,25774.7820150846
"Letm1",NA,NA,9567.64999999999,NA
"Iap",46447.6546029865,32601.2215482908,43840.9770934925,51173.6581344052
"Tacc2",43502.8749731998,51293.8192275043,36229.3412858665,42380.8374923743
"Mtx2",24424.9142284354,29205.9590410103,28208.5916901798,31873.5615623219
"Pls3",28078.9907582719,32176.9802307478,33925.8620840731,30831.3196475845
"Tmod2",36679.0999996713,38834.7300358256,33553.1999996993,36615.604837802
"Tbc1d15",17559.0989553806,21949.0450958215,23051.0189631732,19918.4147446091
"Fxr1",118261.701303071,123625.473410422,107117.249673635,96918.4265184828
"Dusp3",64183.1415946421,76241.2953577952,55539.9365269293,77567.6618109217
"Pdap1",520047.869049036,519469.662974313,474153.158533557,481350.248659195
"Smcr8",67958.0205659685,66272.010523337,67945.3414770789,60235.6882797692
"Kif5c",69803.1956127698,64986.9105878055,70316.0708280244,56169.1124812782
"Prrc2b",31336.6051974142,34392.3948721824,32990.671421432,29466.2095325037
"Cttn",316975.531375613,328248.87275154,294518.014817919,315682.549572893
"Hnrnpul2",55994.7703526521,67784.2756297193,58242.4804050416,69895.939166174
"Rab27a",38051.2120500544,39766.8984637378,42270.4596257848,31536.2530037649
"Pitpnm2",41659.3558751567,40422.5163746323,46782.5823792447,45359.1293281465
"Sec16a",93514.4700451439,96944.4542945985,109683.517064375,111287.364208021
"Osbpl8",17171.9138963182,18080.1516338247,18635.1018023916,19451.1484059665
"Cox4i1",20202.7479175428,25429.0834805861,24343.6070463858,22485.8051684129
"Znf385b",NA,4830.14,NA,NA
"Nek1",45052.0870865829,50146.9264852862,43050.132725071,48465.7783605637
"Osbpl2",6523.62,7081.03,8354.88999999999,9114.00000000001
"Krt222",12947.4725619019,14905.9828813982,14909.0461331878,NA
"R3hcc1l",7537.94,8042.54,9049.76,9454.41
"Slc35b2",13930.6,NA,15642.6,16688.2
"Ezr;Msn;Rdx",23374.0901463433,NA,22419.2408357356,27620.4934063566
"Nif3l1",20780.0481165148,24026.1111461026,26079.4968661418,26514.2145952327
"Hebp2",27127.5413965036,26870.5001119061,44301.3999996072,25667.3634838194
"Mapk1;Mapk3",98269.3910917289,86206.7160851764,101930.95351417,83769.856926526
"Cdk7",9725.83,12206.4,11403.9,10674.1
"Cdk11b",7085.66000000001,10487.9,8513.23,NA
"Dnttip2",100948.784970277,96813.4971489324,107280.544944344,92195.9123299199
"Sprr1a;Sprr1b",1495550,1161890,791897.999999999,1543600
"Sprr1a",8570443.28850664,8082436.64176664,8786542.34187251,6347909.27545484
"Ythdc2",31190.7786163203,29805.4224239181,27659.0723346358,33662.4050596861
"Myo1e",55556.564329597,58370.7571604412,59859.2638256447,60585.0174739427
"Mapk9",62878.51724695,71896.0871453754,64911.6424227682,52868.4248679777
"Atp5f1a",269463.381860019,270064.617446797,239857.449642642,260435.911239828
"Pus1",9953.28,11294,NA,NA
"Cnot2",18278.5908820787,16084.3151593507,20787.0619618072,20332.694264579
"Ythdf1",39435.7531793608,34786.0601892969,38769.1157648449,34952.5062821049
"Ythdf2",33752.1034315373,38290.6568956379,29858.2999997347,32329.9430373519
"Ddx17;Ddx5",175563.408205504,192544.420867859,162922.362028147,154370.499216032
"Btf3",32946.5802375385,25083.5783183031,31978.1826904374,26620.317980755
"Sirt2",66232.6422538023,72042.4696595214,73859.135575554,65991.935620747
"Psme1",40613.5391438758,41674.849804157,42103.4831714455,45014.8252581912
"Dctn4",176342.825321202,165357.912237805,161966.19681664,198905.401713435
"Hmgcs2",26549.225086725,22927.0473459232,22768.1973980987,27497.9678017066
"Ass1",28454.0926993484,23077.3987364377,32263.045847708,33887.9678009718
"Kcnb2",36014.8205292017,41535.3132408257,35514.4265387479,40643.5408066402
"Syp",224754.570519509,197726.353261712,246230.984812998,216072.628543333
"Ranbp3",35269.8215525512,41616.6507293783,37815.2737661898,39294.6047567681
"Chmp5",145894.740178081,132836.964418237,178293.057225423,149734.839829586
"Dnm3",31735.8012184841,32543.2791585265,35195.1873781449,32268.4066763898
"Nfrkb",6315.67,4628.37,NA,4857.48
"Cpne3",46927.9673602456,38206.3999996531,39737.9999996393,45224.3665518172
"Ddhd1",27252.2907653702,21707.5653874941,33858.6511369347,29324.0029624411
"Reps2",59205.1218167306,63057.2457530323,60823.7901102323,64520.7107154242
"Cryab",9920.15999999999,NA,13783.3,12420
"Safb;Safb2",89367.4820247622,103888.110385612,107091.173923771,94181.4401316147
"Wasl",64550.872289454,68190.9905974324,72927.3816309042,76760.8442890125
"Tppp",58485.2400443797,62924.2324612518,57977.3949209612,75052.4844023944
"Cbl",26705.3112603864,24680.4019510088,31731.2544643954,16833.5827092884
"Canx",23259.7638466765,22192.4985913468,26030.5516279981,26332.1288896659
"Dcp1a",8995.19000000001,6491.39,6497.35,11596.5
"Llgl1",13854.4,11095.7,11924.8,10453.3
"Yars1",9428.22999992444,11228.8178006401,10980.199999912,14403.4407600938
"Map7d1",131365.415126153,128541.156159577,142209.328478838,123745.987423361
"Pikfyve",21525.3319129983,24817.6436974435,22983.7729499895,21034.0929213858
"Tbcb",82550.3216838199,91268.3822596524,72834.7418407161,93900.4094524051
"Rpl29",1211420,975345,1309020,1086930
"Clptm1",7172.16183267231,10614.0194438194,17169.5534800782,NA
"Rps5",11432.4,11036.1,11227.9,14587.3
"Sec31a",51084.2464482244,46777.5927968838,46150.7029375092,50518.5965532263
"Nudcd2",62347.8008281315,62206.2081638278,64491.3537398776,57151.0028773559
"Lztfl1",28064.9133909584,24352.8010606038,28542.1618854478,32935.9962671983
"Cenpv",5821.55,8361.34000000001,7884.57,8692.23
"Oscp1",34329.1517431417,35987.1410836995,37536.81252857,32521.7492738949
"Sf3a1",91517.2579523285,98704.2739423037,98259.9120190437,112380.007542897
"Stat2",22781.5172553275,24831.6798835476,28444.7134749361,25530.4787858056
"Hspa4l",41172.9309167566,40788.9497145812,35545.0976352274,37930.3844251337
"Zw10",54737.9697079906,49619.0832362474,63291.1379442765,66619.9879601223
"Farsb",86925.1912241193,85831.5596035694,89087.0649179232,108236.951253724
"Armcx2",17836.5696849257,16773.4094564819,20400.5299071993,18593.3607742091
"Ahcyl1;Ahcyl2",54895.7286977688,68741.4911018082,46588.8036553878,46865.9194748843
"Prkg1",36788.9202814838,27846.5789616528,38030.9164545049,23243.9679828818
"Hspb1",176130.421814455,184787.579738766,207635.899165619,128108.400854277
"Rtn4",2212385.11461689,2314001.75576632,2098064.95736462,2051604.88104607
"Pcdh8",16969.2990122964,19432.7692198305,24061.2091095677,22714.5935326124
"Rab11b",69053.875717814,70109.0999993314,71968.6421484328,61033.2687698692
"Usp14",161836.851204273,161974.134812768,159509.31144404,173188.916683108
"Drg2",97568.8744928342,89510.8359179253,104091.615789928,101361.093235826
"Trap1",217804.279836385,253963.660534094,244114.338047302,234668.299889529
"Fam171a2",15552.9413346202,13043.1289969614,11354.4458789941,10977.5803381793
"Ppp4r4",64925.5600685947,61465.3456006836,59163.5406137363,60199.4313629316
"Zc3hav1",42949.622356211,39195.6336836343,40904.2784311069,35676.7690608291
"Dclk1",150700.57707008,152813.813083042,141582.800325613,136318.209779447
"Sorbs2",2412.38,5134.87,4602.14,8065.19
"Dgki",28522.2600986067,30407.2002643809,30846.8529379,30790.8593037654
"Cbfb",14723.1432834442,17266.206351142,17151.2176240405,12878.8868409917
"Scamp1",246423.535290526,318925.948014156,229414.407508713,292532.952780989
"Soga3",89229.2237210324,89795.8277054381,95498.2018768892,88010.0604125931
"Vcl",76297.7681328111,78290.5189458232,76355.1180714458,93009.7718482265
"Atp5f1d",11304.2,16162.2,NA,14501.3
"Scrn1",22872.4943650428,22837.8396018011,28412.546844991,22732.1474096182
"Bet1l",42348.8741086747,45746.0165175066,38983.6194152829,44344.1347391061
"Mapt",1102136.54666111,1038456.0545442,1069137.66720534,1003870.51610937
"Krt76",302381.625910201,320933.96001146,188536.311893224,1026926.67385131
"Tpd52",1209173.59148972,1256481.01474832,1115464.06602269,1237289.97304753
"Trim25",128758.352082745,113886.651466593,121328.372904612,156126.844225001
"Got2",22679.5747320335,24542.0925023073,28385.2587816285,28355.4637973255
"Dlst",50112.7272670946,50473.409233948,51362.9156111973,54410.809561847
"Gpr158",53428.4216840415,49008.3971608017,56653.1265787131,59793.842331731
"Amer2",69956.1819070498,69677.6688212732,69063.5769736745,87173.8684412724
"Nek7",66026.8667056312,64383.5660150608,67698.0906733616,58318.1850967965
"Mctp2",28164.9483480217,24577.9662182697,24880.4722603204,30160.8452069587
"Reps1",50354.8599211128,53279.26126361,53094.470360908,55371.9723927046
"Kank4",17025.3452656093,19052.4006271679,15991.4616541613,16647.3540207245
"Ablim1",43376.5758257452,50471.5602181036,49194.3231229622,42879.6133829341
"Srgap1;Srgap3",43969.2441273199,NA,54796.1406377809,47813.7650558978
"Atxn2l",371481.032786789,417124.374193023,362970.309953495,377043.748897259
"Aars1",32665.3848650231,33382.4369088077,38447.1866592641,35770.7382571426
"Syn1",215551.530750461,232425.506742085,252585.962523505,225805.350786269
"Necap1",103635.388940469,95741.2431527212,91750.874928957,112009.303894888
"Eif4enif1",18389.8585040006,18025.123797845,19692.6031173858,17442.0991165117
"Asap2",NA,7195.9,5671.9,7460.32
"Sgip1",22196.6259118063,22026.0046348673,23132.2085125181,23596.3206370644
"Ric8a",28320.0959089745,28566.5370400187,27849.9790725444,26901.0909053424
"Septin2",24649.4571076052,23952.6413572154,32416.0277251587,32317.8865186384
"Rtkn",3904.32,2565.55,2105.55,NA
"Krt16",NA,NA,NA,46435.1
"Cbll1",43837.4251825447,NA,44473.5647531793,62901.09864643
"Hnrnpl",99793.8198451197,102611.13261429,89223.3331155234,95523.8941374721
"Wipf2",23559.0999997949,27044.0395324076,24989.4178830185,31070.2092087302
"Cast",231736.298967189,279749.25309659,204420.349145706,240916.003854388
"Napg",78391.2039423336,76135.7520303226,68752.7128378404,84532.0487181029
"Tmod1",73506.2846976063,78890.5026080719,61366.9042503077,75026.1288457982
"Exoc2",20953.3798108818,20449.7515824719,22057.1291656337,21732.1154667944
"Synpo",36825.484816851,37071.6710908185,37230.8545450147,35967.3630907143
"Stac",9521.39,10727.7,11204.7,13444.1
"Cep170",305387.213487902,302474.943537072,270146.162653463,294366.421413373
"Armcx3",12243.5114196567,12257.3627175714,18481.1322449291,13537.4124946548
"Prrt2",41189.5404393603,42917.551767683,46219.114667519,36199.9044393372
"Tbc1d10b",21237.135439402,23687.9502389651,23369.8934311841,22492.7284025983
"Ppp6r1",98632.8573199085,117679.904836573,101591.916096869,90983.3537868944
"Carhsp1",50936.287003273,47587.4439883017,56034.2119956141,62932.8999994125
"Cat",26272.7054475313,18898.5010405638,24121.2777695565,18964.3333084995
"Rpn1",31426.3324216883,30447.5541120287,36950.8881982053,40852.5573214624
"Ssrp1",12340.3,NA,NA,NA
"Eif4g2",121026.381558465,118016.53277469,122060.711397236,122840.946130106
"Rgs10",13232.7,13771.4,10209.2,11463.2
"Nsfl1c",30733.0379837451,33120.2136478535,28319.0091983443,35803.2892342682
"Trarg1",273206.139896058,274776.30458385,217380.978973283,220051.656563626
"Crip2",1688512.16673653,1394456.3808555,1702192.64328708,1541857.85008495
"Dctn2",602826.817577025,611542.564060166,665663.324963667,649351.371104905
"Gramd1a",20093.9736966344,16960.8754198284,21897.1895237794,23327.3856078399
"Myo9b",18473.6,13256.1,20162,18466.1
"Scn10a",28547.9210899739,24077.8010369843,34449.5500194508,33185.2536473063
"Kif3b",76332.0327151702,85711.416696973,84924.4871279432,74279.9732386564
"Eef1d",329242.428569882,371357.861761302,335012.2850102,462701.337537697
"Dhrs1",19591.3131623331,15718.1726765046,17198.4880159824,20657.4789933653
"Hspa12a",52496.0999615357,50532.2469169605,53609.5578674789,51841.3628569838
"Hnrnpf;Hnrnph1",NA,4198.74,4143.46,NA
"Oxr1",63792.8011233469,63994.3339638586,70879.9515433544,70672.2915067962
"Dnajc6;Gak",47639.4,NA,55575.4,41138.9
"Rab7a",90121.8437902231,96696.8262423121,90737.6272890244,98547.72721185
"Ampd3",148751.2328133,158841.205322753,144823.218823796,174811.038814378
"Ap2a2",26860.845325351,24325.3835133685,32696.3258806543,26515.1979136634
"Chmp2b",136056.79339756,134250.409645984,145750.268669325,141951.294774429
"Dhx30",19035.6615538902,19370.1330411518,24407.2242808555,27190.7123525061
"Cdkn2aip",42579.191459466,41603.7533988577,49741.0312546334,44171.7895505991
"Czib",23281.1607050204,23607.7672405411,23721.957194901,19837.8960225143
"Garnl3",83359.1015678491,81608.0645194614,91943.4630889172,88922.7672683384
"Rmc1",8699.10000000001,NA,NA,NA
"Madd",67538.6689339631,75136.2390433062,65860.2084283277,64035.0043796444
"Usp5",220028.299159924,239901.13695758,221464.374182201,247490.904293326
"Gga1",39738.2966190327,49470.212455695,47080.4133008836,47946.7068552458
"Snap91",146675.126702509,151403.559334294,160797.206255138,146131.762416801
"G6pdx",100931.224791426,106266.535376767,106912.202656174,86580.5731853692
"Coro1a",71412.467574597,65156.6971032927,66712.7426959829,62596.0999994032
"Garem1",14411.9424801466,12252.0374429775,15027.1632481079,12437.4497208204
"C2cd2",45602.9554603477,38740.5795505497,56828.2014162409,43704.387379599
"Agap3",33891.0086209541,31691.9005609999,37601.9689681905,36081.935980384
"Eif4a1",18010.0868699386,13126.9717016852,19258.4712467555,19858.8506189988
"Asap1",83085.0944414971,99449.5192680837,92373.2275615496,99860.6647789863
"Mindy1",45571.8172161339,41168.887719295,43893.3293225273,44357.0397101241
"Ppm1e",16081.140400571,15042.4675733321,19535.1158385916,9996.08553306616
"Evl",49759.6181449042,44348.869483846,37636.7987401883,45193.1730916321
"Ubxn4",9281.22999992771,8381.15999993472,6339.67258898,10799.9824118597
"Pkn2",31049.5214669007,25488.5631824988,35858.7610075533,30054.7849014289
"Sugp2",36296.7810396838,38019.1113832813,36537.6643461682,37138.9256797504
"Tab3",15829.7020488772,17023.1195415783,17894.8386680373,16620.0830314585
"Picalm",87998.4629244328,91664.0437341807,68921.0643337271,82924.8154968536
"Pex14",260230.928566141,278955.943823736,263629.74829906,298615.806676331
"Nrbf2",78238.2295697132,77086.0503726245,65299.9161815479,62483.4567021624
"Rab11fip5",138362.649679941,142691.512470555,132939.437840468,119453.036360433
"Lrrc59",73983.0330252112,79924.2177649004,72391.3364771111,101541.073814992
"Nucks1",132497,NA,136675,140279
"Ywhag",12720.4945342396,12023.7772803014,NA,18813.2617687819
"Tln1;Tln2",70498.6637578761,73840.6847441157,66458.2200146574,75915.5731644367
"Maco1",63404.9779000637,56905.5249700049,78265.4361743784,54525.1912019458
"Uqcrc2",25066.2149668398,27602.557909795,26421.4345993264,30311.0144637532
"Fsd1l",14368.8,12246.2,NA,NA
"Hsd17b4",7841.71089157641,11572.1242639452,6225.87577959806,7882.85075748088
"Ttll1",16544.3,17464.8,18550.7,19698.6
"Cct3",27314.5769515311,26424.3052705447,30261.2921950897,30565.8222682723
"Ahsa2",27748.4243810461,23787.3271838469,28626.203908095,25214.1052198524
"Psmd14",23224.010926451,22105.9510774393,26159.0314768927,29200.7548804736
"Hbs1l",39610.282967484,38809.0451298021,42674.0763626037,42581.9149335856
"Thumpd1",26159.7923299148,28317.6396725547,30027.9999997391,24121.0671856939
"Cyp51a1",NA,11668.2324981797,21982.4278086271,19411.2916778024
"Immt",40766.0923390114,40822.4801479375,57286.1458036169,51429.3859864145
"Lemd3",28660.8601950988,33042.6399594818,24220.5585419571,31808.3183996265
"Rpl6",255371.288409497,265015.095041073,305915.511409452,315124.065123803
"Ccdc92",68779.1872339553,88943.5152054905,70990.6870093442,57493.6031164731
"Wrnip1",123429.764971811,111113.110606043,122367.289743155,124877.253819513
"Zyg11b",22741.4085783568,22115.1179071564,29218.2586806553,20174.698794135
"Kars1",46156.6444465685,51826.6085696943,40320.269872158,44562.8395506184
"Papola",14849.6207810512,14318.5289201618,18231.2999998471,17924.0030129419
"Myo18a",60787.8286270033,66318.1175788175,63218.5873224857,60430.7547108764
"Stx5",41084.1855320532,34639.07969784,42999.0346011077,38238.0694809691
"Tkt",43057.4008299093,43468.4590836419,43368.2936482198,41368.7135213684
"Cpeb2;Cpeb4",56189.4065868192,57151.9727650179,52160.9882490907,58763.1011056964
"Pdcd5",59798.1900751546,50483.5253160477,45391.4033444193,65664.5792388733
"Rc3h1",22905.8810874424,31919.0177927476,30351.9964137386,26043.3591616904
"Rad23b",63917.3865168649,65933.5976435406,73938.1226732413,72578.5361558276
"Tuba1a",9596950.18007221,9614488.87742968,10437418.7379928,10499508.1497449
"Ufl1",14236.4011606888,11154.4836889169,12721.2902388246,12129.6911285855
"Kpna3",260816.528315215,266363.401040816,303305.547435532,258249.580371986
"Zranb2",24050.9894745593,23654.9250201188,23413.0926923983,23500.6911381478
"Cluh",31075.4807246825,30916.9223049999,32195.7273316026,32087.0779924842
"Smap2",101285.666078078,94489.4615813958,101412.053578503,100179.770508794
"Snx1",50881.1324349844,47660.8820042147,50522.0447484235,48509.7296360344
"Cmas",390360.941960883,372570.743003606,429184.003584777,487926.903621751
"Ndufb11",21581.125266983,19483.0421264466,18237.1003980342,13317.7259193512
"Stat6",27935.4647616143,26013.2680491879,29142.434190564,29338.8922638834
"Niban2",86751.9518645446,91005.821263594,85579.094120263,74584.4625774982
"Hdac6",37176.115226014,35816.4650619051,24484.1444509088,27959.1905457821
"Rac1;Rac3",10330,NA,16533.2,NA
"Map1a;Map1b",914130.139998595,889761.657241017,1007680.03485868,800730.170383646
"Stau1",100596.923964647,108724.020817265,94966.0616737058,90903.2682190392
"Gemin5",34190.6989831886,34361.5930713897,37215.1404525665,35062.5716797826
"Cfl2",9712.2,10910.7,12478.3,10290.2
"Cfl1",80020.904684901,77520.9423626611,54021.0474084702,84478.8863711092
"Nedd4l",22221.8033840222,24073.5545680169,27127.7060704552,23697.1367143216
"Shtn1",NA,NA,14523.5,NA
"Ptdss1",11277.6696538643,11292.1370634644,13040.038259436,12368.7895633606
"Phf21a",11508.8,6633.74,9781.79,8745.21
"Tubb4a;Tubb4b",81511.2910070653,83325.0635635182,77204.145339773,64673.4459405446
"Numb",320840.133412853,324914.227723327,303811.462742209,300076.744513962
"Clybl",28037.8720035206,23331.5992423563,28286.4166512427,26085.2366149953
"Snx2",43333.0011681147,36390.7020544002,44087.1387950597,37694.3407325158
"Dctn3",27317.813753799,29471.6429556215,33134.7211036603,32683.6803014765
"Arl15",18895,NA,16973.5,NA
"Commd10",25802.7058128841,NA,21889.1999998604,26034.4724368404
"Vapa",294858.917112118,351154.940013689,254999.837818716,299507.172489475
"Phyhipl",49612.4440164271,44878.9589470716,39855.5188873398,42766.0784361542
"Akap9",82016.0742243167,78839.8022149518,81286.431620816,87613.2648264212
"Tusc2",51570.1105498254,38202.6836980371,55970.6427660644,61809.9151715339
"Fhip1b",15082.8611502813,12172.4230877365,10868.9947526448,12226.2512491109
"Gtf2e2",4140.93,7451.64000000001,10938.7,7826.74
"Pdxdc1",349473.966256222,361138.594222086,311202.805451565,311326.014881355
"Tjp1",18616.7231830434,17455.2589230119,19266.9936422005,20681.8092154248
"Sh3glb1;Sh3glb2",NA,NA,48212.6,34521.9
"Zfand6",39173.4495661935,39024.3012341339,28166.0060889711,31287.3318586208
"Wdr59",16241,12905.2,13357.6,12239.4
"Stbd1",178395.15030116,177578.810172558,139216.24986629,178105.631848684
"Mon2",29055.8296346407,27072.5308062112,30016.1307912241,36402.8672894818
"Tmx2",150897.778424993,136343.978712094,151917.131953943,125336.414532548
"Ywhah",37341.4963424679,32425.4919177771,24893.9214467416,45994.2325221334
"Ywhab",25520.9402934775,39166.8168311273,27440.0836540874,33522.3602323375
"Srrm1",36148.8549162005,23929.7538264952,46071.3415975516,31232.0660464286
"Larp1",128283.23389575,127962.677608733,128822.356323971,139929.246567063
"Ccp110",17855.2764781392,20337.8870505069,22049.8979225443,21826.4463081912
"Fam126b",NA,9503.15000000001,NA,NA
"Ccz1",15059.0151778403,21390.9898192233,15974.530991999,16203.1229766742
"Nono;Sfpq",48956.8,50334.2,43435.4,55103.6
"Cul5",32784.7570865704,25561.8209068582,27735.0110681559,34048.2234620987
"Ssh2",14684.3441435203,14384.3940426593,14509.3552038122,11694.8680713461
"Atp6v1b2",160322.634787611,172013.058680337,147663.428410909,147740.585880586
"Hnrnpu",83412.6656358961,90655.2770434182,77384.6360274353,85943.4077449355
"Wdr13",10938.9321095046,NA,5095.98833851008,11613.9184682437
"Comt",179108.66922466,213078.815483037,176275.939921182,209267.03051325
"Arl6ip5",547576.062163163,515813.999994199,510491.352357286,493172.831954731
"Fgf12",19593.3712369475,17127.9578142679,22695.9907199867,9823.83999991791
"Bcat2",13228.7511470129,14243.6285124503,14047.5979077394,20608.8999998298
"Ranbp2",85448.2636492138,90410.5525011144,85237.5821437442,82005.5417927298
"Dync1h1",127233.239084608,136979.919430613,126820.339621499,139914.948370606
"Fkbp3",162625.432001039,163045.881831491,165364.387151571,190731.906455286
"Nyap2",9349.72175470652,9721.18747666837,8647.73845902883,8364.23604207599
"Grcc10",12324.6053422484,13724.3903677047,12857.9482599994,9288.18636097971
"Strn3",23535.6241306702,30000.3162402979,28577.0429441806,29924.1602154995
"Rbsn",33851.6870582472,32047.0253085268,40468.7885928987,29582.1108310933
"Vps8",21425.9305904586,23341.9705531415,20057.8764720967,21889.3614909601
"Mff",39419.0811378266,40849.4925990836,39612.4519084055,35257.3966819574
"Samd4b",9546.58,8144.54999999999,9097.00999999999,9728.11
"Baiap2l1",41096.4406471093,38222.0252949885,34912.196428089,38553.8916258258
"Eprs1",129610.128946507,137019.685395669,119362.722126214,150511.128354789
"Plekha6",59316.6055153968,54512.3051579896,55517.1740661159,59483.4815538356
"Eif3f",97488.0166078469,92599.4265276796,109332.030397846,102024.59836749
"Limd1",11119.1467921521,8532.56233333128,9268.12425638711,14533.0440910559
"Ankrd28",12079.1603403718,13698.67715362,12095.6335495652,12438.4627448803
"Psmd2",53937.7520991719,55092.6083887496,62512.506002634,52427.6452150282
"Zwint",46358.4514573515,49336.8535211397,46835.1954578138,38584.4719674169
"Nap1l1",268301.008450333,263591.648510215,239648.071601304,263834.078164052
"Glud1",15061.5728379856,13749.3145646475,17640.4876410783,15154.1752298999
"Dync1li1",213413.387537076,240553.304207627,208103.803759744,221366.234035506
"Dync1li2",196230.358171775,200435.16216331,206896.854510753,182505.615709617
"Sorbs1;Sorbs2",25397.2,NA,22784.7,18680.8
"Itgb1",187752.242612518,209679.188567558,182897.553693121,174619.864598315
"Wnk1",35418.8285154779,35360.2085246519,37820.1903216627,35006.0023150304
"Eif2a",44552.3604269439,43207.7261027982,44036.0414768591,42506.2079347218
"Tnfrsf21",24420.8976828765,26007.3707723389,26038.2791758259,21210.7480857395
"Cadm1",49332.5427492328,57898.1811465567,53169.9982004909,56524.5056335245
"Rabgap1",63956.3519500823,61658.6276399491,65209.0194890515,51740.3216490959
"Dhx57",27303.474082844,27872.5114100335,29782.3891290365,27271.5738396652
"Eef2",37139.6647654059,37824.8805223862,38220.5105526287,41158.1518112378
"Bod1l",21255.8772511132,20493.3203959966,14362.8575262952,12068.151328692
"Ip6k1",98148.4957496884,96459.7374018749,100965.104503594,88238.1674143609
"Prkce",18092.9464026478,21588.4984576875,13737.5870953408,26454.473814293
"Agfg1",284835.765788671,303877.275150524,221019.023675556,288248.101138876
"Ppig",21254.93562197,19204.4106012445,21605.2797905171,17968.0903217302
"Purg",76809.4216679861,94908.8482840194,79885.1898120909,91943.940182947
"Actr10",96330.1830238621,87986.0102931704,92892.2125151313,94119.8707980163
"Fermt2",120347.465782411,118865.125218352,113885.005048013,107075.316428269
"Pip4p1",27123.0981054465,NA,25026.2803913548,28431.9282149932
"Ampd2",184164.516073429,195368.720729977,171489.985353602,169523.830884976
"S100a11",90475.5307716777,NA,64581.4614874142,56702.215332824
"Snrpb;Snrpn",36147.4000521762,44910.9837375835,42856.3145142564,36093.7483416498
"Rassf5",11876.2881955064,9615.31329222518,12034.6106068976,11287.1637436629
"Pnpla6",18082.9384790926,15285.463995663,22649.5748585938,20058.922970192
"Arfgef1;Arfgef2",451254.621380932,515334.775534622,491081.739444433,489442.057222051
"Spart",60169.0650709199,55517.2050890695,54187.1880953023,56433.4653323931
"Copb1",72602.2249644184,58007.2047860779,69914.932356418,83673.8413321166
"Pdzd8",41166.6493243404,42204.8619822378,45974.0897518725,38466.7944777752
"Gstm5",66124.9366448036,71405.5419139179,81511.7865160819,52354.0939344855
"Lpin1",72398.7091311393,62860.857502972,47604.170280075,54915.7707905524
"Eif3c",348997.442466402,384997.045233458,327062.398578359,351996.350011918
"Fnbp1l",34004.6738610531,29242.6582810751,24793.0541386293,38525.9482103691
"Add2",491489.579954124,462448.983228036,460344.160106787,479162.18194242
"Wapl",26644.6,25403,NA,NA
"Pik3cd",8975.4299999308,10363.1999999201,8714.01999993283,8123.69999993736
"Txn",14390566.7045478,11226417.127942,14392589.0995192,13698446.6112076
