"","Ox_m_TC1_Slot2-5_1_3807","Ox_m_TC2_Slot2-6_1_3798","Ox_m_TC3_Slot2-7_1_3804","Ox_f_TC_Slot2-8_1_3796"
"Rpl6",NA,NA,NA,5462.32
"Atp5f1a",31455.9050574385,32270.703424395,34079.6212748932,37508.9255109052
"Nefm",31590.6343275836,31136.8541616328,32063.2569463657,37508.973211933
"Tjp1",10805.8301030973,12862.0587374836,12326.3546755289,10948.3078700752
"Tkt",14467.2283064408,12547.5065712373,12681.0278311365,12524.8294022529
"Avil",15531.9499246965,11694.7712388549,15310.3680828957,16900.5693675511
"Tuba1a;Tuba1c",331572.456081191,257620.552132311,270770.873756295,309218.16103543
"Acad8",6266.21000000001,3797.25,4171.71,NA
"Cfl1",16155.4466218668,16778.176517613,14938.5887050941,19129.5776323169
"Shtn1",13928.2283724112,11182.587966645,13890.1518498494,13527.7123589899
"Arl15",4331.25194649971,6730.92360639042,4434.70335216359,NA
"Commd10",NA,NA,2022.53,NA
"Pdxdc1",7275.07,2706.59,4538.31,NA
"Sucla2",9107.88239882922,9994.89734307917,8767.95740623296,10350.1479809761
"Ywhaq",NA,8678.87700681385,6380.98986910194,9494.71398810011
"Pcbp3",7537.19679300306,5486.51855900756,5371.4211582536,5902.94335428868
"Nono",23667.7361047506,27708.1999997567,29057.5999997449,32641.3766964119
"Atp6v1b2",NA,NA,4135.98,NA
"Hnrnpu",16535.37951974,15864.8397967765,12720.7652608513,15427.886703094
"Ilf3",6357.2915923708,8907.87357399932,6610.76903459071,8813.54907747255
"Eef2",4570.18999996525,6250.80214158989,3407.57462175109,10568.6050259212
"Idh2",NA,6567.32112264944,5090.79365084717,4518.00305711788
"Glud1",7761.47380122088,8581.24175099153,7432.39907587885,NA
"Sorbs1;Sorbs2",14535.5,16121.3,8191.54,NA
"Krt17",84265.131212687,108979.986553922,38729.0192418369,NA
"Coro1c;Coro6",6235.28,13043,7378.31,9306.4
"Mon2",10329.8297731253,7434.48157743362,4920.27772261255,7049.01397603595
"Glul",19742.0919788855,23691.4521847507,20687.3084577549,20447.498700946
"S100a11",NA,5072.3,3647.95,NA
"Anxa6",15448.9151065663,16548.0985586049,18527.0272918123,19136.4360993283
"Txn",1301887.56819494,1511157.65692538,1316246.45068513,NA
"Sprr2b;Sprr2d;Sprr2g;Sprr2h;Sprr2k",11426.7,9916.2,5667.66,4483.94
"Csrp1",17165.0999998922,19144.9999998798,18273.4999998852,NA
"Prune1",7787.01658646944,4880.45963987654,9236.87665848279,5674.14955383602
"Klc1",NA,3105.83,5352.05,4624.22
"Rtn4",18800.8259943401,19253.4879404312,21462.1274873053,22471.827562962
"Arvcf",NA,NA,17652.1,NA
"Hspa8",16198.793167822,15981.6444106962,13434.015763764,17738.5967137254
"Mpz",40120.1852811861,41236.8781160133,38901.043473966,27230.4038184228
"Elavl4",8390.33019489424,9317.97841449891,8531.84145840854,7452.16123469282
"Eno1",4921.72015621522,8441.06185961594,4144.12001987264,NA
"Arf1;Arf3",8680.42087662287,9170.5767332916,5933.64536145158,11784.5254687285
"H4c1",110443.921050461,150634.152021954,110456.149942109,146867.90543664
"Slc12a2",15011.1454401093,19115.749727351,16264.2086064418,14285.9986037484
"Epn2",6014.3981473416,5885.1591592745,5987.52103802928,4941.26523253775
"Tagln2",82547.7504669576,94162.3533891268,95781.1005320805,77680.3304638871
"Niban1",31572.5078988422,33237.2408593086,32737.1357752099,33279.2446494856
"Slc25a4",18213.391613207,19885.2828218304,19380.6103600453,24962.4992427796
"Npm1",4755.68167134845,8234.4333819131,6582.62816711909,12780.0187064791
"Hadhb",22295.3711924811,22193.1289450707,24572.2840228433,21911.4571963497
"Slc25a5",4862.11,9090.51000000001,4034.11,NA
"Pdhb",18717.2585506092,17409.186251887,19374.6881888199,14985.4999008557
"Glo1",31093.8894084455,38124.6112446789,31199.7934457567,34368.5767975017
"Pdlim5",7135.28592811736,9085.43081006014,8334.48834053566,8711.03160080601
"Pdlim4",30313.3564462257,32572.0810440691,34737.4493577039,32819.5294796026
"Hbb-b1;Hbb-b2",4823.30886800615,10044.1766578514,7205.91495103095,8408.88235655828
"Prdx6",23390.1653618816,31650.0401832304,31492.445211514,33579.8630392402
"Acaca;Acacb",267404.139153257,265775.243852356,272234.056723608,227310.538793664
"Usp5",9133.68,8545.99,8934.19,9573.67
"Park7",10478.3199891869,6318.4572546741,10016.096712666,7072.22003599891
"Rcc2",NA,1138.49,2864.42,NA
"Vim",277915.532865747,296220.92837153,275389.78862036,273177.396742358
"Mccc1",1059005.65491307,1098905.89992396,1044986.76435847,964578.175469898
"Idh3g",8896.97,NA,6720.19,4304.08
"Nacad",14362.6802603271,15974.6596874493,15937.9543679282,21657.9350966841
"Dpysl2",81215.7373144603,78098.7668740429,90658.8665195612,96875.4347263127
"Ddx42",7540.33729538714,5377.92042969714,5815.31827858427,5957.01528263836
"Rps6",7247.41,6899.07,6018.38,5238.64
"Gpatch8",4975.71242894034,4629.51239015998,5494.64877153827,3716.98991093249
"Cpne6",7742.5276075321,6016.74243693536,8652.80430864736,4906.20999996389
"Cadps",3162.25999997549,5178.92142463314,7246.58156405884,6973.3795329308
"Arg1",5375.38,3349.99,NA,NA
"Parva",5668.06260315859,7673.80839976571,6758.14893651329,5533.5775318395
"Hnrnpk",65218.5922858392,74127.2169769714,77440.6918009918,74418.0970205163
"Lypla2",82761.3332109376,87268.6398681225,86371.8212036456,91024.3464115042
"Phf8",NA,NA,30925.5,NA
"Map2",18103.8225136153,20926.5140771901,20301.236921732,19543.3141153921
"Aco2",25703.7448514734,27814.1684375842,30696.8216531755,29690.3675122563
"Myh11",10049.8592460905,8285.16999993538,8448.30999993411,9307.61012209489
"Ckb",86011.3502179676,81248.6325733838,87988.3655908679,89459.1438484856
"Myh11;Myh9",18348.7627476956,19197.0001529722,18925.1433961035,NA
"Numb",7551.77,NA,6882.11,5701.74
"Sntb1",6838.98803835021,7256.02036871654,6154.40768278956,6258.28345878715
"Numbl",NA,8629.34,NA,4737.28
"Sec22b",22120.6311553269,17430.1088833052,22259.43373584,NA
"Asrgl1",15082.0598118865,15300.8999998749,12434.4999998983,14415.3448738544
"Stmn1;Stmn2",9810.44,11341.7,13768.4,NA
"Actbl2",24800.9227159616,33978.7145681215,18755.858591302,25521.1393926411
"Rint1",6697.06489969696,9494.04953015729,10799.2289387455,13603.2522701974
"Washc2",7240.55549139432,6714.90619167444,7515.64003192391,7014.13632332287
"Gtf2i",8345.23,8133.69,8162.97,NA
"Prpf3",9997.9085059471,8465.06642016543,9724.53838516665,10459.2900715711
"Sfn;Ywhaq",11735.484719331,13981.699578219,10648.7549572735,17038.6842504703
"Arhgef6",21808.1506076278,23569.7351976694,24637.603421287,21901.3929218678
"Psmc3",10617.233208561,14793.5419501633,12738.5905238571,16764.5451705291
"Hadha",23432.3291308036,21334.5225879341,24843.1249858599,21958.6398196284
"Pck2",3247.52450675005,4834.23901388288,3731.67264992782,3440.23978027023
"Krt5;Krt6a",20610.5999998226,46488.2157491255,11774.4643636728,11271.0723741356
"Alb",812570.999990477,531952.832337953,717601.352975213,880124.597174297
"Spag9",12508.5241698643,14525.7440774297,11969.7201038279,15718.0513527085
"Dlat",10841.356453406,9917.08587509715,9095.99600818817,12073.9030982983
"Ogdh",12029.9016367514,15187.9449622381,10421.4724633004,12408.241560752
"Ctnnd2",7370.45690100311,6480.6965806515,7484.00931812172,9701.72179206563
"Cat",10183,6223.64,2317.95,NA
"Cobll1",4347.87207360651,3537.7402274334,4531.2290242316,4137.89843787346
"Krt2",873085.820469023,472151.922181835,221344.503049837,NA
"Lmna",9643.07299307045,13913.7637158687,8797.85103020486,10661.9598770072
"Sart3",11334.3685620188,12047.1710407164,9620.67555122038,12979.4906617526
"Dock7",5423.50544385997,6255.73970838882,6725.83651906892,8099.54483445053
"Slc9a3r1",31358.7411203618,35456.9808137975,32443.5207075989,41173.9348982245
"Stmn2",13602.8,14299.6,13567.6,NA
"Atp2b4",NA,3653.62,5739.99,5114.32
"Dmd",25307.004725114,27587.7289319646,24551.2774973638,24693.5834355571
"Sncg",1025488.76537357,1200985.70495872,1071480.7579228,NA
"Cox5b",4538.52,3521.88,6570.98000000001,7005.83
"Hnrnpa3",64255.6363461107,55680.8703280989,56346.8878382552,NA
"Rimkla",4174.62604711764,8508.98212329605,9763.95217451385,9704.02795573997
"Aldh6a1",21141.5935517905,24988.7648500237,26018.6882752717,19354.7468515872
"Snrpd2",70895.548233758,76052.7266414322,52861.6908189302,80388.1700716605
"Acadm",16845.7999998614,14974.7712463901,14898.595121135,13515.2491833331
"Dpysl4",12071.1215177685,13763.8807321057,14042.8943925645,11095.9666550828
"Mtdh",5192.08838961132,6527.11944653192,7209.69685305066,8506.6719871254
"Sart1",7724.76,6520.52999999999,6925.61,6995.28
"Ppp3ca",15703.5603941781,14881.2309701215,18815.4035201756,12493.7334787567
"Synrg",5742.10309561998,7050.70990544617,8090.05269102471,6955.21557748321
"Nudt9",NA,NA,4399.82,3432.08
"Stx7",8969.95158711563,8266.43954349773,6562.48054317414,7108.11621484021
"Sh3kbp1",7886.31,7928.34000000001,7509.3,6547.62999999999
"Clasp2",11913.1584475342,12429.0151615069,13283.1211785391,13443.0381829919
"Ppia",11923.7639406879,14405.4362730862,12642.8202249046,17805.3521026239
"Araf",7690.51644872257,10204.2959702264,11999.0999999046,9236.07956397732
"Snca;Sncb",28267.1786858917,27765.5959130588,34324.3910463145,NA
"Sh3pxd2b",7745.54871240387,10652.9276021422,10042.8527014233,9435.06149905833
"H3-3a;H3-5;H3c1;H3c2",26478.9687518296,47511.9019816831,34554.6562142961,27811.0596665945
"Ahcyl1",49413.9086229567,43271.3449123924,46603.4236641618,43027.2241224643
"Sf3b1",19792.3038850079,21397.9584780047,19118.031590261,21159.5364520406
"Plpp3",3604.69376449773,4149.52661259918,3448.78467568544,4268.05745510517
"Ctnnal1",3623.51,NA,3286.5,2617.54
"Son",4663.66442122248,6414.78737218793,5982.62794822065,5277.03228567401
"Acss2",4914.97999997385,NA,6055.40999996777,6181.71999996711
"Eif3g",5586.99,7550.93999999999,3257.07,NA
"Rnf121",36750.1865425055,33216.050286199,33353.5735426011,NA
"Nup62",2469.34,1630.19,1660.49,3344.5
"Aldh2",22593.8670453781,26389.1546726973,22437.7661222277,17500.9354626863
"Mapk3",3818.47801885517,6612.60908752055,3863.39265795668,NA
"Hsp90ab1;Hsp90b1",10913.7,11657.8,12623.1,NA
"Bag3",5436.65,5963.85,3853.06,NA
"Depdc7",11561.3811774137,12797.1639626118,15286.882835878,10947.9886385966
"U2af2",6082.48,6922.74,5101.75,8138.73999999999
"Cdc42ep2",NA,NA,4963.37,NA
"Abr",2961.88268468017,6405.96987050104,2532.2615049864,2711.69812318103
"Pcmt1",3210.33,NA,NA,6130.02999999999
"Acads",12411,7763.9,11321,6616.84
"Tmpo",36400.5931983807,31094.2409790774,38936.4752764195,28877.3214754866
"Fermt2",17747.5430106958,17620.5820627168,16157.7615946816,17928.9695550919
"Slitrk2",3589.58,2711.06,3250.17,4289.72
"Gsn",13085.4855907533,11246.4444116967,8343.72243115662,10461.7524582403
"Myh14",27200,34698.2,25975.9,NA
"Rrbp1",3078.94,NA,4546.76,2441.33
"Trim12a",9702.75152811676,8090.33340694984,6255.86508040992,5898.6719500749
"Snca",34647.1222300744,41617.4542485855,42557.2958168484,NA
"Septin5",5332.55738303107,6029.66789597633,9024.50442975292,9108.63584291471
"Pcbp1;Pcbp2;Pcbp3",9367.77228984096,12280.3219630184,10963.8881699481,NA
"Mdh2",10360.6509440598,8615.77562212024,7798.10833157392,10779.7493735217
"Znf207",2678.38,5705.88,3631.98,4651.26
"Acin1",28149.7320785824,27914.2698598188,46737.4458978348,32119.7833816942
"Tln1;Tln2",19156.6693026848,20350.1192856813,16222.7120116358,16485.6801626448
"Rps2",4679.38071922679,7713.50705224916,5326.6925712493,8673.08539155897
"Vcp",6241.71117347872,5903.0002723939,6586.70579650256,8160.27349048157
"Mvp",1733.57,NA,NA,NA
"Eef1a1",22977.7839569714,40933.5082146402,23222.537010291,60833.6770151105
"Niban2",10003.9751540965,10410.302670611,7079.33418123084,12562.985044112
"Msn",6617.57,3430.75,4828.69,NA
"Comt",40928.7105909132,35730.8588890521,36421.2782907487,NA
"Nefh;Nefl;Nefm;Vim",332222,270164,273834,NA
"Krt6a;Krt75;Krt76",55278.8,78004.3,21956.6,NA
"Actn1;Actn2;Actn3;Actn4",4128.63,4115.44,NA,4279.14
"Gls",15583.464397444,17322.8733448846,15972.9002347635,17346.4276734596
"Acat1",18544.6999998435,18093.5518570693,22613.565319443,16307.2652737142
"Krt1;Krt2;Krt4;Krt5;Krt6a;Krt71;Krt73;Krt75;Krt76;Krt79",573976,470246,156456,NA
"Wipi2",9766.26195634858,9984.64814745405,10943.4999999124,11720.7090181942
"Hnrnpab;Hnrnpdl",NA,NA,9127.48,8582.6
"Hnrnpd",8596.88102385833,9850.55244422207,7793.20938498683,NA
"Cttn",23664.5764757111,25666.3780260497,28206.424317821,22154.7024392731
"Ldhb",2687.68,6463.42714778615,1151.10999999635,9495.75397021897
"Krt4;Krt5;Krt6a;Krt75;Krt76;Krt79;Vim",267630,285929,177897,NA
"Krt1;Krt71;Krt73",2299020,2371370,776981,NA
"Eif4g2",NA,2939.84941000759,6590.82936501611,4646.73106440577
"Decr1",5662.13090416942,5923.64932552205,10113.5681048514,3643.60688034378
"Sarnp",5506.19999995968,3808.49999997211,4508.57999996698,5907.10999995672
"Smarcd1;Smarcd3",6509.11,13115.2,10211,9396.01000000001
"Lrpprc",NA,3465.86,4848.51,3549.09
"Hnrnpl",8305.76605959342,5944.97111634151,7208.84679377208,8136.90829427392
"Limch1",NA,NA,9846.51999999999,NA
"Nefl",19230.4615919097,24359.4543139636,19202.3330987854,25398.5738466738
"Las1l",14820.4258312111,13390.5450234337,15201.3894286191,15521.0044321245
"Fau",84554.6,95268.5,82379.9,NA
"Oxct1",8216.82000000001,8081.46000000001,5961.7,6447.59
"Gapdh",16535.3210739964,16524.5884770884,14416.2534972183,17745.7419688919
"Flna",9559.87320124821,10704.0147517582,10813.1875454835,11258.3221470689
"Eif3c",NA,10463.9128835657,9697.94370809099,4491.83550634503
"Pgk1",13216.7239946333,23242.0197569883,8394.12322845181,26198.6589482281
"H2az1;H2az2",1613.4,NA,3340.38,NA
"Col1a2",10605.6060495837,71174.9023048816,10638.1850367358,3076.49755579134
"Cpsf6",NA,NA,20240.9,NA
"Col1a1",11910.5999999163,82740.0999994186,14282.2999998996,NA
"Lasp1",24445.2266376119,21038.1567762326,22888.223423644,25672.3565490481
"Clic1",8407.91910081942,9645.38563516824,8255.00881112395,9129.80936776295
"Chmp4b",15420.4020213016,19483.6470477086,12808.4916635663,17158.1288276238
"Efnb1",4472.07,3476.46,3121.83,NA
"Ubap2l",NA,NA,4914.94,NA
"Acsf2",3840.26,4011.35,2494.43,3623.52
"Pygb",16037.936856823,12084.470303774,17532.8853624758,15118.5592459661
"Aldoa",4380.50443270333,9386.15797002707,9079.68711072438,6198.6195876707
"H1-2",NA,NA,14069.1,NA
"Acot1",18917.7659760609,15713.7326559899,14826.5999999103,NA
"Hnrnph1",NA,NA,4234.21,NA
"Eif4g1",5503.35495824331,5930.67315937496,7500.59859124431,5904.36389019077
"Srcin1",14666.2679723031,14051.6224672772,15815.4956128718,16228.4634209155
"Add3",17524.4385463908,14587.05585077,17176.9433309891,14135.5528031003
"Eif5",2906.62,5312.7,5495.59,5402.05
"Dsp",25858.7119159688,29647.5765560706,9391.84941991063,8862.27164610061
"Cs",26222.7007931285,28213.6186539639,30486.2496824407,NA
"Ythdf3",855.878,5091.61,NA,NA
"Vapb",3451.23019265764,NA,NA,4975.54865445138
"Tnks1bp1",4994.91317953685,5864.56944215567,4557.75176487519,7111.0270482576
"Hcfc1",13504.4243237181,15731.8428482898,18076.39493461,18726.4999998436
"Nudc",5477.89778058839,5526.18057293762,4876.24074662538,10365.4579645234
"Tgm1",1742.72,NA,NA,NA
"Hibadh",NA,NA,2338.23,NA
"Aqp4",NA,NA,5838.27,NA
"H1-2;H1-4;H1-5",351709,740774,441942,NA
"Rplp0",7257.97524004728,13840.375651191,7872.72283741235,14183.6443601994
"H1-4;H1-5",335436,780641,488845,NA
"Eps15l1",11572.8392931169,11994.8174385205,12677.8830290711,10458.227743264
"Anxa5",9750.11410374452,8735.36444262763,7589.52999993998,12169.279695777
"Anxa1",18243.1685506603,28327.9620127488,2647.50999998029,12540.9764157621
"Fasn",4164.53495977434,2862.68914662611,3230.67517689322,NA
"Pdap1",14239.6488257902,17824.9747601222,19121.329084878,17086.8545105254
"H1-0",2746830.13964399,4489867.14904467,3164860.32354645,NA
"Trap1",18843,25148.1,18437.9,NA
"Cast",11815.1164450839,9708.51879863436,10854.8559750808,7908.92354297681
"Eef1d",14613.451660012,18092.4581755151,14106.9589297729,19068.9889630403
"Ctnnd1",NA,3565.3,2514.2,NA
"Krt5",114068.232268,146134.389412481,35710.3608649924,23998.3590262519
"Hsp90ab1",13697.4999999134,22043.2302712937,17178.8605065907,NA
"Bcas3",7699.83130531953,7012.74574248438,7865.99284172135,7487.29809535205
"Gstm5",NA,NA,8275.52000000001,NA
"Got2",1903.53,2176.82,3400.58,NA
"Ranbp2",8826.23728413839,6681.66513067567,7428.83140029618,7968.36770903193
"Mpp1",NA,NA,4751.77,NA
