,logFC,AveExpr,t,P.Value,adj.P.Val,B
Nop2,-1.025529983,14.09571215,-11.7330649,6.24E-09,6.69E-07,10.90330394
Plekha1,-0.75747304,13.79428476,-11.71779329,6.36E-09,6.69E-07,10.88552188
Appl2,-0.768659595,14.80377522,-11.71517568,6.38E-09,6.69E-07,10.88247189
Map6,-0.809650676,17.16625624,-11.68936916,6.57E-09,6.69E-07,10.85237005
Nol7,-1.255428735,13.39257403,-11.68373951,6.61E-09,6.69E-07,10.8457955
Bicd2,-0.732442764,14.37545488,-11.68241343,6.62E-09,6.69E-07,10.84424644
Abca1,-0.808506271,15.01703237,-11.66487106,6.76E-09,6.69E-07,10.82373954
Micall2,-1.036892148,13.65700855,-11.657448,6.82E-09,6.69E-07,10.81505376
Nsun2,-0.655932003,15.73502804,-11.65014433,6.87E-09,6.69E-07,10.80650289
Kif5a,0.856282542,16.35365936,11.5717863,7.53E-09,7.24E-07,10.71446314
Ldlr,-1.002744619,15.46112022,-11.55206467,7.71E-09,7.32E-07,10.69121096
Ube4b,-0.956658705,15.51639936,-11.45731753,8.61E-09,8.08E-07,10.57901057
Cttn,-0.893401868,17.43474235,-11.428681,8.91E-09,8.17E-07,10.54493791
Tnfrsf21,-0.990832441,13.6759862,-11.42682253,8.93E-09,8.17E-07,10.54272405
Cmip,-0.718402658,14.44422361,-11.2945495,1.04E-08,9.44E-07,10.38433938
Zyx,-1.120005152,15.66575497,-11.2122438,1.15E-08,1.02E-06,10.28496577
Ezr,-0.959805529,17.089674,-11.20885688,1.16E-08,1.02E-06,10.28086291
Igfbp7,-1.64021871,13.03727508,-11.18358484,1.19E-08,1.04E-06,10.25021471
Cd44,-1.227185842,17.26972005,-11.16655463,1.22E-08,1.05E-06,10.22952772
Baiap2l1,0.782951662,13.55022663,11.08805892,1.34E-08,1.13E-06,10.13382244
Ddx18,-1.176447326,14.60224061,-11.0872961,1.34E-08,1.13E-06,10.1328895
Stard13,-0.663417249,14.42040524,-11.01595889,1.46E-08,1.21E-06,10.04539818
Sting1,-1.297473702,14.37972902,-11.00689529,1.48E-08,1.21E-06,10.03424726
Frmd4a,-0.705275826,14.90025603,-11.00628156,1.48E-08,1.21E-06,10.03349191
Sdc1,-1.814255843,13.24315267,-11.55189442,1.62E-08,1.24E-06,10.00851258
Acbd5,0.68264145,15.85849118,10.98224165,1.52E-08,1.22E-06,10.00387599
Bysl,-1.267753937,12.76963755,-10.9783822,1.53E-08,1.22E-06,9.999116163
Myo10,-1.189067825,13.31326699,-10.96085623,1.56E-08,1.23E-06,9.977483478
Angptl2,-1.080002377,15.41269474,-10.95344916,1.58E-08,1.23E-06,9.968331846
Tubb6,-1.694554101,19.56417264,-10.9313284,1.62E-08,1.24E-06,9.940969497
F10,1.774007508,18.87811714,10.90795683,1.67E-08,1.26E-06,9.912008433
Itga7,-0.70171339,17.83770026,-10.88633288,1.71E-08,1.28E-06,9.88516568
Mxra8,-1.343942992,14.4859563,-10.8731345,1.74E-08,1.28E-06,9.86875958
Flii,-0.59757188,15.1003423,-10.8717987,1.74E-08,1.28E-06,9.867098177
Mrto4,-0.95547618,14.28209663,-10.75848776,2.00E-08,1.46E-06,9.725531724
Cacna1b,-0.856481594,13.51875559,-10.72343634,2.09E-08,1.51E-06,9.681483668
Prkar1b,1.074213982,15.73305378,10.70874039,2.13E-08,1.52E-06,9.662979481
Nlgn2,-0.735700641,13.23250817,-10.70524312,2.14E-08,1.52E-06,9.65857279
Cd63,-1.486468183,16.76926434,-10.6821709,2.20E-08,1.55E-06,9.629470426
Tspyl4,0.870956404,14.22427234,10.66214587,2.26E-08,1.57E-06,9.604168678
