ProteinGroup,GeneSymbol,881_dLSC_f1_5.27.2024.d,882_dLSC_m1_5.27.2024.d,883_dLSC_m2_5.27.2024.d,884_dLSC_f3_5.27.2024.d,885_dLSC_f2_5.27.2024.d,886_dLSC_m3_5.27.2024.d,889_LDRG_898_5.28.2024.d,890_LDRG_1248_5.28.2024.d,891_LDRG_1095_5.28.2024.d,892_LDRG_1236_5.28.2024.d,893_LDRG_1094_5.28.2024.d,894_LDRG_1249_5.28.2024.d,896_paw_pool_5.28.2024.d,897_paw_f_5.28.2024.d,898_paw_m_5.28.2024.d,901_SCN_IIa2_5.28.2024.d,902_SCN_IIa3_5.28.2024.d,903_SCN_IIb2_5.28.2024.d,904_SCN_IIb3_5.28.2024.d,905_SCN_IIa4_5.28.2024.d,906_SCN_IIb1_5.28.2024.d
Atxn7l3b,Atxn7l3b,14.60822336,14.54539924,14.63292134,14.50217635,14.65070333,14.58952871,13.80172675,14.08483053,14.54277924,NA,14.16026344,13.97459819,14.48149674,14.52201506,14.49227566,14.19784371,13.48417204,13.97473735,14.26021501,13.57303254,14.27384438
Auh,Auh,19.86831468,19.87116785,19.91542467,19.89392347,19.86195527,19.96649467,18.85631193,19.03560216,19.04635473,18.87223114,18.94611987,19.03199635,15.17394633,15.35298595,15.19191831,17.55387961,17.69750828,17.57530594,17.73095839,17.63183235,17.65238068
Aup1,Aup1,15.37679978,15.58351915,15.46663597,15.75524014,15.69037943,15.59674423,16.04723638,16.23531761,16.02108862,16.15879981,16.26780149,16.11303487,13.60655885,13.6202241,13.59275083,14.15447644,14.140619,14.16752983,14.67120659,14.20628375,14.50349503
Aurkaip1,Aurkaip1,14.78120089,14.79773244,15.15136147,15.03083953,15.00819662,15.02483233,14.50638197,14.29611321,14.40817713,14.32869596,14.63249544,14.49960924,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aven,Aven,13.26579612,13.06884382,13.25698362,13.3276412,13.24793628,12.96617411,13.58964971,14.38905231,13.65670177,13.62539573,13.63894396,13.96938317,13.50256499,13.42724317,13.24732231,13.23493566,13.4088737,13.28824608,13.4365554,13.20082506,13.62263528
Avil,Avil,17.3690934,17.59227165,17.56626737,17.36469538,17.29450205,17.67386293,19.60610477,19.32918711,19.43239641,19.54815669,19.46743447,19.52611282,14.28414412,14.24575032,14.26548229,18.16085148,18.08673189,18.26030969,18.12600118,18.16052205,18.2555916
Avl9,Avl9,16.19556707,16.17398961,16.16085951,16.18465026,16.17477378,16.23835435,14.95273794,14.4660119,14.55432398,14.58492562,14.48455429,14.65592069,NA,NA,NA,14.29473693,14.28353858,14.02157253,13.9503493,13.92084542,13.77075506
Awat1,Awat1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.90244775,14.77629504,14.76550405,NA,NA,NA,NA,NA,NA
Awat2,Awat2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.35956002,13.31933342,13.82740812,NA,NA,NA,NA,NA,NA
Axl,Axl,NA,NA,NA,NA,NA,NA,14.08258835,14.19894113,13.97719475,13.81644928,13.95578251,14.3536048,14.0754827,14.37306619,14.12916324,15.2401776,15.54021442,15.39021555,15.19914917,15.43615005,15.42945709
Axl;Mertk,Axl,NA,NA,NA,NA,NA,NA,12.95568804,14.0065803,14.3950186,14.10516373,14.06816527,14.01512753,NA,NA,NA,14.3836773,14.10481986,14.4277646,14.10802616,14.46361377,14.49651678
Azgp1,Azgp1,NA,NA,NA,NA,NA,NA,14.36803107,14.99399401,15.13108462,14.55351876,14.75914256,15.00704865,16.26283896,16.26183122,16.33236698,15.97395397,16.49243069,16.71888057,16.85121369,16.56343777,16.34403789
Azi2,Azi2,13.75962254,13.92558528,13.58527984,13.74379462,13.31210582,13.53411478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B2m,B2m,16.24268998,16.43832304,16.05312301,15.99503573,16.22705351,16.27791924,17.65631697,17.64009735,17.17921533,17.40428002,17.71447688,17.5637057,16.1260472,16.55972656,15.75491763,17.93450628,18.36164311,18.51281986,18.34430912,18.22926021,18.45998945
B3galnt1,B3galnt1,14.05434994,13.34658299,13.50111566,13.60466905,13.38254297,13.60159671,14.1539633,14.13588112,13.84738034,13.9109189,14.03535007,14.24863758,NA,NA,NA,NA,NA,NA,NA,NA,NA
B3galt5,B3galt5,14.0185271,14.28304182,14.26253812,14.29037667,14.15593169,14.22984268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B3galt6,B3galt6,12.10429079,12.44660001,12.37234,12.27378103,12.33624154,12.28836145,13.40663828,13.62948038,14.16544681,13.97748281,13.86842947,13.80568916,NA,NA,NA,NA,NA,NA,NA,NA,NA
B3gat3,B3gat3,15.80103922,15.69201486,15.79977676,15.60410926,15.66207622,15.54263005,15.57350896,16.13211885,15.91988276,15.8496033,15.88019538,16.15640528,NA,NA,NA,NA,NA,NA,NA,NA,NA
B3glct,B3glct,12.76207091,NA,12.40418505,12.79814576,13.45113149,13.3683025,14.82917498,15.09839579,15.09822095,14.94609971,14.79785434,15.073261,13.74109826,13.10482313,13.14797282,13.77400853,13.63194962,13.97896573,13.33846434,13.71520891,13.68421087
B3GNT2,B3GNT2,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.90753103,NA,NA,NA,NA,12.88448154,NA,NA,NA,NA,NA,NA
B3gnt8,B3gnt8,NA,NA,NA,NA,NA,NA,12.91253752,13.50867041,12.70912475,13.00758547,12.70685386,13.24260529,NA,NA,NA,NA,NA,NA,NA,NA,NA
B4galnt1,B4galnt1,13.50933251,13.57248589,13.01735716,13.38536313,13.67541103,13.66153597,13.66052502,13.7763016,13.67926157,13.69885874,13.62856835,13.58528667,NA,NA,NA,NA,NA,NA,NA,NA,NA
B4galt2,B4galt2,NA,NA,NA,NA,NA,NA,NA,12.33354114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B4galt5,B4galt5,NA,NA,NA,NA,NA,NA,11.54475197,12.933213,10.91235047,11.33606576,11.7901652,12.20899636,12.01326684,12.27601387,10.92190043,11.40100748,11.32327436,11.29058913,11.22181668,11.37086719,10.80333199
B4gat1,B4gat1,14.15290875,14.21595935,14.51720939,14.38765245,14.29259916,14.13878128,14.51573651,14.76598049,14.86663433,14.84520113,15.00136284,14.71821133,12.54106449,12.61501216,12.89631052,13.95149608,14.12531343,13.96238734,13.99394692,13.57153154,13.62589971
B9d1,B9d1,13.36220412,12.87977276,12.75050602,12.98897753,NA,12.74376361,13.56834821,13.85475356,13.58914152,13.53255193,13.7259125,13.47046397,NA,NA,NA,NA,NA,NA,NA,NA,NA
B9d2,B9d2,13.23151521,12.9028499,13.11377309,13.3539187,NA,12.80735291,12.84134419,NA,12.51045018,13.0588441,13.31092514,12.95338166,NA,NA,NA,13.08900516,NA,13.15271106,NA,12.0844098,NA
Baalc,Baalc,13.72948166,13.94736277,14.08638624,13.7263179,13.95229317,13.6704286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Babam1,Babam1,15.0044678,14.87115207,14.77094862,14.85480507,14.82878716,14.98857134,14.67210772,14.83630026,14.8293197,14.8971942,14.85585988,15.03578708,14.91305995,14.93874356,14.91601078,14.92573474,14.85229111,14.8302969,14.92683041,14.6247491,14.64499719
Babam2,Babam2,15.13177806,15.18328293,15.09962642,15.09214973,15.01540634,15.18478905,14.51625396,14.89131156,14.8107198,14.62858549,14.71443878,15.04442796,16.25203849,16.67178297,16.46799691,14.62233498,14.68551215,14.48566449,14.56511771,14.48450875,14.44426666
Bace1,Bace1,15.01359979,14.90051075,15.07724339,15.14205036,14.91523148,15.00821425,13.35606909,13.97731024,14.08761521,14.0302336,13.86309822,13.7275538,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bad,Bad,13.24824701,13.16655785,12.56869961,13.09398758,12.93739868,12.5252256,13.80517382,14.42944622,13.59372153,13.95379056,13.69194766,13.9230767,NA,NA,NA,12.42375576,12.2553169,12.24701323,12.09326151,12.63867794,13.00502257
Bag1,Bag1,15.94852645,15.7274216,15.85084084,16.00016547,15.84460309,15.99711387,15.3957832,15.8721653,15.63217114,15.38848453,15.43854115,15.70467383,16.09091496,16.20196354,16.25700782,15.73971997,16.06014068,15.83218422,15.89913794,15.68631505,15.82688036
Bag2,Bag2,15.21249733,15.05827572,14.97834861,15.16483345,15.1738427,14.76399135,14.35849134,15.04986499,14.77354196,14.89328708,14.69755223,14.98509404,14.92073432,14.69701098,14.76229379,14.76493709,14.54257745,14.63444501,14.46292735,14.50744533,14.43775487
Bag3,Bag3,15.08626042,15.03612325,14.88141909,14.73415877,15.11931073,14.64233101,17.20962532,17.14330299,16.7496148,17.38604846,17.03191004,17.31107333,16.50751415,16.43047646,16.56944722,17.69027048,17.4737807,17.48446481,17.36816138,17.63971869,17.56730264
Bag4,Bag4,14.0591291,13.95277813,13.40156552,13.87694317,14.24184334,13.31278723,13.38135368,13.54095137,13.28722467,12.87416297,12.95382187,13.51937413,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bag5,Bag5,17.3628322,17.43660537,17.35611493,17.27881413,17.37590484,17.4759549,16.71414065,16.50149165,16.66361771,16.63368565,16.60050395,16.62447876,15.05877512,15.09083839,14.97711976,15.62480664,15.60608837,15.68093785,15.62305722,15.68471204,15.72276436
Bag6,Bag6,16.24526743,15.99565727,15.81509438,15.95987643,16.07327687,15.8646365,16.13435413,16.32453457,16.10891066,16.26392232,16.2596484,16.42732956,15.731981,15.64015583,15.68447658,15.20143312,15.35750041,15.16068121,15.33954103,15.13922968,15.29345767
Bahcc1,Bahcc1,NA,NA,14.15637346,NA,14.25964386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baiap2,Baiap2,15.35174371,15.37166309,15.18623273,15.07702337,15.26914701,15.11489737,14.455139,14.62886154,14.37080013,14.38101749,14.2849742,14.4664309,15.30716587,15.54231659,15.34336223,14.43410633,14.34060735,14.35921849,14.30303082,14.29208895,14.31092852
Baiap2l1,Baiap2l1,12.96579158,13.33165369,13.15733298,13.33094108,13.19447011,13.37193601,14.67192394,14.81429811,14.53189705,14.53558348,14.71723603,14.68486303,14.71406342,14.78089329,14.99303937,13.61842201,13.66674844,13.85647396,13.62945807,13.58828489,NA
Baiap3,Baiap3,15.4588116,15.32474842,15.30108182,15.5414014,15.47212991,15.43189964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bak1,Bak1,13.06708014,13.84287978,13.72205154,13.44672167,13.35403828,13.55655005,12.85791881,NA,12.82689403,12.66880966,13.07475862,12.66775688,14.38444737,14.52396389,14.46692904,NA,11.87581845,12.36936288,12.2834212,12.28713807,13.12977242
Banf1,Banf1,14.99833039,15.07956625,14.96509203,14.07106107,15.07302541,14.29374651,15.38393582,16.07248806,15.75466632,15.70997993,15.80767045,16.15831002,16.70568352,16.59875759,16.53122782,14.84395049,NA,15.02211202,NA,14.96827079,NA
Banp,Banp,13.1836819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bap18,Bap18,13.43829067,13.32234005,13.18119087,13.23753747,13.68946512,12.89583994,13.22065795,13.39344409,13.16769336,13.17591606,13.22677747,13.38535014,NA,13.44314881,13.1727938,13.05657064,12.66327272,13.03389844,NA,12.65547963,12.54207113
Bard1,Bard1,NA,NA,NA,NA,NA,NA,NA,14.09409418,13.33716193,13.30829636,13.06051187,13.76710852,NA,NA,NA,NA,NA,NA,NA,NA,NA
Basp1,Basp1,20.6334839,20.15756373,20.06320431,20.38088658,20.59809573,20.11579991,18.42436089,19.56670076,17.88721487,18.92555706,18.30750558,19.17205636,15.21864349,15.34394734,14.92335559,17.21113351,17.04274358,17.45629264,17.64274111,16.92916799,17.44078646
Bax,Bax,16.16520147,16.02029509,16.11678977,16.0659762,16.10907788,16.02517452,16.15364823,15.7189453,15.99014625,15.95463301,15.93392504,15.94535571,16.10025976,16.00809492,15.88883227,15.46910597,15.46218144,15.42118042,15.50126999,15.39457177,15.41019967
Baz1a,Baz1a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.41537089,13.65750149,13.50273034,NA,NA,NA,NA,NA,NA
Baz1b,Baz1b,14.00959696,13.72676733,13.89786784,13.88709967,13.77841481,14.0683231,17.21868347,17.13675752,17.29206604,17.23023656,17.30162575,17.26717055,17.24994089,17.27617384,17.23905863,13.57712603,13.45336772,13.40626974,13.27725615,13.63445524,13.16964477
Baz2a,Baz2a,NA,NA,NA,NA,NA,NA,15.73184934,16.99830394,16.56225621,16.35939101,16.16685505,16.43904494,17.15838516,17.30106249,17.16829476,17.37980139,17.36397216,17.18826043,17.3918645,17.7258322,17.56085524
Baz2b,Baz2b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.86013643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bbln,Bbln,NA,NA,NA,NA,NA,NA,13.92889146,14.70427652,14.07021483,14.47820659,13.84361053,14.37318812,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bbox1,Bbox1,15.00586843,15.06682497,15.13450991,15.13826895,14.99595524,15.1151671,NA,NA,NA,NA,NA,NA,16.11714688,16.35688492,16.02784562,NA,NA,NA,NA,NA,NA
Bbs1,Bbs1,14.43496153,14.21307632,14.1634283,13.99154936,14.61554684,14.40715566,13.54823668,14.11938885,14.04174225,13.85859171,14.13455721,13.97748218,15.82383726,15.56158999,16.04683061,NA,NA,NA,NA,NA,NA
Bbs2,Bbs2,13.08187347,12.9802143,13.10113808,13.36456077,13.11486967,13.12433773,14.36263192,14.58798512,14.57799461,14.11231817,14.47128081,14.25827734,NA,NA,NA,15.4141699,NA,NA,NA,NA,NA
Bbs4,Bbs4,13.08724877,13.57375091,13.04035281,12.789343,13.39652871,13.2719782,13.11494695,13.34799274,13.46464126,13.23049691,13.29775079,13.8309201,NA,NA,NA,10.64550533,11.04318454,10.67133761,9.918368344,NA,11.20575049
Bbs5,Bbs5,NA,NA,NA,NA,NA,NA,11.22158108,NA,11.64403201,10.73250664,11.21531458,11.33437386,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bbs7,Bbs7,13.76793604,13.55863882,13.87359699,13.53177988,13.42858613,13.73416173,14.11918534,14.21310217,14.02649382,13.87089724,13.88891281,13.86881953,NA,NA,NA,12.47997978,NA,12.60026604,12.80353785,12.4008661,12.24252808
Bbs9,Bbs9,NA,NA,NA,NA,NA,NA,NA,NA,10.62663078,NA,NA,10.93623304,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bcam,Bcam,17.04225489,17.11408336,17.10198723,16.92268207,16.98501187,17.14985065,19.08979398,18.57754717,18.87451246,18.89684685,18.98728492,18.68487885,17.31379422,17.301923,17.38680295,19.76333894,19.74496779,19.61158395,19.60580177,19.72596791,19.64025842
Bcan,Bcan,19.74320582,19.82258202,19.67930014,19.77910166,19.59159582,19.82102487,15.62860031,15.47107265,15.09492736,14.8497352,15.03097099,15.08918859,13.86964204,13.93440961,13.19161909,12.90209243,12.64785412,12.47456786,12.43362195,12.65142174,11.68372277
Bcap29,Bcap29,15.69794782,16.07512087,16.09785345,15.81042061,15.95650599,15.99587659,15.26228942,15.91359447,15.35554661,15.551608,15.74053185,16.15608988,14.10205771,14.36354657,14.29084758,14.65608283,14.45216589,14.6185626,14.55001746,14.45628958,14.57656769
Bcap31,Bcap31,17.89580965,17.95924489,17.98595647,17.94060213,18.01059396,18.0067225,18.76368111,18.4899702,18.70123849,18.62380315,18.73624676,18.7313797,17.5916801,17.48068565,17.63560602,17.80035558,17.91222309,17.75380994,18.01576383,17.87437696,17.73190087
Bcar1,Bcar1,14.83546535,14.80943138,14.59596797,14.80570899,15.00427894,14.78248006,13.55848541,13.44365843,13.20024736,13.4586088,13.14750667,13.28634849,12.48312857,12.69753996,13.28673415,13.5594698,13.39525703,13.61052513,13.24054809,13.52725535,13.56673956
Bcar3,Bcar3,12.43167199,12.31333535,12.6160748,12.512985,12.17015368,12.11386655,14.56189053,14.25090019,14.36561143,14.34338641,14.49076346,14.36116822,NA,NA,NA,14.77167192,14.45296115,14.78755146,14.76963129,14.56136111,14.66384211
Bcas1,Bcas1,20.5964939,20.42891542,20.23577742,20.48624001,20.55503114,20.22380519,19.93921946,19.68600775,19.67944131,19.32258055,19.50130127,19.5454671,14.1485514,14.09585945,13.74652581,20.74679933,20.50219541,20.92227547,20.44861504,20.67028447,20.63886593
Bcas2,Bcas2,14.21939064,13.78444481,13.97909655,13.91564764,13.99829651,13.93035152,14.5557624,14.70044116,14.4408066,14.76248163,14.44306853,14.59918105,14.06860904,14.0663812,14.36075285,NA,NA,NA,NA,NA,NA
Bcas3,Bcas3,15.64964401,15.73480322,15.69102967,15.54646433,15.6444369,15.67075308,14.8531233,15.02785322,14.97380476,14.84359709,15.02361892,14.94832374,15.36891015,15.5746958,15.30939031,14.4295694,14.55965069,14.44543926,14.42018012,14.32143672,14.50155098
Bcat1,Bcat1,19.00190215,18.93216493,18.82124836,19.09163099,19.07722812,18.99218458,17.10824851,16.86109768,17.12978387,17.0541546,17.2746946,17.14690002,13.06027711,13.23233698,13.1827885,17.41619377,17.43294002,17.46568753,17.5093187,17.51943067,17.57727864
Bcat2,Bcat2,15.66345923,15.82807511,15.5223369,15.86587889,15.56143657,15.87563544,17.58490293,17.67923997,17.73165994,17.65065269,17.63104207,17.64023852,17.3345355,17.51667529,17.33528774,17.57437492,17.72502382,17.06617369,17.76123208,17.44345249,17.21073207
Bccip,Bccip,12.61740259,12.48495854,12.89348776,12.86278667,11.9024782,12.24193444,13.21860118,13.87506661,13.54783496,13.65914933,13.33409119,13.39804758,14.6850961,14.73691845,14.65705999,12.88984843,13.10602518,12.84907934,12.77222594,12.67310989,12.62840288
Bche,Bche,13.78616661,13.53421785,13.75432486,13.76570054,13.91073688,13.53547192,14.26580534,14.69183743,14.7288658,14.69862104,14.72988556,14.52831097,NA,NA,NA,14.00194056,13.9694596,14.0139415,14.03780114,13.80308931,NA
Bckdha,Bckdha,16.03214122,16.03604252,16.0487971,16.08704171,16.08254447,16.18997996,15.90181222,15.82729278,16.1053897,15.91687428,16.21825415,15.95653044,15.53059851,15.47305117,15.24788888,15.40420686,15.42563956,15.22343904,15.50844216,15.32417319,15.00955172
Bckdhb,Bckdhb,15.16129833,15.37135075,14.87384619,15.00777788,14.85872316,15.22435727,14.67551158,14.99552788,14.97777524,14.62495342,14.50497893,14.51654942,14.45350215,NA,14.81678868,13.68157991,13.43618022,13.32822111,13.84851853,13.24974611,13.31355435
Bckdk,Bckdk,15.39404111,15.31433076,15.21083955,15.46927275,15.16530372,15.39539838,14.70810038,14.8737374,14.60325835,14.44209391,14.72852974,15.03172304,13.73137836,13.67798354,13.40845127,14.58730807,14.45917226,14.30689624,14.35248819,13.96610301,14.02147438
Bcl10,Bcl10,NA,NA,NA,13.01915459,NA,NA,13.23514088,NA,12.83807673,13.11562735,12.99099626,13.31639511,14.34189347,14.50544541,14.57228527,13.81638912,13.99196602,14.13997133,14.19029126,13.87185735,14.00839616
Bcl11b,Bcl11b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.53349746,13.76357105,13.66371136,NA,NA,NA,NA,NA,NA
Bcl2,Bcl2,12.3823843,12.87631388,12.90097121,12.56869746,12.57381962,12.99242783,13.56859887,13.77138388,13.44009155,14.03161972,14.3857489,14.24655996,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bcl2l1,Bcl2l1,16.00124452,15.84527304,16.0567598,15.94829704,16.03518848,15.98312191,15.41887649,15.23692751,15.66763307,15.86701384,15.66429316,15.17618085,14.39626727,14.25710864,14.33144108,15.14624665,15.06165174,14.79120659,14.89745923,14.95235542,14.71312511
Bcl2l13,Bcl2l13,16.70678404,16.65160331,16.39956605,16.29331624,16.65302911,16.5123151,16.13971133,16.29862413,16.10931643,16.44582447,16.33967424,16.4125914,16.75303663,16.79132103,16.78409576,15.66837691,15.68619819,15.34297427,15.73390624,15.56036432,15.39506602
Bcl2l2,Bcl2l2,14.89331233,14.99193393,14.84974923,14.79445097,14.8620797,14.83384154,13.94163672,14.09251825,13.98995922,14.1208307,14.09205645,14.21620222,NA,NA,NA,14.22275113,14.12400964,14.3262282,14.32984488,14.12809541,14.19799652
Bcl6,Bcl6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.93545791,13.15092137,12.62076509,NA,NA,NA,NA,NA,NA
Bcl7b,Bcl7b,NA,NA,NA,NA,NA,NA,12.99952266,12.98448255,12.84026849,13.21826504,13.38479724,13.2661233,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bcl7b;Bcl7c,Bcl7b,14.2152448,14.31989788,14.2271797,14.23836742,14.16674369,14.0770577,NA,14.61739859,14.46520926,13.8300794,13.38401472,14.71087099,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bcl7c,Bcl7c,NA,NA,NA,NA,NA,NA,13.55547587,13.79667846,12.87039362,13.27018873,12.82050609,13.88355973,14.31884003,14.47062694,14.37785595,NA,NA,NA,NA,NA,NA
Bcl9l,Bcl9l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.68671486,13.94933787,14.00668548,NA,NA,NA,NA,NA,NA
Bclaf1,Bclaf1,15.83173144,15.85500114,16.10931642,16.01302859,15.88117447,16.07415263,16.33552883,16.39299542,16.3430603,16.1751171,16.25108273,16.53084538,17.33516995,17.37910072,17.39202109,16.07386175,16.14549163,16.26758347,15.99580331,15.92552961,15.86737618
Bclaf1;Thrap3,Bclaf1,13.66191167,13.79312572,13.66513602,14.05115795,13.3380678,NA,NA,14.41737787,NA,NA,14.41564935,NA,14.12087775,14.53889822,14.30311717,NA,NA,NA,NA,NA,NA
Bclaf3,Bclaf3,NA,NA,NA,NA,NA,NA,14.07269856,13.76220406,NA,13.82779098,13.78146649,13.86791501,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bcr,Bcr,15.73410381,15.62460605,15.55371366,15.56954237,15.60680856,15.58150488,14.37537785,14.35668524,14.25978099,14.30755334,14.20755895,14.45179396,NA,NA,NA,14.28645645,14.16212426,14.42413445,14.10109814,14.15560383,14.30643325
Bcs1l,Bcs1l,16.45115833,16.35520989,16.2626449,16.52229697,16.47349396,16.47199347,15.00916579,14.86868981,15.03381842,14.68595826,14.8895181,14.77942558,13.23145648,12.89689411,13.48191119,13.80285502,13.94181649,13.67653046,13.74717576,13.86397572,13.52862059
Bdh1,Bdh1,19.5213511,19.73405762,19.67312215,19.58777572,19.38694424,19.63374337,17.43340031,17.76611741,17.55824291,17.38820729,17.42748795,17.53439571,17.21389865,17.35428352,17.11485587,16.76857495,16.23614481,15.8127207,15.63596798,16.09206602,15.65282347
Bdh2,Bdh2,14.4741234,14.34515269,14.07519218,14.2412967,14.17133809,14.01861801,14.37779865,14.31052654,14.38497923,14.39071376,14.13588,14.44355057,13.60886463,13.72041612,13.65140974,14.51946726,14.71180067,14.91410584,14.58345831,14.50025747,14.61734394
Bdnf,Bdnf,16.07517828,NA,NA,15.72615695,NA,NA,NA,NA,NA,16.43002451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Becn1,Becn1,15.20837769,15.12793203,14.99933807,15.04580113,15.10676786,15.05678057,14.89788911,14.95318079,14.91219092,14.82727419,14.97350391,14.70622466,13.53903013,13.62776604,13.21894989,14.2678821,14.3041145,14.10783577,14.08229265,14.08241049,13.98804724
Begain,Begain,14.7106397,14.67415754,14.74185455,14.5862726,14.75331226,14.76485317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bend6,Bend6,15.17127106,15.16284783,15.08479581,14.9555295,15.04430244,15.12091103,11.56368726,NA,12.39248111,NA,12.54542305,12.16693194,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bet1,Bet1,14.11361739,14.38675005,14.11441488,14.02888359,13.98006398,14.03436765,14.30214332,14.22501182,14.33668298,14.66883441,14.755984,14.33361519,13.22652208,13.28312454,13.20699601,13.06133406,13.20014611,13.52413765,12.8013628,NA,NA
Bet1l,Bet1l,13.38382872,12.74602154,13.16184515,13.13149857,12.98035867,13.12767406,12.75464341,13.70587745,13.58953673,12.94646763,13.26774838,13.69063962,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bfar,Bfar,13.2897823,13.23011653,13.02910248,12.90927734,12.73166008,13.03358163,14.21616276,14.11732755,14.17907713,14.13210429,14.33334216,14.33545686,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bgn,Bgn,15.57652522,16.04567801,16.01459105,15.6374708,15.63424568,16.1218601,18.89979098,18.6978522,19.02022423,18.60281416,18.80070008,18.68644461,20.39847852,20.10163749,20.57072856,20.08415586,20.09145647,19.61833741,19.84831754,20.10181039,19.71966631
Bgn;Dcn,Bgn,13.4564956,13.50895843,14.21720799,14.11865724,13.98942998,14.26231511,NA,17.6828506,18.13737144,17.7335119,18.14686695,NA,19.32564363,19.08920218,19.59822701,19.69324021,19.52886231,18.98143907,18.78727448,19.01083676,18.66736453
Bhlhb9,Bhlhb9,NA,NA,NA,NA,NA,NA,13.81416474,NA,12.82463904,13.18884491,12.97964382,13.33497096,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bicc1,Bicc1,NA,NA,NA,NA,NA,NA,NA,13.14827319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bicd1,Bicd1,13.06800814,12.7351966,12.9301844,12.62681029,12.75217218,12.91752946,14.90381467,14.84264164,15.12521084,15.01166053,14.94073573,14.87363122,NA,NA,NA,14.16443086,14.21345765,14.38491986,13.777498,14.25843732,14.2499053
Bicd1;Bicd2,Bicd1,15.55684114,15.51133259,15.6980273,15.45919576,15.57396706,15.27723899,15.72759928,15.74326536,15.3653098,15.90218327,15.85274688,16.16654297,NA,NA,NA,13.98779357,14.09365505,14.08190248,14.45370745,14.40422617,14.30905391
Bicd2,Bicd2,16.97711015,16.9100273,16.9604855,16.95721906,16.91669195,16.92584142,14.93742545,14.8059826,14.70713734,14.79437937,14.86673524,14.76879904,17.65455384,17.54210943,17.79881157,13.93969241,13.8428508,13.85707355,13.6827787,13.88918395,13.8287714
Bicdl2,Bicdl2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.20951769,15.04392709,15.04672734,NA,NA,NA,NA,NA,NA
Bid,Bid,14.78585899,14.79254485,14.78804715,14.91858999,14.94860578,15.20616413,15.55607332,15.43483334,14.92742799,15.22942088,15.01679045,15.27688546,NA,NA,NA,13.58122598,13.53223338,14.11849495,14.33191415,13.77687243,14.43704166
Bin1,Bin1,19.10936169,19.07181707,18.98287441,19.04632787,19.07620996,19.07324653,16.81845381,16.80720118,16.639463,16.57568997,16.71444036,16.6411316,16.26885021,15.66947575,16.47924372,17.34475621,17.75946572,17.17671306,17.4640819,16.99893533,16.97600663
Bin2,Bin2,13.37719822,13.33938948,12.76259889,13.51418788,13.31548549,13.38536782,NA,NA,NA,NA,NA,NA,13.72729297,13.95443262,NA,NA,10.78225292,12.00238256,12.41825584,11.54813314,10.32736177
Bin3,Bin3,NA,NA,NA,NA,NA,NA,13.59806413,NA,12.97254907,13.63670391,13.43603479,13.49583005,13.76328671,14.37888733,13.99345318,13.51850563,13.52762361,13.24277814,13.43806409,13.32373034,13.26265278
Birc2,Birc2,13.41827532,13.49060741,13.42747739,13.36634252,13.5294821,13.32764782,14.09566249,13.90816143,13.73745622,13.87943445,13.62266961,13.59754452,NA,NA,NA,12.72675398,12.89317658,12.69118409,12.52056255,12.40180888,12.16531061
