ProteinGroup,GeneSymbol,881_dLSC_f1_5.27.2024.d,882_dLSC_m1_5.27.2024.d,883_dLSC_m2_5.27.2024.d,884_dLSC_f3_5.27.2024.d,885_dLSC_f2_5.27.2024.d,886_dLSC_m3_5.27.2024.d,889_LDRG_898_5.28.2024.d,890_LDRG_1248_5.28.2024.d,891_LDRG_1095_5.28.2024.d,892_LDRG_1236_5.28.2024.d,893_LDRG_1094_5.28.2024.d,894_LDRG_1249_5.28.2024.d,896_paw_pool_5.28.2024.d,897_paw_f_5.28.2024.d,898_paw_m_5.28.2024.d,901_SCN_IIa2_5.28.2024.d,902_SCN_IIa3_5.28.2024.d,903_SCN_IIb2_5.28.2024.d,904_SCN_IIb3_5.28.2024.d,905_SCN_IIa4_5.28.2024.d,906_SCN_IIb1_5.28.2024.d
Abca12,Abca12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.17852314,15.06240544,15.08776872,NA,NA,NA,NA,NA,NA
Abca13,Abca13,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.47912974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abca2,Abca2,15.34124802,15.26406528,15.27937611,15.31464775,15.29665612,15.25440774,14.92751013,14.89104595,14.76808247,14.79179564,14.98620511,14.9280464,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abca3,Abca3,14.77676482,14.63241915,14.55656246,14.65300481,14.80517783,14.60972923,15.21321808,15.43609163,15.38291662,15.34167028,15.32488812,15.42073554,NA,NA,NA,13.22362461,13.12300614,12.92371808,12.89732038,13.07208663,13.17681908
Abca5,Abca5,15.65461071,15.57943969,15.74056288,15.55180557,15.68012739,15.78636718,15.06166412,14.86745562,14.82143632,14.830687,15.13107325,14.96370363,NA,NA,NA,13.73243193,13.81622501,13.75747419,13.32689589,13.49106083,13.87863665
Abca6,Abca6,12.52468862,12.62800574,12.73116839,12.60131349,12.57186876,12.64357213,14.92444559,15.12785717,15.28705207,14.97636216,15.06490433,15.05131332,13.31190299,12.69505424,13.33307473,15.25614465,15.17067251,15.22563123,15.17896341,15.0681678,15.0477649
Abca6;Abca9,Abca6,12.82689204,12.44664911,12.43142448,12.81180214,12.36399235,12.60299572,15.36406282,15.65534903,15.56065525,15.17182574,15.46220189,15.61738424,13.58124767,13.66256825,13.50315491,15.37115384,15.62744554,15.24052676,15.51362275,15.33315885,15.46627725
Abca7,Abca7,15.23963304,15.2698475,15.42399871,15.29719267,15.14814242,15.36045627,14.55670454,14.64126415,14.74156305,14.52859807,14.60114507,14.61816568,13.05551434,13.28531489,13.26892127,13.42200497,13.35880556,13.42420336,13.2471485,13.34430833,13.27610576
Abca8a,Abca8a,NA,NA,NA,NA,NA,NA,15.77042848,15.72119256,15.97504597,15.69912303,15.81789691,15.75151914,NA,NA,NA,14.51556596,14.38953916,14.29451463,14.34238871,14.40498544,14.49610394
Abca8a;Abca8b,Abca8a,NA,NA,NA,NA,NA,NA,13.33855534,NA,NA,NA,13.17067308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abca8a;Abca8b;Abca9,Abca8a,NA,NA,NA,NA,NA,NA,NA,15.6284824,15.26158314,14.61224012,14.97212356,14.97913572,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abca8a;Abca9,Abca8a,NA,NA,NA,NA,NA,NA,15.8841927,15.81586482,15.78771507,15.66375409,15.90353906,15.8474561,NA,NA,NA,14.76505849,14.82151472,14.8053136,14.88284696,14.58247407,14.47307929
Abca8b,Abca8b,12.91001842,12.36723102,13.03643016,12.82971425,13.23207503,12.77810316,16.02663752,16.13845875,16.21291191,16.13402413,16.26121515,16.15733711,12.65092131,13.18599853,12.87972212,15.48382336,15.45399846,15.43606262,15.31007432,15.4758248,15.41044759
Abca8b;Abca9,Abca8b,NA,NA,NA,NA,NA,NA,14.87946838,14.83418955,15.27728013,14.78234303,15.12409303,14.63014196,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abca9,Abca9,13.11031379,13.19094434,12.56754883,13.22400311,12.89815858,13.05043015,15.84060543,15.76355747,16.03820088,15.82972319,15.96645259,15.84092611,14.25955969,14.16792107,14.27744419,15.49286753,15.58666318,15.52855395,15.55645375,15.5143573,15.6685124
Abcb10,Abcb10,15.16405997,15.23938556,15.29024826,15.3435117,15.18068643,15.1478447,14.79719922,14.54159045,14.60933515,14.72615404,14.71438974,14.61925986,15.12402684,15.29301231,15.24805874,13.80350487,14.21795949,13.92687266,14.10270374,14.03588723,13.88597028
Abcb11,Abcb11,14.09396822,13.57716656,14.10218077,13.92472901,14.0608901,13.96579802,13.46880221,14.50673527,15.47430802,14.55180437,14.25878684,13.85818503,NA,NA,NA,12.95418358,12.95609841,13.28390007,12.55186204,13.11216417,12.98706678
Abcb11;Abcb1a;Abcb1b,Abcb11,NA,NA,NA,NA,NA,NA,13.18931032,13.62974365,NA,13.64864969,13.70059144,13.33987783,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abcb1a,Abcb1a,16.66335369,16.77597902,16.83436669,16.58639978,16.64044676,16.81468309,17.04989921,16.90296163,17.25373261,16.91849664,17.21778854,16.98349919,NA,NA,NA,16.78875951,16.58643701,16.60070922,16.47586299,16.68050261,16.54689473
Abcb1a;Abcb1b,Abcb1a,NA,NA,NA,NA,NA,NA,16.88175774,16.55464287,17.08273526,16.84024302,16.94051563,16.76684646,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abcb1a;Abcb1b;Abcb6,Abcb1a,NA,NA,NA,NA,NA,NA,15.22547859,15.27760343,NA,15.52656343,15.62768777,15.32519652,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abcb1a;Abcb4,Abcb1a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.90860673,15.89319745,15.72080609,15.54311121,15.79296072,15.67660331
Abcb1a;Abcb6,Abcb1a,13.93298057,14.27141196,14.41040497,13.92065059,13.62962983,14.1324435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
