"","GeneID","X144_DRG_T_f_1","X147_DRG_T_m_2","X148_DRG_T_m_1","X149_DRG_T_f_3","X152_DRG_T_f_4","X156_DRG_T_f_2","X164_DRG_T_m_3","X145_DRG_T_m_4","X143_DRG_TC_m_4","X151_DRG_TC_f_2","X154_DRG_TC_f_4","X157_DRG_TC_m_3","X158_DRG_TC_f_5","X161_DRG_TC_m_2","X162_DRG_TC_f_1","X165_DRG_TC_m_1","X160_DRG_TC_f_3"
"34","Abi1",67545.68618,54997.28937,44656.17754,55041.58229,61289.49767,66866.81317,58068.95144,54248.18371,17320.61947,11224.666,11779.05422,14083.54743,15088.85459,18577.7325,14287.13287,15093.94274,14426.56847
"35","Abi1;Abi2",98492.67997,96777.10775,85668.76716,106952.9497,86846.83304,88370.6237,85243.3843,90110.16791,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Abi2",84539.00519,78685.27071,62487.49022,81225.78254,89205.56833,94641.52647,82634.74236,79245.2583,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Abl2",13358.32474,14551.96773,13780.59319,14847.98394,12239.61395,13778.84594,12890.14521,14044.38536,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Ablim1",91687.73511,98880.8332,91721.037,84896.12605,83392.04593,86850.90405,93321.37463,95013.1387,11990.67139,15371.15493,11260.97486,9899.324776,14856.12894,13844.57437,11364.36853,14964.34358,13105.39063
"39","Ablim1;Dmtn",61465.5,76719.6,80156.2,67257.4,59673.2,62702.1,62636.9,78202.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Ablim2",147756.3182,163618.6808,130975.1676,135050.0885,139663.7662,149072.5472,163545.4578,162429.2604,11400.38182,10230.17025,12136.55003,8524.480276,12601.34756,15197.52851,13818.65192,16286.08391,16037.35483
"41","Ablim3",21143.194,23888.58135,20654.10518,19923.30382,19892.66021,18103.21423,24514.82162,24455.61948,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Abr",98513.19698,105429.9867,105102.856,95617.97978,95063.36052,91589.96706,100830.853,99129.03754,13960.12492,11000.56705,15092.32147,12845.27224,14711.69115,15101.60504,12644.11512,14172.36546,14211.83339
"43","Abr;Bcr",58192.6,67215.2,11737.3,44492,55102,77459,74978.8,55334,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Abraxas2",38475.17764,34417.16236,39781.18169,42082.07235,43755.9295,45521.53082,34878.37463,37486.74741,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Abtb2",52553.3444,57466.48991,53183.61545,52091.57409,53502.59685,53290.01958,52524.93992,53770.10161,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Acaa1a",5616.737524,7056.926781,8362.084756,5743.825421,6465.52059,4939.626791,6408.815191,5924.947295,2229.06,NA,2956.85,2766.64,NA,3040.73,2872.9,2901.32,4748.37
"47","Acaa2",NA,NA,NA,NA,NA,NA,NA,NA,7001.59,20852.5,7929.23,8859.97,9745.27,NA,NA,NA,NA
"48","Acaca",492537.4254,700578.1672,578033.1155,442144.4308,445010.7566,489488.3707,620790.1981,620326.5929,3008031.725,2642256.156,2236596.171,2680136.187,2666219.417,2277108.794,2191436.634,2216901.418,2021160.061
"49","Acaca;Acacb",237755.8627,273647.9194,229896.3017,244992.0209,253387.509,260124.2998,305177.858,262725.5447,2416997.373,2422712.36,2547053.717,2277069.986,2413991.133,2432672.55,2595750.832,2157173.68,2436548.791
"50","Acacb",10676.84819,15249.51018,15181.01648,12852.80527,14827.65795,10896.09382,15457.20887,15095.72314,91861.07243,79799.81538,80835.4917,80780.44697,88872.03892,75291.24314,76596.21594,78025.79476,81028.0326
"51","Acadl",16103.67903,18198.55478,18030.75122,16915.531,16463.04596,17060.6742,16048.46104,16757.4702,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Acadm",21217.93622,20194.43843,23189.66675,24033.12438,22131.20886,20641.28082,23011.9561,24354.8858,8328.76,7784.99,11327.6,6058.08,8635.36,9454.38,8979.13,NA,10994.3
