"","GeneID","X144_DRG_T_f_1","X147_DRG_T_m_2","X148_DRG_T_m_1","X149_DRG_T_f_3","X152_DRG_T_f_4","X156_DRG_T_f_2","X164_DRG_T_m_3","X145_DRG_T_m_4","X143_DRG_TC_m_4","X151_DRG_TC_f_2","X154_DRG_TC_f_4","X157_DRG_TC_m_3","X158_DRG_TC_f_5","X161_DRG_TC_m_2","X162_DRG_TC_f_1","X165_DRG_TC_m_1","X160_DRG_TC_f_3"
"1224","Ddx1",155267.4742,161286.3354,128981.6511,134134.1433,144273.9173,148480.4327,155676.4656,152335.3238,8982.862665,NA,10517.91278,8263.626605,10690.71533,8749.003395,9661.978772,9249.067371,8878.878047
"1225","Ddx17",47953.60429,38876.02004,34252.80616,46662.91844,43122.10595,44099.25613,36590.51881,40187.43348,9516.621767,5837.745508,9124.12,7675.03,8338.946471,9218.25,9075.730217,7507.315704,9193.42
"1226","Ddx17;Ddx3x;Ddx3y;Ddx5",597433.1008,622733.9113,545953.4873,650008.9765,653016.2483,687073.2424,618184.2548,938991.0201,42594,NA,39498.9,NA,NA,NA,NA,NA,37691.2
"1227","Ddx17;Ddx5",227999.0041,214536.1385,219572.2862,227700.1753,230047.7034,220453.2082,232951.8391,232632.9889,59021.49372,69311.74161,57603.78848,53023.42078,69940.78783,67399.45896,70781.29885,79870.34563,49687.63197
"1228","Ddx18",11977.28262,13933.01282,9430.874163,10703.62758,12697.31747,10014.93523,13284.39831,12170.78408,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1229","Ddx19a",63783.86498,58706.67311,57724.06078,64535.08103,63194.93084,67147.98339,60332.07957,61679.74131,5449.241785,7573.68314,10051.35315,7897.710671,7310.73445,10738.73476,8571.581822,10710.45224,10286.43026
"1230","Ddx20",37887.75164,37025.65611,35421.09557,39321.05208,43046.96177,40922.57677,35985.15746,37882.92054,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1231","Ddx21",7066.510759,7296.161367,8680.137032,8863.587486,6153.164522,7123.248548,8297.953764,8480.776261,3016.530643,1799.734241,2060.981508,4099.715059,NA,NA,NA,NA,2684.318807
"1232","Ddx27",NA,NA,14460.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1233","Ddx31",18849.71598,18363.48069,14424.984,19074.69481,23512.57556,21004.17093,17731.81666,21788.87736,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1234","Ddx39b",34618.18474,37505.00402,25587.02322,28631.50287,28318.74724,30888.61028,33599.07535,32624.34621,13896.83183,11301.38073,11341.13246,10295.45091,9847.964732,11904.22281,10220.00155,12410.54521,7296.826842
"1235","Ddx3x",611368.7049,524908.4209,333953.4666,428781.4848,468125.2065,569646.074,463158.7102,452056.4772,19004.00739,21149.34721,14298.58586,17973.24737,13620.21539,16150.8536,6321.894065,27520.2147,15021.71682
"1236","Ddx3x;Ddx3y",1090196.242,1196086.791,1005954.98,1035055.441,1044679.374,1183374.162,1127229.909,1168123.876,49789.89281,51633.98016,56836.55916,58388.2721,60729.76654,86453.8579,51803.26966,97909.56573,46542.54978
"1237","Ddx3y",894279.6203,772490.7197,596071.1538,736783.3045,633520.0006,660380.1665,699600.8748,699324.1097,NA,NA,5665.11,NA,7177.91,7711.85,NA,4369.45,NA
"1238","Ddx41",4899.786417,5552.870577,7177.544487,6245.318479,7430.821556,4654.492397,8502.133062,7742.301163,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1239","Ddx42",142681.0654,159606.9763,149821.0531,140212.4534,131789.2182,139225.4153,151464.4796,154343.7025,23465.7854,29798.23228,29717.87354,24906.58167,26834.80229,30540.8013,25097.29847,29996.61671,30171.78018
"1240","Ddx46",183352.3614,213279.5461,187856.1419,169639.2169,174597.6427,188151.7403,204516.6574,200104.4497,39406.01202,42506.90203,41324.76782,42881.13485,42826.92791,40614.16255,39675.41312,44073.41718,41268.64906
"1241","Ddx5",1739137.404,1933879.535,1515869.728,1637099.264,1642987.694,1714113.502,1803853.961,1877240.902,31459.06206,31810.77447,29553.35353,27787.54615,33354.11505,42453.48016,29952.52804,39994.9073,29297.98685
"1242","Ddx50",22148.86401,24130.95414,25997.89361,25394.57696,24961.27585,25113.57608,25627.77223,23102.93211,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1243","Ddx51",11945.62466,9005.378708,11076.31971,13260.66843,11384.11467,9004.659616,10055.97681,6170.628403,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1244","Ddx6",790050.7556,814394.4244,453400.1903,633481.893,643919.8275,781650.3531,716950.6178,689601.4908,23410.41544,24539.67155,21703.72986,21164.24166,21213.0783,33349.30722,23821.74905,36061.73339,20821.0278
"1245","Decr1",17893.58482,22573.05235,18186.78895,12178.66601,11644.29969,12736.60326,21047.91727,18461.95359,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1246","Dek",15632.72091,14372.05868,12258.89511,13403.63221,14384.99197,16225.54309,16343.43315,14296.6007,4230.061874,4209.645498,6696.441516,4737.666917,5092.198107,3281.073308,7133.181672,3371.195434,NA
"1247","Dennd10",26548.69865,22340.67787,19925.68949,25781.77992,25593.03144,23511.65949,23695.52908,22077.20158,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1248","Dennd1a",18115.4625,12409.46458,16785.75862,14856.25998,17555.36746,11987.51125,13368.55472,16435.04265,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1249","Dennd1b",78699.75668,82285.12184,80431.87035,73546.53096,78550.82687,74255.79804,87986.9123,81096.47488,9777.118584,8406.103319,10829.82618,12276.4228,8646.460365,13098.70389,10397.23718,5350.927558,8070.956101
"1250","Dennd2a;Dennd2b",NA,NA,NA,NA,NA,NA,NA,NA,7437.54,NA,8066.5,NA,7284.07,5899.86,NA,NA,8840.64
"1251","Dennd4b",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,229716,NA,NA,NA,307667,NA,267261
"1252","Dennd4c",4912.979303,3401.879183,NA,NA,NA,NA,NA,NA,8031.617838,8308.370274,11294.49295,8944.465548,8680.58528,7982.90701,9745.956907,7209.203914,8086.195337
"1253","Denr",137853.4609,102142.2765,100117.259,148405.5337,155318.6979,122317.0057,115153.6666,114062.1565,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1254","Depdc5",52157.11367,50515.06102,47577.90776,51950.09137,50453.32161,47383.73361,53147.87801,51104.36876,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1255","Depdc7",23453.43726,36190.53421,29523.20705,24014.35071,24278.82567,23452.17484,33019.14001,34468.5524,42242.32829,33905.68621,40247.06611,41474.71054,42802.73028,35819.56879,38972.39025,35082.61652,39230.93194
"1256","Deptor",34325.81649,31425.72847,34419.33028,32117.1481,26254.75435,31486.61323,31125.26056,31987.84076,4915.32,5187.29,4097.59,3098.75,3854.89,4984.15,5838.98,5157.98,NA
"1257","Des",NA,NA,NA,NA,NA,NA,NA,NA,23614.8,10006.3,NA,25791.8,NA,NA,NA,NA,NA
"1258","Des;Krt8;Prph;Vim",NA,NA,NA,NA,NA,NA,NA,NA,1162342.089,1205448.539,704332.5973,1432797.72,1102206.58,1044004.194,610141.8229,888265.904,414594.6387
"1259","Des;Nefh;Nefl;Nefm;Vim",NA,NA,NA,NA,NA,NA,NA,NA,1672480,1702770,1848330,1937670,1889110,2312260,1781180,1981850,1643080
"1260","Des;Vim",NA,NA,NA,NA,NA,NA,NA,NA,1563520,NA,1667090,1561980,1665270,1291760,1524250,1104340,1540360
"1261","Dffa",89818.25956,92602.17577,76933.28661,85758.36551,92509.45485,91633.87763,91572.80245,93601.90049,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1262","Dgcr8",14064.91087,11077.44151,13537.63684,12229.4754,12930.87341,14482.42076,14545.21934,16381.68911,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1263","Dgkb",NA,3358.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1264","Dgkd;Dgkh",90331.05369,87945,92725.50116,92362.40403,87991.92988,90147.03261,85202.12085,87915.33808,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1265","Dgke",71042.4998,85498.24703,74697.11073,74716.68676,73291.55474,76949.52057,81147.56193,83670.12961,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1266","Dgkg",49720.81589,52932.71946,42297.11508,45934.72147,42816.92357,51072.18561,50048.23979,46758.42318,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1267","Dgkh",226210.5427,220821.249,169636.6703,200183.7197,206603.5563,219788.9145,206858.0795,195915.1486,4086.328265,7493.787916,6180.218822,7439.956318,7990.245977,17418.63399,7074.042167,16429.39931,6417.689123
"1268","Dgki",157225.5261,186329.9551,145073.6962,148218.0813,150049.0153,156626.1282,159959.3899,169092.0146,2786.446489,6252.897408,4205.153086,12416.87514,4885.610282,6810.568249,NA,11217.18678,NA
"1269","Dgki;Dgkz",173662.6175,193644.3344,100085.1855,142193.0725,140812.8894,179103.5844,133119.6155,120484.3931,9097.36,NA,11143,NA,NA,14280.3,11133.7,NA,5549.43
"1270","Dgkq",6882.67119,6843.50952,8324.312471,6988.751673,7366.469577,6573.70481,5266.150636,5197.176553,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1271","Dgkz",252995.7267,235018.1885,211417.3617,215189.3941,231782.2656,233191.1246,219663.022,230296.0451,6840.500083,12061.70414,12707.21105,9931.669966,10443.92557,21082.07007,11819.60873,23026.05803,11865.6022
"1272","Dguok",6301.97,5430.65,6867.45,NA,4597.53,4475.2,4968.85,6303.06,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1273","Dhcr7",34531.34178,27658.82649,28589.72519,37489.25576,31064.40498,35194.39451,26263.67276,30593.94916,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1274","Dhdh",31954.06345,26855.15426,24475.41111,30329.00794,33290.79034,35484.60252,25052.47529,25368.4314,4512.879094,8381.672098,7508.558052,4263.43591,7123.888793,6413.525533,5555.995367,10449.56766,6894.806925
"1275","Dhps",11831.97656,13675.89665,12372.7,9903.85664,13019.7,9913.207099,12032.51911,14062.74261,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1276","Dhrs1",35307.15337,38359.6412,40587.48354,36727.13746,38681.46968,37418.15244,40424.17955,41722.06232,3382.06,NA,NA,1624.14,2009.67,2433.39,NA,2709.47,2671.1
"1277","Dhrs13",47206.20767,33994.47048,37397.48035,48548.13709,44409.98418,49378.46077,34473.22544,33871.24772,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1278","Dhrs7",76245.27332,76803.14399,78394.67407,69872.05176,74800.46629,70725.02671,74332.35038,85028.96081,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1279","Dhx15",63446.75318,67239.89044,58478.35501,57384.30244,57405.09346,64315.48007,63332.17406,63266.53592,14290.69317,15149.56715,16069.6266,14055.34665,13957.00435,17490.09718,16813.42955,15467.03919,17077.826
"1280","Dhx29",17583.41287,20602.63255,21952.13807,17972.75797,19991.77126,16117.69262,20507.72005,16100.70107,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1281","Dhx30",67510.50829,81336.27901,75350.24452,65683.6199,64593.87426,69824.47452,76179.12678,76632.00518,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1282","Dhx32",8104.470698,8916.444962,8445.077858,8822.142386,9111.876359,8709.184326,7286.085412,8833.037289,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1283","Dhx36",21399.08836,24117.27622,19975.0573,20369.06133,18417.23922,20394.38311,21929.03202,22942.07583,NA,2746.22,NA,NA,NA,NA,NA,NA,NA
"1284","Dhx36;Dhx57",54528.5,73810.8,69231.7,51868.2,43374.1,49462.2,63715.3,69937,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1285","Dhx40",8596.402805,9779.175611,10550.3567,NA,NA,11850.46605,6037.969291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1286","Dhx57",107934.2747,124145.8043,102430.913,97691.29781,100704.6182,97908.30523,113258.5017,121958.0181,5357.21,7711.46,8596.801963,6148.59,7606.662529,14479.7,7054.56,13064.71923,7991.12
"1287","Dhx9",261217.4529,258446.1915,229107.3093,244756.2486,237186.7316,258573.7818,250234.4924,249200.7722,12194.92537,11474.8875,12446.13038,12613.64022,14426.98708,13526.90244,10964.9234,11126.91056,13837.99547
"1288","Diaph1",10583.08677,11472.30306,14540.73016,9758.978234,13421.21011,9681.034209,12712.69757,11402.48605,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1289","Diaph2",31508.68983,30678.69616,25051.26462,30083.5274,30610.07156,32646.49336,26422.97024,28693.22534,4898.61,NA,4705.77,3644.92,3630.53,NA,NA,4832.31,NA
"1290","Dicer1",40160.86253,45695.77393,44914.88403,39045.08801,40540.95793,39304.2085,44179.14223,47905.43483,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1291","Dido1",19232.13662,17112.55363,18426.20149,17888.57229,17876.87248,18007.76548,19789.53712,19034.64713,7492.922779,6800.800088,8203.990046,7141.343584,6871.232551,6339.018494,7931.730336,5669.851392,8557.464541
"1292","Dip2a",16683.62266,19624.37985,18505.7765,17013.98337,18542.08482,17352.6,19398.31667,20472.94154,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1293","Dip2b",18134.21526,14287.08927,18185.04166,15024.55004,17354.98444,15432.75989,15241.99776,15450.56565,2310.65,NA,4026.55,4756.01,4950.23,4513.22,4021.59,2553.12,3757.84
"1294","Diras1",204515.4788,194844.7015,198992.7969,237099.2003,224259.1903,196357.8031,213367.3952,211860.9546,NA,NA,2147.11,1094.04,NA,NA,NA,NA,NA
"1295","Diras1;Diras2",23909.9,16670.4,17594.2,16712.9,17840.5,22965.1,14662,17823.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1296","Diras2",80470.12219,79228.1157,75119.07109,80448.75699,93405.32647,84673.15715,73961.82626,74571.58223,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1297","Dis3l2",75980.53504,78997.26612,90983.54372,78535.09097,88950.93826,81043.68848,92962.51274,75551.68355,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1298","Dkc1",165046.9171,136005.7362,135010.7054,163144.6502,157096.1238,161625.8636,139488.9871,153444.985,11008.54267,11688.95812,15370.04086,11522.3772,13486.42716,14230.61785,13854.06505,12589.01657,15454.87368
"1299","Dlat",72016.37486,87857.00214,99631.67846,94741.48238,96307.81176,82772.11008,98608.10152,97615.16129,NA,NA,NA,699.227,NA,NA,NA,NA,NA
"1300","Dld",23898.84383,28160.4031,27407.2913,23651.84234,24429.79584,23560.70194,29860.15192,31164.31204,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1301","Dlg1",45291.22098,43747.76342,45166.49696,48552.5016,47423.08148,43600.17956,46342.30491,44678.95716,34325.14148,37287.58948,39562.49007,40921.46054,41415.30231,33797.91993,34034.01756,33285.2367,37473.7248
"1302","Dlg1;Dlg2",42708.9268,51657.60966,44347.67386,36844.53391,39358.93092,38088.0536,44414.17666,44097.87821,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1303","Dlg1;Dlg4",19211.7,18753.9,15567,18888.5,22583.9,22449,15422.5,20618.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1304","Dlg2",121618.7143,149453.4684,136945.4214,114153.5963,119407.8316,120152.4333,144131.6142,148960.4227,NA,6564.85,NA,NA,NA,8159.65,NA,5542.55,7414.37
"1305","Dlg4",12738.52152,9456.727808,12282.09816,10766.47208,11618.71735,11938.4396,NA,13163.95179,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1306","Dlg5",24248.88742,26665.30586,29257.07865,22675.68529,24323.88163,21985.526,27738.68508,28343.21713,3017.72,2369.24,NA,NA,3208.33,NA,3357.82,3119.17,NA
"1307","Dlgap1",19189.17608,19788.93119,23669.13446,20888.13784,19556.89016,18365.87467,21495.72355,20041.04678,41816.34195,33771.34666,34181.19213,41242.49373,36227.06563,36112.91581,38497.13458,30157.82782,36446.77475
"1308","Dlgap2",9936.97,10643.5,NA,14024.9,NA,9143.15,11276.1,13120.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1309","Dlgap3",21042.72374,22565.9504,23061.02114,23193.33472,27039.90208,25413.83939,17694.49026,23851.70734,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1310","Dlgap4",6125.693384,5218.986897,10468.84167,7670.337783,8365.848389,8227.444924,7958.149059,9294.386429,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1311","Dlst",88900.81749,87292.31701,104813.0775,90156.11692,82798.44245,93629.34658,69797.66954,68157.90497,11855.8,14303.2,11110.5,8436.99,13806.1,12185.8,16452.2,12157.8,17191.4
"1312","Dmac2l",3972.02,4475.79,7591.74,4685.23,NA,4703.95,7017.47,8806.08,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1313","Dmap1",7675.54,5962.98,7822.35,8430.37,7966.92,8164.83,4988.27,8449.07,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1314","Dmd",26907.04159,35403.43106,33660.62167,26545.85083,30899.54447,23749.14412,35668.29845,32190.35821,114446.3904,102415.4527,84311.25575,107763.0094,99891.39854,76241.31592,85340.87484,71179.47149,71188.09394
"1315","Dmd;Drp2",NA,NA,NA,NA,NA,NA,NA,NA,28910.03906,26937.44657,11295.44715,37471.15271,21406.8,17308.5,8488.877951,15988.14396,NA
"1316","Dmtn",467497.3983,507420.5634,497083.3386,489882.4353,487871.8774,473359.1311,469988.1331,508412.3902,15977.04241,17006.74201,16619.80388,14424.8018,14262.6156,28241.72082,17461.4092,27089.87286,19075.99772
"1317","Dmxl1",9496.769857,7957.774737,10056.05213,9573.877753,11451.42664,9268.300047,9821.0602,9452.958919,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1318","Dmxl1;Dmxl2",20774.1458,24029.40079,18906.68183,18842.07502,19703.39165,23469.41231,21880.69055,23928.13667,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1319","Dmxl2",71028.89408,75067.42512,65996.13366,66035.21508,67252.28709,72330.37123,73877.78229,74431.92516,3116.551106,6805.140885,6756.672246,7324.968378,5851.532424,9002.512653,4514.465046,6933.494432,7370.005753
"1320","Dnaaf4",21272.2,18386.1,24998.8,NA,20671.4,24372.3,NA,18526.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1321","Dnaja1",33283.45119,33798.4904,26911.06518,30864.35813,29964.73531,27367.89702,30487.46999,36131.85744,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1322","Dnaja2",35634.50945,33215.75262,36030.69361,33252.73561,28909.20616,29832.4358,34862.11955,32668.49802,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1323","Dnajb1",11030.93405,10436.42095,12019.43253,10061.89221,13868.65191,10717.94896,10657.90821,9442.132453,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1324","Dnajb1;Dnajb4",17869.5,16618.6,13529.2,18437.2,13475.7,16359.8,14024.1,15059.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1325","Dnajb11",NA,NA,NA,6712.86,NA,NA,NA,NA,3210.59,NA,NA,NA,2531.8,NA,NA,NA,NA
"1326","Dnajb12",49263.70077,37242.981,32096.26855,49466.60075,46815.76836,46163.7216,46916.04547,45440.11136,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1327","Dnajb14",20132.50966,18350.76256,16105.02361,18985.57914,18320.62652,18467.5523,16559.7242,17747.03481,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1328","Dnajb2",17150.32935,14019.37412,17133.07553,17546.38868,18556.40032,18398.2411,15751.75599,15958.70619,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1329","Dnajc1",NA,6099.92,9114.96,7776.28,11894.7,7446.37,8325.32,8124.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1330","Dnajc11",8496.317967,9363.83105,10565.68638,9459.960318,9204.409823,10417.14853,9369.368954,8598.278609,NA,153329,NA,NA,NA,NA,NA,589732,NA
"1331","Dnajc16",63431.99664,68018.00495,51091.95577,54347.4202,56862.19632,60629.9726,57243.59861,62409.57787,NA,NA,NA,2091.26,NA,NA,NA,2031.37,NA
"1332","Dnajc17",11686.14597,13386.4865,15152.23673,12427.81613,14739.42348,11222.18294,17711.02083,11117.3139,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1333","Dnajc19",5194.316864,3907.589765,NA,3612.734572,4534.708948,5339.16118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1334","Dnajc2",13997.84532,13918.00877,21775.67495,16063.33001,16422.41239,14238.4942,13349.53944,15454.73855,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1335","Dnajc21",9870.188479,10067.35919,NA,10165.67935,6917.797181,11232.9656,9166.328491,8373.894593,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1336","Dnajc24",13774.77183,13915.19347,17291.49201,14863.46081,15984.3233,14113.27842,15439.55864,14317.62395,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1337","Dnajc6",169511.4317,166109.0952,111012.4936,125506.0401,137719.9466,161572.3919,149719.1336,144027.2146,9622.333149,10635.83261,13040.52449,7915.639928,11607.2734,14960.12985,13467.92211,15681.51023,12369.73926
"1338","Dnajc6;Gak",260978.1398,197299.2718,219498.7059,205647.311,243393.4521,206153.453,191623.3696,211759.1085,7816.00213,8504.976588,7214.494351,6550.478181,8571.642149,12790.34318,NA,11059.69798,NA
"1339","Dnajc7",31516.2642,32328.36857,31547.44063,28890.07989,28835.84462,28169.10464,32443.97923,31880.9162,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1340","Dnajc8",10651.4,8499.56,9942.93,13475.3,NA,10855.3,8888.83,11765.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1341","Dnajc9",14237.01874,18685.63265,17847.06387,17243.85665,15206.96335,18216.21321,18429.72806,20363.67057,9979.996782,NA,11831.45529,7056.971986,6809.453022,8167.320299,9893.754272,6512.045316,14673.57184
"1342","Dner",8657.204601,9085.763543,8440.050915,10229.8293,13375.16813,9837.322325,11088.89544,9757.450465,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1343","Dnlz",18012.83402,12433.35703,12995.41962,15265.75933,18565.67402,17059.77882,16369.85494,15794.86155,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1344","Dnm1",43178.20408,48493.67279,39166.22895,42358.80726,43030.51476,41016.63462,47886.67413,44837.51491,4571.163047,4395.816194,4201.775439,3618.423535,4881.505193,6238.80774,5907.621733,7763.480014,NA
"1345","Dnm1;Dnm2",NA,21246.1,22543.7,27047.6,NA,19402.1,28841.4,26507.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1346","Dnm1;Dnm2;Dnm3",81469.8,103086.0714,93469.79063,86341.03335,83636.99512,82433.31067,95153.60568,91026.27015,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1347","Dnm1;Dnm3",9535.715069,17393.55154,14441.08219,9628.482022,17720.42537,15790.99612,18309.9592,14579.36066,7959.55,8529.025394,10651.23292,8172.575344,9522.795808,14899.16554,10209.67833,15192.83139,10973.25744
"1348","Dnm1l",831289.0635,852065.4821,741175.4049,756886.7795,792390.7199,844043.0534,848762.7702,843533.9126,27580.81514,33074.80463,35028.13465,23786.25931,33787.7287,57203.42174,31317.65349,52635.02187,29963.29888
"1349","Dnm2",4468.680036,6705.584991,NA,NA,5028.847713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1350","Dnm2;Dnm3",28363.4742,38305.8137,37070.72958,32232.65363,33167.25447,30639.14037,30760.73177,36422.49854,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1351","Dnm3",123097.6247,145168.7157,135730.6117,121991.0985,129278.578,125545.5907,140803.811,133861.8055,4580.77,6356.534618,6015.559418,5764.02,6626.413023,7792.06,NA,6440.383139,NA
"1352","Dnpep",12389.0523,11814.56078,14200.78281,13413.04939,14137.50055,11904.46971,13232.36724,12022.62685,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1353","Dnttip2",229665.6662,180373.2518,196225.2114,222514.9042,248591.8345,225073.7689,197772.5877,188527.7232,9400.769543,8706.459079,8742.505298,9984.19243,9545.501222,9292.787557,11697.49395,9153.942181,13383.34856
"1354","Dock1",8378.522486,11066.76962,13230.60789,10368.51844,9604.075726,7930.673956,10677.71217,10467.58371,43144.54764,35364.48346,31977.523,31366.66121,32597.77852,26458.51503,30052.08296,26254.87715,29342.38208
"1355","Dock1;Dock5",38236.1,55839.1,49842.8,34558.3,42771,50650.3,51986.9,47159.1,30496.5,NA,39953.5,35756.5,30397.5,NA,NA,39759.1,35671
"1356","Dock11",76963.34638,74460.75855,65783.53264,71580.2446,76985.00671,77468.2546,70200.86399,73726.69179,5676.94,NA,NA,5215.647556,NA,12340.41273,NA,12036.30174,NA
"1357","Dock11;Dock9",65791.84247,84759.25707,98858.68799,87434.84511,91438.43022,82523.67416,81951.5844,79165.47429,3705.18,9577.52,12627.4,10144.7,16557.5,17127.1,13054.8,14551.2,18548.8
"1358","Dock2",6594.08,10620.6,13746.6,8653.99,10646.4,10457.4,8237.03,9698.57,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1359","Dock3",76574.02204,89041.21865,70954.79432,60110.78167,61397.77485,77013.27757,79344.26737,88214.60114,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1360","Dock3;Dock4",26579.6,32521.2,35072,31501.4,24857.9,28181.1,31806.9,31719.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1361","Dock4",40982.63346,39650.35988,38124.81271,40072.93256,41056.66666,40328.30908,40346.77672,36297.386,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1362","Dock5",401819.5707,487714.4777,495795.0117,396507.9751,412054.698,396749.7703,440871.5917,470573.578,NA,NA,NA,NA,4235.5,5485.61,NA,4500.98,2719.37
"1363","Dock6;Dock7",NA,NA,NA,NA,NA,NA,NA,NA,29895.27849,53322.94697,41020.36607,58477.61402,33794.70738,24393.1523,33299.19124,39022.90777,42930.80358
"1364","Dock7",78024.52617,93560.57788,78892.76378,69746.77888,70054.49243,74985.21943,93328.01196,90642.60206,91199.38378,97593.10456,89780.9283,78927.88492,97865.5318,77505.44773,84568.39095,73393.88856,82467.88386
"1365","Dock9",39829.2126,38458.00751,41334.88301,41483.9361,42742.32282,41121.61641,43649.08451,43682.28912,8972.948967,9091.55583,9494.45801,6867.74036,8874.611676,9632.501859,10116.40655,7462.679982,8139.472043
"1366","Dok1",77570.46392,66284.33133,53030.35157,65512.80209,73150.69615,75551.68586,64955.37106,64405.35625,2294.02,4626.74,NA,NA,NA,NA,NA,NA,NA
"1367","Dok4",101255.3601,125126.1454,111652.8302,87411.20503,86942.77048,108291.6048,99417.50788,110789.3913,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1368","Dolpp1",19668.6,13163.3,9572,12632.8,16639.9,15270.7,11096.6,16385.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1369","Dop1a",19997.54816,22326.64379,22809.38837,19579.94309,19907.65488,16975.1216,19258.47276,23655.33797,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1370","Dop1a;Dop1b",9754.23,10439,NA,8493.03,NA,10782.9,14892.3,9776.93,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1371","Dop1b",25186.70096,26191.64848,27740.67412,27119.83606,26101.32875,25496.74009,27008.08213,26055.1075,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1372","Dpf1",8746.017749,9694.93935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1373","Dpf2",16907.94979,13337.59522,17217.3,13126.8695,16181.6,11269.89283,15201.4,10653.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
