GeneID,X208_LSC_TC_m_5,X209_LSC_TC_f_2,X212_LSC_TC_m_2,X214_LSC_TC_m_6,X219_LSC_TC_f_1,X231_LSC_TC_f_6,X232_LSC_TC_f_5,X238_LSC_TC_f_4,X241_LSC_TC_m_3,X213_LSC_TC_m_1,X216_LSC_TC_f_3,X223_LSC_TC_m_4,X143_DRG_TC_m_4,X151_DRG_TC_f_2,X154_DRG_TC_f_4,X157_DRG_TC_m_3,X158_DRG_TC_f_5,X161_DRG_TC_m_2,X162_DRG_TC_f_1,X165_DRG_TC_m_1,X160_DRG_TC_f_3,X249_paw_TC_m_4,X250_paw_TC_f_4,X262_paw_TC_m_5,X264_paw_TC_f_5,X265_paw_TC_f_2,X246_paw_TC_f_1,X260_paw_TC_m_2,X268_paw_TC_f_3,X269_paw_TC_m_3,X270_paw_TC_m_1,X173_SCN_TC_f_1,X174_SCN_TC_m_5,X182_SCN_TC_m_3,X186_SCN_TC_m_4,X191_SCN_TC_f_3,X193_SCN_TC_m_2,X194_SCN_TC_m_1,X199_SCN_TC_f_2,X189_SCN_TC_f_6,X198_SCN_TC_f_4,X201_SCN_TC_f_5,X195_SCN_TC_m_6,X207_LSC_T_m_2,X211_LSC_T_f_3,X220_LSC_T_m_5,X221_LSC_T_f_5,X224_LSC_T_m_1,X225_LSC_T_f_6,X227_LSC_T_m_6,X228_LSC_T_f_2,X233_LSC_T_f_4,X236_LSC_T_f_1,X237_LSC_T_m_4,X240_LSC_T_m_3,X144_DRG_T_f_1,X147_DRG_T_m_2,X148_DRG_T_m_1,X149_DRG_T_f_3,X152_DRG_T_f_4,X156_DRG_T_f_2,X164_DRG_T_m_3,X145_DRG_T_m_4,X251_paw_T_f_2,X255_paw_T_f_4,X266_paw_T_f_1,X247_paw_T_m_2,X253_paw_T_m_4,X254_paw_T_f_3,X257_paw_T_f_5,X272_paw_T_m_3,X261_paw_T_m_1,X170_SCN_T_m_4,X175_SCN_T_f_5,X177_SCN_T_f_6,X178_SCN_T_m_1,X181_SCN_T_m_3,X197_SCN_T_f_1,X171_SCN_T_f_2,X183_SCN_T_m_2,X185_SCN_T_f_4,X187_SCN_T_f_3
Abat,23624.39286,29282.15628,25281.26647,24980.2898,26676.55683,23475.66654,26555.34432,24695.21154,22433.85505,20174.37646,23650.76412,24848.14319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60740.31562,39516.55125,60057.50624,42761.34655,50610.13298,42279.67661,62869.33622,41038.84352,46294.7212,46532.42651,70024.21424,74092.34818,9994.336037,12318.40046,9469.098999,7654.840103,12436.00372,10280.10581,10597.79336,7169.260635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abca3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6226.823931,5213.674682,4641.811401,4933.20245,5261.792074,5350.767553,4873.551117,7822.421232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abca5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8901.769223,5508.806105,9544.780633,4161.404255,NA,4962.623401,7764.090742,9881.69104,4898.665702,5025.502621,9213.908534,7280.45241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abca6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5032.766182,5457.648897,7766.374062,7253.943745,4159.99,4890.284063,5370.204807,5773.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abca7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7231.960345,5452.510259,10046.55749,4991.908117,6390.327388,6443.778943,4717.860317,6806.800884,5355.53784,4675.096877,7963.268043,8449.373997,8564.765635,12009.136,13062.27123,7417.168422,8907.750149,7721.646788,10718.38141,9319.172614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abca8a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4957.453224,4435.199167,7330.318643,4023.842917,4598.652069,4158.955075,4406.967827,4495.831211,5875.527208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abcb11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39568.1,16416.6,NA,29765.5,NA,NA,NA,NA,15763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abcb1a,25728.90811,14608.38893,17944.38248,24291.36896,28053.17303,17406.03932,21850.9009,15497.33169,29364.29782,42178.85981,13599.71505,26804.55669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21034.86307,22407.88244,14691.052,31213.62739,13303.90017,13189.36986,12331.63352,14604.06732,13453.21737,12860.82081,19345.76957,21022.00949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abcb1a;Abcb1b;Abcb4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62852.9,NA,20325.9,75858.6,25897.2,60356.9,NA,NA,15175.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35139.8,NA,33249.9,NA,30999.5,NA,NA,42719.7,50631.8,41139.2,49074.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abcb1a;Abcb4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8799.32,4689.98,6510.18,6012.5,7342.84,4401.23,6309.92,4057.05,5311.29,3692.81,9897.79,6487.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
