GeneID,X208_LSC_TC_m_5,X209_LSC_TC_f_2,X212_LSC_TC_m_2,X214_LSC_TC_m_6,X219_LSC_TC_f_1,X231_LSC_TC_f_6,X232_LSC_TC_f_5,X238_LSC_TC_f_4,X241_LSC_TC_m_3,X213_LSC_TC_m_1,X216_LSC_TC_f_3,X223_LSC_TC_m_4,X143_DRG_TC_m_4,X151_DRG_TC_f_2,X154_DRG_TC_f_4,X157_DRG_TC_m_3,X158_DRG_TC_f_5,X161_DRG_TC_m_2,X162_DRG_TC_f_1,X165_DRG_TC_m_1,X160_DRG_TC_f_3,X249_paw_TC_m_4,X250_paw_TC_f_4,X262_paw_TC_m_5,X264_paw_TC_f_5,X265_paw_TC_f_2,X246_paw_TC_f_1,X260_paw_TC_m_2,X268_paw_TC_f_3,X269_paw_TC_m_3,X270_paw_TC_m_1,X173_SCN_TC_f_1,X174_SCN_TC_m_5,X182_SCN_TC_m_3,X186_SCN_TC_m_4,X191_SCN_TC_f_3,X193_SCN_TC_m_2,X194_SCN_TC_m_1,X199_SCN_TC_f_2,X189_SCN_TC_f_6,X198_SCN_TC_f_4,X201_SCN_TC_f_5,X195_SCN_TC_m_6,X207_LSC_T_m_2,X211_LSC_T_f_3,X220_LSC_T_m_5,X221_LSC_T_f_5,X224_LSC_T_m_1,X225_LSC_T_f_6,X227_LSC_T_m_6,X228_LSC_T_f_2,X233_LSC_T_f_4,X236_LSC_T_f_1,X237_LSC_T_m_4,X240_LSC_T_m_3,X144_DRG_T_f_1,X147_DRG_T_m_2,X148_DRG_T_m_1,X149_DRG_T_f_3,X152_DRG_T_f_4,X156_DRG_T_f_2,X164_DRG_T_m_3,X145_DRG_T_m_4,X251_paw_T_f_2,X255_paw_T_f_4,X266_paw_T_f_1,X247_paw_T_m_2,X253_paw_T_m_4,X254_paw_T_f_3,X257_paw_T_f_5,X272_paw_T_m_3,X261_paw_T_m_1,X170_SCN_T_m_4,X175_SCN_T_f_5,X177_SCN_T_f_6,X178_SCN_T_m_1,X181_SCN_T_m_3,X197_SCN_T_f_1,X171_SCN_T_f_2,X183_SCN_T_m_2,X185_SCN_T_f_4,X187_SCN_T_f_3
Calm4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9437.007797,9286.372045,7498.162195,7330.570872,11831.13553,6573.095595,7273.163398,7034.635559,NA,12688.33747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9051.163728,16626.37685,14184.3575,19935.24654,10631.62212,7534.097025,6565.962418,14909.38314,35117.33634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Calml3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18112.50404,21831.06937,16909.33017,19773.41367,18384.33268,15432.79927,16810.18693,17585.23694,18864.17718,19416.78686,NA,39693.83315,7914.537571,11875.72447,5389.995925,4171.777369,NA,9741.369446,12946.87433,9910.99079,12216.66844,9109.619919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68893.19814,55116.05824,66505.93422,73347.79646,51951.39677,41932.62005,62255.76626,75516.50192,72107.01238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Calr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3738.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37841.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22054.4,NA,21822.1,12484.2,17315.8,9619.82,23164.6,NA,NA,13353.7,18404.9,21507.1,8641.58,7356.46,NA,NA,NA,4558.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Calu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13252.38256,15311.47181,13334.17001,14044.41006,11911.57936,14311.09575,8557.778926,9259.796702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Camk1d,9452.66,7088.7,9864.51,6065.7,7759.01,4024.81,6188.19,6842.84,NA,NA,10355.5,6798.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69809.89652,60407.78112,63019.27178,82965.38404,58767.27835,92186.78179,72734.35461,82778.61701,87662.9321,88810.53219,79894.04823,72520.0052,49649.86038,45666.8086,33730.94593,45850.80418,41944.23639,50934.60589,43353.69861,41669.52165,NA,NA,NA,NA,NA,NA,NA,NA,NA,38701.86098,32379.46641,43159.37769,36557.41953,29250.05997,43278.89645,38197.99409,29175.15005,39491.6908,30083.42746
Camk1g,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5675.47,NA,NA,NA,NA,4393.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Camk2a,NA,7232.099638,8993.301273,9364.574872,7899.442896,6302.655387,4230.42788,9551.47246,NA,2937.111433,4829.302789,3963.111041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30436.89283,27098.08807,30275.31842,30957.31092,29233.22293,32625.00332,29892.73886,28301.79909,31389.75893,25013.0485,29403.93897,30184.05114,59246.8083,57716.21166,45810.23472,56200.10657,58700.48266,64213.67735,46205.10636,54142.11666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Camk2a;Camk2b;Camk2d,2251.51,5306,8861.7,9514.69,12713,10385.9,17103.4,12030.5,3653.38,3649.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46347.4,NA,62115.3,87368,40910.1,67120.3,68751.4,82986.9,101258,78408.9,93615.6,85601,32827.4,49589.5,45972.8,31511.3,39223.2,53451.9,32946.1,31420.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Camk2a;Camk2b;Camk2d;Camk2g,29396.18258,52601.29677,45020.57217,49750.83555,47650.06892,27833.32647,74396.09658,49869.31692,51161.10067,15114.21326,47092.2888,44011.93133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,351020.5896,260598.7281,261613.8213,576963.3864,264349.6661,551653.8067,441414.561,506727.2709,485305.1557,500131.6109,513152.5966,477407.2204,621633.9391,666692.9876,512934.8177,622783.1171,614395.557,716756.7698,716195.7678,609920.7503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Camk2a;Camk2d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31523.77111,21091.60018,35350.50156,31689.56502,30327.67061,29724.84877,27337.07492,24050.64465,34710.3508,30386.57909,NA,26430.34883,42932.93992,46367.62178,41804.88288,52256.09924,46846.62499,52791.50825,56996.65878,55253.3745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Camk2b,15194.47253,18537.21107,17716.51248,17381.56878,17094.43839,17809.52262,23940.13759,19762.84971,19009.8856,13173.8399,19120.58212,19004.91763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79410.41897,62364.09189,69572.53483,82237.25656,63994.42725,87170.99463,77492.33887,81382.34818,89146.24322,79877.75616,84570.45358,87684.08174,82478.60734,82436.66685,70739.66064,68755.2798,75929.97798,78696.38707,87142.64072,80580.98735,5472.276817,5603.499484,6241.688651,NA,NA,NA,NA,6939.647781,5431.596474,10822.34702,10253.11815,9792.687443,14675.44154,8756.611205,10750.86855,9242.069986,8106.564924,7821.824122,16405.03156
Camk2b;Camk2d;Camk2g,6442.73,11194,6927.49,10909.3,7609.17,4321.89,7944.29,12968.3,6335.75,4150.99,12355.8,7538.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106865,51611.8,50028.2,NA,44896.3,182520,102104,127139,150812,115677,NA,118226,139295,183891,146030,120876,131090,172807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49367.71506,48338.68643,76339.49573,99723.25799,84174.28922,71291.82627,46890.03263,18591.19219,35369.64003,44097.97333
Camk2b;Camk2g,12927.5,11268.85568,7030.125373,14133.69091,11329.73468,12501.3,21063.21266,15112.27372,11404.15483,11743.4,15202.00508,12545.38614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64555.02837,54505.32229,53663.08986,97070.37774,28364.4269,102750.1058,78047.90293,120712.5713,117116.4702,111210.4657,93441.96444,101969.331,176507.2549,187639.5635,130696.939,117860.5683,134703.765,157496.7432,151558.4054,159284.7388,NA,NA,NA,NA,NA,NA,NA,NA,NA,15253.01657,14056.8,15257.71995,23078.04332,17527.60423,15218.55376,15258.37625,15999.8,17619.4,12881.5
Camk2d,3900.427884,11621.04989,9749.172733,9503.421862,4906.385425,6873.581651,15056.35354,10418.86785,9985.5449,8390.024145,12109.43625,10915.88764,24339.93069,20023.27435,23466.20087,24676.52157,20729.78639,21011.00519,23895.58318,23887.61017,21155.21505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90071.4235,87178.68941,79384.60041,106950.2719,87266.70803,103493.111,95801.92004,118329.7816,113589.4384,107975.8128,93264.14372,110540.3114,221338.0869,213095.6567,173653.6,199251.8215,203592.9205,222852.9068,192534.8854,212319.4364,28946.76012,31077.28773,28867.9021,27339.08564,24852.66486,21087.386,21932.8394,31698.63053,28220.86033,23795.65799,30074.90081,34676.52981,29107.43538,21156.90874,30142.34826,25798.8019,23567.50073,34304.65351,32586.43261
Camk2d;Camk2g,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32614.41919,46105.31514,17676.37148,31392.43904,33797.24607,26422.82235,16730.0893,34808.0599,13540.83797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Camk2g,9442.483645,9675.989947,9821.441477,7199.868935,9978.28815,9706.556111,10905.2208,8912.269742,7476.238511,9493.462874,7769.397893,8875.496918,6165.398956,6624.531708,6909.169537,6551.491495,6073.326201,7902.21172,6235.091386,9465.600381,5123.71077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81863.61769,56915.36226,66772.80933,82187.19879,63149.01111,77264.41987,88923.63626,82497.66333,84715.32559,87266.16237,90449.87602,97615.28614,145315.4289,162487.5932,150109.0702,129358.3285,132946.8441,137306.0839,153264.7872,150760.7902,NA,NA,NA,NA,NA,NA,NA,NA,NA,23921.33815,23499.84792,22536.96782,22050.28133,22906.62304,23262.7862,18332.88341,21133.52072,21865.31062,21015.53603
Camk4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24871.19192,25956.68711,13891.79794,27106.73729,8758.565945,26672.705,22304.56724,33772.05167,31555.00192,31575.32789,19319.3891,21209.44071,45696.7262,37183.66115,26716.4024,37593.37303,40251.63489,41153.32955,36703.19223,34213.20445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Camk4;Ripk2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20887.5,17546.3,17080.4,26789.3,22228,20015.7,21440,17518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Camkk1,NA,2727.79,NA,NA,NA,NA,NA,2759.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23649.63373,25229.77973,22631.0072,23767.41983,22472.7211,23098.2843,23758.88328,21926.45616,22016.14426,22597.03807,23578.00405,22516.14529,19384.32515,23227.40881,22891.88744,23661.43555,20203.73934,20233.32252,19033.91776,22095.41668,NA,NA,NA,NA,NA,NA,NA,NA,NA,6345.699449,10543.26253,8865.170641,8906.870678,7401.671465,9572.958544,7288.300616,8348.102135,8425.01465,10931.51278
Camkk2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14456.32778,17676.41769,16849.87275,14940.58902,12146.33574,13953.80296,11146.25855,12347.7667,11373.82668,12968.79768,13130.0608,12275.55651,8674.975737,10336.99942,NA,NA,7225.313376,10778.9,11310.83937,11801.00376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Camkv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5988.941659,NA,8283.202169,5184.393908,6697.608134,4891.911831,6825.396612,4729.707484,3638.954806,5483.366713,6816.456725,4965.240323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Camlg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2572.97535,13743.54925,7494.672135,6854.270475,6526.896296,9147.161972,6430.570758,12628.69596,8244.487357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35639.89649,35085.8849,24956.93197,38957.6911,28911.82992,39655.83001,34521.41285,35080.17827,38616.72105,42483.64082,37306.43608,34120.66383,241313.936,250367.8659,230972.2495,232376.1718,256391.4069,234997.4492,244322.1853,242430.9036,NA,NA,NA,NA,NA,NA,NA,NA,NA,16842.47924,13417.53078,14428.24683,18013.63253,16021.55717,13417.86447,19769.55158,23665.8,17896.2048,21492.18455
Camsap1,38662.27928,25829.1001,22905.98342,26495.38587,23545.72586,27636.05229,10809.45481,22086.12369,22188.23945,NA,23518.26918,18500.25614,2396.11,1692.12,4060.42,2317.59,3320.96,8237.66,4013.12,2498.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74288.28672,67920.0429,69304.10849,68396.54755,73653.98391,71628.57332,73389.86484,72182.4185,73889.34995,67566.74912,74805.91623,70944.25193,63654.92729,66148.62937,64585.23478,65184.2773,66158.08641,65020.19805,64884.37827,66888.83836,6483.19,4919.7,4613.26,4036.15,4453.28,6975.65,10922,4560.63,2648.51,34010.97795,33632.89001,32654.46423,33525.62246,33634.75471,33721.55786,34133.53676,35334.17937,34009.94094,40149.23746
Camsap1;Camsap3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52512.3,65091.1,51936.2,50493.7,48050.1,56572.1,61876.4,49030.9,47495.2,35890.1,56529.3,50597.4,NA,NA,NA,NA,59804.5,59105.3,48782.2,57397.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,12466.3,15081.4,17032.9,NA,13561.2,17589.7,16919.4,15589.2,16120.6,15521.2
Camsap2,5461.521829,2773.531847,2860.661872,NA,2804.953575,NA,NA,2011.289181,NA,3013.648879,NA,NA,5442.188537,9397.378368,11438.10302,8527.091156,8242.583604,12620.97172,9323.596261,12626.70792,11591.94413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95257.84471,98558.34903,88068.83998,95962.93125,93901.89967,100753.6395,88771.62423,99200.57422,100598.0146,98952.91911,114105.7745,91705.717,153473.7408,151355.4046,135166.0789,146902.8168,146884.0364,152926.5783,145097.6069,148972.8078,5113.245691,7478.60212,5908.021386,9165.125798,5113.024866,8700.637754,6637.418996,5255.815455,5974.516771,41532.59955,41604.86957,37909.87382,36677.552,36587.541,34374.24534,41107.04752,35447.94737,45513.34991,42186.73133
Camsap2;Camsap3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31131.2,23078.4,19482.8,30250.9,18034.9,23437,23725.4,27013.5,22569,30252.7,23909.5,21975.6,32016.2,32830,32054.9,28511.5,29759.2,NA,NA,30503.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,12953.5,8534.22,10458.2,15250,11612.9,10838.8,11005.9,6279.41,6741.91,14328.8
Camsap3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1616.11,NA,2759.56,5088.36,1856.22,2124.06,2941.12,NA,NA,NA,NA,NA,2354.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105980.0069,121275.0931,114851.4819,113326.0068,101558.4529,116110.974,103753.9658,112960.6344,111106.2614,112695.4922,103209.6841,96823.38678,80248.45416,88988.29468,91694.49109,82709.88537,83312.49086,80076.21251,90847.5499,86950.32924,11470.20682,10781.80009,10276.06499,12589.00419,9937.927223,9841.254776,11011.71801,10799.61078,12788.31234,24694.67959,23827.37836,23989.62939,24215.26948,22869.14198,24633.5403,21066.21648,24699.24126,25395.05566,23058.15929
Camta1,NA,NA,NA,NA,NA,NA,5109.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10710.3,12564.2,NA,14135.4,12662.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Camta1;Camta2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3908.84,4093.29,NA,4023.55,3647.27,3475.52,2895.1,2495.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Camta2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17889.95494,19670.61122,18598.34733,19769.69426,17483.85971,17728.25557,19196.94341,17140.12219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cand1,25922.08418,27786.95566,24518.2899,27060.4148,33330.04742,27176.89761,29861.82594,26607.78588,22752.43761,21182.39472,33196.48163,26856.48911,5502.643255,5293.894219,7844.81526,4348.477884,4633.716659,6072.130934,7195.621741,4684.346458,6981.347622,36507.12119,35058.5106,41592.09577,41677.19237,36153.95168,50317.71021,32899.00145,31652.72697,44607.3,42319.03699,NA,8159.567497,NA,870.004,1838.576,1159.86,1439.24,NA,NA,NA,NA,NA,37770.31868,31632.21105,46226.37548,32014.11564,37082.17603,30303.40053,39240.39095,32360.19029,31811.49881,31835.58754,39855.86504,38551.14195,13059.34076,12718.41963,18570.28173,16848.06081,19201.42447,11663.63074,14934.21553,15506.03036,NA,4095.49,3764.26,9155.02,7930.27,6962.95,6168.32,5221.37,4944.79,2464.473254,3216.798485,NA,2728.449408,4188.039021,3327.459546,NA,2735.875799,NA,4874.401341
Canx,8479.079328,11173.16753,9649.159781,6403.894984,14004.258,8381.747139,9757.426988,10542.23511,9182.387482,12465.2,8393.392585,11635.55005,3641.457828,3205.318985,3349.831283,2632.224512,3327.47715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25350.85861,22907.04012,38224.56196,21823.13379,26856.06264,24121.06535,25858.38133,26963.8622,23867.30791,22559.73336,26328.94777,28663.18372,41787.39475,34318.71287,30518.38326,35916.97513,37500.98773,36180.28422,33938.23463,34411.35819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cap1,5365.029567,5603.113466,5530.844333,2466.008144,9590.547239,5856.123123,5262.434577,5228.345112,4273.072509,4489.103675,2793.42848,5780.676235,15857.20155,17048.90685,14140.24989,11401.45967,15780.03092,15135.68882,19281.91972,17362.32456,13153.53223,9226.154685,8032.047415,8668.664296,9578.670506,9557.533193,7794.366104,8230.46922,9526.715641,7230.05185,7034.758828,3293.880518,31853.02051,4149.999841,4840.196367,3308.683327,2718.131944,2237.534614,3581.823635,2164.603771,4297.57095,3845.435859,3050.359493,86446.23755,82414.20037,86767.59491,124101.0287,88259.57295,128757.8533,97233.77491,132498.7683,127015.1247,129822.1336,102655.2023,105328.3584,108988.821,108159.1765,92295.53866,99080.63351,96710.13073,106204.7805,96799.66947,97366.19498,16774.21472,14971.72226,18409.37408,23543.67454,19164.18,12222.91404,18047.70679,12629.51613,14196.78688,41762.93054,37732.43206,39225.57868,42337.72761,38821.59085,38184.32409,34222.38118,34381.38173,39309.42836,39614.32367
Cap1;Cap2,NA,6844.04,6733.09,5243.49,NA,6634.36,4222.8,7058.78,NA,NA,5599.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146687,NA,NA,161645,137958,165747,145608,178390,163402,173867,NA,141462,104471,111748,144884,115561,118339,131521,NA,106004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cap2,NA,1784.085687,3895.561808,NA,4219.679815,4203.600265,3294.101086,3082.594194,3326.356543,NA,2648.672445,2881.418678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21867.74872,19337.76275,18496.53824,22114.60577,18662.18744,20972.25595,21883.58408,23056.2751,21648.70606,23494.91571,24353.16434,23009.96565,10895.57622,11775.40084,8620.628119,9509.635614,10740.69453,11556.19931,15686.89027,12130.78341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Capg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16141.83007,15315.05147,17042.06549,14742.39263,18857.54195,14378.78137,17665.38412,15744.56837,13395.30212,15538.0823,20787.53557,16731.01395,18813.2147,19802.81394,18835.20449,17351.73951,18744.58458,15681.02522,16020.2584,NA,NA,NA,2397.360388,2337.285025,NA,2709.623948,NA,1193.301361,2014.314864,3527.955919,3032.71398,37800.55419,38584.5471,35072.23331,45559.75715,34630.02902,45867.45443,38008.38613,49508.65053,44694.33286,45873.69185,54688.47337,35904.97635,20298.9702,23302.81231,22654.72661,23901.38397,24536.01078,25108.92346,22667.70988,22139.5893,23678.4503,23617.14055,24181.34051,20798.18044,22912.29146,23659.19987,26002.88571,19699.05238,25214.8523,4089.90701,11970.57374,9409.101142,6198.108913,7793.78949,9961.735055,11071.95886,8132.507665,8905.230623,9476.387015
Capn1,NA,1127.48,1786.19,2114.46,1741.47,NA,670.395,2067.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4503.235228,3292.162256,5327.347204,8170.390468,3343.669964,4695.282158,4706.113986,NA,NA,5353.794941,NA,8567.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9854.12876,8706.627632,11827.14783,8371.475178,7533.2266,8354.051691,9841.777149,7762.719704,7565.33604,7651.544995,9254.191858,8685.134571,42389.08134,43294.37961,41776.75545,45093.69851,43300.47404,41373.79145,49281.05053,45099.80113,5510.640734,5698.203531,NA,13469.2473,11071.58527,6504.084027,5900.057132,9735.405221,8110.963283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Capn15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7672.893746,10456.33318,11817.19434,8049.93446,9424.293158,7285.394685,7974.118216,5979.654416,6849.855003,NA,8962.017794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
