"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005905","GO:0005905","clathrin-coated pit","25/1390","61/9913",2.05896368074351e-07,3.10956309732802e-06,2.15621567646014e-06,"Eps15l1/Aak1/Cttn/Synj1/Eps15/Cltc/Ap2a2/Ap2b1/Arrb2/Dnm1l/Epn1/Fnbp1/Hip1r/Inpp5f/Itsn1/Itsn2/Necap1/Numb/Ocrl/Picalm/Reps1/Sgip1/Sh3bp4/Snap91/Tbc1d5",25
"GO:0010008","GO:0010008","endosome membrane","59/1390","219/9913",2.87317512268446e-07,4.12756133478328e-06,2.86211026341866e-06,"Anxa6/Coro1c/Chmp4b/Anxa2/Washc2/Arhgap1/Chmp2b/Ap3d1/Ehd1/Snx2/Uba1/Rac1/Gripap1/Vps4b/Snx12/Acap2/Appl1/Atp9a/Chmp1a/Chmp3/Chmp5/Chmp7/Ehd3/Ehd4/Lamtor1/Llgl1/Mon2/Mvb12a/Ncdn/Osbpl6/Pacsin2/Pikfyve/Pip5k1c/Rab11b/Rab15/Rab23/Scamp1/Shc1/Snap91/Snf8/Snx1/Snx16/Snx3/Snx6/Stx7/Tbc1d5/Ubap1/Ubxn6/Usp8/Vamp7/Vps13a/Vps16/Vps25/Vps36/Vps37a/Vps37c/Vps4a/Vti1b/Zfyve16",59
"GO:0048475","GO:0048475","coated membrane","30/1390","84/9913",4.75615979305313e-07,6.51483283280998e-06,4.51747857944826e-06,"Eps15l1/Aak1/Synj1/Chmp4b/Epn2/Eps15/Copz1/Ap3d1/Scyl1/Arcn1/Copb2/Cltc/Ap1b1/Aftph/Ap2a2/Ap2b1/Ap3b2/Ap3s1/Ap3s2/Clint1/Dnm1/Epn1/Necap1/Picalm/Sgip1/Snap91/Synrg/Tbc1d5/Vps11/Vps16",30
"GO:0031594","GO:0031594","neuromuscular junction","29/1390","81/9913",6.93723186178234e-07,9.08006570353288e-06,6.2962478651966e-06,"Nefl/Ank3/Nefm/Myh9/Tuba1a/Pls3/Apbb1/Camk2d/Crkl/Cyth1/Dlg2/Fchsd1/Lama2/Lama4/Lamb2/Lamc1/Pclo/Prkce/Prkcq/Rph3a/Snta1/Stx1b/Stxbp5/Stxbp5l/Sync/Syngr3/Syp/Trip4/Vamp1",29
"GO:0098685","GO:0098685","Schaffer collateral - CA1 synapse","34/1390","107/9913",1.91018107875597e-06,2.39382267103673e-05,1.65991099340944e-05,"Ncam1/Akap12/Nefl/Ppp3ca/Synj1/Nefh/Capzb/Sh3gl1/Cplx1/Pfn1/Ctnnd1/Cdc42/Abr/Apbb1/Bcr/Cadm1/Dgki/Dgkz/Epn1/Gabbr1/Gsk3b/Ina/Iqsec1/L1cam/Picalm/Rock2/Sh3gl2/Snap91/Stat3/Stxbp5/Syn1/Syn2/Synpo/Syp",34
"GO:0042383","GO:0042383","sarcolemma","39/1390","131/9913",2.16052419192682e-06,2.65114322717687e-05,1.83834075979738e-05,"Atp1a1/Anxa6/Synm/Atp2b4/Ank3/Anxa2/Anxa5/Ank2/Plec/Vcl/Msn/Prkar2a/Cltc/Got2/Acp1/Ank1/Aqp1/Atp1a2/Atp1a3/Atp1b1/Bgn/Bin1/Cacnb1/Cacnb3/Camk2d/Col6a1/Dst/Dtna/Flot1/Lama2/Plcb3/Prkce/Prkcq/Ryr2/Slc9a1/Snta1/Stac/Stbd1/Sync",39
"GO:0043679","GO:0043679","axon terminus","42/1390","147/9913",2.90902707138642e-06,3.4967692756053e-05,2.42470999720286e-05,"Aak1/Pebp1/Prph/Hspa8/Anxa5/Dpysl2/Septin5/Sncb/Hnrnpk/Ap3d1/Cplx1/Sncg/Snca/Septin7/Arpc2/Amph/Aqp1/Atp1a3/Bin1/Calb2/Cplx2/Dgki/Git1/Ilk/Itsn1/Kcna1/Kcna2/Kcnab2/L1cam/Marcks/Mical1/Pacsin1/Pclo/Prkca/Prkcb/Prrt2/Rab3a/Septin4/Snap91/Syp/Syt7/Tanc1",42
"GO:0030496","GO:0030496","midbody","35/1390","116/9913",5.08955799384471e-06,5.99549931674907e-05,4.15736526655105e-05,"Chmp4b/Ist1/Anxa2/Ran/Chmp2b/Crmp1/Nudc/Capg/Ctnnd1/Vps4b/Gdi1/Cdc42/Abraxas2/Arl3/Birc6/Chmp1a/Chmp3/Chmp5/Chmp7/Cyld/Eml4/Katnb1/Kif3b/Mapre3/Mical1/Mical3/Pik3c3/Pkn2/Sh3glb1/Sirt2/Spast/Stx2/Usp8/Vps4a/Zfyve19",35
"GO:0044306","GO:0044306","neuron projection terminus","45/1390","166/9913",6.10654194413048e-06,7.05245726488794e-05,4.89027507600129e-05,"Aak1/Pebp1/Prph/Hspa8/Anxa5/Dpysl2/Septin5/Sncb/Hnrnpk/Ap3d1/Uchl1/Cplx1/Sncg/Snca/Septin7/Arpc2/Amph/Aqp1/Atp1a3/Bin1/Calb2/Cplx2/Dgki/Git1/Ilk/Itsn1/Kcna1/Kcna2/Kcnab2/L1cam/Marcks/Mical1/Mob2/Pacsin1/Pclo/Prkca/Prkcb/Prrt2/Rab3a/Septin4/Snap91/Syp/Syt4/Syt7/Tanc1",45
"GO:0098562","GO:0098562","cytoplasmic side of membrane","44/1390","165/9913",1.21762604932582e-05,0.000123652024664294,8.57420884098762e-05,"Mapt/Ppp3ca/Chmp4b/Fermt2/G6pdx/Myh9/Rac1/S100a6/Msn/Acp1/Ank1/Ap2a2/Ap2b1/Aspscr1/Atp2b1/Birc2/Borcs5/Borcs6/C2cd2l/Cisd1/Cyld/Cyth1/Dst/Epm2aip1/Epn1/Esyt1/Esyt2/Exoc1/Gnao1/Gnb1/Gng3/Gphn/Hck/Kcnab2/Mtss1/Mtss2/Prmt8/Ptk2b/Ryr2/Snap25/Snx9/Stac/Stac2/Syap1",44
"GO:0030132","GO:0030132","clathrin coat of coated pit","10/1390","17/9913",2.16066471112324e-05,0.000205263147556708,0.000142332412209816,"Eps15l1/Synj1/Eps15/Cltc/Ap2a2/Ap2b1/Picalm/Sgip1/Snap91/Tbc1d5",10
"GO:0005583","GO:0005583","fibrillar collagen trimer","7/1390","10/9913",8.54732683486363e-05,0.000740349339078629,0.000513368856335463,"Lum/Col1a2/Col1a1/Col5a1/Col11a1/Col3a1/Col2a1",7
"GO:0098643","GO:0098643","banded collagen fibril","7/1390","10/9913",8.54732683486363e-05,0.000740349339078629,0.000513368856335463,"Lum/Col1a2/Col1a1/Col5a1/Col11a1/Col3a1/Col2a1",7
"GO:0043204","GO:0043204","perikaryon","29/1390","101/9913",8.76778447042112e-05,0.000748438413489571,0.000518977936616841,"Map1b/Nefm/Hspa8/Nefh/Pcmt1/Anxa5/Rufy3/Fus/Kif5a/Ass1/Arpc2/Shtn1/Got2/Ppp1ca/Asl/Camk2b/Ckap5/Dip2b/Eno2/Hdac6/Hspb1/Kcna2/Map2k1/Map2k4/Mapk9/Ncdn/Septin4/Sirt2/Syap1",29
"GO:0098858","GO:0098858","actin-based cell projection","41/1390","163/9913",0.000101367848987249,0.000829245320187353,0.000575010605366264,"Palm/Atp6v1a/Map2/Rufy3/Nf2/Dbn1/Dync1h1/Tubb3/Atp6v1b2/Lcp1/Jam3/Shtn1/Cfl1/Msn/Exoc4/Pls3/Cdc42/Abi1/Amn1/Apbb1/Calb2/Cd44/Cnp/Coro1a/Enah/Fgd4/Fgf13/Mtm1/Myo1e/Nedd4/Pafah1b1/Pvalb/Rdx/Slc9a3r1/Snap25/Srcin1/Stard10/Twf1/Twf2/Vamp7/Vasp",41
"GO:0030016","GO:0030016","myofibril","43/1390","174/9913",0.000107381785738956,0.000854700970273585,0.000592661918445449,"Sptan1/Sptbn1/Ppp3ca/Synm/Atp2b4/Ank3/Bag3/Anxa5/Nebl/Ank2/Calm1/Tmod1/Plec/Vcl/Myl12b/Pdlim1/Csrp1/Pdlim5/Tpm2/Tpm1/Ablim2/Acta1/Ank1/Arf1/Bin1/Cab39/Dst/Glrx3/Habp4/Hspb1/Ilk/Ldb3/Mtm1/Pak1/Palld/Ppp1r12a/Ryr2/Stub1/Sync/Synpo/Tmod2/Twf1/Twf2",43
