"","GeneID","explant.logFC","explant.AveExpr","explant.t","explant.P.Value","explant.adj.P.Val","explant.B","yang.logFC","yang.AveExpr","yang.adj.P.Val"
"1","Abat",0.316020687962627,17.4419579098199,4.89090091755021,0.000196951030696846,0.00171959572785372,0.297307463652305,0.444672393,21.89583886,0.04377365438
"2","Abca6",0.711795135599301,15.6021225042424,8.89108650478528,2.32927958788968e-07,9.70533161620701e-06,7.20695998111258,0.6068531021,19.54878807,0.01394326314
"3","Abcb1a",0.56242400725999,16.2906560302299,6.8534372725059,5.5354803729012e-06,0.000108893614946249,3.95500167184399,0.4935674595,20.82072817,0.03286577447
"4","Abcb8",0.273018395029784,15.4157720387614,3.67424789857409,0.00226196759906542,0.0114394854976336,-2.16665370407669,0.8910844204,17.61214053,0.008015061918
"5","Abcc1",-0.452973671496384,14.1509744276155,-6.05059720901451,2.24050610770904e-05,0.000321296286956363,2.51974286008271,1.774880976,16.80816646,0.01678423999
"6","Abracl",-0.224719790518309,14.9219639559945,-0.992428069498886,0.336761394351244,0.481454528714131,-6.7586260531249,-0.7249175532,21.14029458,0.003318238373
"7","Acad10",0.157424526719119,15.5011522725688,1.39302877005151,0.183955210343587,0.309897591549169,-6.2965871603279,0.4863267088,20.92253826,0.01470795072
"8","Acbd3",0.218580704287973,16.0875157455201,2.82755068155934,0.0127516689266432,0.0424301317434888,-3.86838952587005,-0.4372757719,20.49327945,0.01229594587
"9","Ace",0.0923883180999976,12.6718749360497,0.547032153779992,0.592419143892075,0.713528758501777,-7.10762307598281,0.6073995159,20.79439177,0.008587093233
"10","Acin1",-0.0593439069959416,17.3279336645507,-0.993668243609677,0.336176684442926,0.48116891857289,-6.75739973276854,-0.9187919166,19.95343942,0.004064431837
"11","Acot11",0.273215398173505,15.5834671831434,2.40154866724802,0.0297651085030487,0.0789672671486258,-4.67741460828221,0.6516708168,19.75076264,0.01231833313
"12","Actl6a",-0.0838937615108222,16.3334068006413,-1.34215488680736,0.199549736828745,0.329072785007825,-6.36220791644013,-0.5830779237,20.06867272,0.00321025711
"13","Actr10",0.1996996671645,15.8327307508347,1.77064512680059,0.0969759979360049,0.192953213205287,-5.75457481863581,0.5161363171,19.60256687,0.01431408133
"14","Ada",-0.0568497474835858,14.2689349426059,-0.470363577986619,0.644875529066857,0.756067917461533,-7.14831919592638,-3.624841086,17.98586226,0.005009641901
"15","Adam22",-0.00735646011346169,15.0121474689268,-0.0899590461598232,0.92951243807585,0.95826024543902,-7.26060569686718,0.3576765463,21.05820361,0.0356390811
"16","Adam23",-0.11853563852295,15.6181193921498,-1.182366786037,0.255502008390657,0.392837603992292,-6.55557972977427,0.5016896432,21.35180149,0.01438341093
"17","Adipoq",0.591903880777327,15.4318446685665,2.61376112553856,0.0195807571042633,0.0585548956467204,-4.28049503718791,0.674562018,21.25189466,0.01626851826
"18","Adpgk",-0.102259103864698,15.545669847844,-1.59364645980296,0.131907949884597,0.24170770196298,-6.02009074918016,-0.5059431386,21.99228399,0.0195242349
"19","Adss1",-0.530230414655518,15.238185229755,-5.74307528071901,3.91850090437741e-05,0.000488997617018812,1.94677353301502,0.8905057357,24.02422125,0.01294541496
"20","Aebp1",-0.824424189644557,15.5939055210355,-6.91510503124957,4.98999642754515e-06,0.000102646319935192,4.06157077321649,0.3162712333,20.06388377,0.0195242349
"21","Afap1l2",0.185941264250513,14.0632412028432,2.51148258670186,0.0239839988301009,0.0675986438277929,-4.47349000228011,-0.664908009,19.1282624,0.01479274092
"22","Afm",0.648281513393071,12.8338598683547,3.09756842708894,0.00736852616056542,0.0278548115948794,-3.3347232452453,0.5135690841,21.86892852,0.01051296949
"23","Agpat4",0.0779286425685513,19.4373976893483,0.759963852734679,0.45907919409717,0.598590743346449,-6.96410869317099,0.410498377,19.57219688,0.0195242349
"24","Aimp1",0.384496999979682,17.8740503037155,3.72591415407476,0.0020350522571976,0.010555250296668,-2.06111083350316,-0.3594482912,22.94135876,0.02016224319
"25","Ak1",0.0896662894977887,16.9169325446775,0.667618262761821,0.514539246045106,0.648687904746729,-7.03176670612643,0.3774737731,25.5817302,0.03014462534
"26","Akr7a2",0.109334284859495,15.8644588964689,1.49542595858509,0.155586370072881,0.272321534549967,-6.15889180329661,0.248510085,21.82979039,0.03430492681
