Gene,Tissue,Common.Unique
Dpysl3,paw,Common
Drg2,paw,Common
Dsc1,paw,Common
Dst,paw,Common
Dusp3,paw,Common
Dync1h1,paw,Common
Dync1i2,paw,Common
Dync1li1,paw,Common
Dync1li2,paw,Common
Ecm1,paw,Common
Efemp1,paw,Common
Efl1,paw,Common
Efr3a,paw,Common
Ehbp1,paw,Common
Ehd1,paw,Common
Ehd3,paw,Common
Ehd4,paw,Common
Eif4b,paw,Common
Eif4g2,paw,Common
Eif4g3,paw,Common
Eif5,paw,Common
Elp4,paw,Common
Eml1,paw,Common
Enah,paw,Common
Epb41l1,paw,Common
Epb41l3,paw,Common
Epn2,paw,Common
Eps15,paw,Common
Eps15l1,paw,Common
Ermp1,paw,Common
Esyt1,paw,Common
Esyt2,paw,Common
Etfa,paw,Common
Ewsr1,paw,Common
Exoc3,paw,Common
Exoc4,paw,Common
Exosc5,paw,Common
Fam114a2,paw,Common
FAM120A,paw,Common
Fbln5,paw,Common
Fbn1,paw,Common
Fermt2,paw,Common
Fga,paw,Common
Fhl1,paw,Common
Fkbp15,paw,Common
Flg,paw,Common
Flot1,paw,Common
Flot2,paw,Common
Fmnl1,paw,Common
Fn1,paw,Common
Fnbp1,paw,Common
Fry,paw,Common
Fubp1,paw,Common
Gab1,paw,Common
Gak,paw,Common
Gapvd1,paw,Common
Gbe1,paw,Common
Git1,paw,Common
Glmn,paw,Common
Glo1,paw,Common
Glod4,paw,Common
Glrx3,paw,Common
Gls,paw,Common
Glud1,paw,Common
Gmds,paw,Common
Gnai2,paw,Common
Gnao1,paw,Common
Gorasp2,paw,Common
Gphn,paw,Common
Grk2,paw,Common
Gsk3b,paw,Common
H1-2,paw,Common
Hgs,paw,Common
Hk1,paw,Common
Hmox2,paw,Common
Hs1bp3,paw,Common
Hspa12a,paw,Common
Hspe1,paw,Common
Hspg2,paw,Common
Hsph1,paw,Common
Huwe1,paw,Common
Idh1,paw,Common
Impa1,paw,Common
Ip6k1,paw,Common
Ipo7,paw,Common
Iqcb1,paw,Common
Irgq,paw,Common
Itgb1,paw,Common
Itsn2,paw,Common
Jpt1,paw,Common
Jund,paw,Common
Katnb1,paw,Common
Kif21a,paw,Common
Kif5b,paw,Common
Klc1,paw,Common
Klc2,paw,Common
Kng1,paw,Common
Kpna3,paw,Common
Krt25,paw,Common
Krt31,paw,Common
Krt80,paw,Common
L1cam,paw,Common
Lama3,paw,Common
Larp1,paw,Common
Lasp1,paw,Common
Lcp1,paw,Common
Ldha,paw,Common
Letm1,paw,Common
Lgals8,paw,Common
Lmnb2,paw,Common
Lnpk,paw,Common
Loxl1,paw,Common
Lrsam1,paw,Common
Luc7l,paw,Common
Lum,paw,Common
Luzp1,paw,Common
Lypla2,paw,Common
Lzic,paw,Common
Lztfl1,paw,Common
Madd,paw,Common
Magi3,paw,Common
Mal2,paw,Common
Map1a,paw,Common
Map1b,paw,Common
Map3k3,paw,Common
Map4,paw,Common
Map6,paw,Common
Map7,paw,Common
Map7d1,paw,Common
Mapk3,paw,Common
Mapre1,paw,Common
Mapt,paw,Common
Mdh2,paw,Common
Mfap2,paw,Common
Mical1,paw,Common
Mical3,paw,Common
Mindy1,paw,Common
Mink1,paw,Common
Mks1,paw,Common
Mob1a,paw,Common
Mon2,paw,Common
Mpp1,paw,Common
Mprip,paw,Common
Mtarc2,paw,Common
Mup1,paw,Common
Myh9,paw,Common
Myl12b,paw,Common
Myo18a,paw,Common
Myo1e,paw,Common
Nap1l1,paw,Common
Nap1l4,paw,Common
Napg,paw,Common
NARS1,paw,Common
Ncam1,paw,Common
Ncor2,paw,Common
Ndrg3,paw,Common
Ndufaf2,paw,Common
Ndufaf7,paw,Common
Necap1,paw,Common
Necap2,paw,Common
Nedd4,paw,Common
Nedd4l,paw,Common
Nefh,paw,Common
Nefl,paw,Common
Nefm,paw,Common
Nek7,paw,Common
Nek9,paw,Common
Nolc1,paw,Common
Nsf,paw,Common
Nudc,paw,Common
Nudt5,paw,Common
Numb,paw,Common
Numbl,paw,Common
Ola1,paw,Common
Osbpl3,paw,Common
Oxr1,paw,Common
Oxsr1,paw,Common
Pa2g4,paw,Common
Pacs1,paw,Common
Pacs2,paw,Common
Pacsin1,paw,Common
Pafah1b1,paw,Common
Paics,paw,Common
Paip1,paw,Common
Palld,paw,Common
Palm,paw,Common
Palm2,paw,Common
Palmd,paw,Common
Park7,paw,Common
Pccb,paw,Common
Pcmt1,paw,Common
Pcyt2,paw,Common
Pdcd6ip,paw,Common
Pdlim5,paw,Common
Pdxdc1,paw,Common
Pdzd8,paw,Common
Pebp1,paw,Common
Pex14,paw,Common
Pfkm,paw,Common
Pfkp,paw,Common
Pgm2l1,paw,Common
Pgrmc2,paw,Common
Phaf1,paw,Common
Phb,paw,Common
Phb2,paw,Common
Phf24,paw,Common
Phldb1,paw,Common
Pik3c3,paw,Common
Pitpnm2,paw,Common
Plaa,paw,Common
Plcb3,paw,Common
Plec,paw,Common
Plpp3,paw,Common
Pls3,paw,Common
Plscr3,paw,Common
Postn,paw,Common
Ppid,paw,Common
Ppip5k1,paw,Common
Ppip5k2,paw,Common
Ppm1b,paw,Common
Ppp1ca,paw,Common
Ppp1cc,paw,Common
Ppp1r18,paw,Common
Ppp1r2,paw,Common
Ppp3ca,paw,Common
Ppp6r1,paw,Common
Ppp6r2,paw,Common
Ppp6r3,paw,Common
Praf2,paw,Common
Prkar2a,paw,Common
Prkar2b,paw,Common
Prkcd,paw,Common
Prkg1,paw,Common
Prom2,paw,Common
Prph,paw,Common
Prune1,paw,Common
Prxl2b,paw,Common
Psmc3,paw,Common
Psmd14,paw,Common
Psme1,paw,Common
Ptpn12,paw,Common
Ptpn23,paw,Common
Pygb,paw,Common
Rab11b,paw,Common
Rab11fip5,paw,Common
Rab15,paw,Common
Rab21,paw,Common
Rab23,paw,Common
Rab3c,paw,Common
Rab3gap2,paw,Common
Rab5c,paw,Common
Rab6b,paw,Common
Rabgap1l,paw,Common
Rabl6,paw,Common
Rad50,paw,Common
Rala,paw,Common
Ranbp2,paw,Common
Ranbp9,paw,Common
Rcc2,paw,Common
Reep5,paw,Common
Relch,paw,Common
Reps1,paw,Common
Rer1,paw,Common
Rexo2,paw,Common
Rheb,paw,Common
Rint1,paw,Common
Rnf214,paw,Common
Rpa1,paw,Common
Rph3a,paw,Common
Rpl5,paw,Common
Rps12,paw,Common
Rps23,paw,Common
Rps6ka3,paw,Common
Rtn1,paw,Common
Rtn3,paw,Common
Rtn4,paw,Common
Rufy3,paw,Common
Ruvbl1,paw,Common
Ruvbl2,paw,Common
S100a16,paw,Common
S100a6,paw,Common
Sars1,paw,Common
Scel,paw,Common
Scfd1,paw,Common
Scfd2,paw,Common
Scrn3,paw,Common
Scyl1,paw,Common
Scyl2,paw,Common
Sdha,paw,Common
Sec22b,paw,Common
Sec23ip,paw,Common
Septin3,paw,Common
Septin4,paw,Common
Septin5,paw,Common
Septin7,paw,Common
Serpina1d,paw,Common
Sestd1,paw,Common
Sf3b3,paw,Common
Sh3gl1,paw,Common
Sh3glb2,paw,Common
Shc1,paw,Common
Skt,paw,Common
Slain2,paw,Common
Slc12a2,paw,Common
Slc25a4,paw,Common
Slc25a46,paw,Common
Slc25a5,paw,Common
Slc27a4,paw,Common
Slk,paw,Common
Smap1,paw,Common
Smap2,paw,Common
Snap25,paw,Common
Snap29,paw,Common
Snap47,paw,Common
Snap91,paw,Common
Sncb,paw,Common
Sncg,paw,Common
Snupn,paw,Common
Snx1,paw,Common
Snx11,paw,Common
Snx2,paw,Common
Snx9,paw,Common
Sorbs1,paw,Common
Sptan1,paw,Common
Sptbn1,paw,Common
Srcin1,paw,Common
Srpra,paw,Common
St13,paw,Common
Stam,paw,Common
Stam2,paw,Common
Stat3,paw,Common
Stat6,paw,Common
Stip1,paw,Common
Stk24,paw,Common
Stmn1,paw,Common
Strada,paw,Common
Strn,paw,Common
Strn3,paw,Common
Stx7,paw,Common
Stxbp1,paw,Common
Sugt1,paw,Common
Supt16h,paw,Common
Syn1,paw,Common
Syn2,paw,Common
Synj1,paw,Common
Synm,paw,Common
Syp,paw,Common
Tacc2,paw,Common
Tagln3,paw,Common
Tanc1,paw,Common
Tbc1d22a,paw,Common
Tbc1d8b,paw,Common
Tbc1d9b,paw,Common
Tbcb,paw,Common
Tcerg1,paw,Common
Tcof1,paw,Common
Tcp1,paw,Common
Tex2,paw,Common
Tgm2,paw,Common
Tigar,paw,Common
Timm44,paw,Common
Tiprl,paw,Common
Tln2,paw,Common
Tmed10,paw,Common
Tmem263,paw,Common
Tmem79,paw,Common
Tmod1,paw,Common
Tmod2,paw,Common
Tns2,paw,Common
Tom1,paw,Common
Tom1l2,paw,Common
Tomm20,paw,Common
Tpd52,paw,Common
Tpd52l2,paw,Common
Tppp3,paw,Common
Tpr,paw,Common
Trappc12,paw,Common
Trappc9,paw,Common
Trarg1,paw,Common
Trim56,paw,Common
Ttc1,paw,Common
Tuba4a,paw,Common
Tubb3,paw,Common
Tubb4a,paw,Common
Tubb5,paw,Common
Txn,paw,Common
Txnl1,paw,Common
Uba1,paw,Common
Uba6,paw,Common
Ubash3b,paw,Common
Ube2o,paw,Common
Ubl4a,paw,Common
Uhrf1bp1l,paw,Common
Uqcrc2,paw,Common
Usp14,paw,Common
Usp15,paw,Common
Usp5,paw,Common
Usp7,paw,Common
Utp14a,paw,Common
Vapb,paw,Common
Vcpip1,paw,Common
Vdac1,paw,Common
Vipas39,paw,Common
Vps13a,paw,Common
Vps13c,paw,Common
Vps37a,paw,Common
Vps4b,paw,Common
Vps8,paw,Common
Vsnl1,paw,Common
Vwa5a,paw,Common
Washc2,paw,Common
Wasl,paw,Common
Wbp2,paw,Common
Wdr44,paw,Common
Wdr7,paw,Common
Wipi2,paw,Common
Wnk1,paw,Common
Wrnip1,paw,Common
Ykt6,paw,Common
Zc2hc1a,paw,Common
Zfyve16,paw,Common
Znf185,paw,Common
Lpcat1,paw,Unique
Stmn2,paw,Unique
Tbc1d8,paw,Unique
TurboID,paw,Unique
Actb,paw,Unique
Katnal2,paw,Unique
Pcdh12,paw,Unique
Smurf1,paw,Unique
Eln,paw,Unique
Ahsa2,paw,Unique
Amph,paw,Unique
Arfgef3,paw,Unique
Arhgap28,paw,Unique
Arhgap44,paw,Unique
Caskin1,paw,Unique
Cplx1,paw,Unique
Cyld,paw,Unique
Dgkh,paw,Unique
Diras2,paw,Unique
Dnajc6,paw,Unique
Fmn2,paw,Unique
Fnbp1l,paw,Unique
Gabbr1,paw,Unique
Gga3,paw,Unique
Gprin1,paw,Unique
H3-3a,paw,Unique
Impact,paw,Unique
Jcad,paw,Unique
Katnal1,paw,Unique
Kcna2,paw,Unique
Kctd16,paw,Unique
Kif5a,paw,Unique
Kif5c,paw,Unique
Krt20,paw,Unique
Map7d2,paw,Unique
Mast1,paw,Unique
Mctp2,paw,Unique
Med15,paw,Unique
Mtss1,paw,Unique
Ncoa7,paw,Unique
Nsun5,paw,Unique
Osmr,paw,Unique
Pclo,paw,Unique
Pex5l,paw,Unique
Pitpnm1,paw,Unique
Ppp4r4,paw,Unique
Prkcq,paw,Unique
Prmt8,paw,Unique
Prune2,paw,Unique
Rab11fip2,paw,Unique
Rap1gap2,paw,Unique
Reps2,paw,Unique
Rgs3,paw,Unique
Rimkla,paw,Unique
Rufy2,paw,Unique
Rundc3a,paw,Unique
Scn10a,paw,Unique
Scn11a,paw,Unique
Sgip1,paw,Unique
Sh3bp4,paw,Unique
Shc2,paw,Unique
Smcr8,paw,Unique
Soga3,paw,Unique
Srgap3,paw,Unique
Stbd1,paw,Unique
Syt7,paw,Unique
Tdrp,paw,Unique
Thsd7a,paw,Unique
Trpv1,paw,Unique
Wipf3,paw,Unique
Aacs,SCN,Common
Aak1,SCN,Common
Aars1,SCN,Common
Aatk,SCN,Common
Abcd3,SCN,Common
Abcf2,SCN,Common
Abcf3,SCN,Common
Abhd10,SCN,Common
Abhd12,SCN,Common
Abi1,SCN,Common
Ablim1,SCN,Common
Ablim2,SCN,Common
Ablim3,SCN,Common
Abr,SCN,Common
Abraxas2,SCN,Common
Abtb2,SCN,Common
Acap2,SCN,Common
Acat2,SCN,Common
Acbd5,SCN,Common
Acly,SCN,Common
Aco2,SCN,Common
Acot7,SCN,Common
Acot9,SCN,Common
Acp1,SCN,Common
Acss2,SCN,Common
Acta1,SCN,Common
Actr10,SCN,Common
Actr2,SCN,Common
Acyp2,SCN,Common
Adam22,SCN,Common
Add1,SCN,Common
Add2,SCN,Common
Adsl,SCN,Common
Adss2,SCN,Common
Afdn,SCN,Common
Aftph,SCN,Common
Agap1,SCN,Common
Agap3,SCN,Common
Agfg1,SCN,Common
Agfg2,SCN,Common
Agtpbp1,SCN,Common
Ahcy,SCN,Common
Ahcyl1,SCN,Common
Ahsa1,SCN,Common
Ahsa2,SCN,Common
Aip,SCN,Common
Akap10,SCN,Common
Akap12,SCN,Common
Akap13,SCN,Common
Akr7a2,SCN,Common
Akt3,SCN,Common
Alb,SCN,Common
Aldh9a1,SCN,Common
Alkbh3,SCN,Common
Amn1,SCN,Common
Ampd2,SCN,Common
Ampd3,SCN,Common
Amph,SCN,Common
Ank1,SCN,Common
Ank2,SCN,Common
Ank3,SCN,Common
Ankle2,SCN,Common
Ankrd13d,SCN,Common
Ankrd17,SCN,Common
Ano8,SCN,Common
Anxa2,SCN,Common
Anxa5,SCN,Common
Anxa6,SCN,Common
Aox1,SCN,Common
Ap1b1,SCN,Common
Ap2a2,SCN,Common
Ap2b1,SCN,Common
Ap3b2,SCN,Common
Ap3d1,SCN,Common
Ap3s1,SCN,Common
Ap3s2,SCN,Common
Apbb1,SCN,Common
Apbb1ip,SCN,Common
Appl1,SCN,Common
Aqp1,SCN,Common
Araf,SCN,Common
Arap1,SCN,Common
Arcn1,SCN,Common
Arf1,SCN,Common
Arf4,SCN,Common
Arfgap1,SCN,Common
Arfgap2,SCN,Common
Arfgap3,SCN,Common
Arfgef1,SCN,Common
Arfgef3,SCN,Common
Arfip2,SCN,Common
Arhgap1,SCN,Common
Arhgap12,SCN,Common
Arhgap17,SCN,Common
Arhgap27,SCN,Common
Arhgap28,SCN,Common
Arhgap31,SCN,Common
Arhgap32,SCN,Common
Arhgap35,SCN,Common
Arhgap39,SCN,Common
Arhgap44,SCN,Common
Arhgdia,SCN,Common
Arhgef18,SCN,Common
Arhgef6,SCN,Common
Arhgef7,SCN,Common
Arl15,SCN,Common
Arl2,SCN,Common
Arl3,SCN,Common
Armc6,SCN,Common
Armcx2,SCN,Common
Arpc1b,SCN,Common
Arpc2,SCN,Common
Arpc5,SCN,Common
Arpin,SCN,Common
Arpp19,SCN,Common
Arrb2,SCN,Common
As3mt,SCN,Common
Asap1,SCN,Common
Asl,SCN,Common
Aspscr1,SCN,Common
Asrgl1,SCN,Common
Ass1,SCN,Common
Atad1,SCN,Common
Atg2a,SCN,Common
Atg2b,SCN,Common
Atg3,SCN,Common
Atic,SCN,Common
Atl1,SCN,Common
Atp1a1,SCN,Common
Atp1a2,SCN,Common
Atp1a3,SCN,Common
Atp1b1,SCN,Common
Atp2b1,SCN,Common
Atp2b2,SCN,Common
Atp2b4,SCN,Common
Atp5f1a,SCN,Common
Atp5f1b,SCN,Common
Atp6v1a,SCN,Common
Atp6v1b2,SCN,Common
Atp6v1h,SCN,Common
Atp8a1,SCN,Common
Atp9a,SCN,Common
Atxn10,SCN,Common
Atxn2l,SCN,Common
Aven,SCN,Common
Avil,SCN,Common
Bag3,SCN,Common
Baiap2l1,SCN,Common
Basp1,SCN,Common
Baz2a,SCN,Common
Bcam,SCN,Common
Bcap31,SCN,Common
Bcar1,SCN,Common
Bcas3,SCN,Common
Bcat1,SCN,Common
Bcl2l13,SCN,Common
Bcl2l2,SCN,Common
Bcr,SCN,Common
Bgn,SCN,Common
Bicd1,SCN,Common
Bin1,SCN,Common
Birc2,SCN,Common
Birc6,SCN,Common
Bola1,SCN,Common
Borcs5,SCN,Common
Borcs6,SCN,Common
Bpnt1,SCN,Common
Braf,SCN,Common
Brap,SCN,Common
Brcc3,SCN,Common
Brsk2,SCN,Common
Bsdc1,SCN,Common
C2cd2,SCN,Common
C2cd2l,SCN,Common
Cab39,SCN,Common
Cab39l,SCN,Common
Cacnb1,SCN,Common
Cacnb3,SCN,Common
Cacul1,SCN,Common
Cacybp,SCN,Common
Cadm1,SCN,Common
Cadm3,SCN,Common
Cadm4,SCN,Common
Cadps,SCN,Common
Calb2,SCN,Common
Calm1,SCN,Common
Camk1d,SCN,Common
Camk2b,SCN,Common
Camk2d,SCN,Common
Camk2g,SCN,Common
Camkk1,SCN,Common
Camlg,SCN,Common
Camsap1,SCN,Common
Camsap2,SCN,Common
Camsap3,SCN,Common
Cap1,SCN,Common
Capg,SCN,Common
Capns1,SCN,Common
Capza2,SCN,Common
Capzb,SCN,Common
Carmil2,SCN,Common
Caskin1,SCN,Common
Casp3,SCN,Common
Casp9,SCN,Common
Cast,SCN,Common
Cat,SCN,Common
Cbl,SCN,Common
Cblb,SCN,Common
Cbwd1,SCN,Common
Cc2d1a,SCN,Common
Cc2d1b,SCN,Common
Ccdc124,SCN,Common
Ccdc22,SCN,Common
Ccdc43,SCN,Common
Ccdc50,SCN,Common
Ccdc6,SCN,Common
Ccdc9,SCN,Common
Ccdc92,SCN,Common
Ccs,SCN,Common
Ccser2,SCN,Common
Cct6a,SCN,Common
Cct8,SCN,Common
Ccz1,SCN,Common
Cd151,SCN,Common
Cd200,SCN,Common
Cd2ap,SCN,Common
Cd44,SCN,Common
Cd82,SCN,Common
Cd9,SCN,Common
Cd99l2,SCN,Common
Cdc37,SCN,Common
Cdc37l1,SCN,Common
Cdc42,SCN,Common
Cdc42bpa,SCN,Common
Cdc42bpb,SCN,Common
Cdc42ep4,SCN,Common
Cdk14,SCN,Common
Cdkn1b,SCN,Common
Cdv3,SCN,Common
Cend1,SCN,Common
Cep170,SCN,Common
Cep170b,SCN,Common
Cep41,SCN,Common
Cfap36,SCN,Common
Cfl1,SCN,Common
Chmp1a,SCN,Common
Chmp2b,SCN,Common
Chmp3,SCN,Common
Chmp4b,SCN,Common
Chmp5,SCN,Common
Chmp7,SCN,Common
Chordc1,SCN,Common
Ciao3,SCN,Common
Ciapin1,SCN,Common
Cisd1,SCN,Common
Ckap5,SCN,Common
Ckb,SCN,Common
Ckm,SCN,Common
Clasp1,SCN,Common
Clasp2,SCN,Common
Clic1,SCN,Common
Clint1,SCN,Common
Clip1,SCN,Common
Clip2,SCN,Common
Cltc,SCN,Common
Clybl,SCN,Common
Cmpk1,SCN,Common
Cmtm5,SCN,Common
Cndp2,SCN,Common
Cnksr2,SCN,Common
Cnn3,SCN,Common
Cnp,SCN,Common
Cnst,SCN,Common
Cntn1,SCN,Common
Cntnap1,SCN,Common
Cog1,SCN,Common
Col11a1,SCN,Common
Col1a1,SCN,Common
Col1a2,SCN,Common
Col2a1,SCN,Common
Col3a1,SCN,Common
Col4a2,SCN,Common
Col5a1,SCN,Common
Col6a1,SCN,Common
Commd10,SCN,Common
Commd2,SCN,Common
Comt,SCN,Common
Copb2,SCN,Common
Cops3,SCN,Common
Cops5,SCN,Common
Cops7a,SCN,Common
Copz1,SCN,Common
Coro1a,SCN,Common
Coro1b,SCN,Common
Coro1c,SCN,Common
Coro2a,SCN,Common
Coro7,SCN,Common
Cox5b,SCN,Common
Cpeb2,SCN,Common
Cplx1,SCN,Common
Cplx2,SCN,Common
Cpne1,SCN,Common
Cpne3,SCN,Common
Cpne6,SCN,Common
Cpt1a,SCN,Common
Cracd,SCN,Common
Crip2,SCN,Common
Crkl,SCN,Common
Crmp1,SCN,Common
Crtc1,SCN,Common
Crtc2,SCN,Common
Cs,SCN,Common
Csdc2,SCN,Common
Csde1,SCN,Common
Csk,SCN,Common
Csnk1e,SCN,Common
Csrp1,SCN,Common
Cstf2,SCN,Common
Ctbp1,SCN,Common
Ctnnd1,SCN,Common
Ctps1,SCN,Common
Cttn,SCN,Common
Cttnbp2,SCN,Common
Cuedc2,SCN,Common
Cul4b,SCN,Common
Cul5,SCN,Common
Cyb5r1,SCN,Common
Cyb5r3,SCN,Common
Cyld,SCN,Common
Cyth1,SCN,Common
Czib,SCN,Common
Dab2ip,SCN,Common
Dbn1,SCN,Common
Dbnl,SCN,Common
Dbt,SCN,Common
Dclk1,SCN,Common
Dclk2,SCN,Common
Dctn1,SCN,Common
Dctn2,SCN,Common
Dctn3,SCN,Common
Dctn4,SCN,Common
Dctn6,SCN,Common
Ddhd1,SCN,Common
Ddi2,SCN,Common
Ddt,SCN,Common
Ddx1,SCN,Common
Ddx19a,SCN,Common
Ddx3x,SCN,Common
Ddx42,SCN,Common
Ddx6,SCN,Common
Decr1,SCN,Common
Dennd1b,SCN,Common
Dennd4c,SCN,Common
Deptor,SCN,Common
Dffa,SCN,Common
Dgkg,SCN,Common
Dgkh,SCN,Common
Dgki,SCN,Common
Dgkz,SCN,Common
Dhdh,SCN,Common
Dhrs1,SCN,Common
Diaph2,SCN,Common
Dip2a,SCN,Common
Dip2b,SCN,Common
Diras1,SCN,Common
Diras2,SCN,Common
Dis3l2,SCN,Common
Dld,SCN,Common
Dlg2,SCN,Common
Dlst,SCN,Common
Dmtn,SCN,Common
Dmxl2,SCN,Common
Dnajc6,SCN,Common
Dnajc7,SCN,Common
Dnm1,SCN,Common
Dnm1l,SCN,Common
Dnm3,SCN,Common
Dock11,SCN,Common
Dock3,SCN,Common
Dock5,SCN,Common
Dock7,SCN,Common
Dock9,SCN,Common
Dok1,SCN,Common
Dpysl2,SCN,Common
Dpysl3,SCN,Common
Dpysl4,SCN,Common
Dpysl5,SCN,Common
Drg2,SCN,Common
Dst,SCN,Common
Dstn,SCN,Common
Dtna,SCN,Common
Dusp3,SCN,Common
Dvl3,SCN,Common
Dync1h1,SCN,Common
Dync1i1,SCN,Common
Dync1i2,SCN,Common
Dync1li1,SCN,Common
Dync1li2,SCN,Common
Dzank1,SCN,Common
Echdc1,SCN,Common
Edc3,SCN,Common
Eea1,SCN,Common
Eef1a2,SCN,Common
Eef1akmt1,SCN,Common
Eef1b,SCN,Common
Eef1d,SCN,Common
Eef2,SCN,Common
Eepd1,SCN,Common
Efhd2,SCN,Common
Efl1,SCN,Common
Efr3a,SCN,Common
Efr3b,SCN,Common
Ehbp1,SCN,Common
Ehd1,SCN,Common
Ehd3,SCN,Common
Ehd4,SCN,Common
Eif2a,SCN,Common
Eif2ak2,SCN,Common
Eif2s2,SCN,Common
Eif3c,SCN,Common
Eif3f,SCN,Common
Eif3h,SCN,Common
Eif3m,SCN,Common
Eif4a1,SCN,Common
Eif4b,SCN,Common
Eif4g1,SCN,Common
Eif4g2,SCN,Common
Eif4g3,SCN,Common
Eif4h,SCN,Common
Eif5,SCN,Common
Eif5a,SCN,Common
Eif5a2,SCN,Common
Elp4,SCN,Common
Emd,SCN,Common
Eml1,SCN,Common
Eml2,SCN,Common
Eml4,SCN,Common
Enah,SCN,Common
Eno1,SCN,Common
Eno2,SCN,Common
Ensa,SCN,Common
Entpd2,SCN,Common
Epb41,SCN,Common
Epb41l1,SCN,Common
Epb41l3,SCN,Common
Epm2aip1,SCN,Common
Epn1,SCN,Common
Epn2,SCN,Common
Eps15,SCN,Common
Eps15l1,SCN,Common
Erc1,SCN,Common
Ermp1,SCN,Common
Esyt1,SCN,Common
Esyt2,SCN,Common
Etf1,SCN,Common
Etfa,SCN,Common
Exoc1,SCN,Common
Exoc3,SCN,Common
Exoc4,SCN,Common
Exoc8,SCN,Common
Fam102b,SCN,Common
Fam107b,SCN,Common
Fam114a1,SCN,Common
Fam114a2,SCN,Common
Fam117b,SCN,Common
Fam126b,SCN,Common
Fasn,SCN,Common
Fbln5,SCN,Common
Fbn1,SCN,Common
Fbxl16,SCN,Common
Fbxo30,SCN,Common
Fchsd1,SCN,Common
Fdps,SCN,Common
Fermt2,SCN,Common
Fgd4,SCN,Common
Fgf13,SCN,Common
Fgg,SCN,Common
Fhip2a,SCN,Common
Fhl1,SCN,Common
Fkbp15,SCN,Common
Fkbp3,SCN,Common
Fkbp4,SCN,Common
Fkbp8,SCN,Common
Flot1,SCN,Common
Flot2,SCN,Common
Fmnl1,SCN,Common
Fn3krp,SCN,Common
Fnbp1,SCN,Common
Foxo3,SCN,Common
Frmd4a,SCN,Common
Fry,SCN,Common
Fsd1,SCN,Common
Fsd1l,SCN,Common
Fth1,SCN,Common
Fundc2,SCN,Common
Fus,SCN,Common
G6pdx,SCN,Common
Gab1,SCN,Common
Gab2,SCN,Common
Gak,SCN,Common
Gamt,SCN,Common
Gapdh,SCN,Common
Gapvd1,SCN,Common
Garnl3,SCN,Common
Gas2,SCN,Common
Gbe1,SCN,Common
Gclm,SCN,Common
Gdap1l1,SCN,Common
Gdi1,SCN,Common
Gdi2,SCN,Common
Gga1,SCN,Common
Gga3,SCN,Common
Git1,SCN,Common
Gjc3,SCN,Common
Glcci1,SCN,Common
Glmn,SCN,Common
Glo1,SCN,Common
Glod4,SCN,Common
Glrx3,SCN,Common
Gls,SCN,Common
Glud1,SCN,Common
Gmds,SCN,Common
Gnao1,SCN,Common
Gnb1,SCN,Common
Gng3,SCN,Common
Golga3,SCN,Common
Golga4,SCN,Common
Golph3,SCN,Common
Gopc,SCN,Common
Gorab,SCN,Common
Gorasp2,SCN,Common
Got2,SCN,Common
Gpcpd1,SCN,Common
Gphn,SCN,Common
Gpi,SCN,Common
Gpr89,SCN,Common
Grcc10,SCN,Common
Grhpr,SCN,Common
Gripap1,SCN,Common
Grk2,SCN,Common
Grsf1,SCN,Common
Gsdme,SCN,Common
Gsk3b,SCN,Common
Gsn,SCN,Common
Gspt1,SCN,Common
Gspt2,SCN,Common
Gstm5,SCN,Common
Gstp1,SCN,Common
Gyg1,SCN,Common
Hadhb,SCN,Common
Hba,SCN,Common
Hbb-b1,SCN,Common
Hbs1l,SCN,Common
Hcfc1,SCN,Common
Hck,SCN,Common
Hdac5,SCN,Common
Hdac6,SCN,Common
Hdlbp,SCN,Common
Hebp2,SCN,Common
Hecw1,SCN,Common
Hgs,SCN,Common
Hint3,SCN,Common
Hip1r,SCN,Common
Hk1,SCN,Common
Hmox2,SCN,Common
Hnrnpa0,SCN,Common
Hnrnpa1,SCN,Common
Hnrnpab,SCN,Common
Hnrnpk,SCN,Common
Hpcal1,SCN,Common
Hs1bp3,SCN,Common
Hsdl2,SCN,Common
Hsp90aa1,SCN,Common
Hsp90ab1,SCN,Common
Hspa12a,SCN,Common
Hspa4,SCN,Common
Hspa4l,SCN,Common
Hspa8,SCN,Common
Hspb1,SCN,Common
Hspe1,SCN,Common
Hspg2,SCN,Common
Hsph1,SCN,Common
Htatip2,SCN,Common
Ica1,SCN,Common
Idh1,SCN,Common
Ift22,SCN,Common
Igbp1,SCN,Common
Ikbkg,SCN,Common
Ilk,SCN,Common
Ilrun,SCN,Common
Impa1,SCN,Common
Impact,SCN,Common
Ina,SCN,Common
Inpp1,SCN,Common
Inpp5f,SCN,Common
Inpp5j,SCN,Common
Ip6k1,SCN,Common
Ipo7,SCN,Common
Iqcb1,SCN,Common
Iqsec1,SCN,Common
Irf3,SCN,Common
Irgq,SCN,Common
Irs2,SCN,Common
Iscu,SCN,Common
Ist1,SCN,Common
Isyna1,SCN,Common
Itpk1,SCN,Common
Itsn1,SCN,Common
Itsn2,SCN,Common
Jam3,SCN,Common
Jmy,SCN,Common
Jpt1,SCN,Common
Jpt2,SCN,Common
Kank4,SCN,Common
Katnal1,SCN,Common
Katnb1,SCN,Common
Kcna1,SCN,Common
Kcna2,SCN,Common
Kcnab2,SCN,Common
Kiaa0513,SCN,Common
Kif1a,SCN,Common
Kif21a,SCN,Common
Kif2a,SCN,Common
Kif3b,SCN,Common
