"","NGenes","Direction","PValue","FDR"
"GOBP_POSITIVE_REGULATION_OF_AXON_EXTENSION_INVOLVED_IN_AXON_GUIDANCE",1,"Down",0.00392619597097965,0.434863996874453
"GOBP_REGULATION_OF_LUNG_BLOOD_PRESSURE",1,"Down",0.00392619597097965,0.434863996874453
"GOBP_TRICUSPID_VALVE_DEVELOPMENT",1,"Down",0.00392619597097965,0.434863996874453
"GOBP_TRICUSPID_VALVE_MORPHOGENESIS",1,"Down",0.00392619597097965,0.434863996874453
"GOBP_ENDOPLASMIC_RETICULUM_MEMBRANE_ORGANIZATION",8,"Up",0.0039575751445235,0.434863996874453
"GOBP_FUCOSYLATION",1,"Down",0.00396678973985062,0.434863996874453
"GOBP_LIPID_GLYCOSYLATION",1,"Down",0.00396678973985062,0.434863996874453
"GOBP_PROTEIN_O_LINKED_FUCOSYLATION",1,"Down",0.00396678973985062,0.434863996874453
"GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_OXIDATIVE_STRESS",7,"Up",0.00414317444265055,0.434863996874453
"GOBP_REGULATION_OF_PROTEIN_POLYMERIZATION",95,"Up",0.00415916085491971,0.434863996874453
"GOBP_NEGATIVE_REGULATION_OF_ORGANELLE_ORGANIZATION",117,"Up",0.00421573135095968,0.434863996874453
"GOBP_NEURON_PROJECTION_EXTENSION_INVOLVED_IN_NEURON_PROJECTION_GUIDANCE",3,"Down",0.0042417195384832,0.434863996874453
"GOBP_REGULATION_OF_LOCOMOTION_INVOLVED_IN_LOCOMOTORY_BEHAVIOR",1,"Down",0.00434609545858565,0.434863996874453
"GOBP_REGULATION_OF_CYTOSKELETON_ORGANIZATION",189,"Up",0.00441777707676107,0.434863996874453
"GOBP_CALCIUM_ACTIVATED_PHOSPHOLIPID_SCRAMBLING",3,"Down",0.0044683765438307,0.434863996874453
"GOBP_PROTEOGLYCAN_BIOSYNTHETIC_PROCESS",3,"Down",0.00453601455595389,0.434863996874453
"GOBP_PROTEOGLYCAN_METABOLIC_PROCESS",3,"Down",0.00453601455595389,0.434863996874453
"GOBP_POSTSYNAPTIC_CYTOSKELETON_ORGANIZATION",8,"Up",0.00487322050009116,0.434863996874453
"GOBP_NEGATIVE_REGULATION_OF_SUPRAMOLECULAR_FIBER_ORGANIZATION",66,"Up",0.00488886072422922,0.434863996874453
"GOBP_RESPONSE_TO_VITAMIN_K",1,"Down",0.0049322845481892,0.434863996874453
"GOBP_TUMOR_NECROSIS_FACTOR_MEDIATED_SIGNALING_PATHWAY",19,"Down",0.00500711192232346,0.434863996874453
"GOBP_BONE_TRABECULA_MORPHOGENESIS",1,"Down",0.00509143766514943,0.434863996874453
"GOBP_INHIBITORY_SYNAPSE_ASSEMBLY",1,"Down",0.00509143766514943,0.434863996874453
"GOBP_NEGATIVE_REGULATION_OF_AXON_EXTENSION_INVOLVED_IN_AXON_GUIDANCE",1,"Down",0.00509143766514943,0.434863996874453
"GOBP_NEGATIVE_REGULATION_OF_OSTEOBLAST_DIFFERENTIATION",1,"Down",0.00509143766514943,0.434863996874453
"GOBP_REGULATION_OF_ALKALINE_PHOSPHATASE_ACTIVITY",1,"Down",0.00509143766514943,0.434863996874453
"GOBP_POSTSYNAPSE_ASSEMBLY",3,"Down",0.00513746908226137,0.434863996874453
"GOBP_POSTSYNAPTIC_SPECIALIZATION_ASSEMBLY",3,"Down",0.00513746908226137,0.434863996874453
"GOBP_TYPE_I_PNEUMOCYTE_DIFFERENTIATION",2,"Down",0.00533917848059176,0.445876959665594
"GOBP_LIPID_DROPLET_FORMATION",5,"Down",0.0054009322166761,0.445876959665594
"GOBP_REGULATION_OF_FILOPODIUM_ASSEMBLY",20,"Up",0.00572578178438716,0.464170592757488
"GOBP_POSITIVE_REGULATION_OF_GLYCOPROTEIN_METABOLIC_PROCESS",8,"Down",0.00576135175697196,0.464170592757488
"GOBP_GALACTOSE_METABOLIC_PROCESS",2,"Down",0.0062675680468914,0.495883821900476
"GOBP_EMBRYONIC_EYE_MORPHOGENESIS",3,"Down",0.0063032936834964,0.495883821900476
"GOBP_NAD_BIOSYNTHESIS_VIA_NICOTINAMIDE_RIBOSIDE_SALVAGE_PATHWAY",1,"Down",0.00646410216018885,0.49637986310355
"GOBP_PYRIDINE_NUCLEOTIDE_BIOSYNTHETIC_PROCESS",1,"Down",0.00646410216018885,0.49637986310355
"GOBP_POST_GOLGI_VESICLE_MEDIATED_TRANSPORT",65,"Up",0.00656121052530704,0.49637986310355
"GOBP_NEGATIVE_REGULATION_OF_FIBROBLAST_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY",2,"Down",0.00665141181084655,0.49637986310355
"GOBP_REGULATION_OF_SYNAPSE_ASSEMBLY",20,"Down",0.00668075185872881,0.49637986310355
"GOBP_GLYCOPROTEIN_BIOSYNTHETIC_PROCESS",35,"Down",0.00698497581319261,0.508573742215769
"GOBP_CHONDROCYTE_PROLIFERATION",2,"Down",0.0070768047678929,0.508573742215769
"GOBP_VENTRICULAR_SEPTUM_MORPHOGENESIS",3,"Down",0.00714844330975305,0.508573742215769
"GOBP_PATHWAY_RESTRICTED_SMAD_PROTEIN_PHOSPHORYLATION",5,"Down",0.00714908505582209,0.508573742215769
"GOBP_CGMP_METABOLIC_PROCESS",2,"Down",0.0072572022704589,0.508915448815022
"GOBP_NUCLEOSIDE_DIPHOSPHATE_BIOSYNTHETIC_PROCESS",7,"Down",0.00731925917585006,0.508915448815022
"GOBP_REGULATION_OF_PRESYNAPSE_ORGANIZATION",7,"Down",0.00738220405788203,0.508915448815022
"GOBP_CYTOLYSIS",1,"Down",0.0075446618186949,0.509923069831507
"GOBP_LEUKOCYTE_AGGREGATION",2,"Down",0.00765553382981784,0.509923069831507
"GOBP_ANIMAL_ORGAN_MATURATION",4,"Down",0.0077019352834767,0.509923069831507
"GOBP_BONE_MATURATION",4,"Down",0.0077019352834767,0.509923069831507
"GOBP_TRANSCRIPTION_INITIATION_FROM_RNA_POLYMERASE_III_PROMOTER",3,"Down",0.00781651302481466,0.509923069831507
"GOBP_RNA_POLYMERASE_II_PREINITIATION_COMPLEX_ASSEMBLY",11,"Down",0.00785435564418203,0.509923069831507
"GOBP_POSITIVE_REGULATION_OF_TOLERANCE_INDUCTION",2,"Down",0.008307977214293,0.531084033517823
"GOBP_ENDOSOME_ORGANIZATION",50,"Up",0.00848562881070398,0.531084033517823
"GOBP_NEGATIVE_REGULATION_OF_MIRNA_TRANSCRIPTION",1,"Down",0.00858484452624964,0.531084033517823
"GOBP_TYPE_B_PANCREATIC_CELL_APOPTOTIC_PROCESS",4,"Up",0.00865098819536455,0.531084033517823
"GOBP_SKIN_EPIDERMIS_DEVELOPMENT",14,"Down",0.00874137507840056,0.531084033517823
"GOBP_REGULATION_OF_POSITIVE_CHEMOTAXIS",2,"Down",0.00875536909803522,0.531084033517823
"GOBP_XENOBIOTIC_TRANSMEMBRANE_TRANSPORT",2,"Down",0.00875840460733914,0.531084033517823
"GOBP_ACTIN_FILAMENT_BASED_TRANSPORT",7,"Up",0.00881566139082972,0.531084033517823
"GOBP_PYRIDINE_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS",2,"Down",0.00895431846400334,0.534620781864199
"GOBP_NEUROPEPTIDE_SIGNALING_PATHWAY",4,"Down",0.00911995141089817,0.536565053075192
"GOBP_POSITIVE_REGULATION_OF_PATHWAY_RESTRICTED_SMAD_PROTEIN_PHOSPHORYLATION",3,"Down",0.00914736295058649,0.536565053075192
"GOBP_PYRIDINE_CONTAINING_COMPOUND_METABOLIC_PROCESS",3,"Down",0.00954242964688076,0.55487153955384
"GOBP_ESTABLISHMENT_OF_ORGANELLE_LOCALIZATION",166,"Up",0.00980209891526918,0.565057202124181
"GOBP_POSITIVE_REGULATION_OF_TRANSCRIPTION_FROM_RNA_POLYMERASE_II_PROMOTER_INVOLVED_IN_CELLULAR_RESPONSE_TO_CHEMICAL_STIMULUS",5,"Down",0.0100078335183227,0.567607063552249
"GOBP_REGULATION_OF_SUPRAMOLECULAR_FIBER_ORGANIZATION",142,"Up",0.0100160959322813,0.567607063552249
"GOBP_OUTFLOW_TRACT_MORPHOGENESIS",9,"Down",0.0101638030237569,0.569980099432884
"GOBP_ARTERY_MORPHOGENESIS",7,"Down",0.010228445032443,0.569980099432884
"GOBP_RESPONSE_TO_UV_B",3,"Down",0.0104763684813749,0.578970876321936
"GOBP_STEROID_ESTERIFICATION",3,"Down",0.0108805842157163,0.596380874184382
"GOBP_GEPHYRIN_CLUSTERING_INVOLVED_IN_POSTSYNAPTIC_DENSITY_ASSEMBLY",1,"Down",0.0111792154430785,0.602866239256982
"GOBP_SYNAPTIC_MEMBRANE_ADHESION",1,"Down",0.0111792154430785,0.602866239256982
"GOBP_BONE_MORPHOGENESIS",7,"Down",0.0114981619583991,0.61510567212652
"GOBP_REGULATION_OF_TRIGLYCERIDE_METABOLIC_PROCESS",4,"Down",0.011777959946194,0.62506997999359
"GOBP_TRANSCRIPTION_PREINITIATION_COMPLEX_ASSEMBLY",14,"Down",0.0118713754238352,0.62506997999359
"GOBP_ENDOMEMBRANE_SYSTEM_ORGANIZATION",232,"Up",0.0122441768869964,0.639662584713631
"GOBP_ACTIVATION_OF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY",4,"Down",0.0125589892938258,0.645268849730186
"GOBP_VENOUS_BLOOD_VESSEL_DEVELOPMENT",3,"Down",0.0126917091361282,0.645268849730186
"GOBP_PYRIDINE_NUCLEOTIDE_METABOLIC_PROCESS",2,"Down",0.0126979570592466,0.645268849730186
"GOBP_EXTRACELLULAR_MATRIX_DISASSEMBLY",7,"Up",0.0127374739291737,0.645268849730186
"GOBP_CELL_PROLIFERATION_INVOLVED_IN_HEART_MORPHOGENESIS",2,"Down",0.013124520861875,0.65987722558916
"GOBP_ZINC_ION_TRANSPORT",7,"Down",0.0133306393563305,0.665238696834192
"GOBP_ADULT_LOCOMOTORY_BEHAVIOR",18,"Up",0.0136811606065858,0.674781870572751
"GOBP_LIPID_STORAGE",15,"Down",0.0137827667751166,0.674781870572751
"GOBP_CYTOSKELETON_ORGANIZATION",460,"Up",0.0138246024029411,0.674781870572751
"GOBP_ACTIVIN_RECEPTOR_SIGNALING_PATHWAY",5,"Down",0.0141409198941527,0.676489056319583
"GOBP_ERK1_AND_ERK2_CASCADE",52,"Down",0.0141571840353501,0.676489056319583
"GOBP_DENDRITIC_TRANSPORT",10,"Up",0.0141630728106388,0.676489056319583
"GOBP_MICROTUBULE_CYTOSKELETON_ORGANIZATION",204,"Up",0.014568484471948,0.690918125276004
"GOBP_ENDOCHONDRAL_BONE_MORPHOGENESIS",6,"Down",0.015091563079473,0.698117744310063
"GOBP_GALACTOSE_CATABOLIC_PROCESS",1,"Down",0.0151101634212466,0.698117744310063
"GOBP_PROTEIN_DEPOLYMERIZATION",56,"Up",0.0151237929039439,0.698117744310063
"GOBP_REGULATION_OF_NON_CANONICAL_WNT_SIGNALING_PATHWAY",4,"Down",0.0151378903731059,0.698117744310063
"GOBP_REGULATION_OF_RNA_POLYMERASE_II_TRANSCRIPTION_PREINITIATION_COMPLEX_ASSEMBLY",5,"Down",0.015528463022151,0.702124742708235
"GOBP_GOLGI_TO_PLASMA_MEMBRANE_TRANSPORT",38,"Up",0.0157542236960849,0.702124742708235
"GOBP_INNER_CELL_MASS_CELL_PROLIFERATION",2,"Down",0.0160445187675374,0.702124742708235
"GOBP_INTRACILIARY_TRANSPORT",14,"Down",0.0163443303516534,0.702124742708235
"GOBP_DENDRITIC_SPINE_DEVELOPMENT",40,"Up",0.0163981498196697,0.702124742708235
"GOBP_MATING",6,"Down",0.0165754508710725,0.702124742708235
"GOBP_INHIBITORY_POSTSYNAPTIC_POTENTIAL",2,"Down",0.0166125833054761,0.702124742708235
"GOBP_POSITIVE_REGULATION_OF_INHIBITORY_POSTSYNAPTIC_POTENTIAL",2,"Down",0.0166125833054761,0.702124742708235
"GOBP_POSITIVE_REGULATION_OF_MITOCHONDRIAL_TRANSLATION",1,"Down",0.0169248755653991,0.702124742708235
"GOBP_BLEB_ASSEMBLY",1,"Down",0.0170517491455208,0.702124742708235
"GOBP_REGULATION_OF_POTASSIUM_ION_EXPORT_ACROSS_PLASMA_MEMBRANE",1,"Down",0.0170517491455208,0.702124742708235
"GOBP_CELL_AGGREGATION",1,"Down",0.0170640805903075,0.702124742708235
"GOBP_REGULATION_OF_FEMALE_RECEPTIVITY",1,"Down",0.0170640805903075,0.702124742708235
"GOBP_NEUROMUSCULAR_PROCESS_CONTROLLING_BALANCE",8,"Up",0.0173294620141945,0.702124742708235
"GOBP_POSITIVE_REGULATION_OF_ORGANELLE_ASSEMBLY",35,"Up",0.0173600640084223,0.702124742708235
"GOBP_NEGATIVE_REGULATION_OF_MEMBRANE_PROTEIN_ECTODOMAIN_PROTEOLYSIS",1,"Down",0.0173884465207924,0.702124742708235
"GOBP_AXONEMAL_DYNEIN_COMPLEX_ASSEMBLY",3,"Down",0.0173975983926757,0.702124742708235
"GOBP_HISTONE_H4_R3_METHYLATION",4,"Down",0.0174773290717282,0.702124742708235
"GOBP_NEURON_PROJECTION_ORGANIZATION",41,"Up",0.0175501730447652,0.702124742708235
"GOBP_POSITIVE_REGULATION_OF_CARTILAGE_DEVELOPMENT",3,"Down",0.0175901075321418,0.702124742708235
"GOBP_NEGATIVE_REGULATION_OF_ION_TRANSMEMBRANE_TRANSPORT",23,"Up",0.0179205174905087,0.702124742708235
"GOBP_C21_STEROID_HORMONE_METABOLIC_PROCESS",2,"Down",0.0182378153067579,0.702124742708235
"GOBP_PROGESTERONE_METABOLIC_PROCESS",2,"Down",0.0182378153067579,0.702124742708235
"GOBP_POSITIVE_REGULATION_OF_MONOCYTE_CHEMOTAXIS",3,"Down",0.0182436095758415,0.702124742708235
"GOBP_REGULATION_OF_MONOCYTE_CHEMOTAXIS",3,"Down",0.0182436095758415,0.702124742708235
"GOBP_NUCLEOBASE_CONTAINING_SMALL_MOLECULE_INTERCONVERSION",3,"Down",0.0184934415727872,0.702124742708235
"GOBP_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_ASSEMBLY",21,"Down",0.0184967584448628,0.702124742708235
"GOBP_PROTEIN_LOCALIZATION_TO_VACUOLE",28,"Up",0.0185374173284349,0.702124742708235
"GOBP_GLYCOSYL_COMPOUND_BIOSYNTHETIC_PROCESS",4,"Down",0.0186298445949512,0.702124742708235
"GOBP_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_CIRCULATING_IMMUNOGLOBULIN",1,"Down",0.0188014347184897,0.702124742708235
"GOBP_POSITIVE_REGULATION_OF_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_CIRCULATING_IMMUNOGLOBULIN",1,"Down",0.0188014347184897,0.702124742708235
"GOBP_REGULATION_OF_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_CIRCULATING_IMMUNOGLOBULIN",1,"Down",0.0188014347184897,0.702124742708235
"GOBP_SKELETAL_SYSTEM_DEVELOPMENT",61,"Down",0.0190630468622179,0.702124742708235
"GOBP_NUCLEUS_LOCALIZATION",11,"Up",0.019110140894201,0.702124742708235
"GOBP_POSITIVE_REGULATION_OF_BIOMINERALIZATION",5,"Down",0.0193302398945096,0.702124742708235
"GOBP_NEURON_CELLULAR_HOMEOSTASIS",9,"Up",0.0193408409682051,0.702124742708235
"GOBP_SKIN_DEVELOPMENT",33,"Down",0.0193920500134102,0.702124742708235
"GOBP_REGULATION_OF_ORGANELLE_ASSEMBLY",89,"Up",0.0194670482256146,0.702124742708235
"GOBP_RETROGRADE_AXONAL_TRANSPORT",13,"Up",0.01950375694739,0.702124742708235
"GOBP_REGULATION_OF_CGMP_MEDIATED_SIGNALING",5,"Down",0.0197641705634785,0.702124742708235
"GOBP_POSITIVE_THYMIC_T_CELL_SELECTION",2,"Down",0.0200580700486972,0.702124742708235
"GOBP_THYMIC_T_CELL_SELECTION",2,"Down",0.0200580700486972,0.702124742708235
"GOBP_DNA_INTEGRATION",1,"Down",0.0200952275521576,0.702124742708235
"GOBP_MOLTING_CYCLE",16,"Down",0.0201184369242101,0.702124742708235
"GOBP_CELLULAR_RESPONSE_TO_STEROID_HORMONE_STIMULUS",58,"Up",0.020376664044858,0.702124742708235
"GOBP_RECEPTOR_MEDIATED_ENDOCYTOSIS",84,"Up",0.0203944694836783,0.702124742708235
"GOBP_PROLACTIN_SECRETION",2,"Down",0.0204255165118611,0.702124742708235
"GOBP_PROTEIN_PROCESSING",35,"Down",0.0204410083218168,0.702124742708235
"GOBP_REGULATION_OF_ORGANELLE_ORGANIZATION",391,"Up",0.0205147502086485,0.702124742708235
"GOBP_POSITIVE_REGULATION_OF_CHEMOTAXIS",18,"Down",0.0205396363726608,0.702124742708235
"GOBP_MICROTUBULE_POLYMERIZATION",45,"Up",0.0206139831924097,0.702124742708235
"GOBP_NEGATIVE_REGULATION_OF_CELL_VOLUME",2,"Down",0.0206846978186814,0.702124742708235
"GOBP_POSITIVE_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY",72,"Up",0.0209216173448072,0.706580076690532
"GOBP_ENDOCYTOSIS",187,"Up",0.0211074258318634,0.709273148430504
"GOBP_POSITIVE_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR_VIA_NONHOMOLOGOUS_END_JOINING",2,"Down",0.0212223202992627,0.709568279205848
"GOBP_POSITIVE_REGULATION_OF_CGMP_MEDIATED_SIGNALING",2,"Down",0.0214830810628351,0.714315021143354
"GOBP_NEGATIVE_REGULATION_OF_MYELOID_CELL_DIFFERENTIATION",13,"Down",0.0216135986302089,0.714315021143354
"GOBP_CONNECTIVE_TISSUE_DEVELOPMENT",27,"Down",0.0216847538944371,0.714315021143354
