"","NGenes","Direction","PValue","FDR"
"GOBP_POSITIVE_REGULATION_OF_VASCULATURE_DEVELOPMENT",7,"Down",0.0196788308630525,0.838801310577955
"GOBP_ACTIN_FILAMENT_BASED_MOVEMENT",11,"Up",0.0198361098129417,0.838801310577955
"GOBP_MRNA_SPLICE_SITE_SELECTION",1,"Down",0.0201016326695587,0.838801310577955
"GOBP_NEGATIVE_REGULATION_OF_MUSCLE_ORGAN_DEVELOPMENT",1,"Down",0.0201016326695587,0.838801310577955
"GOBP_NEGATIVE_REGULATION_OF_MUSCLE_TISSUE_DEVELOPMENT",1,"Down",0.0201016326695587,0.838801310577955
"GOBP_SPLICEOSOMAL_COMPLEX_ASSEMBLY",1,"Down",0.0201016326695587,0.838801310577955
"GOBP_CHROMATIN_ORGANIZATION",12,"Down",0.0206360213450017,0.838801310577955
"GOBP_RESPONSE_TO_VIRUS",12,"Down",0.0208614721074321,0.838801310577955
"GOBP_COLLAGEN_ACTIVATED_SIGNALING_PATHWAY",3,"Down",0.0223281819164761,0.838801310577955
"GOBP_COLLAGEN_ACTIVATED_TYROSINE_KINASE_RECEPTOR_SIGNALING_PATHWAY",3,"Down",0.0223281819164761,0.838801310577955
"GOBP_NEGATIVE_REGULATION_OF_CATALYTIC_ACTIVITY",42,"Down",0.0228535400907449,0.838801310577955
"GOBP_REGULATION_OF_HISTONE_MODIFICATION",7,"Down",0.0228739441607996,0.838801310577955
"GOBP_NEGATIVE_REGULATION_OF_MAPK_CASCADE",7,"Down",0.0236295296370929,0.838801310577955
"GOBP_RENAL_TUBULE_DEVELOPMENT",2,"Down",0.024323533895009,0.838801310577955
"GOBP_DEFENSE_RESPONSE_TO_SYMBIONT",8,"Down",0.0249460787889714,0.838801310577955
"GOBP_CELLULAR_RESPONSE_TO_HYDROGEN_PEROXIDE",5,"Down",0.0251079210056436,0.838801310577955
"GOBP_BOX_C_D_SNORNP_ASSEMBLY",2,"Down",0.0253610326146859,0.838801310577955
"GOBP_NUCLEOSOME_MOBILIZATION",2,"Down",0.0253610326146859,0.838801310577955
"GOBP_REGULATION_OF_DNA_STRAND_ELONGATION",2,"Down",0.0253610326146859,0.838801310577955
"GOBP_SMALL_NUCLEOLAR_RIBONUCLEOPROTEIN_COMPLEX_ASSEMBLY",2,"Down",0.0253610326146859,0.838801310577955
"GOBP_CELLULAR_RESPONSE_TO_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_STIMULUS",2,"Down",0.0254057608821588,0.838801310577955
"GOBP_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_SIGNALING_PATHWAY",2,"Down",0.0254057608821588,0.838801310577955
"GOBP_POSITIVE_REGULATION_OF_BLOOD_VESSEL_ENDOTHELIAL_CELL_MIGRATION",2,"Down",0.0254094751382343,0.838801310577955
"GOBP_POSITIVE_REGULATION_OF_CELL_MIGRATION_INVOLVED_IN_SPROUTING_ANGIOGENESIS",2,"Down",0.0254094751382343,0.838801310577955
"GOBP_REGULATION_OF_CELL_MIGRATION_INVOLVED_IN_SPROUTING_ANGIOGENESIS",2,"Down",0.0254094751382343,0.838801310577955
"GOBP_SPINDLE_ORGANIZATION",21,"Up",0.0254505189628572,0.838801310577955
"GOBP_RNA_MODIFICATION",3,"Down",0.0261099632620942,0.838801310577955
"GOBP_NEGATIVE_REGULATION_OF_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY",2,"Down",0.0273690048749388,0.838801310577955
"GOBP_AMINO_ACID_TRANSMEMBRANE_TRANSPORT",2,"Down",0.0273917270082626,0.838801310577955
"GOBP_L_ALPHA_AMINO_ACID_TRANSMEMBRANE_TRANSPORT",2,"Down",0.0273917270082626,0.838801310577955
"GOBP_L_AMINO_ACID_TRANSPORT",2,"Down",0.0273917270082626,0.838801310577955
"GOBP_L_GLUTAMATE_TRANSMEMBRANE_TRANSPORT",2,"Down",0.0273917270082626,0.838801310577955
"GOBP_POSITIVE_REGULATION_OF_CELLULAR_COMPONENT_BIOGENESIS",42,"Up",0.028257733117507,0.838801310577955
"GOBP_ACTIN_FILAMENT_DEPOLYMERIZATION",13,"Up",0.0287039583893908,0.838801310577955
"GOBP_POSITIVE_REGULATION_OF_PHAGOCYTOSIS",2,"Down",0.0288621669105185,0.838801310577955
"GOBP_POSITIVE_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY",5,"Down",0.0292905287931948,0.838801310577955
"GOBP_POSITIVE_REGULATION_OF_WNT_SIGNALING_PATHWAY",5,"Down",0.0292905287931948,0.838801310577955
"GOBP_POSITIVE_REGULATION_OF_PROTEIN_POLYMERIZATION",11,"Up",0.0294759795848701,0.838801310577955
"GOBP_REGULATION_OF_PROTEIN_DEPOLYMERIZATION",19,"Up",0.0312005118259114,0.838801310577955
"GOBP_ACUTE_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS",2,"Down",0.0312430359158704,0.838801310577955
"GOBP_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS",2,"Down",0.0312430359158704,0.838801310577955
"GOBP_POSITIVE_REGULATION_OF_ACUTE_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS",2,"Down",0.0312430359158704,0.838801310577955
"GOBP_POSITIVE_REGULATION_OF_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS",2,"Down",0.0312430359158704,0.838801310577955
"GOBP_REGULATION_OF_ACUTE_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS",2,"Down",0.0312430359158704,0.838801310577955
"GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS",2,"Down",0.0312430359158704,0.838801310577955
"GOBP_CALCIUM_DEPENDENT_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_CELL_ADHESION_MOLECULES",1,"Down",0.0313934729613006,0.838801310577955
"GOBP_LYSOSOMAL_MEMBRANE_ORGANIZATION",1,"Down",0.0314620290838777,0.838801310577955
"GOBP_SUPPRESSION_OF_VIRAL_RELEASE_BY_HOST",1,"Down",0.0314620290838777,0.838801310577955
"GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_AXONOGENESIS",2,"Down",0.0315673309593605,0.838801310577955
"GOBP_CENTRAL_NERVOUS_SYSTEM_PROJECTION_NEURON_AXONOGENESIS",2,"Down",0.0315673309593605,0.838801310577955
"GOBP_CELL_JUNCTION_ASSEMBLY",28,"Up",0.0321053889255311,0.838801310577955
"GOBP_POSITIVE_REGULATION_OF_PHOSPHOLIPID_METABOLIC_PROCESS",2,"Down",0.0329096802065297,0.838801310577955
"GOBP_NEGATIVE_REGULATION_OF_PROTEIN_AUTOPHOSPHORYLATION",2,"Down",0.0329202927212069,0.838801310577955
"GOBP_NEGATIVE_REGULATION_OF_NIK_NF_KAPPAB_SIGNALING",2,"Down",0.0331221131457612,0.838801310577955
"GOBP_NEGATIVE_REGULATION_OF_TYPE_I_INTERFERON_PRODUCTION",2,"Down",0.0331221131457612,0.838801310577955
"GOBP_FATTY_ACID_TRANSPORT",2,"Down",0.0331600120783963,0.838801310577955
"GOBP_LONG_CHAIN_FATTY_ACID_TRANSPORT",2,"Down",0.0331600120783963,0.838801310577955
