"","Pool_Ox_V_Slot2-17_1_3795","Pool_Ox_V_Slot2-17_1_3808","Pool_Ox_V_Slot2-17_1_3821"
"Septin5",80887.1005662174,75146.3341309386,81704.3124701932
"Wbp11",24705.082678274,27210.1459001532,20812.0999998635
"Cog4",18658.8311689489,17944.4525900943,15575.8320076537
"Eif3g",492360.590056476,505355.668440501,447888.589397717
"Stxbp1",102023.885452383,102932.51522848,109808.409589775
"Elob",19647.628955902,18300.0411856769,24437.1347733244
"Dars1",28548.0136587519,31325.28626027,30832.4299177065
"Palm",91150.7775958833,89379.9894940472,86354.319555202
"Vars1",199971.026680458,192011.657688623,195141.131204324
"Fkbp8",34279.1252576189,30025.1400869108,15242.6397146124
"Rps3a",798878.694758069,666845.085323667,715707.043138245
"Syncrip",97791.8537035204,92704.0405909779,67674.5762037169
"Rps8",51243.5645355246,42354.8899461413,46051.0829137044
"Map6",341274.22874824,358349.213852124,365768.157538567
"Otud4",25081.1495355758,21913.0016870996,17813.141373335
"Atp1a1",55172.2241376818,51673.7065432376,67311.5308919284
"Hnrnpm",78952.8468655491,85982.217258937,78375.9025546855
"Paip1",25206.8591912494,26835.9477871636,20711.6664358081
"Cycs",23722.1488113111,20210.9150199914,12827.1054063941
"Hsp90aa1;Hsp90ab1",126968.381987721,132899.752345824,113842.352767147
"Efhd2",372073.9280211,315410.99999749,309897.869790075
"D17h6s53e",8237.76,4280.31,NA
"Pacs1",21670.7780982753,19548.8523204363,20969.8071566385
"Ankrd52",NA,NA,39974.8
"Tars1",220410.998564823,178859.479877551,174204.3711024
"Tanc1",26203.4695066076,24927.8372817615,28482.4651500063
"Isyna1",6551.40252662965,8686.46693330622,10922.1999999373
"Stk24",29192.0761474551,32517.357031493,24475.5306503612
"Ilf3",36851.5388323216,35309.6521179021,36998.5665589932
"Rps6ka3",24356.7773877633,27048.8471597147,32039.8549508347
"Samhd1",52539.4207998151,61356.8234034217,58575.529347009
"Coro1a",25374.5916632952,26018.7159714189,31261.2585111638
"Map2",444333.484589586,431658.138857729,467093.424166798
"Ehd1;Ehd3",NA,24788.7,27566.2
"Snap25",355614.024296277,417474.023806433,330110.048500331
"Prph",3136295.48776266,3485644.14760341,3300269.55917448
"Srgap1",25144.8580470401,26430.0326642354,22363.0075403451
"Akap13",26949.4534703683,26673.6581976376,29395.6625932299
"Cmtr1",23724.0383896194,21849.9577045256,20543.4078549505
"Tbc1d9b",8426.87,13206.9,12200.6
"Lnpk",129792.466834562,124306.169463853,132095.774798446
"Upf1",158396.484211594,150068.810051786,143084.336499469
"Maged1",58183.1540596319,66283.2412769011,66989.2218765313
"Usp15",21687.7280976238,22510.9837371649,31928.7747157584
"Septin7",39253.5524104541,40604.0355367136,39428.0057167156
"Septin4",24590.8011164675,30784.4464461867,29584.5946683354
"Septin3",27139.8633655173,28685.6981761033,27944.7482749724
"Nufip2",85667.3279360215,96317.7710229187,90369.0451931619
"Psmd9",NA,NA,13890.2
"Wfs1",9498.06449649261,7717.87572661001,7856.25709010996
"Trim28",53971.259255719,50724.4563120932,52930.4325429174
"Tp53bp1",51203.3998865266,46521.4278750744,51725.4058040997
"Sptan1",107861.834539432,107596.682347248,103496.556131243
"Gbp2",26500.4822762845,23611.4882570387,18758.7999998854
"Fnbp1",30461.4288056356,28363.5431987588,28822.0166703619
"Ralgapb",9137.53236286068,10187.6427527394,11347.701428535
"Agfg2",23539.6638126413,21007.6950197961,23538.3016015754
"Krt76",714434.095766954,665087.419773812,543343.177877405
"Plec",211101.378474914,216530.565531902,213672.666947293
"Rps10",NA,10736.3,NA
"Washc2",116237.239535036,121659.952995689,118940.602630685
"Ano8",28370.8385126843,25354.6856222667,24266.3663744536
"Cic",NA,8823.41,NA
"Eif3b",84941.5094441476,81163.5509745602,63566.9611455324
"Tcof1",25801.2605641722,25796.7704204995,24918.8484374648
"Luzp1",16628.0559010061,17169.8347064827,16838.2016402097
"Marcks",26600.1950406229,29123.3868638274,25171.6151512176
"Anxa2",308167.893269134,302966.899395965,247659.014645997
"Rps2",404107.775648016,341144.270008829,346949.421394213
"Hp1bp3",27673.7673649399,33530.3860663841,29337.8133170602
"Caskin1",26565.9790502435,29841.2214033958,26874.4157074943
"Hsph1",84431.0084861332,80451.8274477453,81439.6308478748
"Epb41l3",399613.17291332,428448.338040299,388794.048140876
"Dbnl",68163.5091235706,67857.1545118156,65670.3904697006
"Nefm",1979122.52772407,1823610.14681907,1904868.02765263
"Map7d2",81989.9454231175,84858.4783015694,88080.0784750009
"Rhot2",NA,NA,11038.1
"Dnm1l",208183.415481166,220503.984769657,197679.991575695
"Thrap3",13946.0296831269,11968.5219153795,13080.9561243582
"Vat1l",53567.3621379401,53091.323496413,55876.3937543251
"Fundc2",169200.000003332,163479.000003219,NA
"Arhgdia",175769.071763226,205093.382068668,226450.103116907
"Exosc8",27991.4675186027,18881.4060097591,24547.8193384718
