"","Pool_Ox_V_Slot2-17_1_3795","Pool_Ox_V_Slot2-17_1_3808","Pool_Ox_V_Slot2-17_1_3821"
"Ranbp3",31559.0511618879,27949.3407931777,22251.9097040422
"Chmp5",71347.3022587266,104062.170943327,99320.635517261
"Hnrnpu",48640.7964744303,48561.6506572943,45022.3508437025
"Alb",921931.756176888,462546.658068913,1017057.92268659
"Cpne3",31911.6782389776,31823.0484161911,32572.5999563511
"Ddhd1",23229.8332390361,25438.9311219587,24584.8999998424
"Sec16a",29233.6614099292,31801.2011543582,30387.2437661502
"Reps2",41187.1115683746,40475.6290439438,42230.6704674292
"Tppp",255461.093363671,265823.543645344,311236.369871955
"Cbl",7293.88,9286.38,13106.4
"Lpin1",29784.9965267972,26760.7549974765,34975.0560042505
"Vcpip1",31048.6019216916,31142.3876386544,34130.0855196002
"Map7d1",44450.3920461952,41045.360633074,47731.8617540522
"Tbcb",52119.5986169403,58007.1550223861,63418.5688309846
"Rpl29",NA,NA,598650
"Rps5",11331.2,9177.01000000001,NA
"Nudcd2",43550.0999997078,45154.899999697,38391.8999997424
"Cog1",35010.4123509884,34437.0014827912,33306.6688357554
"Oscp1",30164.403811072,32067.5916919337,34659.3009783565
"Sf3a1",44937.6333570649,44490.1522803655,45956.3275468332
"Farsb",41137.5017230375,45598.3301240695,43466.6497628352
"Prkg1",8901.15527792132,10927.3514968927,12376.5114981915
"Hspb1",118336.225133618,88756.1853293596,76033.7944173892
"Rtn4",874666.698163323,878250.268325956,733764.289483365
"Rab11a;Rab11b",46557.1584674104,38078.2791090093,41765.9889471716
"Usp14",56420.5354466999,60422.2008003013,49464.5291830237
"Drg2",31187.6694412049,37531.6356531177,35660.7615094194
"Bin1",79730.4345426937,83112.0885389715,59823.706600579
"Scamp1",97618.8999993029,92251.4506832343,84037.8996836545
"Atp5f1d",9817.91000000001,9538.87,7744.45
"Scrn1",29222.4331844095,17462.2818730552,51310.9165066014
"Bet1l",NA,42444.3,44037.9
"Cdc37l1",36581.8,36148,36298.5
"Aimp1",42943.688866408,44289.9416656675,40407.2342766369
"Mapt",562632.160479724,537079.557414945,586286.659359962
"Clip2",24458.5795424524,27964.9671431587,30241.8040511142
"Tpd52",429912.252558762,482262.184434163,525135.264347291
"Trim25",50725.6984476138,45390.8039129595,51701.2590828351
"Kcnb2",14010.7853394406,15565.0212931687,15097.656088479
"Nek7",30535.0129759086,33688.2780595224,30450.7928681424
"Mctp2",11960.0587052061,11551.106110826,19819.2779264548
"Reps1",33285.3269567112,33283.0217672031,34192.2249795223
"Wars1",14281.144099782,20588.6338543949,12527.7490118737
"Ablim1",27135.9051683208,25800.4495399448,22554.3508730144
"Nacad",641212.354517609,613732.016509678,573809.600768997
"Atxn2l",272633.598787671,284854.053197157,254601.865482851
"Rad23b",44558.0330007809,48800.2920371673,55445.3999996156
"Syn1",116752.712127462,123849.933996231,131157.970755907
"Necap1",64688.4410488335,73280.7999994804,66407.6135389655
"Eif4enif1",6748.29,NA,NA
"Sgip1",12231.3761840791,10880.5891342293,9257.46572246715
"Krt16",9772.26157460533,10618.6704540916,7027.35119069985
"Hnrnpl",72492.7713310103,71310.8913313081,73108.2789762193
"Wipf2",NA,NA,14205.8
"Tmod1",38343.153285603,35301.3534582942,38086.7426633041
"Pitpnm1",19629.8941382771,20352.6243736663,25260.8205973707
"Prrt2",NA,12945.3000002023,15094.0000002359
"Tbc1d10b",NA,NA,9569.70000000001
"Tmpo",40526.0898963119,38371.8985040225,43708.8579843135
"Rgs10",NA,12351.6,NA
"Crip2",1155559.9999899,1082651.04934773,1318747.54126476
"Zc3h4",11993.8048415286,9233.60949063165,10150.0365355155
"Dctn2",180873.135165125,181690.476303794,199628.333354893
"Scfd2",52962.2999659026,51032.4874362132,63565.5758711071
"Rbm14",149117.098644339,155812.461264214,140253.451595645
"Scn10a",17157.8727854537,15089.8224059813,11327.6999999325
"Nup50",29498.522395173,34702.9574451364,35916.7949959556
"Dhrs1",10364.1,14902.4,11293.4
"Hspa12a",32708.047118907,30721.6345931832,31370.4753671049
"Prdx1",94614.1934394,88153.7787017772,93885.0475933057
"Idh1",27494.4012801837,23125.8021536017,25371.6722370053
"Oxr1",43718.0263497795,42047.0448876143,45222.9161362747
"Dnajc6;Gak",NA,26133.5,26690.5
"Rab7a",84690.3429083516,77250.2997639426,84886.8281394863
"Ampd3",99411.4574089054,92707.7946974913,83952.4577695404
"Ap2a2",20762.9755431274,15145.532354689,12658.8181687517
"Chmp2b",108808.096270919,134877.473931779,113709.167529197
"Ndel1",33059.6876464211,20126.5214500512,31176.123308698
"Garnl3",78497.63404909,76511.8580114186,89128.5323371361
"Snap47",50634.7941598047,52760.4590133748,49187.8715989966
"Cadps",180722.515957559,200674.607691671,170196.079276345
"Usp5",87430.4096753765,91925.3714940828,89098.0403884952
"Gga1",33571.2421693785,37262.6412891095,33155.7471878592
"C2cd2",21190.2220769325,19685.7961242086,22018.7588150211
"Eif4a1",12041,14737.5,10815.9
"Asap1",56736.6223537369,53066.5405208846,54521.3099247912
"Dctn4",83409.0183828174,85230.396087778,70660.5681435516
"Evl",8880.32999999999,8893.56999999999,5979.3
"Ubxn4",5037.17,4418.81,NA
"Sugp2",19636.9473272257,17676.7555767689,20183.6089070656
"Snap91",68076.0177063634,65291.5071568484,55664.8615397981
"Pex14",188872.538779459,212405.54300122,166185.264019464
"Nrbf2",47369.1188438883,44047.218156669,48695.046239808
"Rab11fip5",52491.6877623325,56540.7534568061,54899.6313158237
"Csde1",114754.73565832,111486.407916206,89012.3986883398
"Lrrc59",64718.606052854,67738.349403551,64675.7083298939
"Nucks1",NA,94390.9,83491
"Sec31a",24575.6629258034,23427.2609547434,22371.1672965938
"Maco1",22931.2673634086,22614.7570156112,26852.8999998317
"Uqcrc2",20011.6596654791,17426.0023660647,15304.5146044541
"Nav1",17895.6494840086,19772.0389947633,16828.6938576788
"Larp4",49367.9432043969,38516.1283315712,42199.096870064
"Ttll1",6981.15,12071.7,10093.1
"Cct3",15133.460193061,8688.33501871096,13106.722217322
"Ahsa2",20654.6936611662,17181.1725814866,12609.5156772003
"Psmd14",24082.0528286621,21856.9519255611,16792.1753346051
"Hbs1l",10017.7588478476,15109.3156778519,8786.15624106175
"Cyp51a1",NA,NA,7241.35
"Immt",52304.4392921905,59169.3764325361,68513.9074792482
"Kifap3",51948.5267173259,38613.5689591066,66602.1466297849
"Lemd3",28141.1,24342.5,NA
"Rpl6",117382.876611629,126373.216918985,134121.83890578
"Ccdc92",54226.2313969588,66107.9893005682,67810.8318284808
"Wrnip1",49170.3326407362,58035.0457983262,60362.8747859799
"Kars1",36058.530472724,35911.7428202552,37664.5999997499
"Cpeb2;Cpeb4",17323.2578950214,14833.1861469434,19580.7377380749
"Aars1",22415.0743762718,23702.6814841816,17820.1019810214
"Tuba1a",2301376.83025154,3498660.36706096,3586352.13875951
"Pls3",16865.6274421312,23358.0847686118,24104.1540361459
"Cluh",15432.2493942501,14163.4563215762,16391.6832305166
"Smap2",55212.9390478428,62294.6646076339,49976.866159423
"Snx1",22037.973626593,22639.0384811162,22275.5708282887
"Cmas",360031.445388128,388646.190845739,353313.633636026
"Stat6",13816.9505754003,18861.3459016083,NA
"Hdac6",3794.28,NA,5521.19
"Rac1",31362.699999798,28980.9723007672,29292.8094605917
"Map1a;Map1b",NA,352728,212481
"Cfl1",52964.5462779663,49392.5479368289,37335.7630443378
"Nedd4l",17671.1087686394,20795.2784468214,19834.4190670733
"Shtn1",10306.3,13526.7,10579
"Tubb4b",NA,50238.0366651011,67166.028944825
"Snx2",15861.3799119016,17625.612051563,18655.0743902096
"Commd10",9074.75,11844.2,14248.9
"Vapa",194826.403983213,199904.767409168,174855.189553365
"Phyhipl",24139.6162505032,28072.9167378206,26671.6282637837
"Gtf2e2",NA,NA,7641.96000000001
"Pdxdc1",164374.115127106,183783.325247106,169221.807565263
"Sh3glb1;Sh3glb2",NA,21378.7,36572.4
"Fermt2",68650.6593932743,68391.2649598984,68035.8067400421
"Zfand6",15301.305617941,13412.1427435787,13125.0669879876
"Rcsd1",NA,8470.59999999999,15410.7
"Wdr59",4794.66,6510.83,8106.07
"Sucla2",NA,15447.8,18028.3
"Wasl",46282.793225738,48908.7643390135,35244.6904385276
"Ywhah",27349.6245876811,38825.0936536497,25238.225878735
"Ywhaq",13234.2717388915,9406.73721243959,10051.4102021673
"Ywhab",28324.3539350266,32883.7035304642,NA
"Srrm1",15624.8856056316,20501.2172165898,18423.8802543192
"Pcbp3",119124.227350542,112852.945473636,160242.132194717
"Arap1",NA,NA,11537.5
"Larp1",70190.8349042724,65829.2097175225,74256.5777295602
"Agap3",26205.8880807263,30048.5780613571,37192.2406966964
"Nono;Sfpq",NA,15419.9,31929.6
"Cul5",26574.0434514801,20927.6467474706,20880.9629342374
"Atp6v1b2",70197.8744607899,75961.883056314,67374.2769961904
"Arl6ip5",NA,345345.436093464,370637.92773188
"Dync1h1",110245.419890574,110557.00722885,115814.655949716
"Fkbp3",129902.432626229,123487.091484168,127539.279931496
"Gcc1",53117.4623141199,48989.9592725574,40262.9642198802
"Cdc42bpb",13760.2298004966,16463.0005159585,19835.1644479394
"Strn3",16507.9343033209,17552.1723623336,14777.8240796965
"Rbsn",11118.7908298215,18268.133319889,21805.8877757838
"Sf1",40997.2525605491,33040.4007274181,44008.5195193505
"Eef2",29396.2400274421,28417.8689035135,25536.6105035212
"Prune2",172765.144545247,175404.63920364,152117.843782175
"Zwint",36846.9528944673,35897.0170127347,38814.3578978847
"Nap1l1",88195.9375321479,99865.9987158435,92951.5102638263
"Glud1",13985,12449.2,13330.2
"Pkm",103447.493644133,62978.5723544213,55272.2763551858
"Dync1li1",115152.601811763,100965.478225075,91550.240075707
"Dync1li2",112489.063479367,113991.958307052,109008.928266725
"Wnk1",15558.3922077836,23303.61020799,19183.6426741525
"Eif2a",27396.0333336575,30935.6714295657,22447.9854212781
"Tnfrsf21",5970.29,6574.3,NA
"Cadm1",26665.9999998347,21069.4999998693,21856.8999998644
"Rabgap1",41616.2852892355,42391.7633939081,43753.9216729118
"Ranbp2",50289.3208066369,49399.1850416549,50279.5826984323
"Coro1c",71066.0558981234,76762.177952802,70274.4605058439
"Prkce",7143.7242684135,6247.39950239311,7193.69179396854
"Ahsa1",104518.341512449,116037.30165478,100004.623940943
"Plcb3",73201.0842632412,73486.1774593922,65248.6562144089
"Purg",55826.9487652785,57582.0626708024,47689.8666333139
"Cast",99215.1218146586,106143.631508364,75843.1977413148
"Actr10",26992.4416357738,30185.2521928048,38656.3572334535
"Mon2",14288.6064308732,10219.1817880583,12831.2298676503
"Pip4p1",21130.3951563176,20606.3999998706,23256.1783846672
"Cdc37",39096.8338140618,40558.9583045218,41979.9955210069
"Snrpb;Snrpn",21060.1330473623,21515.0812281191,22278.2423204024
"Spart",9162.58245634829,9940.0104567719,7274.84575022471
"Pdzd8",25059.5309924997,22714.6492230782,26183.1876083737
"Gstm5",22555.2186310153,29340.7165973081,26792.7061313838
"Eif3c",131522.224679968,132584.783567986,96257.1161194884
"Add2",231241.474213233,239685.84716846,229228.315263602
"Txn",10315502.6516328,10701413.2495176,9424711.66064363
"Kif1a",21321.9309352552,28871.7629722862,29899.0490054834
"Hspa8",145538.415717493,141254.30892331,126145.101165142
"Myh10;Myh9",83400.6700843368,74279.9078579014,73835.752034783
"Zyx",33148.7170110097,35513.2145524635,39221.5870733386
"Scyl1",26452.3524865994,26524.5556504785,31267.5704878789
"Sprr2b;Sprr2d;Sprr2g;Sprr2h;Sprr2k",NA,NA,21884.7
"Rimkla",83756.5161333414,81467.0971553425,82785.0931562717
"Zw10",NA,11673.9224046073,14107.9424581449
"Oxsr1;Stk39",10674.8999999393,10323.8999999413,8227.5699999532
"Safb;Safb2",55451.9220619732,56596.7278089809,59749.5292177098
"Csrp1",55995.5757644586,56904.7877603171,45047.9881246761
"Prune1",212002.19659413,200797.231595257,197561.561861078
"Sqstm1",24757.9223357789,21365.0710925282,17965.9138590398
"Ppp6r3",26684.1411845591,25649.2565525857,23773.3198047288
"Prkcd",24747.8150963134,27078.1757967606,24124.0841510145
"Spats2",34192.8370315594,36103.9753725178,37168.8998872067
"Phf5a",7422.64944074181,12363.5313082708,9486.13130330693
"Rbm17",41982.0999997124,60175.1999995875,52633.1999996393
"Mtarc2",9231.27,12652.3,8831.55999999999
"Kiaa0513",12901.1950900778,12678.4961661279,19359.5003274858
"Safb",24211.3737313966,20400.3675982085,19650.9192876132
"Atad1",19485.7644078498,28155.5430624613,21541.1397976899
"Cct2",19995.2740753985,16201.7678285769,13295.7661343556
"Rangap1",47375.2480696803,43433.1101604862,49576.6255825247
"Klc1",72911.5390562931,71698.8033801859,61714.8401025261
"Clgn",62589.4738290951,59207.5189989376,59050.5128292543
"Flot2",96311.4471367127,88711.1996340788,89639.7272145023
"Tgoln1",253327.811310056,235687.486360259,234253.650815507
"Copa",31127.8963742679,30938.7254121682,30252.0911142127
"Fam169a",69852.2661772638,64377.329710011,68861.9423286578
"Arfgef1;Arfgef2",110411.237304682,117355.603274461,95137.8668482891
"Twf1",40892.0902991775,33582.6292135796,39185.9950351632
"Hspa9",19924.5563159759,21565.6477003273,22173.8277245564
"Hspa5",40804.4900464406,32016.6608151445,36599.8014540844
"Slc30a5",9804.46,11432.2,8380.61
"C2cd2l",41342.3672426664,38601.2841958209,48056.4631353519
"Mical1",30392.202381043,26619.5237016346,27179.4996670539
"Ppp3ca",700505.803151029,700196.779715579,693190.358151217
"Elavl1",15596.6021719117,16223.5539618153,15110.7224561325
"Elavl2;Elavl3;Elavl4",187779.095969186,179917.746898784,164886.011956326
"Med1",NA,6053.11,NA
"Eif2s2",37846.6048293312,49221.2470261853,50319.3154294294
"Cdkn2d",17677.3,17946.8,21798.5
"Birc6",48272.5156627749,46479.1681446599,41119.0347745048
"Vps26c",17534.2926259032,16240.8555924442,14722.004158384
"Eno1",49319.6098367432,32617.9742684445,30591.4633163296
"Phrf1",8600.04,13182.3,10007.9
"Arf5",17295.0738821993,14665.3064889154,18129.6501221351
"H4c1",522586.798419081,398089.470380854,272272.345348495
"Slc12a2",11170.6987228298,8400.79413489318,11818.0579273241
"Api5",35771.6902133483,30538.0142558519,35568.158630632
"Ddx3x;Ddx3y",233276.133550208,241261.100316363,191430.936712511
"Fry",40333.4346781362,50280.5761146805,50760.4710559237
"Nudt9",51597.8086150357,48654.139674838,50852.7969669826
"Slc25a46",95799.0612124714,102755.234985508,85660.26742371
"Tcp1",78797.9161291167,74356.4474981017,69067.051343121
"Pfdn5",49677.6999996605,46181.6999996843,58368.899999601
"Dgke",14536.3202488074,16326.5678022321,15026.8999999086
"Zadh2",6857.68,7399.97,10489.6
"Ctbp1",15084.3154098603,17374.7698855438,21427.7910632405
"Cep170",186622.343603438,201673.106539628,174595.966742014
"Arpc2",65601.2235485308,60283.3651955677,49321.9288839283
"Rpl26",55285.8999996233,47682.0981518961,50375.320094251
"Epn2",39180.8574271696,43629.4250300717,38883.2326305523
"Ppp6r1",69456.0849329257,67593.5880583779,63187.599999555
"Tagln2",770933.146235659,691777.476292726,703073.382367361
"Emd",126675.237666332,116070.449455537,91462.116087457
"Gripap1",26057.0727019367,24519.3070678364,24254.1148637219
"Sub1",42645.9950043241,43822.0892296914,45888.1820726925
"Eif4g2",78478.113526395,75146.816415171,69609.3735242081
"Skp1",154941.32369927,165886.336664792,179657.276792024
"Trarg1",159452.032942488,142651.501644343,184473.627688901
"Vsnl1",184884.933826545,220089.674624234,177781.360610758
"Syt11",24192.1306821868,37807.7956443692,35190.4203691159
"Itm2b",10662.4,9867.8,14289.5
"Tfcp2",NA,NA,11871.8
"Gtpbp1",9499.12000000001,15568.9,12529.8
"Atg2b",20425.8555110511,27409.8735113847,31688.2816764782
"Rap1gap2",44171.264561521,45519.3973661046,51639.7463706532
"Clint1",107899.813822895,102534.359786374,93228.7314330705
"Dock11",18677.2082053062,19297.7045046078,24969.2823391469
"Cherp",13216.8134212413,12843.1545172846,14198.7690309335
"Slc25a4",313580.218299261,265222.961366965,301800.796635038
"Twf2",17471.0692553058,9538.14558556484,11505.0244531619
"Npm1",143441.414377403,121871.578478395,132788.457504842
"Chp1",7522.04806333586,10002.9246452392,7235.83713530746
"Serbp1",228405.646969224,281720.204858002,233636.933403986
"Snrnp200",14940.7327939272,17995.1044111729,21141.8448738057
"Jakmip1",56117.6112602389,47778.7797565605,47948.139626423
"Hsdl2",8139.77945838463,13471.8793231463,NA
"Capzb",87527.4099644835,90411.9760895845,86981.1603918652
"N4bp1",7781.26574318788,12809.1525978302,17172.3999998934
"Ogn",NA,8877.29,7230.69
"Myo9a",NA,5402.09,9191.38
"Pdlim1",81404.9943038515,76321.6675878605,91546.9503114658
"Eprs1",79793.1833737924,92842.399275304,84827.3139070047
"G3bp1",45696.0121707151,46717.5022145974,46044.6736650457
"Myef2",25881.6645472567,19472.1844244092,23511.7610678263
"Tmx1",11188.9395560129,13807.9186128236,16079.6446909504
"Hadhb",29313.013394887,28167.9623904272,28162.7140241012
"Slc25a5",67047.0474724725,49699.0342706731,50908.183711158
"Glo1",243303.179519222,245698.630559215,228477.489853808
"Ap2a1",14359.0085477695,17697.0478367078,15769.6535750821
"Nap1l5",16924.1,14900.4,17391.9
"Rpl9",14076.3298345014,15556.2071161596,11002.411474867
"Pdlim5",16041.4679794032,15474.8533152147,21519.1839708632
"Ank2;Ank3",32312.7,49802.6,49167.2
"Pdlim4",23510.4275971182,22380.8696976505,24989.7530493359
"Hbb-b1;Hbb-b2",43272.4613002897,27846.0135652882,37500.9661277915
"Prdx6",31055.7147741028,32097.5794467055,39534.7310413003
"Col28a1",19918.2449462117,21594.8924881816,25125.1846713574
"Pygb",304605.528952195,288762.388309386,260817.967125179
"Calm1;Calm2;Calm3",960977.837685563,785167.575087269,632915.187957963
"Akap2",26676.2773666114,26956.2709888022,39733.5700210459
"Pak2",33197.1697007427,33471.9648986529,37683.5579174839
"Myo18a",29514.9190047536,34359.8694763039,43908.1933443424
"Clasp1",24979.4105906929,25472.799999836,28409.1800026407
"Ahcyl2",10540.6,6401.36,8231.38
"Ubap2l",124218.972223617,122384.053966446,114180.516617392
"Eif4e",55749.4944252874,57897.2864778035,54736.9493906
"Ina",18393.8657532459,22682.1015558398,21240.9255262149
"Park7",95409.970896332,98049.7852016208,80575.441891727
"G6pdx",55037.5966421359,60870.2530963555,64188.5415140534
"Ythdf2",14747.4999999166,11583.6999999345,9851.91999994427
"Stbd1",92996.040856531,110695.430419945,103047.696137163
"S100a11",33644.8,45099.4,NA
"Rack1",33436.1310115573,32196.0466441713,29212.4745423969
"Rcc2",NA,3519.44,4168.98
"Vim",209525.958801401,200588.73157758,170549.38969438
"Mccc1",478307.522829973,499691.88535179,439017.020211546
"Srsf1",21729.7,NA,NA
"Nek1",19723.6955516473,19957.8043733435,19385.4789697705
"Sod1",36957.8659399833,48051.6958969592,40043.7721761291
"Naca",33894.719556051,34460.0813124879,31784.1918386976
"Tmem79",30402.5,24401.6,29665.3
"Psip1",23531.1984554414,29732.3895034753,27001.7790060086
"Dpysl2",577499.891846564,661587.044001591,582916.301024022
"Rpl5",NA,12099.7,17514.4
"Ddx42",26872.9147598341,22630.3279926919,25748.5665131052
"Gabbr1",32453.9061301058,31096.5197361109,25509.7959968534
"Ube2m",115250.066986208,117125.896103189,106183.497706457
"Plekha6",40291.0569827588,37915.0050287616,28579.972664327
"Rpn1",30162.5214257109,30020.0495744549,24935.8275570733
"Cdc42bpa;Cdc42bpb",8525.76687610271,10240.9344097189,12882.57741303
"Rps6",102887.410556537,85793.1804672501,88303.8400830005
"Rps26",30223.9,7862.94000000001,NA
"Gpatch8",17802.554699937,20279.2639093907,21668.953857546
"Hspa4l",27707.5403681403,27561.3968142965,32851.3386807808
"Rnmt",40214.2065232157,41404.9038678935,44020.113054723
"Cpne3;Cpne6",25076.6,31937.7,25279.4
"Arhgap35",19002.4437432468,11363.3999999361,16191.5315942395
"Parva",17543.6515970777,12069.7473229028,16827.5159988312
"Rgs3",111324.68918362,112299.854948383,125295.383062974
"Hnrnpk",633667.384240535,681443.981059047,522362.015936629
"Lypla2",NA,310044.000006427,297533.000006167
"Zcchc17",NA,NA,14594.5
"Kif2a",NA,56457.4,79895.4
"Lmna",36292.5400850079,27869.4077202388,28407.2967455629
"Dst",27998.541145895,33355.2279655469,31041.2647514506
"Strada",NA,6552.49,12392.3
"Ckb",110216.29515023,111365.649453908,135084.863586713
"Ip6k1",34267.8389433,44902.7259416985,56617.9138287606
"Plekho2",7732.43662448434,11709.0997928921,8307.70611229335
"Cep170;Cep170b",82580.6984514525,88220.8307743368,95965.9041354243
"Tnrc6b",21724.1493392119,22600.2921075684,23240.3867142675
"Bcat1",12101.7236330327,15699.4047746642,18570.3290061363
"Numb",75492.8650934678,103258.792261673,130290.664590432
"Pfkp",14480.8158921202,17426.7428936836,22418.2390919819
"Znf598",21830.2,18009.2,20112.4
"Usp8",16524.0310926128,22301.740680698,20992.7201036705
"Pirt",7285.40822940785,19214.0799226438,18622.1313476437
"Slc6a15",16334.2048352595,20588.3386802055,16646.4287045035
"Actr2",25616.176102547,29358.6747487577,34117.8759276975
"Pgls",13309.0958411041,10799.6858798041,15121.0396190458
"Snap29",134336.941845921,144682.057130128,141999.646901234
"Ralgapa1",15118.9859374855,15697.6783909456,22724.9336221558
"Esyt1",223512.604346252,208092.873063544,188483.198440649
"Csdc2",NA,17864.4,22638.2
"Psmd13",8335.24525256032,12422.1617528758,13796.9095898471
"Sec22b",216830.821471667,231357.475350422,230743.883788904
"Afdn",21207.0208070986,20944.6343596413,20311.9031523658
"Asrgl1",21669.8999998668,17158.1999998945,22491.3999998618
"Stmn1;Stmn2",597586.531130589,721828.651532136,524504.777067511
"Actbl2",64686.2800500715,46851.4356009208,32038.2564251798
"Ppme1",53002.48191606,58114.9884898815,49731.1248600061
"Lrrc58",NA,2355.62,NA
"Rint1",58174.1280229016,63324.2680346108,48822.7073872267
"Gphn",25070.6187014086,24590.1990876435,23601.9233831357
"Coro7",11707.6166924422,11552.0070894775,16521.7653948916
"Actb;Actg1",255414.431340138,23649.5216195448,14209.2109626412
"Gspt1",63648.8594004897,69534.6702504964,63217.2508132798
"Spr",24119.8781206138,27367.2409825189,27224.781139299
"Rsu1",8934.54061705677,12191.9336441178,16979.0176691422
"Ube2q1",56585.9459418131,36097.6298643808,15269.7999999007
"Crmp1;Dpysl4",27351.4,27269.1,45357.6
"Glrx3",16521.8472612913,21219.3447045048,14227.2462587968
"Psmd1",26998.52286312,29477.5546679481,24966.1814744825
"Strbp",15908.5514081551,8408.75356145782,8146.84699646789
"Itgb1",92479.0215420958,79582.3970653844,79136.595235947
"Rps17",36071.6507830454,42537.055335446,41749.0999997182
"Sars1",345652.470803153,293336.476364428,340421.12088162
"Snrnp70",NA,6193.07,NA
"Rtn3",246389.216027273,245514.879012391,248900.308251982
"Ptgir",13323.8180985314,12848.7332387843,13061.5706499544
"Khdrbs1",32322.2962070616,47629.7511671512,NA
"Ddx19a",24958.1003342004,22657.1368260621,25167.2133178007
"Chkb",9390.36076333993,10234.6002035171,8959.86801617033
"Vbp1",28020.8953824839,22092.5981381028,17621.1280261411
"Paics",15400.4,16457.4,NA
"Dctn1",13937.1,12616,10994.4
"Arhgef18",20888.1550915944,20022.510682434,25759.1006317603
"Ldha",28483.9692876404,21139.3739865964,27082.5554119299
"Cntnap1",21114.0999998696,16708.0999998968,24948.1999998459
"Mapk9",42908.6827509646,49112.9051826024,52488.0107155747
"Gtf2i",5523.09,7823.76,NA
"Rabgap1l",26743.1108280853,31413.2028536032,23717.452590658
"Dkc1",8408.64321537675,11617.238372226,6859.16587577656
"Ndufv2",17218.7,19422.4,18003.9
"Snx9",39545.6132468256,40931.1112951569,46866.5475736984
"Nck1",36883.106104737,36557.799999761,28753.6490141195
"Dlg2",25647.8522004982,21980.951880385,27936.7484325943
"Uso1",32729.0548520981,34081.1648571717,28463.3961224365
"Cisd2",22338.0883193533,25131.2454615186,17808.8846119519
"Acbd3",21567.0846347991,27385.3428738491,33985.4656255977
"Gls",72771.6563068433,71338.6860922495,73477.5598939787
"Pfn1",NA,33226.1,38570
"Prrc2a",60105.8185907591,57703.3165162454,48080.8506143768
"Kpna3",145753.267146446,171397.731965571,167480.162371102
"Dmtn",98370.000190449,96331.8117546999,82062.2928806364
"Sfn;Ywhab;Ywhae;Ywhag;Ywhah;Ywhaq;Ywhaz",110468.524369652,106372.079994527,72072.9925967052
"Brap",18133.6044196007,19926.9610855064,25420.1183171024
"Arhgef6",11279.1,15087.9,14102.1
"Arhgap17",29874.225856213,24210.1022141991,27685.5895800977
"Fam131b",11518.0034410312,16913.5638252115,12638.5228775182
"Bcas1",4361.31,4552.91,14533.1
"Synrg",38754.6915301441,47647.2656262476,44547.0658855303
"Dnm3",37280.7847149593,29832.0648239182,29710.0071088383
"Hadh",16762.9,16625.5,19028.8
"Ythdf1;Ythdf2;Ythdf3",71372.7314421251,57101.7344092463,60555.7272212448
"Pccb",3275.68047196708,4453.29168192247,9200.67973991486
"Psmd7",NA,10227.8,15085.4
"Plaa",26957.7653310479,24863.4718056334,27346.8999998244
"Diras1",80838.9111523784,91496.7174979805,79902.8495216127
"Stx5",13563.0366629869,14555.7356559207,14829.3266576999
"NARS1",49746.1551761019,46778.4825314559,47466.2043347142
"Krt5;Krt6a",NA,9298.73,NA
"Myh10",NA,NA,23853.9
"Skt",28909.3679566121,24647.0623292036,24917.4916854406
"Tspyl1",6454.62999996734,3065.10999998449,2130.11999998922
"S100a13",42368.5833262332,43295.3570516438,40307.9098976767
"Ppp6r2",21972.3115961677,21758.7778006613,22416.4892635806
"Rps12",127067.812315418,114116.657935363,85283.5546665605
"Dysf",21125.4999472764,33781.577384569,34291.8753803066
"Naa50",48909.3446121295,53560.9339092061,51606.9163387052
"Tbcc",NA,NA,6739.33
"Dlat",5853.34,4908.49,NA
"Ythdf1;Ythdf3",32718.6204210655,38495.5712724984,56978.9594015795
"Camsap2",29226.6051820044,30454.2004839722,32087.1354069306
"Ppp2r5e",12056.6047893956,13486.8483800488,14524.3824425223
"Srp54",183798.624019637,193408.660164858,197554.685961366
"Rps11",NA,NA,12442.9
"Pmfbp1",80788.6,NA,NA
"Dock9",11805.6707605729,14910.7549938761,15947.7674651778
"Dhx9",15183.277937929,12575.5132267083,19342.912825016
"Sugt1",52463.9682840285,54191.8069059301,49305.1852275044
"Mustn1",NA,18177.2,17560.2
"Hnrnpa2b1",990545.192073259,1069539.24974333,1106927.72646233
"Hnrnpa1",1064825.46331415,811221.339985106,1017638.26938842
"Psmc1",6929.72999996513,1940.04999999024,4816.09999997577
"Cat",15219.699999907,15038.872683401,17278.4646952713
"Krt2",409802.4431669,426158.821668864,467126.030916309
"Cttn",153617.95486298,177681.056736289,154605.454674071
"FAM120A",80609.5818916453,78188.9139472296,67043.9857746454
"Gstp1",14186.766133236,10192.4212237004,7864.35976792583
"Nap1l4",49564.2373640468,41658.1730983948,31294.1467746949
"Elapor2",18873.2647862349,18388.862800794,17348.6435207672
"Palm3",NA,NA,9072.47
"Pym1",119880.463342022,106658.891965303,86298.2785697927
"Acin1",87755.195897975,82290.3278490175,81469.9424485657
"Stau1",37601.2961759716,46476.2364185616,54422.8919741272
"Ncdn",38048.5145967322,36655.8501899016,44311.0188215405
"Cetn2",11277.9999999329,11552.2999999313,13342.6999999206
"Myl12b",47477.8845000687,44026.9242370116,44363.4613273986
"Hibadh",4017.61,3857.25,NA
"Camsap1",18372.4770358029,17928.0393644778,17290.747660611
"Magi1",55499.5274562668,55503.3371935793,55441.4579739149
"Eef1akmt1",12547.7415103489,10312.8251820967,13325.0492199299
"Gigyf1",NA,8012.97,12078.8
