"","Gene","Tissue","Type"
"180","Tecr","DRG","DEP"
"181","Mtmr6","DRG","DEP"
"182","Wasl","DRG","DEP"
"183","Atp2b1","DRG","DEP"
"184","Eml1","DRG","DEP"
"185","Stbd1","DRG","DEP"
"186","Wdr44","DRG","DEP"
"187","Ipo7","DRG","DEP"
"188","Ank1","DRG","DEP"
"189","Afdn","DRG","DEP"
"190","Rexo2","DRG","DEP"
"191","Ubap2","DRG","DEP"
"192","Soga3","DRG","DEP"
"193","Dctn1","DRG","DEP"
"194","Bcap31","DRG","DEP"
"195","Bin1","DRG","DEP"
"196","Picalm","DRG","DEP"
"197","Wdr7","DRG","DEP"
"198","Dclk1","DRG","DEP"
"199","Vipas39","DRG","DEP"
"200","Gak","DRG","DEP"
"201","Rpl26","DRG","DEP"
"202","Nmt1","DRG","DEP"
"203","Ank3","DRG","DEP"
"204","Cadps","DRG","DEP"
"205","Rheb","DRG","DEP"
"206","Kpna3","DRG","DEP"
"207","Pdzd8","DRG","DEP"
"208","Cog1","DRG","DEP"
"209","Nup214","DRG","DEP"
"210","Glmn","DRG","DEP"
"211","Pcmt1","DRG","DEP"
"212","Jpt1","DRG","DEP"
"213","Arhgdia","DRG","DEP"
"214","Rpl29","DRG","DEP"
"215","Ppp6r1","DRG","DEP"
"216","Cd2ap","DRG","DEP"
"217","Srpra","DRG","DEP"
"218","Ap3s2","DRG","DEP"
"219","Napg","DRG","DEP"
"220","Ndufaf2","DRG","DEP"
"221","Timm44","DRG","DEP"
"222","Ppip5k1","DRG","DEP"
"223","Gsk3b","DRG","DEP"
"224","Reps2","DRG","DEP"
"225","Gmds","DRG","DEP"
"226","Add1","DRG","DEP"
"227","Pex14","DRG","DEP"
"228","Comt","DRG","DEP"
"229","Dmxl2","DRG","DEP"
"230","Csde1","DRG","DEP"
"231","Dnm1","DRG","DEP"
"232","Pex5l","DRG","DEP"
"233","Tbcb","DRG","DEP"
"234","Rabgap1l","DRG","DEP"
"235","Cyld","DRG","DEP"
"236","Igbp1","DRG","DEP"
"237","Vapa","DRG","DEP"
"238","Vars1","DRG","DEP"
"239","Tceal5","DRG","DEP"
"240","Grsf1","DRG","DEP"
"241","Rap1gap2","DRG","DEP"
"242","Lypla2","DRG","DEP"
"243","Osbpl3","DRG","DEP"
"244","Pym1","DRG","DEP"
"245","Arfgap1","DRG","DEP"
"246","Capzb","DRG","DEP"
"247","Prrc2a","DRG","DEP"
"248","Reep5","DRG","DEP"
"249","Ddhd1","DRG","DEP"
"250","Cep170","DRG","DEP"
"251","Vwa5a","DRG","DEP"
"252","Amer2","DRG","DEP"
"253","Arfgap2","DRG","DEP"
"254","Slc25a5","DRG","DEP"
"255","Syap1","DRG","DEP"
"256","Trim25","DRG","DEP"
"257","Nudt5","DRG","DEP"
"258","Strn3","DRG","DEP"
"259","Nono","DRG","DEP"
"260","Slc9a1","DRG","DEP"
"261","Arpin","DRG","DEP"
"262","Thop1","DRG","DEP"
"263","Ranbp9","DRG","DEP"
"264","Magi3","DRG","DEP"
"265","Syn1","DRG","DEP"
"266","Uhrf1bp1l","DRG","DEP"
"267","Phaf1","DRG","DEP"
"268","Snap25","DRG","DEP"
"269","Rps6","DRG","DEP"
"270","Flot1","DRG","DEP"
"271","Phf24","DRG","DEP"
"272","Maged1","DRG","DEP"
"273","Arfgef3","DRG","DEP"
"274","Pitpnm1","DRG","DEP"
"275","Hspa8","DRG","DEP"
"276","Prkar2b","DRG","DEP"
"277","Tagln3","DRG","DEP"
"278","Spats2","DRG","DEP"
"279","Eif4g1","DRG","DEP"
"280","Ilf3","DRG","DEP"
"281","Camsap3","DRG","DEP"
"282","Park7","DRG","DEP"
"283","Plekha6","DRG","DEP"
"284","Prrc2c","DRG","DEP"
"285","Sars1","DRG","DEP"
"286","Arfip2","DRG","DEP"
"287","Rps2","DRG","DEP"
"288","Stk24","DRG","DEP"
"289","Epn2","DRG","DEP"
"290","Snx3","DRG","DEP"
"291","Nefm","DRG","DEP"
"292","Mical1","DRG","DEP"
"293","Nek9","DRG","DEP"
"294","Ktn1","DRG","DEP"
"295","Ap3d1","DRG","DEP"
"296","Dlg2","DRG","DEP"
"297","Nek7","DRG","DEP"
"298","Nsfl1c","DRG","DEP"
"299","Clasp2","DRG","DEP"
"300","Edc3","DRG","DEP"
"301","Slk","DRG","DEP"
"302","Stip1","DRG","DEP"
"303","Ppp6r3","DRG","DEP"
"304","Pgrmc2","DRG","DEP"
"305","Exoc8","DRG","DEP"
"306","Plekha2","DRG","DEP"
"307","Pacs1","DRG","DEP"
"308","Elp4","DRG","DEP"
"309","Klc2","DRG","DEP"
"310","Srp68","DRG","DEP"
"311","Tbc1d22a","DRG","DEP"
"312","Sf3b1","DRG","DEP"
"313","Trappc12","DRG","DEP"
"314","Ranbp3","DRG","DEP"
"315","Fkbp15","DRG","DEP"
"316","Top3b","DRG","DEP"
"317","Ociad1","DRG","DEP"
"318","Vti1b","DRG","DEP"
"319","Pacs2","DRG","DEP"
"320","Map2","DRG","DEP"
"321","Hnrnpa3","DRG","DEP"
"322","Wipf3","DRG","DEP"
"323","Map7d1","DRG","DEP"
"324","Ist1","DRG","DEP"
"325","Tubb3","DRG","DEP"
"326","Dpysl3","DRG","DEP"
"327","Agfg2","DRG","DEP"
"328","Impa1","DRG","DEP"
"329","Uba6","DRG","DEP"
"330","Rpl7a","DRG","DEP"
"331","Tuba4a","DRG","DEP"
"332","Atp2b4","DRG","DEP"
"333","Hspe1","DRG","DEP"
"334","Lpcat1","DRG","DEP"
"335","Lztfl1","DRG","DEP"
"336","Npm1","DRG","DEP"
"337","Son","DRG","DEP"
"338","Camsap2","DRG","DEP"
"339","Ppp1r2","DRG","DEP"
"340","Nudcd2","DRG","DEP"
"341","Parg","DRG","DEP"
"342","Hmox2","DRG","DEP"
"343","Tom1l2","DRG","DEP"
"344","Atp6v1h","DRG","DEP"
"345","Arfgef1","DRG","DEP"
"346","Cplx1","DRG","DEP"
"347","Vsnl1","DRG","DEP"
"348","Rundc3a","DRG","DEP"
"349","Crmp1","DRG","DEP"
"350","Rabep1","DRG","DEP"
"351","Scyl2","DRG","DEP"
"352","Trarg1","DRG","DEP"
"353","Stat3","DRG","DEP"
"354","Tgs1","DRG","DEP"
"355","Map7d2","DRG","DEP"
"356","Tnks1bp1","DRG","DEP"
"357","Prune2","DRG","DEP"
"358","Flot2","DRG","DEP"
"359","Gspt1","DRG","DEP"
"360","Stmn2","DRG","DEP"
"361","Mpp1","DRG","DEP"
"362","Arpc1b","DRG","DEP"
"363","Kcna2","DRG","DEP"
"364","Fnbp1l","DRG","DEP"
"365","Ddx6","DRG","DEP"
"366","Ahsa1","DRG","DEP"
"367","Oscp1","DRG","DEP"
"368","Hnrnpd","DRG","DEP"
