Gene.Symbol,Condition
Cfb,Others
Mb,C3
Mbp,C3
Araf,C3
Slc4a1,C4
Prnp,Others
Aldoc,Others
Aldoa,Others
Prkaca,Others
Got1,C3
Got2,Others
Saa2,C3
Src,Others
Itgam,C2
Pdgfrb,Others
Myl1,Others
Ldha,Others
C9,Others
C5,Others
Apoa4,C3
Gpi,Others
Ctsl,Others
Ptprc,C2
Me1,Others
Enpp1,Others
Cfh,C3
S100a4,Others
Sparc,C4
Ttr,Others
Ckm,Others
Anxa2,Others
Alb,Others
Serpina3k,Others
Hsp90aa1,C6
Phkg1,Others
Pdia4,C2
Aprt,Others
Spta1,C4
Ltf,C2
Hsp90b1,C2
Col3a1,Others
Col4a2,Others
S100a10,Others
Apoe,C3
Sod1,C3
Mdh2,Others
Nefl,Others
Nefm,Others
Nras,Others
C4bpa,Others
Gnai2,Others
Lyz2,C6
Itgb1,Others
P4hb,C6
Alpl,Others
Ncl,C6
Pgk1,Others
Ace,Others
Fth1,C3
Myl3,Others
Sod2,Others
Cdh1,Others
Chmp6,Others
Prkg1,Others
Clec2l,C3
Ly6c1,Others
Lynx1,C5
Anxa1,C6
Eef1a1,C2
Nid1,Others
Alad,Others
Ctsb,Others
Eif4a2,Others
Mapt,Others
Txn,Others
Gstm1,C3
Tcea1,C6
Rras,Others
Slc3a2,C1
Sub1,C6
Col1a1,Others
Parp1,C6
Mpo,C2
Fn1,C3
Gpx1,C6
Fabp3,C3
Hsp90ab1,C2
Dmd,Others
L1cam,Others
Lcn2,C6
Krt8,Others
Itga5,Others
Camk2a,Others
Itgb2,C6
Agt,C3
Itpr1,Others
Tcp1,Others
App,Others
Ucp1,C4
Apcs,C3
Gusb,C2
Prkar2a,C3
Pfkl,Others
Calb1,Others
Fabp1,C3
Cox5a,Others
Pdcd6,Others
Cntn1,C1
Rpl7a,C6
Gsn,C4
Tnni2,Others
Umps,C4
Myh8,Others
Ncam1,Others
Icam1,C5
Ca1,C2
Gpd1,Others
Slc4a2,Others
S100a6,C3
Atp1b1,Others
C1qb,C4
Rpl27a,C6
Rps16,C6
Rpl7,C2
Mdh1,Others
Rpsa,C6
Calr,C6
Atp1b2,Others
Srp54,C4
Hspb1,Others
Psmd3,Others
Lmnb1,C6
Anxa6,Others
Crp,C5
Rplp0,C6
Map1b,Others
Hmox1,Others
Glul,Others
Cdh2,Others
Bpgm,C4
Prph,Others
Cd44,Others
Sptb,C4
Nme1,Others
Gstm2,C1
Ca3,Others
Lgals1,Others
Prkce,Others
Lgals3,C3
Ldhb,Others
Cnp,Others
Mmut,Others
Kcna1,C5
Enpep,Others
Ass1,C3
Sptan1,Others
Ctsa,C4
Gapdh,Others
Hspa2,C3
Eno1,C6
Eno2,Others
Ptbp1,C2
Ap2a1,Others
Ap2a2,C4
Gba,Others
Selenbp1,Others
Hk1,Others
Ppia,Others
Tpi1,Others
Slc2a1,C5
Pcna,C2
