"","Row.names","logFC.turbo","AveExpr.turbo","t.turbo","P.Value.turbo","adj.P.Val.turbo","B.turbo","logFC.wcl","AveExpr.wcl","t.wcl","P.Value.wcl","adj.P.Val.wcl","B.wcl"
"1","Acbd5",0.578366743147253,16.0525121937121,6.11113297073852,0.00013641454276807,0.000936952517433325,0.729287648925371,0.682641450199654,15.8584911776654,10.9822416496325,1.52081183664281e-08,1.22157664882697e-06,10.0038759914908
"2","Acsl4",-0.356962748732899,15.6618211085154,-3.56396688503413,0.00550576965651735,0.0151263776879056,-3.17950353315499,-0.381874460192861,17.2653427986602,-3.57611802806589,0.00277874339495813,0.0131656619368103,-2.34723047408489
"3","Acyp2",1.72371560959272,13.3090555861829,7.61880884049664,0.000169669961835678,0.00110097994572378,1.29847256077525,0.250183856003154,17.3183065773066,3.16219655577201,0.00648002994980296,0.0253556101644218,-3.18421117445559
"4","Add2",-0.395332313033425,18.6543948030768,-5.39917241634302,0.000349790967053021,0.00186317229389467,-0.275658047545971,-0.465339276579186,16.4403508530419,-6.56368971606706,9.23058068719978e-06,0.000162659536703671,3.45185151130176
"5","Adnp",1.00151228561067,13.3499658275049,6.61514242432074,7.2950944462171e-05,0.0005970793328977,1.39893415567803,-0.275646656924856,16.5814966034577,-3.69837239891858,0.00216420979531489,0.0108210489765745,-2.09815784833707
"6","Afdn",-0.290129773052076,15.0511299362931,-3.471932243074,0.00639621833544348,0.0169006938919648,-3.33469625688162,-0.206824506056828,15.3954707057597,-3.2895743554001,0.00499495758104318,0.0207758503986982,-2.92815353187147
"7","Ag2",-0.871423601011301,16.7281330702417,-6.50629514833377,8.32816956812803e-05,0.000654276599181697,1.25716052036521,-0.791845194664246,14.7139974441046,-7.00286225746671,4.39115402942689e-06,9.47524427472648e-05,4.21432501958078
"8","Agap1",-0.722890779131646,14.2467098072688,-5.12172465408636,0.000514626594564996,0.00246374343069621,-0.686474508986236,-0.290875558595827,14.1855745033478,-2.82491477969094,0.0128532456346661,0.0428347523454539,-3.85143779183473
"9","Agfg1",-0.479812726001924,17.8160093006713,-3.70736638591296,0.00436716979489965,0.0126180588538982,-2.93889169527084,-0.359319320090645,15.7740521791219,-4.36428437180483,0.000562110190547006,0.00382890304682019,-0.743074575821804
"10","Aimp1",0.473799005317977,16.1189115389956,5.01281230482048,0.000600654537000017,0.00281063248488654,-0.850688145355916,0.390891269078217,17.747137626364,3.88896191350571,0.00146733089238693,0.00800027144844131,-1.70940092451578
"11","Aimp2",-1.29823775805398,16.0233278520413,-16.0365566715772,3.06076593117285e-08,2.56776399011608e-06,9.65071348848405,0.480814218867465,16.9395443439423,3.74479903713162,0.00196846435132654,0.0100948593844194,-2.00348178323819
"12","Aip",0.644867929289777,14.5439906296395,8.11841239928521,1.34771785865285e-05,0.000168393045211465,3.20823287286971,-0.315175822310088,16.3947373475729,-3.19361932283395,0.00607732493768016,0.0241787757473446,-3.12120883329034
"13","Akap12",-1.34970628795062,19.0847372352016,-17.0680927662232,1.7158014948485e-08,1.91924652923768e-06,10.2469989194522,-0.820538967682587,17.53328467089,-7.15856310174094,3.39553245167053e-06,7.6753181459636e-05,4.47825025649418
"14","Akap13",-1.09728104230185,15.4242186723408,-14.1633563571953,9.62705905254472e-08,5.38427659867323e-06,8.45838724882622,-0.511355480675041,13.9212530907586,-6.72834975166393,6.96498616477764e-06,0.000131589726172851,3.74085607222415
"15","Akap2",-1.59744585538947,15.1046444848888,-15.8898611979496,3.33273112276184e-08,2.6199980228915e-06,9.56265098225976,-0.82653875096592,14.9600623937683,-9.76199423767429,7.19837732462882e-08,3.87742381422382e-06,8.42409123189836
"16","Akap9",-0.294989238912876,16.1824664392667,-2.9008674258431,0.0164952515044108,0.0361449121118106,-4.30441625708759,-0.185599344946665,14.2849555226575,-2.93114867181725,0.0103690958049899,0.0361087953410813,-3.6433248685492
"17","Ampd3",-0.265957621055993,17.1218056763826,-2.78351788842608,0.0200919044747338,0.0427112068879182,-4.50339172384082,-0.258582230304345,15.6602517700664,-4.13738795880623,0.000886810011395031,0.00547587157442704,-1.20327687854089
"18","Ank2",-1.58913224436787,17.1360215706914,-19.9783107198304,3.94297975805381e-09,7.12466111666799e-07,11.7397102768781,-1.16776427867847,16.051012003991,-16.4396256628911,5.7582003954419e-11,2.73334575021133e-08,15.5472112055155
"19","Ank3",-0.783167121568527,15.546336191351,-6.91205637997368,5.12080264219889e-05,0.000453915675717932,1.77791246066,-0.400954812938114,15.4232228247449,-5.54454417623697,5.73122044145937e-05,0.000676961419173934,1.58070186643838
"20","Ankrd13a",-0.739956029302952,14.4092364732314,-3.73901025321757,0.00415086131534672,0.0122492126001878,-2.88601733337314,-0.503354736205647,13.6184671532881,-5.15339032118505,0.000119888261994639,0.00118715951740454,0.826836058923847
"21","Ankrd52",-0.710433016859048,15.3471300902519,-7.75359746598431,1.98503326316452e-05,0.000223102542352797,2.79333497723544,-0.267432929768971,14.6276430273674,-3.89025351000086,0.001463480095796,0.00798500813762255,-1.70676638715026
"22","Anxa6",-0.308814679366076,18.8675037096025,-3.45141263192824,0.00661442781683608,0.0173601016108916,-3.36936804346764,0.286315167329263,20.2751463188545,4.33893885934662,0.000591350768661301,0.00400652014985065,-0.794343145512031
"23","Arhgap21",-3.67506389755302,14.9807368117496,-28.9277141268488,7.43707222344396e-10,2.46529235391345e-07,13.316337594973,-0.517517530023003,13.0813888065314,-4.38286655605671,0.000541615187021891,0.00371931948049843,-0.70551210077439
"24","Arhgap22",-0.838784765447635,12.8034157942288,-4.31463089313096,0.00290836255185635,0.00930755263530049,-2.19741371371127,-0.788521902040374,13.3894907991705,-8.03670563287226,8.45037277172306e-07,2.60899566784839e-05,5.9052411462469
"25","Arhgdia",0.742931712455096,18.3416464854512,9.21354512875254,4.54875067157365e-06,7.93937947328591e-05,4.37095380224673,-0.252433116530856,20.2766267928803,-2.9181272690255,0.0106462814641327,0.0369554422852321,-3.66894757744684
"26","Arhgef40",-0.533572111017799,14.3172366258008,-4.2255039047834,0.00193176182732973,0.00681337617477108,-2.08549100614137,-0.356706732989197,14.5207324833392,-6.53032529033533,9.777067164924e-06,0.000168312381572375,3.39283421919388
"27","Arhgef6",-0.415333343959151,14.4255534562732,-2.77528214858344,0.0225457326916877,0.0470754898602438,-4.49464011084813,0.254720764895083,17.7852886939517,4.46879845542547,0.000456330102500082,0.00326656656784932,-0.532103241322143
"28","Arid1a",1.3950898750147,12.2407169592482,6.1765311284474,0.00498893077866943,0.0139844849631199,-1.52895991991435,-0.331422177655993,13.9991606698522,-5.72701363183004,4.09005907122046e-05,0.000520334985693793,1.92588977537078
"29","Arl6ip5",0.248346788727478,19.1022864083952,2.86005703868579,0.0176654118590638,0.0382099930542734,-4.37368716395468,0.343827012558211,17.6016820325218,2.88132242291526,0.0114695331098026,0.0390808003449757,-3.74120268115732
"30","Armcx3",1.5188780253897,14.524319177729,11.060964608759,9.06841325217233e-07,2.56647020835576e-05,6.09091468934908,0.258978746442603,15.0442692195926,3.06731954599416,0.00786301033956069,0.0291741883385264,-3.37368594364856
"31","Arpin",0.310669711084103,16.2901658098776,3.50271962639358,0.00608275293158981,0.0162777741363503,-3.2827216038897,-0.341831434117768,15.4040420001281,-4.27117548621273,0.000677405875103341,0.00445819018191353,-0.931598803002517
"32","Arrb2",0.865629674916777,14.8603180658652,7.87400415856848,1.74426125775484e-05,0.000202835133389412,2.93189110776562,0.317498572526731,18.6792755128253,3.00359613640246,0.00895133737162803,0.0322971056235225,-3.50023544410337
"33","Asns",-0.343634124022998,14.7495492778409,-3.61583740874643,0.00506178464341756,0.0141549191992712,-3.09228924927804,-0.55045564048039,16.2553230770665,-4.48036901283181,0.000445947067327255,0.00320783294588641,-0.508793149149235
"34","Atg2a",-0.690488146704922,13.3979270091951,-4.87686535059215,0.000730235363098647,0.00324871755287637,-1.05797598815655,-0.434659032184955,13.5723364317183,-4.73592709275309,0.000269172313731945,0.00220060680602166,0.003372156625014
"35","Atl1",0.574953171528453,16.778104733658,5.42428849048806,0.000337958565014499,0.00183915098419772,-0.239002476632763,0.753742009697181,17.6066724866271,7.56041658839965,1.77474506050503e-06,4.58475807297133e-05,5.1441102919756
"36","Atp1a2",0.925352742360364,14.6922447560684,5.17362165003346,0.000680260365109198,0.00307886627676591,-0.810262139165526,0.709065178755807,19.3949754477696,9.29405979351711,1.35874688442157e-07,6.43965766499974e-06,7.77589818963081
"37","Atp2a2",0.398452661805695,14.4304494409462,3.4911882158809,0.00619824733802868,0.0165263144120651,-3.30218199188907,0.448070019256292,18.4184251564516,5.39999014362976,7.51089149889142e-05,0.000824352903671681,1.30425590294024
"38","Atp2b2",-0.369706633375747,14.0824664543853,-3.17119785065598,0.01050042476532,0.0250411144911031,-3.84471382262808,0.241545509839542,15.8445846727019,2.89776812053809,0.011094257416383,0.0380926243568845,-3.70894757919118
"39","Atp5pf",0.514587981054774,14.9644485844846,3.40180190878354,0.00717453236144031,0.0184185535705173,-3.45328999011526,0.419103849128113,17.8560431334857,3.01219693660865,0.00879621965376396,0.0319499226543937,-3.48319110220102
"40","Atp8a1",1.31391151160963,14.85743574905,8.39649638163852,1.01220683029451e-05,0.000136259540116026,3.51488672624354,0.243934954335078,16.6070664034322,2.81338746433285,0.0131554055407064,0.0436311375902467,-3.87388636725755
"41","Atxn2",0.552127186649596,16.4988208809968,7.08628897603752,4.1809585144774e-05,0.000391277751016231,1.99513355068629,0.16747566625307,15.6197421551976,2.90879164443817,0.0108494585786802,0.0374552899568528,-3.6872988631999
"42","Bag2",0.445507296384378,15.5829944701844,5.04921542787823,0.00057030049350449,0.00269544438479285,-0.795616926784618,0.633084160999765,14.3624685607641,6.53988144116148,9.61716860465603e-06,0.000167145069913873,3.40975353828296
"43","Baiap2l1",0.552000191924897,15.4947187980296,6.05104695732596,0.000147305939461788,0.000991466050990657,0.647181440668504,0.782951662309852,13.5502266310093,11.0880589235264,1.33762734386918e-08,1.12984979991815e-06,10.1338224360853
"44","Bcap31",0.513630581135402,17.339101277649,4.94149708425648,0.000665249876832957,0.00303334723945917,-0.959108631670523,0.550423636107649,18.3662128891484,7.69558262890009,1.43354457927154e-06,3.93243590718277e-05,5.36317148705911
"45","Bcar1",-0.617703756354802,15.1066972725738,-7.59734621995515,2.35301999167914e-05,0.000255890924095106,2.61109525229801,-0.731286823350374,13.8022984084588,-8.1133775004,7.51886848470668e-07,2.39940361938434e-05,6.02498050781518
"46","Bcat1",-1.42380135558042,14.3553214715502,-10.8534386744647,1.07401783164598e-06,2.83468301858022e-05,5.91098310297089,-0.482750983418105,16.1478981783239,-5.74397177112458,3.96471429823487e-05,0.000508648734714423,1.95775227596816
"47","Bin1",-0.311983565661151,16.8638494772818,-3.71637936882847,0.00430438356142342,0.0125446612726844,-2.9238230805214,-0.211501363080467,15.3530473043075,-3.69945303515133,0.00215943765236547,0.0108043010340684,-2.09595454932798
"48","Birc6",-1.11741867562793,15.9461314494504,-13.3282365670765,1.67953456573704e-07,8.19405148666494e-06,7.87454329866886,-0.53315278206609,15.1206563249519,-6.91236882936525,5.10659939740501e-06,0.000104823303846733,4.05939647044197
"49","Bnip3",0.392023420930855,15.0673521530448,3.27623312859845,0.0102233820270001,0.0244798413674039,-3.68131718751902,-0.263600165981233,14.6885116251434,-3.10735150485479,0.0072471278791372,0.027576120361747,-3.29388503650163
"50","Bod1l",-0.812382267483001,13.6106620090803,-4.63468416908216,0.00104103974233346,0.00420895413896955,-1.43351440493869,-0.565069636167722,13.9735027273073,-6.17250830780733,1.82930628600019e-05,0.000276214338810566,2.75024844268476
"51","Borcs5",0.588951981671297,14.8996676358714,5.85014761670362,0.000191108084099212,0.00119751452757933,0.369065746180882,0.585034125041194,14.7090356100077,6.32142604901612,1.40643889822603e-05,0.000222539654833889,3.0198225561645
"52","Brap",1.2041960465334,14.9429944281134,12.0893520533116,4.07625336812835e-07,1.54437405834411e-05,6.93909393128846,0.37031982700371,15.5833628183753,3.27404865347183,0.00515610656247756,0.0212945238401398,-2.95945327745694
"53","Brsk2",0.499818140779677,14.494870848681,4.47785622522145,0.00131568052738156,0.00498473154648272,-1.68087757171208,0.437123482956858,16.0996469576495,4.60947792613355,0.000345257252322558,0.00262222883138983,-0.249374784648573
"54","C2cd2",-0.506483848091351,15.2288099640365,-3.88087771871343,0.00331045277872929,0.0102996736122319,-2.65007007146913,0.278904924767811,14.2197377184815,3.50083507308482,0.00324156879226766,0.0148849546416402,-2.50033706195408
"55","Camk2b",-0.412825483710876,14.6773393254606,-3.86419981654369,0.0033992320780085,0.0105063107253184,-2.67770996564326,0.610895889254756,14.4288342647718,7.6127366285152,1.63351501538437e-06,4.29465959040329e-05,5.22919483202788
