"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045178","GO:0045178","basal part of cell","21/491","42/2087",0.5,2.12525458248472,4.08517093983526,0.000145195731252326,0.000597536278615342,0.000260607722760585,"Clasp2/Ank3/Eps15/Atp1a1/Phldb1/Map7/Plec/Cr1l/Aqp1/Ank2/Aqp5/Atp1b1/Atp2b1/Cadm1/Flot1/Flot2/Grk2/Numb/Plpp3/Prom2/Slc12a2",21
"GO:0043209","GO:0043209","myelin sheath","39/491","98/2087",0.397959183673469,1.69152915748784,3.8885491907165,0.000172991030150499,0.000694126508478876,0.000302734302763373,"Sptan1/Nefm/Atp1a1/Pebp1/Slc25a5/Nefh/Dnm1/Exoc4/Septin7/Uqcrc2/Pdcd6ip/Atp5f1a/Ehd1/Plec/Cox5b/Rala/Actb/Calm1/Mdh2/Vdac1/Atp1b1/Dld/Ehd3/Gnao1/Itgb1/Napg/Nefl/Nsf/Pacsin1/Prxl2b/Sdha/Septin4/Slc25a4/Snap25/Stxbp1/Syn1/Syn2/Tagln3/Tubb4a",39
"GO:0048471","GO:0048471","perinuclear region of cytoplasm","62/491","178/2087",0.348314606741573,1.48051442824779,3.71702022495462,0.000237513625777584,0.000870710202926952,0.000379748998161288,"Map6/Map1b/Add1/Cd2ap/Rab3c/Anxa6/Tppp3/Clint1/Tpd52/Ranbp2/Tpd52l2/Map7/Ehd1/Plec/Trappc12/Tgm2/Scel/Wrnip1/Rab15/Anp32a/Atp2a1/S100a16/Ank2/Ankrd13d/Camk2d/Cav2/Coro1b/Cyld/Dgki/Dmtn/Dnm3/Dst/Ehd3/Ehd4/Eml1/Exoc3/Flot2/Fmn2/Gak/Itgb1/Jcad/Kif5a/Osbpl3/Pacs1/Pacsin1/Pclo/Pex5l/Prkar2b/Prkcd/Rad50/S100a6/Slk/Snap25/Snap47/Snx1/Stbd1/Stx7/Stxbp1/Synj1/Syp/Trarg1/Wdr44",62
"GO:0043025","GO:0043025","neuronal cell body","52/491","144/2087",0.361111111111111,1.53490608735008,3.68895910397051,0.000286239848720922,0.000998728167819739,0.00043558237848836,"Mapt/Map1b/Map1a/Ckap5/Prph/Nefm/Rtn4/Strn/Eif4b/Pebp1/Nefh/Cnn3/Dctn1/Sncb/Exoc4/Septin7/Ppp1ca/Nap1l4/Dync1h1/Smurf1/Aqp1/Atp2b1/Camk2d/Cplx1/Crmp1/Dgki/Gabbr1/Katnb1/Kcna2/Kif5a/Kif5c/Mast1/Palld/Pclo/Prkar2b/Rtn1/Rufy3/Scn11a/Septin4/Slc12a2/Snap25/Snap47/Snap91/Srcin1/Strn3/Syt7/Tanc1/Trpv1/Tubb3/Tubb4a/Vps13a/Ykt6",52
"GO:0000793","GO:0000793","condensed chromosome","19/491","38/2087",0.5,2.12525458248472,3.88197794745734,0.000302751506458924,0.00103386418695015,0.000450906498981376,"Ckap5/Dctn4/Clasp2/Dync1li2/Dctn2/Dctn1/Septin7/Tpr/Trappc12/Actb/Brd4/Chmp3/Champ1/Chmp7/Csnk1a1/Rad50/Rpa1/Sugt1/Syn1",19
"GO:1904115","GO:1904115","axon cytoplasm","11/491","17/2087",0.647058823529412,2.75032945968611,4.01828323105703,0.00033437207176646,0.00112982563196878,0.000492758842603205,"Map1a/Ap3d1/Ap3s1/Ap3b2/Dst/Kif21a/Kif5a/Kif5c/Madd/Nefl/Rab21",11
"GO:0042175","GO:0042175","nuclear outer membrane-endoplasmic reticulum membrane network","35/491","88/2087",0.397727272727273,1.69054341788558,3.67034918552306,0.000380804210069446,0.00124732807583971,0.000544006014384922,"Rtn4/Rtn3/Esyt1/Esyt2/Rint1/Lpcat1/Sec22b/Ranbp2/Srpra/Reep5/Atp2a1/Abhd12/Atg2b/Atl1/Camk2d/Cept1/Dst/Ermp1/Fmn2/Gabbr1/Hmox2/Kcna2/Lnpk/Osbpl3/Pdzd8/Plpp3/Rab21/Rtn1/Slc27a4/Stbd1/Tex2/Tmed10/Vapb/Vps13a/Vps13c",35
"GO:0044297","GO:0044297","cell body","57/491","170/2087",0.335294117647059,1.42517072001917,3.20743753651809,0.0012853848991575,0.00361937326868032,0.00157854285861447,"Mapt/Map1b/Map1a/Ckap5/Prph/Nefm/Rtn4/Strn/Eif4b/Pebp1/Nefh/Cnn3/Dctn1/Sncb/Exoc4/Septin7/Ppp1ca/Nap1l4/Tubb5/Dync1h1/Dpysl3/Smurf1/Aqp1/Atp2b1/Camk2d/Cplx1/Crmp1/Dgki/Gabbr1/Gnao1/Katnb1/Kcna2/Kif5a/Kif5c/Mast1/Palld/Pclo/Pitpnm2/Prkar2b/Rtn1/Rufy3/Scn11a/Septin4/Slc12a2/Snap25/Snap47/Snap91/Srcin1/Strn3/Syn1/Syt7/Tanc1/Trpv1/Tubb3/Tubb4a/Vps13a/Ykt6",57
"GO:0045121","GO:0045121","membrane raft","23/491","54/2087",0.425925925925926,1.81040205174625,3.34587858354207,0.00131045397302044,0.00362634245982381,0.00158158238123157,"Mapt/Sorbs1/Atp1a1/Slc25a5/Atp5f1a/Tubb5/Ctnnd1/Cr1l/Actb/Mal2/Aqp1/Vdac1/Add2/Atp1b1/Cav2/Chp1/Flot1/Flot2/Grk2/Itgb1/Plpp3/Prom2/Slc25a4",23
"GO:0019898","GO:0019898","extrinsic component of membrane","19/491","43/2087",0.441860465116279,1.87813195661441,3.22652488317283,0.00204777190796018,0.00521694271789856,0.00227530211995576,"Snap29/Ctnnd1/Amph/Ank2/Ap2b1/Ap2m1/Bin1/Cadps/Dgki/Dnajc6/Gnao1/Pik3c3/Rph3a/Snap25/Snap91/Snx1/Stxbp1/Syn1/Syn2",19
"GO:0009898","GO:0009898","cytoplasmic side of plasma membrane","17/491","37/2087",0.459459459459459,1.95293664336434,3.24316775438644,0.00209496403166284,0.00529514530837617,0.00230940916876219,"Mapt/Esyt2/Myh9/Fermt2/Ank1/Ank2/Ap2b1/Ap2m1/Atp2b1/Chmp7/Cyld/Dst/Gnao1/Mtss1/Prmt8/Rab21/S100a6",17
"GO:0032589","GO:0032589","neuron projection membrane","7/491","10/2087",0.7,2.97535641547861,3.47223150692385,0.00234654919449059,0.00583908753047658,0.00254664253665645,"Mapt/Epb41l3/Sptbn1/Ank1/Atp2b1/Gabbr1/Trpv1",7
"GO:0030125","GO:0030125","clathrin vesicle coat","9/491","15/2087",0.6,2.55030549898167,3.3415617888915,0.00258740036464125,0.00638888859269109,0.00278643116192135,"Eps15/Clint1/Epn2/Necap2/Ap2b1/Ap2m1/Necap1/Sgip1/Snap91",9
"GO:0019866","GO:0019866","organelle inner membrane","19/491","44/2087",0.431818181818182,1.83544713941863,3.10593659584415,0.00283217655708684,0.00688733844564299,0.00300382362115271,"Slc25a5/Uqcrc2/Atp5f1a/Cox5b/Csde1/Glud1/Mdh2/Vdac1/Plscr3/Phb2/Acaa2/Abcd3/Acadvl/Cav2/Letm1/Mtarc2/Sdha/Slc25a4/Timm44",19
