"","Gene","Tissue","Type"
"178","Sphk2","DRG","DEP"
"179","Eif4enif1","DRG","DEP"
"180","Larp4","DRG","DEP"
"181","Phrf1","DRG","DEP"
"182","Mmtag2","DRG","DEP"
"183","Gcn1","DRG","DEP"
"184","Hnrnpf","DRG","DEP"
"185","Arglu1","DRG","DEP"
"186","Fkbp2","DRG","DEP"
"187","Ppp1r10","DRG","DEP"
"188","Nectin2","DRG","DEP"
"189","Arid1b","DRG","DEP"
"190","Rbms3","DRG","DEP"
"191","Adnp","DRG","DEP"
"192","Rps21","DRG","DEP"
"193","Cdkn2aip","DRG","DEP"
"194","Hells","DRG","DEP"
"195","Lemd3","DRG","DEP"
"196","Slc30a5","DRG","DEP"
"197","Igf2r","DRG","DEP"
"198","Fam193a","DRG","DEP"
"199","Eif2b1","DRG","DEP"
"200","Zc3h4","DRG","DEP"
"201","Hdgfl2","DRG","DEP"
"202","Api5","DRG","DEP"
"203","Snw1","DRG","DEP"
"204","Elavl3","DRG","DEP"
"205","Hook3","DRG","DEP"
"206","Uba2","DRG","DEP"
"207","Cttnbp2nl","DRG","DEP"
"208","Celf2","DRG","DEP"
"209","Smap","DRG","DEP"
"210","Gemin5","DRG","DEP"
"211","Nfic","DRG","DEP"
"212","Zcchc17","DRG","DEP"
"213","Rbms1","DRG","DEP"
"214","Epdr1","DRG","DEP"
"215","Raly","DRG","DEP"
"216","Msh6","DRG","DEP"
"217","Mepce","DRG","DEP"
"218","Rpl10","DRG","DEP"
"219","Fen1","DRG","DEP"
"220","Ncor1","DRG","DEP"
"221","Dazap1","DRG","DEP"
"222","Ralyl","DRG","DEP"
"223","Wapl","DRG","DEP"
"224","Dnajc16","DRG","DEP"
"225","Phka2","DRG","DEP"
"226","Wdr59","DRG","DEP"
"227","Rbm22","DRG","DEP"
"228","Paxip1","DRG","DEP"
"229","Ahctf1","DRG","DEP"
"230","Ubxn7","DRG","DEP"
"231","Fhip1b","DRG","DEP"
"232","Myo1b","DRG","DEP"
"233","Eif3e","DRG","DEP"
"234","Rpl28","DRG","DEP"
"235","Mdm1","DRG","DEP"
"236","Gtf2b","DRG","DEP"
"237","Cnot8","DRG","DEP"
"238","Exosc8","DRG","DEP"
"239","Elavl2","DRG","DEP"
"240","Mybbp1a","DRG","DEP"
"241","Iws1","DRG","DEP"
"242","Rbfox3","DRG","DEP"
