"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0036465","GO:0036465","synaptic vesicle recycling","7/147","10/1583",0.7,7.53809523809524,6.63394044182481,4.91463439861773e-06,0.00820720831357405,0.00758987515041794,"Sncg/Dnm1l/Plaa/Park7/Cltc/Cltb/Ctbp1",7
"GO:0007268","GO:0007268","chemical synaptic transmission","18/147","67/1583",0.26865671641791,2.89308559244593,5.06457186395132,1.65550771893247e-05,0.00820720831357405,0.00758987515041794,"Akap12/Ncam1/Ppp3ca/Sncg/Dnm1l/Kif5b/Mapk3/Park7/Usp14/Gls/Gnai2/Gsk3b/L1cam/Nedd4/Pafah1b1/Phf24/Prkar2a/Stat3",18
"GO:0016192","GO:0016192","vesicle-mediated transport","35/147","190/1583",0.184210526315789,1.98370927318296,4.62330659488657,1.89871794414669e-05,0.00820720831357405,0.00758987515041794,"Ncam1/Atp6v1a/Dync1li1/Ppp3ca/Sncg/Dnm1l/Plaa/Scfd1/Arhgap1/Arhgdia/Dpysl2/Kif5b/Usp7/Mapk3/Chmp4b/Park7/C3/Tom1/Cltc/Arf5/Atp6v1b2/Atp6v1h/Cd44/Cltb/Coro1a/Ctbp1/Fnbp1/Gnai2/Hgs/Mical1/Nedd4/Pls3/Stam/Tmem79/Ube2o",35
