"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005813","GO:0005813","centrosome","79/987","126/2306",0.626984126984127,1.4648686897927,4.64150652587725,3.01488025857117e-06,2.6727284834535e-05,1.52055736175588e-05,"Spag9/Cep170/Dync1li2/Cct8/Dctn4/Dync1li1/Snap29/Dctn2/G6pdx/Rab11fip5/Dctn1/Ist1/Kif5b/Nsfl1c/Git1/Flot1/Luzp1/Pdcd6ip/Prkar2b/Katnal1/Rap1gap2/Kif2a/Tcp1/Crmp1/Map2k1/Magi2/Sncg/Ola1/Cct5/Pafah1b1/Arl3/Sirt2/Dctn6/Brsk2/Atp6v0d1/Gnai2/Ddx3x/Mdh1/Dync1h1/Ndrg1/Psma1/Stx1b/Cdc42/Gnai3/Ruvbl1/Atp6v1d/Bbs4/Ccdc124/Ccdc92/Cd2ap/Cep131/Clic4/Csnk1d/Dctn5/Dynlrb1/Fez1/Fry/Fsd1/Ift22/Mapk1/Mapre1/Nckap5l/Nit2/Nme1/Pacsin2/Pja2/Ppp1r12a/Prkacb/Psmb5/Rab3ip/Rab8a/Ranbp1/Rps7/Skp1/Tbcd/Ttll12/Vps4a/Washc1/Zfyve19",79
"GO:0030427","GO:0030427","site of polarized growth","55/987","81/2306",0.679012345679012,1.58642600722979,4.64688973858504,3.098553119652e-06,2.6727284834535e-05,1.52055736175588e-05,"Cttn/Dbnl/Map1b/Nefl/Dctn2/Pclo/Dpysl3/Kif5b/Git1/Dpysl2/Snap25/Syap1/Tmod2/Fkbp15/Rufy3/Crmp1/Dbn1/Basp1/Hsp90ab1/Gprin1/Pafah1b1/Hsp90aa1/Cfl1/Sirt2/Eno1/Copa/Eno2/Sncb/Twf2/Shtn1/Tubb3/Ppp1r9b/Gap43/Snca/Ywhae/Fscn1/Thy1/Arpc3/Arpc5/Cd2ap/Cdk5/Csnk1e/Erc2/Fez1/Fkbp4/Fry/Gdpd5/Kif5c/Myh14/Nectin1/Ptprz1/Src/Stmn2/Tsc1/Wdr47",55
"GO:0030117","GO:0030117","membrane coat","20/987","22/2306",0.909090909090909,2.12397531546468,4.58133138943215,3.14028150797409e-06,2.6727284834535e-05,1.52055736175588e-05,"Eps15l1/Aak1/Ap3s1/Ap3b2/Necap1/Sgip1/Dnm1/Ap2b1/Ap2a1/Synrg/Chmp4b/Epn1/Copa/Necap2/Ap2s1/Cltc/Arcn1/Chmp2a/Cltb/Tbc1d5",20
"GO:0048475","GO:0048475","coated membrane","20/987","22/2306",0.909090909090909,2.12397531546468,4.58133138943215,3.14028150797409e-06,2.6727284834535e-05,1.52055736175588e-05,"Eps15l1/Aak1/Ap3s1/Ap3b2/Necap1/Sgip1/Dnm1/Ap2b1/Ap2a1/Synrg/Chmp4b/Epn1/Copa/Necap2/Ap2s1/Cltc/Arcn1/Chmp2a/Cltb/Tbc1d5",20
"GO:0048786","GO:0048786","presynaptic active zone","38/987","51/2306",0.745098039215686,1.74082682718477,4.62700702859805,3.45393646225853e-06,2.87577753270655e-05,1.63607516633299e-05,"Pclo/Flot1/Snap25/Cntnap1/Syn1/Ctbp1/Bsn/Snap47/Stxbp1/Napa/Syt1/Rab3a/Sv2a/Napb/Canx/Nptn/Slc32a1/Ctnna2/Stx1b/Vdac1/Gad1/Apba1/Cacna1a/Cacna1b/Cdh2/Cntnap2/Erc2/Grip1/Grm7/Hcn1/Nectin1/Osbpl2/Ppfia3/Rimbp2/Rims2/Slc17a7/Stx1a/Tprg1l",38
"GO:0005768","GO:0005768","endosome","104/987","176/2306",0.590909090909091,1.38058395505204,4.54348031348974,4.5244992726838e-06,3.68698557752743e-05,2.09758420928454e-05,"Myh9/Dbnl/Anxa2/Dync1li2/Chmp2b/Washc2/Pacsin1/Dync1li1/Ehd3/Wdr44/Rab11fip5/Ran/Ap3s1/Coro1c/Git1/Numb/Flot1/Snap25/Mapk3/Ap3b2/Pdcd6ip/Fkbp15/Tom1l2/Scamp1/Bin1/Atp1a1/Coro1a/Rab3c/Hspa8/Praf2/Ncdn/Rab11b/Map2k1/Magi2/Chmp4b/Epn1/Rab21/Rab3a/Serpinb1a/Uba1/Atp6v1e1/Llgl1/Atp6v0d1/Cdkn1b/Myo5a/Bsg/Ndrg1/Dgkq/Vps35/Map1lc3a/Rap1a/Rab10/Rab14/Cltc/Tpt1/Ezr/Ankrd13d/Arpc5/Cc2d1a/Cc2d1b/Cd2ap/Chmp1a/Chmp2a/Chmp5/Cntnap2/Cpne6/Eea1/Fchsd2/Grip1/Itgb1/Mapk1/Micall1/Mtm1/Mtmr2/Nedd4l/Nme1/Osbpl1a/Pacsin2/Pak3/Prdx3/Rab8a/Rabep1/Rhoa/Rhob/Scoc/Sh3glb1/Snf8/Snx2/Snx4/Snx5/Snx6/Src/Stam2/Stambp/Stmn2/Stx12/Tbc1d5/Usp8/Vps26b/Vps37c/Vps4a/Vta1/Washc1/Wdr91",104
"GO:0008021","GO:0008021","synaptic vesicle","64/987","99/2306",0.646464646464647,1.51038244655266,4.48935349626877,6.33936356392178e-06,5.05828384371259e-05,2.8777374073066e-05,"Pebp1/Atp6v1a/Snap29/Amph/Septin4/Septin5/Snap25/Phf24/Park7/Anxa5/Scamp1/Bin1/Rab3c/Dlg2/Hspa8/Dnm1/Rph3a/Syn2/Syn1/Rab11b/Bsn/Ap2a1/Atp6v1b2/Sv2c/Stxbp5/Atp6v1h/Septin6/Vamp2/Syt1/Rab3a/Prrt2/Atp6v1e1/Atp6v0d1/Sv2a/Atp6v1c1/Syn3/Myo5a/Vamp1/Atp6v1f/Slc32a1/Snca/Rab10/Vdac1/Lgi3/Rab14/Cltc/Rab2a/Atp6v1d/Cltb/Cops4/Cops5/Cttnbp2/Dlg4/Mtmr2/Rab8a/Rogdi/Sh3glb1/Slc17a7/Stx12/Stx1a/Sv2b/Syt12/Tprg1l/Wfs1",64
"GO:0070382","GO:0070382","exocytic vesicle","65/987","101/2306",0.643564356435644,1.50360628768044,4.47629991851749,6.71225052980181e-06,5.2465141896206e-05,2.98482461797847e-05,"Pebp1/Atp6v1a/Snap29/Amph/Septin4/Dpysl3/Septin5/Snap25/Phf24/Park7/Anxa5/Scamp1/Bin1/Rab3c/Dlg2/Hspa8/Dnm1/Rph3a/Syn2/Syn1/Rab11b/Bsn/Ap2a1/Atp6v1b2/Sv2c/Stxbp5/Atp6v1h/Septin6/Vamp2/Syt1/Rab3a/Prrt2/Atp6v1e1/Atp6v0d1/Sv2a/Atp6v1c1/Syn3/Myo5a/Vamp1/Atp6v1f/Slc32a1/Snca/Rab10/Vdac1/Lgi3/Rab14/Cltc/Rab2a/Atp6v1d/Cltb/Cops4/Cops5/Cttnbp2/Dlg4/Mtmr2/Rab8a/Rogdi/Sh3glb1/Slc17a7/Stx12/Stx1a/Sv2b/Syt12/Tprg1l/Wfs1",65
"GO:0044306","GO:0044306","neuron projection terminus","47/987","68/2306",0.691176470588235,1.61484593837535,4.45104891643585,7.88975818367648e-06,6.04355476869619e-05,3.43827356636007e-05,"Aak1/Pebp1/Pacsin1/Amph/Septin4/Pclo/Git1/Septin5/Dpysl2/Anxa5/Bin1/Kcna1/Hspa8/Cplx1/Bsn/Sncg/Kcnab2/Septin6/Calb2/Vamp2/Syt1/Rab3a/Prrt2/Uchl1/Cplx2/Sncb/Atp6v0d1/Glul/Slc32a1/Snca/Got1/Gad1/Cacna1b/Calb1/Dlg4/Erc2/Gabrb3/Grip1/Grm7/Hcn1/Hcn3/Ncs1/Ppp2ca/Rgs10/Rimbp2/Sri/Tprg1l",47
"GO:0030136","GO:0030136","clathrin-coated vesicle","35/987","47/2306",0.74468085106383,1.73985212011468,4.43207784350065,8.75529808584757e-06,6.57505718996003e-05,3.74065367135283e-05,"Dbnl/Aak1/Atp6v1a/Numb/Dnajc6/Ap3b2/Scamp1/Necap1/Sgip1/Dnm1/Syn1/Ap2b1/Ap2a1/Atp6v1b2/Synrg/Atp6v1h/Epn1/Vamp2/Rab3a/Atp6v1e1/Necap2/Atp6v0d1/Atp6v1c1/Ap2s1/Atp6v1f/Rab14/Cltc/Gad1/Atp6v1d/Cltb/Cpne6/Hip1/Hip1r/Rab8a/Tbc1d5",35
